,date,symbol,sector,open,high,low,close
0,2021-05-12,GNRC,Industrials,296.56,304.01,287.82,289.18
1,2021-05-11,GNRC,Industrials,293.99,308.69,290.0,304.62
2,2021-05-10,GNRC,Industrials,323.37,325.3153,304.025,305.21
3,2021-05-07,GNRC,Industrials,319.52,328.0,318.72,327.38
4,2021-05-06,GNRC,Industrials,315.29,320.005,310.1201,318.16
5,2021-05-05,GNRC,Industrials,318.9,322.86,317.72,319.33
6,2021-05-04,GNRC,Industrials,319.96,321.184,305.75,312.99
7,2021-05-03,GNRC,Industrials,325.84,328.5,321.65,325.25
8,2021-04-30,GNRC,Industrials,333.98,336.03,320.0,323.95
9,2021-04-29,GNRC,Industrials,338.0,338.94,322.12,337.18
10,2021-04-28,GNRC,Industrials,328.06,330.19,315.13,316.16
11,2021-04-27,GNRC,Industrials,335.13,340.98,330.59,331.75
12,2021-04-26,GNRC,Industrials,332.45,335.25,325.58,330.82
13,2021-04-23,GNRC,Industrials,323.65,332.16,322.67,330.58
14,2021-04-22,GNRC,Industrials,326.33,329.05,319.54,321.66
15,2021-04-21,GNRC,Industrials,312.87,323.03,312.4373,323.02
16,2021-04-20,GNRC,Industrials,319.14,322.11,308.3,313.77
17,2021-04-19,GNRC,Industrials,329.0,330.45,314.105,318.68
18,2021-04-16,GNRC,Industrials,330.0,333.78,327.57,332.23
19,2021-04-15,GNRC,Industrials,329.18,329.4,323.68,327.05
20,2021-04-14,GNRC,Industrials,330.12,337.93,324.83,325.57
21,2021-04-13,GNRC,Industrials,329.01,331.5593,323.38,328.47
22,2021-04-12,GNRC,Industrials,326.67,329.4,319.26,328.34
23,2021-04-09,GNRC,Industrials,332.09,332.435,324.26,330.41
24,2021-04-08,GNRC,Industrials,329.66,332.9666,325.52,331.91
25,2021-04-07,GNRC,Industrials,329.44,332.0239,323.69,326.02
26,2021-04-06,GNRC,Industrials,326.0,342.28,326.0,333.64
27,2021-04-05,GNRC,Industrials,327.0,329.2466,322.3,325.04
28,2021-04-01,GNRC,Industrials,330.0,334.9999,322.2513,323.8
29,2021-03-31,GNRC,Industrials,323.05,329.855,320.52,327.45
30,2021-03-30,GNRC,Industrials,302.87,318.9699,302.29,317.75
31,2021-03-29,GNRC,Industrials,315.98,320.7817,302.695,303.14
32,2021-03-26,GNRC,Industrials,306.96,316.04,305.4604,316.04
33,2021-03-25,GNRC,Industrials,292.88,302.365,288.09,301.03
34,2021-03-24,GNRC,Industrials,306.98,307.25,295.8858,296.88
35,2021-03-23,GNRC,Industrials,312.0,318.71,301.0,303.57
