,date,symbol,sector,open,high,low,close
0,2021-05-12,GPC,Consumer Discretionary,131.13,131.555,127.34,127.47
1,2021-05-11,GPC,Consumer Discretionary,132.86,133.54,130.71,131.24
2,2021-05-10,GPC,Consumer Discretionary,134.31,135.93,133.5,133.6
3,2021-05-07,GPC,Consumer Discretionary,131.39,133.965,130.89,133.46
4,2021-05-06,GPC,Consumer Discretionary,132.61,132.8727,131.145,132.38
5,2021-05-05,GPC,Consumer Discretionary,130.24,132.4,130.84,131.65
6,2021-05-04,GPC,Consumer Discretionary,127.76,130.35,127.01,130.26
7,2021-05-03,GPC,Consumer Discretionary,125.95,128.46,125.705,127.25
8,2021-04-30,GPC,Consumer Discretionary,125.68,125.74,124.5235,124.97
9,2021-04-29,GPC,Consumer Discretionary,125.33,127.44,125.33,125.74
10,2021-04-28,GPC,Consumer Discretionary,123.59,124.75,122.8885,124.69
11,2021-04-27,GPC,Consumer Discretionary,122.67,123.345,121.59,123.16
12,2021-04-26,GPC,Consumer Discretionary,123.01,123.23,121.46,122.21
13,2021-04-23,GPC,Consumer Discretionary,120.71,122.94,119.52,122.33
14,2021-04-22,GPC,Consumer Discretionary,120.95,123.22,118.59,119.36
15,2021-04-21,GPC,Consumer Discretionary,119.92,121.92,118.92,121.24
16,2021-04-20,GPC,Consumer Discretionary,119.53,120.0,118.565,119.25
17,2021-04-19,GPC,Consumer Discretionary,119.68,119.98,118.86,119.4
18,2021-04-16,GPC,Consumer Discretionary,119.38,120.56,118.99,120.02
19,2021-04-15,GPC,Consumer Discretionary,118.16,118.53,117.46,118.45
20,2021-04-14,GPC,Consumer Discretionary,115.66,118.16,115.66,117.66
21,2021-04-13,GPC,Consumer Discretionary,116.67,116.75,115.19,115.99
22,2021-04-12,GPC,Consumer Discretionary,117.5,118.02,116.82,117.75
23,2021-04-09,GPC,Consumer Discretionary,116.46,116.97,115.3201,116.89
24,2021-04-08,GPC,Consumer Discretionary,116.15,116.5655,115.27,115.72
25,2021-04-07,GPC,Consumer Discretionary,117.15,117.82,116.15,116.68
26,2021-04-06,GPC,Consumer Discretionary,117.1,118.1299,116.5,117.47
27,2021-04-05,GPC,Consumer Discretionary,117.5,118.26,116.39,117.23
28,2021-04-01,GPC,Consumer Discretionary,115.97,116.67,115.19,116.62
29,2021-03-31,GPC,Consumer Discretionary,116.57,117.15,115.22,115.59
30,2021-03-30,GPC,Consumer Discretionary,117.26,117.86,116.66,117.57
31,2021-03-29,GPC,Consumer Discretionary,117.5,118.51,116.8,117.16
32,2021-03-26,GPC,Consumer Discretionary,117.69,118.62,116.95,118.55
33,2021-03-25,GPC,Consumer Discretionary,115.2,117.18,113.64,117.03
