,date,symbol,sector,open,high,low,close
0,2021-05-12,GPS,Consumer Discretionary,35.66,35.7,32.29,32.46
1,2021-05-11,GPS,Consumer Discretionary,34.52,35.4,33.33,35.29
2,2021-05-10,GPS,Consumer Discretionary,35.5,37.055,35.45,35.66
3,2021-05-07,GPS,Consumer Discretionary,34.5,35.505,34.347,35.44
4,2021-05-06,GPS,Consumer Discretionary,34.47,34.775,33.74,34.73
5,2021-05-05,GPS,Consumer Discretionary,35.36,35.02,34.31,34.37
6,2021-05-04,GPS,Consumer Discretionary,35.12,35.51,34.31,35.22
7,2021-05-03,GPS,Consumer Discretionary,34.11,37.0,33.83,35.47
8,2021-04-30,GPS,Consumer Discretionary,33.69,34.07,33.0,33.1
9,2021-04-29,GPS,Consumer Discretionary,34.6,34.86,33.46,33.85
10,2021-04-28,GPS,Consumer Discretionary,34.03,34.58,33.86,34.26
11,2021-04-27,GPS,Consumer Discretionary,33.46,34.815,33.37,34.4
12,2021-04-26,GPS,Consumer Discretionary,34.12,34.53,33.155,33.47
13,2021-04-23,GPS,Consumer Discretionary,33.5,34.27,32.895,34.01
14,2021-04-22,GPS,Consumer Discretionary,33.05,33.77,32.89,33.24
15,2021-04-21,GPS,Consumer Discretionary,31.71,32.86,31.26,32.81
16,2021-04-20,GPS,Consumer Discretionary,32.14,32.17,30.77,31.78
17,2021-04-19,GPS,Consumer Discretionary,32.7,32.84,32.2085,32.41
18,2021-04-16,GPS,Consumer Discretionary,33.21,33.24,32.28,32.69
19,2021-04-15,GPS,Consumer Discretionary,32.81,33.1927,32.63,32.97
20,2021-04-14,GPS,Consumer Discretionary,32.25,33.15,32.2,32.26
21,2021-04-13,GPS,Consumer Discretionary,32.55,32.565,31.36,32.26
22,2021-04-12,GPS,Consumer Discretionary,32.32,32.825,32.02,32.76
23,2021-04-09,GPS,Consumer Discretionary,31.56,32.69,31.36,32.44
24,2021-04-08,GPS,Consumer Discretionary,30.9,31.45,30.06,31.41
25,2021-04-07,GPS,Consumer Discretionary,30.91,31.205,30.4648,30.7
26,2021-04-06,GPS,Consumer Discretionary,29.92,31.18,29.92,30.76
27,2021-04-05,GPS,Consumer Discretionary,30.14,30.31,29.39,30.26
28,2021-04-01,GPS,Consumer Discretionary,30.04,30.21,29.445,29.95
29,2021-03-31,GPS,Consumer Discretionary,30.18,30.54,29.53,29.78
30,2021-03-30,GPS,Consumer Discretionary,28.79,30.175,28.7719,30.11
31,2021-03-29,GPS,Consumer Discretionary,29.37,29.66,28.565,28.76
32,2021-03-26,GPS,Consumer Discretionary,29.35,29.72,28.72,29.51
33,2021-03-25,GPS,Consumer Discretionary,26.74,28.92,26.6069,28.73
34,2021-03-24,GPS,Consumer Discretionary,28.19,28.99,27.35,27.36
35,2021-03-23,GPS,Consumer Discretionary,29.83,30.21,27.75,27.87
36,2021-03-22,GPS,Consumer Discretionary,30.98,30.99,29.27,30.2
37,2021-03-19,GPS,Consumer Discretionary,30.75,31.6,30.42,30.99
38,2021-03-18,GPS,Consumer Discretionary,31.51,32.095,30.73,30.88
39,2021-03-17,GPS,Consumer Discretionary,31.12,31.67,30.73,31.67
40,2021-03-16,GPS,Consumer Discretionary,31.77,31.99,31.0,31.16
41,2021-03-15,GPS,Consumer Discretionary,31.27,32.95,30.92,32.25
42,2021-03-12,GPS,Consumer Discretionary,30.0,30.92,29.94,30.81
43,2021-03-11,GPS,Consumer Discretionary,29.94,30.415,29.62,29.85
44,2021-03-10,GPS,Consumer Discretionary,28.99,30.45,28.87,30.15
45,2021-03-09,GPS,Consumer Discretionary,29.05,29.575,28.63,28.99
46,2021-03-08,GPS,Consumer Discretionary,27.84,29.14,27.36,28.88
47,2021-03-05,GPS,Consumer Discretionary,26.6,28.39,26.18,27.31
48,2021-03-04,GPS,Consumer Discretionary,25.8,26.25,24.16,25.38
49,2021-03-03,GPS,Consumer Discretionary,25.72,26.33,25.36,25.75
50,2021-03-02,GPS,Consumer Discretionary,25.49,26.495,25.31,25.73
51,2021-03-01,GPS,Consumer Discretionary,25.55,25.95,25.28,25.59
52,2021-02-26,GPS,Consumer Discretionary,24.99,25.57,24.205,24.95
53,2021-02-25,GPS,Consumer Discretionary,26.19,26.607,24.8,25.23
54,2021-02-24,GPS,Consumer Discretionary,25.07,26.09,24.81,25.95
55,2021-02-23,GPS,Consumer Discretionary,24.65,24.73,23.56,24.65
56,2021-02-22,GPS,Consumer Discretionary,23.9,25.12,23.8,24.69
57,2021-02-19,GPS,Consumer Discretionary,23.41,24.25,23.4,24.15
58,2021-02-18,GPS,Consumer Discretionary,22.94,23.41,22.45,23.16
59,2021-02-17,GPS,Consumer Discretionary,23.04,23.19,22.43,22.95
60,2021-02-16,GPS,Consumer Discretionary,23.29,23.96,22.965,23.27
61,2021-02-12,GPS,Consumer Discretionary,22.97,23.35,22.6184,23.09
62,2021-02-11,GPS,Consumer Discretionary,22.55,23.93,22.4,23.27
63,2021-02-10,GPS,Consumer Discretionary,22.28,22.91,22.14,22.49
64,2021-02-09,GPS,Consumer Discretionary,21.89,22.26,21.82,21.91
65,2021-02-08,GPS,Consumer Discretionary,22.69,22.99,22.2,22.27
66,2021-02-05,GPS,Consumer Discretionary,22.5,22.675,22.25,22.65
67,2021-02-04,GPS,Consumer Discretionary,21.41,22.35,21.4,22.15
