,date,symbol,sector,open,high,low,close
0,2021-05-12,GRMN,Consumer Discretionary,139.77,140.54,135.78,136.15
1,2021-05-11,GRMN,Consumer Discretionary,139.81,141.87,139.09,140.59
2,2021-05-10,GRMN,Consumer Discretionary,143.99,145.2,142.33,142.38
3,2021-05-07,GRMN,Consumer Discretionary,141.58,143.765,141.26,143.56
4,2021-05-06,GRMN,Consumer Discretionary,139.92,141.4,139.04,141.34
5,2021-05-05,GRMN,Consumer Discretionary,138.13,139.745,137.66,139.6
6,2021-05-04,GRMN,Consumer Discretionary,137.32,137.58,135.3275,137.26
7,2021-05-03,GRMN,Consumer Discretionary,138.58,138.67,137.02,137.89
8,2021-04-30,GRMN,Consumer Discretionary,138.33,138.3896,136.91,137.24
9,2021-04-29,GRMN,Consumer Discretionary,138.977,139.9,137.66,138.68
10,2021-04-28,GRMN,Consumer Discretionary,138.715,139.29,135.66,137.38
11,2021-04-27,GRMN,Consumer Discretionary,141.89,142.94,141.09,141.12
12,2021-04-26,GRMN,Consumer Discretionary,142.23,142.485,141.03,141.65
13,2021-04-23,GRMN,Consumer Discretionary,140.0,141.88,140.0,141.355
14,2021-04-22,GRMN,Consumer Discretionary,138.9,139.8699,138.14,139.16
15,2021-04-21,GRMN,Consumer Discretionary,138.7,139.39,138.32,139.0
16,2021-04-20,GRMN,Consumer Discretionary,140.32,140.72,137.9521,138.2
17,2021-04-19,GRMN,Consumer Discretionary,140.33,140.68,139.14,140.55
18,2021-04-16,GRMN,Consumer Discretionary,138.94,141.73,138.94,140.6
19,2021-04-15,GRMN,Consumer Discretionary,138.23,138.6,137.57,138.55
20,2021-04-14,GRMN,Consumer Discretionary,138.2,139.23,137.23,137.61
21,2021-04-13,GRMN,Consumer Discretionary,138.17,138.82,137.03,138.67
22,2021-04-12,GRMN,Consumer Discretionary,137.97,138.43,136.76,137.85
23,2021-04-09,GRMN,Consumer Discretionary,135.87,137.7,135.5,137.65
24,2021-04-08,GRMN,Consumer Discretionary,135.15,135.81,134.47,135.63
25,2021-04-07,GRMN,Consumer Discretionary,136.52,136.99,134.78,135.32
26,2021-04-06,GRMN,Consumer Discretionary,136.0,137.1,135.26,136.52
27,2021-04-05,GRMN,Consumer Discretionary,133.15,136.4,132.63,135.93
28,2021-04-01,GRMN,Consumer Discretionary,132.0,132.64,130.38,132.51
29,2021-03-31,GRMN,Consumer Discretionary,131.25,132.25,130.73,131.85
30,2021-03-30,GRMN,Consumer Discretionary,129.49,131.05,129.29,130.73
31,2021-03-29,GRMN,Consumer Discretionary,127.79,130.23,127.78,129.97
32,2021-03-26,GRMN,Consumer Discretionary,126.99,128.45,124.11,128.37
33,2021-03-25,GRMN,Consumer Discretionary,126.88,127.6,124.65,127.55
34,2021-03-24,GRMN,Consumer Discretionary,127.11,128.1,126.67,126.78
35,2021-03-23,GRMN,Consumer Discretionary,127.24,128.31,125.92,126.16
36,2021-03-22,GRMN,Consumer Discretionary,126.62,128.025,126.4095,127.58
37,2021-03-19,GRMN,Consumer Discretionary,125.42,126.46,124.1,125.71
38,2021-03-18,GRMN,Consumer Discretionary,126.24,126.625,124.89,125.45
39,2021-03-17,GRMN,Consumer Discretionary,127.78,127.78,124.66,126.43
40,2021-03-16,GRMN,Consumer Discretionary,128.95,129.48,126.67,128.28
41,2021-03-15,GRMN,Consumer Discretionary,127.65,128.22,126.86,128.11
42,2021-03-12,GRMN,Consumer Discretionary,127.0,127.57,126.5901,127.46
43,2021-03-11,GRMN,Consumer Discretionary,127.8,128.81,127.06,127.72
44,2021-03-10,GRMN,Consumer Discretionary,125.94,127.68,125.86,126.89
45,2021-03-09,GRMN,Consumer Discretionary,123.5,126.64,122.685,125.23
46,2021-03-08,GRMN,Consumer Discretionary,123.26,123.9654,121.43,122.52
47,2021-03-05,GRMN,Consumer Discretionary,121.16,122.78,117.7612,122.42
48,2021-03-04,GRMN,Consumer Discretionary,124.51,126.4167,117.7407,119.86
49,2021-03-03,GRMN,Consumer Discretionary,126.58,126.97,123.71,123.82
50,2021-03-02,GRMN,Consumer Discretionary,128.35,128.7,126.57,127.01
51,2021-03-01,GRMN,Consumer Discretionary,125.19,129.03,125.07,128.27
52,2021-02-26,GRMN,Consumer Discretionary,124.17,125.56,123.515,124.02
53,2021-02-25,GRMN,Consumer Discretionary,128.24,128.44,123.89,124.34
54,2021-02-24,GRMN,Consumer Discretionary,125.49,129.24,125.17,128.45
55,2021-02-23,GRMN,Consumer Discretionary,126.08,127.1,124.25,126.03
56,2021-02-22,GRMN,Consumer Discretionary,127.99,128.22,127.33,127.65
57,2021-02-19,GRMN,Consumer Discretionary,128.03,128.905,127.66,128.01
58,2021-02-18,GRMN,Consumer Discretionary,129.55,131.42,126.7362,127.6
59,2021-02-17,GRMN,Consumer Discretionary,132.2,132.96,128.47,129.51
60,2021-02-16,GRMN,Consumer Discretionary,131.37,133.43,131.05,132.48
61,2021-02-12,GRMN,Consumer Discretionary,130.11,131.4,129.5,130.7
62,2021-02-11,GRMN,Consumer Discretionary,128.95,130.36,128.295,129.43
63,2021-02-10,GRMN,Consumer Discretionary,127.57,129.2625,126.31,128.12
64,2021-02-09,GRMN,Consumer Discretionary,124.67,127.15,123.21,126.12
65,2021-02-08,GRMN,Consumer Discretionary,120.36,124.98,119.79,124.14
66,2021-02-05,GRMN,Consumer Discretionary,119.87,120.94,119.44,120.33
67,2021-02-04,GRMN,Consumer Discretionary,119.5,119.99,118.55,119.27
68,2021-02-03,GRMN,Consumer Discretionary,118.55,119.65,118.12,118.94
69,2021-02-02,GRMN,Consumer Discretionary,118.41,119.29,117.67,118.87
70,2021-02-01,GRMN,Consumer Discretionary,115.195,117.57,115.12,117.36
71,2021-01-29,GRMN,Consumer Discretionary,117.16,117.16,113.59,114.86
72,2021-01-28,GRMN,Consumer Discretionary,117.09,119.38,116.81,117.47
73,2021-01-27,GRMN,Consumer Discretionary,120.68,120.68,116.48,117.31
74,2021-01-26,GRMN,Consumer Discretionary,123.44,123.5,121.26,121.41
75,2021-01-25,GRMN,Consumer Discretionary,123.92,124.81,122.39,123.52
76,2021-01-22,GRMN,Consumer Discretionary,123.01,124.14,122.35,123.83
77,2021-01-21,GRMN,Consumer Discretionary,124.16,124.63,123.08,123.78
78,2021-01-20,GRMN,Consumer Discretionary,122.89,125.0,122.69,123.98
79,2021-01-19,GRMN,Consumer Discretionary,121.4,123.36,120.68,122.69
80,2021-01-15,GRMN,Consumer Discretionary,120.43,121.59,119.84,121.01
81,2021-01-14,GRMN,Consumer Discretionary,122.04,122.04,120.3,120.88
82,2021-01-13,GRMN,Consumer Discretionary,122.22,122.36,120.38,120.79
83,2021-01-12,GRMN,Consumer Discretionary,121.33,122.2299,120.86,122.02
84,2021-01-11,GRMN,Consumer Discretionary,121.39,122.44,120.79,121.23
85,2021-01-08,GRMN,Consumer Discretionary,122.44,122.935,120.7107,121.98
86,2021-01-07,GRMN,Consumer Discretionary,119.77,122.75,119.65,121.56
87,2021-01-06,GRMN,Consumer Discretionary,118.69,119.67,117.9205,119.48
88,2021-01-05,GRMN,Consumer Discretionary,118.13,118.93,117.21,118.56
89,2021-01-04,GRMN,Consumer Discretionary,119.79,120.65,117.87,118.8
90,2020-12-31,GRMN,Consumer Discretionary,119.19,119.8,118.69,119.66
91,2020-12-30,GRMN,Consumer Discretionary,119.54,120.02,118.85,119.52
92,2020-12-29,GRMN,Consumer Discretionary,121.1,121.48,119.0,119.38
93,2020-12-28,GRMN,Consumer Discretionary,120.39,121.53,120.29,120.73
94,2020-12-24,GRMN,Consumer Discretionary,120.68,120.68,119.23,120.21
95,2020-12-23,GRMN,Consumer Discretionary,119.77,121.37,119.77,120.24
96,2020-12-22,GRMN,Consumer Discretionary,118.35,119.46,117.66,119.14
97,2020-12-21,GRMN,Consumer Discretionary,118.38,118.5,116.63,118.18
98,2020-12-18,GRMN,Consumer Discretionary,118.82,119.8433,118.46,119.49
99,2020-12-17,GRMN,Consumer Discretionary,118.45,119.65,117.62,118.63
100,2020-12-16,GRMN,Consumer Discretionary,118.89,119.51,117.715,118.33
101,2020-12-15,GRMN,Consumer Discretionary,118.16,119.27,117.59,119.19
102,2020-12-14,GRMN,Consumer Discretionary,119.21,119.475,117.21,117.21
103,2020-12-11,GRMN,Consumer Discretionary,118.45,119.23,118.04,118.94
104,2020-12-10,GRMN,Consumer Discretionary,118.94,119.9536,118.01,118.6
105,2020-12-09,GRMN,Consumer Discretionary,123.55,123.55,117.92,119.45
106,2020-12-08,GRMN,Consumer Discretionary,121.25,122.99,120.28,122.85
107,2020-12-07,GRMN,Consumer Discretionary,120.7,122.35,120.27,121.3
