,date,symbol,sector,open,high,low,close
0,2021-05-12,GWW,Industrials,464.28,464.28,453.6,454.2
1,2021-05-11,GWW,Industrials,472.19,472.85,460.0,462.7
2,2021-05-10,GWW,Industrials,468.43,479.87,468.43,474.22
3,2021-05-07,GWW,Industrials,455.0,467.58,453.72,465.64
4,2021-05-06,GWW,Industrials,462.61,463.44,454.37,459.0
5,2021-05-05,GWW,Industrials,456.35,460.97,457.34,460.56
6,2021-05-04,GWW,Industrials,446.67,456.88,443.7,456.34
7,2021-05-03,GWW,Industrials,438.56,446.0,437.67,443.88
8,2021-04-30,GWW,Industrials,440.0,452.82,432.02,433.54
9,2021-04-29,GWW,Industrials,425.52,430.65,423.9,429.9
10,2021-04-28,GWW,Industrials,424.72,427.49,421.54,422.22
11,2021-04-27,GWW,Industrials,420.0,423.87,416.4,423.32
12,2021-04-26,GWW,Industrials,423.95,426.85,419.41,419.79
13,2021-04-23,GWW,Industrials,420.0,425.51,418.51,423.56
14,2021-04-22,GWW,Industrials,425.98,426.485,418.66,419.12
15,2021-04-21,GWW,Industrials,415.0,427.77,414.955,424.04
16,2021-04-20,GWW,Industrials,410.82,414.06,409.27,413.7
17,2021-04-19,GWW,Industrials,406.0,409.05,404.56,408.98
18,2021-04-16,GWW,Industrials,406.95,408.26,401.51,406.88
19,2021-04-15,GWW,Industrials,401.05,404.56,399.44,404.45
20,2021-04-14,GWW,Industrials,399.07,406.145,398.87,400.46
21,2021-04-13,GWW,Industrials,403.47,404.41,397.31,400.15
22,2021-04-12,GWW,Industrials,401.62,406.98,401.62,405.97
23,2021-04-09,GWW,Industrials,399.97,401.62,396.1463,401.62
24,2021-04-08,GWW,Industrials,398.02,402.27,396.41,397.91
25,2021-04-07,GWW,Industrials,410.64,410.64,397.75,398.74
26,2021-04-06,GWW,Industrials,406.2,415.28,406.2,408.43
27,2021-04-05,GWW,Industrials,407.69,408.0602,403.14,407.65
28,2021-04-01,GWW,Industrials,402.21,407.31,396.22,406.35
29,2021-03-31,GWW,Industrials,398.24,402.95,395.04,400.93
30,2021-03-30,GWW,Industrials,399.25,402.19,397.67,398.67
31,2021-03-29,GWW,Industrials,399.16,404.04,397.06,400.17
32,2021-03-26,GWW,Industrials,398.87,400.09,394.98,399.37
33,2021-03-25,GWW,Industrials,395.68,399.65,390.08,397.59
34,2021-03-24,GWW,Industrials,396.39,400.73,394.72,395.39
35,2021-03-23,GWW,Industrials,397.59,402.74,392.11,394.31
36,2021-03-22,GWW,Industrials,401.57,401.67,394.435,399.71
37,2021-03-19,GWW,Industrials,405.53,405.53,393.68,400.54
38,2021-03-18,GWW,Industrials,400.37,408.74,399.6,404.61
39,2021-03-17,GWW,Industrials,391.2,400.86,388.71,400.05
40,2021-03-16,GWW,Industrials,399.19,399.69,387.6,389.46
41,2021-03-15,GWW,Industrials,395.1,400.155,393.04,399.74
42,2021-03-12,GWW,Industrials,386.87,395.48,386.3665,395.01
43,2021-03-11,GWW,Industrials,395.91,395.91,386.11,386.67
44,2021-03-10,GWW,Industrials,390.77,398.97,386.6,395.91
45,2021-03-09,GWW,Industrials,401.25,402.275,387.86,388.45
46,2021-03-08,GWW,Industrials,399.86,406.2,397.1,398.48
47,2021-03-05,GWW,Industrials,381.63,399.98,377.71,399.11
48,2021-03-04,GWW,Industrials,390.15,390.205,375.495,378.95
49,2021-03-03,GWW,Industrials,386.78,393.43,386.19,387.77
50,2021-03-02,GWW,Industrials,386.26,387.55,382.65,385.66
51,2021-03-01,GWW,Industrials,376.12,390.93,376.12,387.82
52,2021-02-26,GWW,Industrials,381.35,382.42,372.71,372.71
53,2021-02-25,GWW,Industrials,385.03,389.19,379.16,379.96
54,2021-02-24,GWW,Industrials,379.87,387.36,378.5,385.57
55,2021-02-23,GWW,Industrials,379.36,380.43,369.26,379.58
56,2021-02-22,GWW,Industrials,378.9,381.07,375.44,377.34
57,2021-02-19,GWW,Industrials,377.32,383.56,377.005,379.4
58,2021-02-18,GWW,Industrials,369.66,377.33,369.66,375.79
59,2021-02-17,GWW,Industrials,367.81,373.54,367.0,372.18
60,2021-02-16,GWW,Industrials,373.62,374.81,369.64,369.65
61,2021-02-12,GWW,Industrials,372.44,375.87,370.43,372.08
62,2021-02-11,GWW,Industrials,379.16,381.15,372.04,374.15
63,2021-02-10,GWW,Industrials,375.78,377.81,373.0,376.25
64,2021-02-09,GWW,Industrials,378.0,379.22,372.85,374.69
65,2021-02-08,GWW,Industrials,369.44,381.92,369.44,378.81
66,2021-02-05,GWW,Industrials,371.51,373.0836,364.72,367.9
67,2021-02-04,GWW,Industrials,368.42,378.36,366.0,372.0
68,2021-02-03,GWW,Industrials,368.75,371.95,356.23,366.11
