,date,symbol,sector,open,high,low,close
0,2021-05-12,HAS,Consumer Discretionary,98.17,98.71,94.58,94.76
1,2021-05-11,HAS,Consumer Discretionary,99.24,100.03,97.83,98.21
2,2021-05-10,HAS,Consumer Discretionary,99.76,101.1,99.06,99.39
3,2021-05-07,HAS,Consumer Discretionary,99.75,100.415,99.11,99.15
4,2021-05-06,HAS,Consumer Discretionary,99.79,100.1199,98.7,99.43
5,2021-05-05,HAS,Consumer Discretionary,98.11,99.75,98.04,99.38
6,2021-05-04,HAS,Consumer Discretionary,99.44,99.54,97.815,98.2
7,2021-05-03,HAS,Consumer Discretionary,99.71,100.48,98.46,99.36
8,2021-04-30,HAS,Consumer Discretionary,98.24,99.47,98.13,99.45
9,2021-04-29,HAS,Consumer Discretionary,98.81,99.51,98.02,99.09
10,2021-04-28,HAS,Consumer Discretionary,98.61,98.61,96.77,98.0
11,2021-04-27,HAS,Consumer Discretionary,96.75,99.85,95.73,98.35
12,2021-04-26,HAS,Consumer Discretionary,97.2112,97.59,95.59,97.02
13,2021-04-23,HAS,Consumer Discretionary,99.37,100.51,96.765,97.15
14,2021-04-22,HAS,Consumer Discretionary,97.66,98.96,97.15,98.48
15,2021-04-21,HAS,Consumer Discretionary,96.7484,98.45,96.57,97.69
16,2021-04-20,HAS,Consumer Discretionary,98.17,98.26,96.15,96.73
17,2021-04-19,HAS,Consumer Discretionary,98.0,98.67,96.88,98.01
18,2021-04-16,HAS,Consumer Discretionary,99.5,99.65,97.97,98.0
19,2021-04-15,HAS,Consumer Discretionary,100.32,100.36,98.84,99.01
20,2021-04-14,HAS,Consumer Discretionary,98.26,100.29,97.385,99.99
21,2021-04-13,HAS,Consumer Discretionary,96.63,100.47,95.67,98.84
22,2021-04-12,HAS,Consumer Discretionary,94.79,97.27,94.36,97.11
23,2021-04-09,HAS,Consumer Discretionary,96.33,96.83,94.73,95.24
24,2021-04-08,HAS,Consumer Discretionary,97.48,97.65,94.9391,96.21
25,2021-04-07,HAS,Consumer Discretionary,96.06,97.5,95.95,97.19
26,2021-04-06,HAS,Consumer Discretionary,95.48,96.55,95.05,95.77
27,2021-04-05,HAS,Consumer Discretionary,95.7,96.4486,94.88,95.55
28,2021-04-01,HAS,Consumer Discretionary,96.25,97.32,95.0,95.46
29,2021-03-31,HAS,Consumer Discretionary,97.0,97.26,95.61,96.12
30,2021-03-30,HAS,Consumer Discretionary,97.82,98.4,96.51,96.88
31,2021-03-29,HAS,Consumer Discretionary,98.0,98.65,96.95,97.9
32,2021-03-26,HAS,Consumer Discretionary,98.49,99.49,97.7601,98.5
33,2021-03-25,HAS,Consumer Discretionary,94.63,98.87,94.58,98.35
34,2021-03-24,HAS,Consumer Discretionary,96.94,98.2,95.62,95.63
35,2021-03-23,HAS,Consumer Discretionary,96.56,97.32,96.13,96.75
36,2021-03-22,HAS,Consumer Discretionary,96.628,98.04,95.71,96.85
37,2021-03-19,HAS,Consumer Discretionary,95.2038,96.36,94.28,95.93
38,2021-03-18,HAS,Consumer Discretionary,94.91,97.45,94.67,95.53
39,2021-03-17,HAS,Consumer Discretionary,96.69,97.4,92.76,94.97
40,2021-03-16,HAS,Consumer Discretionary,97.84,98.0,96.34,97.41
41,2021-03-15,HAS,Consumer Discretionary,95.22,97.68,94.99,97.41
42,2021-03-12,HAS,Consumer Discretionary,95.12,95.38,94.03,94.89
43,2021-03-11,HAS,Consumer Discretionary,96.58,97.63,94.48,94.88
44,2021-03-10,HAS,Consumer Discretionary,96.49,97.11,95.15,96.76
45,2021-03-09,HAS,Consumer Discretionary,97.76,98.95,95.56,95.82
46,2021-03-08,HAS,Consumer Discretionary,94.64,98.25,94.1901,97.29
47,2021-03-05,HAS,Consumer Discretionary,92.96,95.095,91.53,94.79
48,2021-03-04,HAS,Consumer Discretionary,93.05,93.58,90.32,92.24
49,2021-03-03,HAS,Consumer Discretionary,95.5,95.6,92.88,93.03
50,2021-03-02,HAS,Consumer Discretionary,95.43,95.91,93.36,95.29
51,2021-03-01,HAS,Consumer Discretionary,94.14,96.18,93.56,95.06
52,2021-02-26,HAS,Consumer Discretionary,92.27,95.07,92.0,93.71
53,2021-02-25,HAS,Consumer Discretionary,91.16,94.05,89.19,91.84
54,2021-02-24,HAS,Consumer Discretionary,91.11,92.33,90.36,90.91
55,2021-02-23,HAS,Consumer Discretionary,91.7,92.24,90.55,91.38
56,2021-02-22,HAS,Consumer Discretionary,89.65,91.97,89.36,91.76
57,2021-02-19,HAS,Consumer Discretionary,92.23,92.44,89.96,90.0
58,2021-02-18,HAS,Consumer Discretionary,90.0453,91.88,90.0453,91.43
59,2021-02-17,HAS,Consumer Discretionary,89.64,91.2,89.16,90.88
60,2021-02-16,HAS,Consumer Discretionary,91.6,92.6,89.38,89.43
61,2021-02-12,HAS,Consumer Discretionary,90.55,91.535,90.25,91.48
62,2021-02-11,HAS,Consumer Discretionary,92.1,92.61,90.16,90.65
63,2021-02-10,HAS,Consumer Discretionary,90.84,93.49,89.7513,92.29
64,2021-02-09,HAS,Consumer Discretionary,92.95,93.3,90.59,90.74
65,2021-02-08,HAS,Consumer Discretionary,99.61,99.68,92.41,93.15
66,2021-02-05,HAS,Consumer Discretionary,97.38,98.46,96.03,97.28
67,2021-02-04,HAS,Consumer Discretionary,96.44,97.85,96.0,96.87
68,2021-02-03,HAS,Consumer Discretionary,95.67,96.935,94.63,96.5
69,2021-02-02,HAS,Consumer Discretionary,94.96,96.48,94.05,95.49
70,2021-02-01,HAS,Consumer Discretionary,93.75,94.54,92.75,94.36
71,2021-01-29,HAS,Consumer Discretionary,94.26,95.32,93.02,93.82
72,2021-01-28,HAS,Consumer Discretionary,93.88,95.62,93.36,95.14
73,2021-01-27,HAS,Consumer Discretionary,94.24,95.335,91.26,93.29
74,2021-01-26,HAS,Consumer Discretionary,96.85,96.85,93.07,95.19
75,2021-01-25,HAS,Consumer Discretionary,97.47,98.45,95.32,95.83
76,2021-01-22,HAS,Consumer Discretionary,96.78,97.76,95.48,97.48
77,2021-01-21,HAS,Consumer Discretionary,94.89,97.95,94.31,97.0
78,2021-01-20,HAS,Consumer Discretionary,95.91,96.67,94.12,94.74
79,2021-01-19,HAS,Consumer Discretionary,97.58,97.675,94.7575,96.29
80,2021-01-15,HAS,Consumer Discretionary,98.42,98.557,96.18,97.2
81,2021-01-14,HAS,Consumer Discretionary,99.54,101.24,98.99,99.21
82,2021-01-13,HAS,Consumer Discretionary,98.72,99.6,98.23,99.25
83,2021-01-12,HAS,Consumer Discretionary,97.0,99.63,96.525,99.12
84,2021-01-11,HAS,Consumer Discretionary,96.5,97.9299,96.13,96.85
85,2021-01-08,HAS,Consumer Discretionary,95.26,97.53,95.0107,97.26
86,2021-01-07,HAS,Consumer Discretionary,95.43,95.59,94.25,94.79
87,2021-01-06,HAS,Consumer Discretionary,93.0,95.48,93.0,94.49
88,2021-01-05,HAS,Consumer Discretionary,92.21,94.27,92.0,93.18
89,2021-01-04,HAS,Consumer Discretionary,93.74,93.74,90.39,91.96
90,2020-12-31,HAS,Consumer Discretionary,93.75,94.19,92.8,93.54
91,2020-12-30,HAS,Consumer Discretionary,93.31,94.84,93.005,94.0
92,2020-12-29,HAS,Consumer Discretionary,93.78,93.8,92.21,93.38
93,2020-12-28,HAS,Consumer Discretionary,93.51,94.15,92.83,93.34
94,2020-12-24,HAS,Consumer Discretionary,93.22,93.34,92.01,93.15
95,2020-12-23,HAS,Consumer Discretionary,92.99,93.445,91.84,92.75
96,2020-12-22,HAS,Consumer Discretionary,93.69,94.24,92.25,92.38
97,2020-12-21,HAS,Consumer Discretionary,92.65,94.8,91.33,93.6
98,2020-12-18,HAS,Consumer Discretionary,93.75,94.3,92.0,93.81
99,2020-12-17,HAS,Consumer Discretionary,94.76,96.07,93.03,93.21
100,2020-12-16,HAS,Consumer Discretionary,92.2,95.56,92.0,94.76
101,2020-12-15,HAS,Consumer Discretionary,90.88,92.76,89.14,92.25
