,date,symbol,sector,open,high,low,close
0,2021-05-12,HBI,Consumer Discretionary,19.55,19.78,18.67,18.76
1,2021-05-11,HBI,Consumer Discretionary,19.025,19.71,18.5,19.28
2,2021-05-10,HBI,Consumer Discretionary,22.5,22.815,21.88,21.9
3,2021-05-07,HBI,Consumer Discretionary,21.58,22.4,21.56,22.37
4,2021-05-06,HBI,Consumer Discretionary,22.0,22.05,21.59,21.9
5,2021-05-05,HBI,Consumer Discretionary,21.53,22.01,21.665,21.9
6,2021-05-04,HBI,Consumer Discretionary,21.28,21.54,21.09,21.5
7,2021-05-03,HBI,Consumer Discretionary,21.23,21.51,21.1,21.29
8,2021-04-30,HBI,Consumer Discretionary,21.27,21.45,20.88,21.06
9,2021-04-29,HBI,Consumer Discretionary,21.3,21.48,21.025,21.12
10,2021-04-28,HBI,Consumer Discretionary,21.11,21.33,21.06,21.1
11,2021-04-27,HBI,Consumer Discretionary,21.0,21.485,20.94,21.16
12,2021-04-26,HBI,Consumer Discretionary,21.0,21.33,20.66,20.86
13,2021-04-23,HBI,Consumer Discretionary,20.79,21.05,20.385,20.93
14,2021-04-22,HBI,Consumer Discretionary,20.76,21.01,20.57,20.64
15,2021-04-21,HBI,Consumer Discretionary,19.7,20.71,19.59,20.59
16,2021-04-20,HBI,Consumer Discretionary,20.11,20.16,19.525,19.76
17,2021-04-19,HBI,Consumer Discretionary,20.32,20.34,19.9,20.09
18,2021-04-16,HBI,Consumer Discretionary,20.18,20.4,19.96,20.26
19,2021-04-15,HBI,Consumer Discretionary,20.3,20.31,19.96,20.04
20,2021-04-14,HBI,Consumer Discretionary,19.98,20.31,19.91,20.08
21,2021-04-13,HBI,Consumer Discretionary,20.2,20.33,19.755,20.05
22,2021-04-12,HBI,Consumer Discretionary,20.43,20.595,20.33,20.55
23,2021-04-09,HBI,Consumer Discretionary,20.11,20.4,19.995,20.36
24,2021-04-08,HBI,Consumer Discretionary,19.67,19.97,19.445,19.93
25,2021-04-07,HBI,Consumer Discretionary,20.07,20.165,19.67,19.92
26,2021-04-06,HBI,Consumer Discretionary,19.82,20.07,19.59,19.94
27,2021-04-05,HBI,Consumer Discretionary,19.5,19.91,19.125,19.88
28,2021-04-01,HBI,Consumer Discretionary,19.65,19.87,19.09,19.37
29,2021-03-31,HBI,Consumer Discretionary,19.95,20.1,19.515,19.67
30,2021-03-30,HBI,Consumer Discretionary,19.83,20.12,19.565,20.0
31,2021-03-29,HBI,Consumer Discretionary,20.44,20.7,19.605,19.7
32,2021-03-26,HBI,Consumer Discretionary,20.23,20.665,20.12,20.55
33,2021-03-25,HBI,Consumer Discretionary,19.2,20.13,19.1034,20.05
34,2021-03-24,HBI,Consumer Discretionary,19.41,19.82,19.23,19.24
35,2021-03-23,HBI,Consumer Discretionary,20.26,20.35,19.11,19.24
36,2021-03-22,HBI,Consumer Discretionary,20.8,20.85,20.005,20.46
37,2021-03-19,HBI,Consumer Discretionary,20.22,20.995,20.22,20.8
38,2021-03-18,HBI,Consumer Discretionary,20.39,20.96,20.255,20.38
39,2021-03-17,HBI,Consumer Discretionary,20.46,20.61,20.05,20.22
40,2021-03-16,HBI,Consumer Discretionary,20.53,20.5684,20.06,20.44
41,2021-03-15,HBI,Consumer Discretionary,20.41,20.91,20.4,20.61
42,2021-03-12,HBI,Consumer Discretionary,20.26,20.54,20.04,20.48
43,2021-03-11,HBI,Consumer Discretionary,19.92,20.15,19.68,20.14
44,2021-03-10,HBI,Consumer Discretionary,19.89,19.99,19.63,19.86
45,2021-03-09,HBI,Consumer Discretionary,20.73,20.85,19.76,19.79
46,2021-03-08,HBI,Consumer Discretionary,19.43,21.24,19.29,20.88
47,2021-03-05,HBI,Consumer Discretionary,18.53,19.25,18.29,19.21
48,2021-03-04,HBI,Consumer Discretionary,18.71,18.9352,17.94,18.45
49,2021-03-03,HBI,Consumer Discretionary,18.74,19.07,18.4,18.78
50,2021-03-02,HBI,Consumer Discretionary,18.15,18.51,18.025,18.29
51,2021-03-01,HBI,Consumer Discretionary,17.98,18.39,17.85,18.13
52,2021-02-26,HBI,Consumer Discretionary,17.7,17.87,17.4,17.69
53,2021-02-25,HBI,Consumer Discretionary,18.35,18.5081,17.67,17.76
54,2021-02-24,HBI,Consumer Discretionary,18.05,18.44,17.921,18.25
55,2021-02-23,HBI,Consumer Discretionary,18.01,18.18,17.57,18.0
56,2021-02-22,HBI,Consumer Discretionary,17.83,18.36,17.77,18.17
57,2021-02-19,HBI,Consumer Discretionary,17.93,18.0,17.56,17.86
58,2021-02-18,HBI,Consumer Discretionary,17.63,17.98,17.51,17.92
59,2021-02-17,HBI,Consumer Discretionary,18.0,18.1,17.415,17.87
60,2021-02-16,HBI,Consumer Discretionary,18.56,18.69,17.675,18.02
61,2021-02-12,HBI,Consumer Discretionary,18.31,18.8,18.24,18.51
62,2021-02-11,HBI,Consumer Discretionary,18.81,19.24,18.1719,18.47
63,2021-02-10,HBI,Consumer Discretionary,20.0,20.0,18.435,18.73
64,2021-02-09,HBI,Consumer Discretionary,17.28,20.0,17.24,19.96
65,2021-02-08,HBI,Consumer Discretionary,16.0,16.14,15.84,15.98
66,2021-02-05,HBI,Consumer Discretionary,15.91,15.99,15.605,15.87
67,2021-02-04,HBI,Consumer Discretionary,15.48,15.78,15.3,15.77
68,2021-02-03,HBI,Consumer Discretionary,15.3,15.43,15.1,15.28
69,2021-02-02,HBI,Consumer Discretionary,15.38,15.44,14.9,15.23
70,2021-02-01,HBI,Consumer Discretionary,15.37,15.48,14.835,15.25
71,2021-01-29,HBI,Consumer Discretionary,15.46,15.77,15.09,15.29
72,2021-01-28,HBI,Consumer Discretionary,16.05,16.665,15.38,15.4
73,2021-01-27,HBI,Consumer Discretionary,15.37,16.08,15.3,16.04
74,2021-01-26,HBI,Consumer Discretionary,15.71,15.72,15.305,15.62
75,2021-01-25,HBI,Consumer Discretionary,15.47,16.065,15.41,15.5
76,2021-01-22,HBI,Consumer Discretionary,15.49,15.62,15.31,15.58
77,2021-01-21,HBI,Consumer Discretionary,15.55,15.69,15.49,15.6
78,2021-01-20,HBI,Consumer Discretionary,15.45,15.66,15.41,15.53
79,2021-01-19,HBI,Consumer Discretionary,15.74,15.95,15.37,15.42
80,2021-01-15,HBI,Consumer Discretionary,15.64,15.81,15.43,15.72
81,2021-01-14,HBI,Consumer Discretionary,15.8,16.0,15.685,15.8
82,2021-01-13,HBI,Consumer Discretionary,15.87,15.98,15.57,15.64
83,2021-01-12,HBI,Consumer Discretionary,15.32,16.04,15.28,16.0
84,2021-01-11,HBI,Consumer Discretionary,15.25,15.55,15.1201,15.32
85,2021-01-08,HBI,Consumer Discretionary,15.55,15.701,15.185,15.36
86,2021-01-07,HBI,Consumer Discretionary,15.38,15.8,15.292,15.47
87,2021-01-06,HBI,Consumer Discretionary,14.5,15.49,14.5,15.28
88,2021-01-05,HBI,Consumer Discretionary,14.41,14.65,14.21,14.4
89,2021-01-04,HBI,Consumer Discretionary,14.68,14.68,14.3,14.45
90,2020-12-31,HBI,Consumer Discretionary,14.64,14.74,14.47,14.58
91,2020-12-30,HBI,Consumer Discretionary,14.5,14.78,14.475,14.67
92,2020-12-29,HBI,Consumer Discretionary,14.63,14.7,14.345,14.44
93,2020-12-28,HBI,Consumer Discretionary,14.7,14.99,14.58,14.61
94,2020-12-24,HBI,Consumer Discretionary,14.79,14.8,14.37,14.59
95,2020-12-23,HBI,Consumer Discretionary,14.11,14.845,14.08,14.73
96,2020-12-22,HBI,Consumer Discretionary,14.47,14.55,14.07,14.07
97,2020-12-21,HBI,Consumer Discretionary,14.21,14.465,14.0,14.42
98,2020-12-18,HBI,Consumer Discretionary,14.07,14.51,13.94,14.43
99,2020-12-17,HBI,Consumer Discretionary,13.99,14.305,13.89,14.17
100,2020-12-16,HBI,Consumer Discretionary,14.2,14.25,13.94,13.97
101,2020-12-15,HBI,Consumer Discretionary,13.89,14.19,13.74,14.14
102,2020-12-14,HBI,Consumer Discretionary,13.84,13.98,13.6601,13.76
103,2020-12-11,HBI,Consumer Discretionary,14.03,14.275,13.84,13.96
104,2020-12-10,HBI,Consumer Discretionary,14.11,14.125,13.77,14.01
105,2020-12-09,HBI,Consumer Discretionary,14.03,14.24,13.96,14.17
106,2020-12-08,HBI,Consumer Discretionary,13.93,14.085,13.87,14.01
107,2020-12-07,HBI,Consumer Discretionary,14.01,14.14,13.82,13.95
108,2020-12-04,HBI,Consumer Discretionary,14.39,14.5,13.97,14.09
109,2020-12-03,HBI,Consumer Discretionary,14.02,14.63,14.02,14.39
110,2020-12-02,HBI,Consumer Discretionary,14.14,14.195,14.01,14.06
111,2020-12-01,HBI,Consumer Discretionary,14.47,14.58,14.01,14.14
112,2020-11-30,HBI,Consumer Discretionary,14.4,14.45,14.0,14.2
113,2020-11-27,HBI,Consumer Discretionary,14.73,14.77,14.39,14.43
114,2020-11-25,HBI,Consumer Discretionary,14.34,14.545,14.1611,14.5
115,2020-11-24,HBI,Consumer Discretionary,14.17,14.89,14.16,14.82
116,2020-11-23,HBI,Consumer Discretionary,13.73,14.17,13.645,14.01
117,2020-11-20,HBI,Consumer Discretionary,13.52,13.7,13.3621,13.63
118,2020-11-19,HBI,Consumer Discretionary,13.49,13.62,13.335,13.56
119,2020-11-18,HBI,Consumer Discretionary,13.56,13.78,13.4,13.41
120,2020-11-17,HBI,Consumer Discretionary,13.23,13.64,13.02,13.53
121,2020-11-16,HBI,Consumer Discretionary,13.23,13.36,13.02,13.32
122,2020-11-13,HBI,Consumer Discretionary,12.67,13.04,12.62,12.95
123,2020-11-12,HBI,Consumer Discretionary,12.81,12.89,12.28,12.45
124,2020-11-11,HBI,Consumer Discretionary,13.23,13.28,12.89,12.92
125,2020-11-10,HBI,Consumer Discretionary,12.82,13.04,12.72,12.98
126,2020-11-09,HBI,Consumer Discretionary,13.1,13.415,12.54,12.81
127,2020-11-06,HBI,Consumer Discretionary,13.31,13.75,12.74,12.85
128,2020-11-05,HBI,Consumer Discretionary,14.0,14.4,12.85,13.33
129,2020-11-04,HBI,Consumer Discretionary,16.78,16.89,16.31,16.37
130,2020-11-03,HBI,Consumer Discretionary,16.84,16.92,16.56,16.82
131,2020-11-02,HBI,Consumer Discretionary,16.3,16.745,16.21,16.59
132,2020-10-30,HBI,Consumer Discretionary,16.54,16.63,15.875,16.07
133,2020-10-29,HBI,Consumer Discretionary,16.61,16.61,16.21,16.51
134,2020-10-28,HBI,Consumer Discretionary,17.13,17.25,16.43,16.52
135,2020-10-27,HBI,Consumer Discretionary,17.48,17.595,17.3,17.5
136,2020-10-26,HBI,Consumer Discretionary,17.39,17.47,17.12,17.47
137,2020-10-23,HBI,Consumer Discretionary,17.73,17.735,17.425,17.58
138,2020-10-22,HBI,Consumer Discretionary,17.28,17.705,17.12,17.62
139,2020-10-21,HBI,Consumer Discretionary,17.0,17.4,16.94,17.26
140,2020-10-20,HBI,Consumer Discretionary,17.02,17.525,16.87,17.11
141,2020-10-19,HBI,Consumer Discretionary,17.19,17.27,16.62,16.73
142,2020-10-16,HBI,Consumer Discretionary,17.44,17.49,17.19,17.2
143,2020-10-15,HBI,Consumer Discretionary,16.8,17.37,16.76,17.34
144,2020-10-14,HBI,Consumer Discretionary,16.94,17.175,16.9,17.02
145,2020-10-13,HBI,Consumer Discretionary,17.21,17.35,16.93,17.02
146,2020-10-12,HBI,Consumer Discretionary,17.25,17.32,17.09,17.27
147,2020-10-09,HBI,Consumer Discretionary,17.04,17.25,16.845,17.21
148,2020-10-08,HBI,Consumer Discretionary,16.82,17.07,16.72,16.97
149,2020-10-07,HBI,Consumer Discretionary,16.95,17.33,16.77,16.8
150,2020-10-06,HBI,Consumer Discretionary,16.82,17.175,16.61,16.61
151,2020-10-05,HBI,Consumer Discretionary,16.26,16.76,16.11,16.74
152,2020-10-02,HBI,Consumer Discretionary,15.5,16.175,15.29,16.15
153,2020-10-01,HBI,Consumer Discretionary,15.85,16.13,15.525,15.95
154,2020-09-30,HBI,Consumer Discretionary,15.47,15.88,15.47,15.75
155,2020-09-29,HBI,Consumer Discretionary,15.79,15.79,15.315,15.44
156,2020-09-28,HBI,Consumer Discretionary,15.82,15.97,15.63,15.79
157,2020-09-25,HBI,Consumer Discretionary,15.46,15.6,15.19,15.51
158,2020-09-24,HBI,Consumer Discretionary,15.9,15.9082,15.3,15.58
159,2020-09-23,HBI,Consumer Discretionary,15.85,16.25,15.825,16.0
160,2020-09-22,HBI,Consumer Discretionary,15.34,15.68,15.32,15.64
161,2020-09-21,HBI,Consumer Discretionary,15.35,15.435,15.13,15.29
162,2020-09-18,HBI,Consumer Discretionary,15.77,15.875,15.505,15.67
163,2020-09-17,HBI,Consumer Discretionary,15.94,16.095,15.55,15.8
164,2020-09-16,HBI,Consumer Discretionary,15.81,16.44,15.745,16.21
165,2020-09-15,HBI,Consumer Discretionary,15.92,16.12,15.58,15.71
166,2020-09-14,HBI,Consumer Discretionary,15.55,15.84,15.39,15.78
167,2020-09-11,HBI,Consumer Discretionary,15.47,15.53,15.2,15.39
168,2020-09-10,HBI,Consumer Discretionary,15.52,15.655,15.22,15.28
169,2020-09-09,HBI,Consumer Discretionary,15.54,15.54,15.14,15.38
170,2020-09-08,HBI,Consumer Discretionary,15.25,15.69,15.19,15.52
