,date,symbol,sector,open,high,low,close
0,2021-05-12,HCA,Health Care,206.39,208.35,203.95,204.11
1,2021-05-11,HCA,Health Care,208.33,210.52,206.14,206.76
2,2021-05-10,HCA,Health Care,211.19,217.28,210.0,211.89
3,2021-05-07,HCA,Health Care,207.6,211.24,207.14,210.52
4,2021-05-06,HCA,Health Care,207.97,209.84,207.21,209.33
5,2021-05-05,HCA,Health Care,206.02,208.51,206.535,207.84
6,2021-05-04,HCA,Health Care,204.0,206.67,202.18,206.34
7,2021-05-03,HCA,Health Care,203.34,205.635,201.68,204.51
8,2021-04-30,HCA,Health Care,201.71,203.71,200.57,201.06
9,2021-04-29,HCA,Health Care,199.65,203.55,199.5574,201.94
10,2021-04-28,HCA,Health Care,199.28,200.9,197.55,198.49
11,2021-04-27,HCA,Health Care,200.85,201.03,197.41,198.96
12,2021-04-26,HCA,Health Care,196.23,201.11,196.22,200.56
13,2021-04-23,HCA,Health Care,202.61,204.205,198.21,202.5
14,2021-04-22,HCA,Health Care,203.0,205.58,198.73,201.51
15,2021-04-21,HCA,Health Care,193.6,198.51,193.35,197.53
16,2021-04-20,HCA,Health Care,194.32,195.8,192.88,192.94
17,2021-04-19,HCA,Health Care,195.61,197.25,192.2,194.89
18,2021-04-16,HCA,Health Care,194.86,197.21,194.63,196.93
19,2021-04-15,HCA,Health Care,192.21,194.29,190.38,193.49
20,2021-04-14,HCA,Health Care,189.37,193.55,189.0316,190.95
21,2021-04-13,HCA,Health Care,190.71,190.99,188.15,188.58
22,2021-04-12,HCA,Health Care,190.88,193.34,190.88,191.66
23,2021-04-09,HCA,Health Care,188.89,191.15,188.29,190.88
24,2021-04-08,HCA,Health Care,186.65,188.56,185.21,188.04
25,2021-04-07,HCA,Health Care,186.3,188.16,185.82,186.77
26,2021-04-06,HCA,Health Care,188.29,190.04,185.85,186.38
27,2021-04-05,HCA,Health Care,187.34,188.975,187.34,188.0
28,2021-04-01,HCA,Health Care,188.26,188.94,185.41,186.15
29,2021-03-31,HCA,Health Care,189.05,191.4144,186.78,188.34
30,2021-03-30,HCA,Health Care,186.73,190.27,186.27,188.54
31,2021-03-29,HCA,Health Care,191.33,192.68,185.5,187.19
32,2021-03-26,HCA,Health Care,188.85,191.26,187.36,191.07
33,2021-03-25,HCA,Health Care,184.96,188.77,183.224,187.35
34,2021-03-24,HCA,Health Care,184.79,189.0573,183.98,184.59
35,2021-03-23,HCA,Health Care,186.5,188.83,181.91,183.66
36,2021-03-22,HCA,Health Care,188.86,189.25,187.15,188.18
37,2021-03-19,HCA,Health Care,187.48,192.34,187.01,188.6
38,2021-03-18,HCA,Health Care,185.74,191.0,185.18,188.03
39,2021-03-17,HCA,Health Care,186.26,188.17,184.94,185.5
40,2021-03-16,HCA,Health Care,191.18,191.56,185.32,185.52
41,2021-03-15,HCA,Health Care,189.76,192.95,189.01,191.82
42,2021-03-12,HCA,Health Care,186.46,190.5,185.21,189.43
43,2021-03-11,HCA,Health Care,184.78,186.69,184.56,185.23
44,2021-03-10,HCA,Health Care,186.18,188.23,184.4201,185.37
45,2021-03-09,HCA,Health Care,191.02,194.01,183.87,184.33
46,2021-03-08,HCA,Health Care,184.8,190.23,184.17,189.21
47,2021-03-05,HCA,Health Care,177.74,184.86,176.13,183.71
48,2021-03-04,HCA,Health Care,175.5,180.98,174.57,176.34
49,2021-03-03,HCA,Health Care,175.88,179.41,175.11,175.58
50,2021-03-02,HCA,Health Care,175.49,178.94,175.485,178.18
51,2021-03-01,HCA,Health Care,173.88,177.09,173.88,175.46
52,2021-02-26,HCA,Health Care,174.67,176.46,171.92,172.03
53,2021-02-25,HCA,Health Care,176.71,176.93,173.01,175.03
54,2021-02-24,HCA,Health Care,174.0,178.762,173.635,175.43
55,2021-02-23,HCA,Health Care,175.28,176.6,173.01,175.07
56,2021-02-22,HCA,Health Care,170.39,176.66,170.13,174.82
57,2021-02-19,HCA,Health Care,175.06,177.85,174.64,177.37
58,2021-02-18,HCA,Health Care,175.21,175.76,173.73,174.61
59,2021-02-17,HCA,Health Care,173.71,176.98,172.5,176.44
60,2021-02-16,HCA,Health Care,174.11,174.74,171.81,174.0
61,2021-02-12,HCA,Health Care,175.0,175.72,172.03,173.51
62,2021-02-11,HCA,Health Care,175.82,177.12,174.53,175.55
63,2021-02-10,HCA,Health Care,176.41,177.0,174.06,174.79
64,2021-02-09,HCA,Health Care,179.25,179.82,174.9,175.42
65,2021-02-08,HCA,Health Care,176.44,179.88,176.44,178.94
66,2021-02-05,HCA,Health Care,179.45,181.01,175.64,176.79
67,2021-02-04,HCA,Health Care,173.98,179.5,173.36,179.3
68,2021-02-03,HCA,Health Care,166.19,173.96,165.14,173.12
69,2021-02-02,HCA,Health Care,168.71,170.915,165.0127,165.85
70,2021-02-01,HCA,Health Care,164.47,169.42,163.38,166.93
71,2021-01-29,HCA,Health Care,162.83,165.87,159.7043,162.48
72,2021-01-28,HCA,Health Care,159.59,166.64,158.96,163.8
73,2021-01-27,HCA,Health Care,161.57,162.605,156.43,157.02
74,2021-01-26,HCA,Health Care,169.36,170.15,164.02,164.13
75,2021-01-25,HCA,Health Care,166.09,168.78,164.58,168.43
76,2021-01-22,HCA,Health Care,166.48,167.35,165.31,166.97
77,2021-01-21,HCA,Health Care,168.73,168.73,166.77,167.4
