,date,symbol,sector,open,high,low,close
0,2021-05-12,HD,Consumer Discretionary,326.52,328.8,316.27,317.0
1,2021-05-11,HD,Consumer Discretionary,337.55,338.0,328.21,330.66
2,2021-05-10,HD,Consumer Discretionary,340.45,345.69,339.54,341.12
3,2021-05-07,HD,Consumer Discretionary,336.68,339.81,335.53,339.25
4,2021-05-06,HD,Consumer Discretionary,333.67,337.81,333.23,337.58
5,2021-05-05,HD,Consumer Discretionary,334.25,333.48,331.16,332.05
6,2021-05-04,HD,Consumer Discretionary,329.12,333.23,328.88,332.77
7,2021-05-03,HD,Consumer Discretionary,326.28,331.62,325.68,330.27
8,2021-04-30,HD,Consumer Discretionary,325.05,325.835,321.61,323.67
9,2021-04-29,HD,Consumer Discretionary,321.71,325.79,321.08,325.34
10,2021-04-28,HD,Consumer Discretionary,321.95,322.96,319.3,319.71
11,2021-04-27,HD,Consumer Discretionary,320.5,322.4688,320.38,320.59
12,2021-04-26,HD,Consumer Discretionary,323.68,324.0,319.315,319.99
13,2021-04-23,HD,Consumer Discretionary,322.19,325.53,319.5754,323.89
14,2021-04-22,HD,Consumer Discretionary,326.2,326.43,318.84,321.46
15,2021-04-21,HD,Consumer Discretionary,324.96,327.91,323.885,325.95
16,2021-04-20,HD,Consumer Discretionary,326.0,327.69,322.16,323.96
17,2021-04-19,HD,Consumer Discretionary,326.49,328.83,325.44,326.85
18,2021-04-16,HD,Consumer Discretionary,324.84,328.67,323.935,328.08
19,2021-04-15,HD,Consumer Discretionary,320.21,323.4,320.05,322.74
20,2021-04-14,HD,Consumer Discretionary,319.71,322.7,319.29,320.02
21,2021-04-13,HD,Consumer Discretionary,320.53,320.9,317.0,320.4
22,2021-04-12,HD,Consumer Discretionary,317.72,321.31,317.31,320.79
23,2021-04-09,HD,Consumer Discretionary,315.37,319.32,314.75,319.23
24,2021-04-08,HD,Consumer Discretionary,312.7,315.2499,310.59,314.43
25,2021-04-07,HD,Consumer Discretionary,312.84,315.14,310.93,312.47
26,2021-04-06,HD,Consumer Discretionary,313.61,315.94,313.13,313.78
27,2021-04-05,HD,Consumer Discretionary,309.84,315.85,309.74,315.4
28,2021-04-01,HD,Consumer Discretionary,306.88,308.55,303.89,307.75
29,2021-03-31,HD,Consumer Discretionary,305.5,308.02,304.14,305.25
30,2021-03-30,HD,Consumer Discretionary,301.65,305.68,300.035,304.82
31,2021-03-29,HD,Consumer Discretionary,303.3,305.55,299.93,302.2
32,2021-03-26,HD,Consumer Discretionary,297.34,304.0,296.03,303.81
33,2021-03-25,HD,Consumer Discretionary,293.03,297.8787,292.455,297.18
34,2021-03-24,HD,Consumer Discretionary,289.26,296.779,288.99,292.75
35,2021-03-23,HD,Consumer Discretionary,289.61,293.427,288.94,289.98
36,2021-03-22,HD,Consumer Discretionary,286.5,290.33,284.2,288.94
37,2021-03-19,HD,Consumer Discretionary,283.64,289.1,282.43,289.1
38,2021-03-18,HD,Consumer Discretionary,279.03,285.47,277.7601,283.16
39,2021-03-17,HD,Consumer Discretionary,281.14,283.88,279.25,280.03
40,2021-03-16,HD,Consumer Discretionary,278.54,282.52,277.65,282.08
41,2021-03-15,HD,Consumer Discretionary,274.5,279.6527,274.34,278.54
42,2021-03-12,HD,Consumer Discretionary,267.45,273.81,266.76,273.1
43,2021-03-11,HD,Consumer Discretionary,268.6,270.78,267.2,268.85
44,2021-03-10,HD,Consumer Discretionary,265.92,268.75,264.08,266.24
45,2021-03-09,HD,Consumer Discretionary,262.73,267.5685,261.79,264.96
46,2021-03-08,HD,Consumer Discretionary,254.23,263.23,252.52,259.03
47,2021-03-05,HD,Consumer Discretionary,252.26,254.2,246.59,253.52
48,2021-03-04,HD,Consumer Discretionary,256.0,256.86,247.1,250.93
49,2021-03-03,HD,Consumer Discretionary,259.28,260.5,256.01,257.36
50,2021-03-02,HD,Consumer Discretionary,261.68,263.1099,259.7701,260.29
51,2021-03-01,HD,Consumer Discretionary,258.81,262.48,258.4739,261.62
52,2021-02-26,HD,Consumer Discretionary,257.77,260.24,256.1105,258.34
53,2021-02-25,HD,Consumer Discretionary,259.75,260.9,254.71,255.25
54,2021-02-24,HD,Consumer Discretionary,263.23,266.99,254.03,259.97
55,2021-02-23,HD,Consumer Discretionary,269.38,269.67,257.58,267.24
56,2021-02-22,HD,Consumer Discretionary,278.21,278.49,273.63,275.85
57,2021-02-19,HD,Consumer Discretionary,282.87,283.91,279.44,279.64
58,2021-02-18,HD,Consumer Discretionary,280.8,284.68,279.83,283.05
59,2021-02-17,HD,Consumer Discretionary,275.54,281.79,275.4,280.92
60,2021-02-16,HD,Consumer Discretionary,277.01,278.63,274.88,275.39
61,2021-02-12,HD,Consumer Discretionary,277.12,278.71,276.58,277.51
62,2021-02-11,HD,Consumer Discretionary,277.93,280.25,276.01,277.06
63,2021-02-10,HD,Consumer Discretionary,278.03,278.93,276.25,278.69
64,2021-02-09,HD,Consumer Discretionary,279.66,280.2,276.62,276.77
65,2021-02-08,HD,Consumer Discretionary,279.69,280.4194,276.8895,280.03
66,2021-02-05,HD,Consumer Discretionary,280.29,281.7599,277.81,278.86
67,2021-02-04,HD,Consumer Discretionary,274.25,279.44,274.25,278.82
68,2021-02-03,HD,Consumer Discretionary,271.89,275.72,270.715,274.17
69,2021-02-02,HD,Consumer Discretionary,270.0,275.69,269.99,272.16
70,2021-02-01,HD,Consumer Discretionary,271.23,272.65,267.2533,270.07
71,2021-01-29,HD,Consumer Discretionary,275.81,277.06,270.03,270.82
72,2021-01-28,HD,Consumer Discretionary,276.17,282.96,274.93,278.05
73,2021-01-27,HD,Consumer Discretionary,279.99,280.8099,273.08,274.05
74,2021-01-26,HD,Consumer Discretionary,285.42,285.65,281.695,282.6
75,2021-01-25,HD,Consumer Discretionary,283.85,285.77,281.42,285.08
76,2021-01-22,HD,Consumer Discretionary,279.26,285.08,277.87,284.0
77,2021-01-21,HD,Consumer Discretionary,276.22,280.7,275.67,279.05
78,2021-01-20,HD,Consumer Discretionary,273.25,277.21,271.5,274.3
79,2021-01-19,HD,Consumer Discretionary,278.0,278.0,273.02,273.19
80,2021-01-15,HD,Consumer Discretionary,268.63,276.39,268.0,275.59
81,2021-01-14,HD,Consumer Discretionary,274.5,274.895,267.67,268.34
82,2021-01-13,HD,Consumer Discretionary,278.31,280.48,273.94,274.05
83,2021-01-12,HD,Consumer Discretionary,271.11,277.939,270.655,276.33
84,2021-01-11,HD,Consumer Discretionary,267.47,273.37,267.26,271.23
85,2021-01-08,HD,Consumer Discretionary,267.35,270.7325,267.0,269.09
86,2021-01-07,HD,Consumer Discretionary,266.95,268.783,266.17,266.26
87,2021-01-06,HD,Consumer Discretionary,264.06,269.77,261.87,267.57
88,2021-01-05,HD,Consumer Discretionary,262.66,266.53,262.26,266.05
89,2021-01-04,HD,Consumer Discretionary,266.01,266.4446,261.06,263.92
90,2020-12-31,HD,Consumer Discretionary,265.57,265.95,263.58,265.62
91,2020-12-30,HD,Consumer Discretionary,266.11,267.3,264.92,265.26
92,2020-12-29,HD,Consumer Discretionary,269.98,270.46,265.07,266.19
93,2020-12-28,HD,Consumer Discretionary,272.17,272.25,269.24,269.25
94,2020-12-24,HD,Consumer Discretionary,269.44,271.36,269.4,270.92
95,2020-12-23,HD,Consumer Discretionary,270.06,271.0,268.2,269.81
96,2020-12-22,HD,Consumer Discretionary,270.06,271.36,268.51,270.04
97,2020-12-21,HD,Consumer Discretionary,268.56,271.95,265.88,270.99
98,2020-12-18,HD,Consumer Discretionary,274.59,275.74,270.3,270.45
99,2020-12-17,HD,Consumer Discretionary,272.16,274.33,271.3,273.97
100,2020-12-16,HD,Consumer Discretionary,268.53,270.75,267.51,269.59
101,2020-12-15,HD,Consumer Discretionary,267.51,268.7628,266.2,267.98
102,2020-12-14,HD,Consumer Discretionary,266.14,268.5999,265.27,265.58
103,2020-12-11,HD,Consumer Discretionary,263.36,265.3618,262.646,264.55
104,2020-12-10,HD,Consumer Discretionary,264.08,266.07,262.11,264.81
105,2020-12-09,HD,Consumer Discretionary,264.61,265.7708,262.25,265.58
106,2020-12-08,HD,Consumer Discretionary,261.72,262.5,258.73,261.72
107,2020-12-07,HD,Consumer Discretionary,263.5,264.5,261.0,262.64
108,2020-12-04,HD,Consumer Discretionary,267.47,268.73,262.82,263.99
109,2020-12-03,HD,Consumer Discretionary,270.63,271.93,267.14,268.14
110,2020-12-02,HD,Consumer Discretionary,273.97,274.11,269.57,271.1
111,2020-12-01,HD,Consumer Discretionary,278.73,278.95,275.55,276.6
112,2020-11-30,HD,Consumer Discretionary,275.22,277.76,271.92,277.41
