,date,symbol,sector,open,high,low,close
0,2021-05-12,HII,Industrials,215.84,217.28,212.09,212.14
1,2021-05-11,HII,Industrials,218.36,218.36,212.8439,214.7
2,2021-05-10,HII,Industrials,218.96,223.79,218.2,219.37
3,2021-05-07,HII,Industrials,216.32,217.82,214.68,216.99
4,2021-05-06,HII,Industrials,214.74,222.985,214.64,218.31
5,2021-05-05,HII,Industrials,214.03,214.28,211.7,212.87
6,2021-05-04,HII,Industrials,214.57,216.25,213.4001,214.39
7,2021-05-03,HII,Industrials,213.21,216.1,211.4,215.14
8,2021-04-30,HII,Industrials,212.04,213.24,210.76,212.32
9,2021-04-29,HII,Industrials,210.93,214.43,210.93,212.97
10,2021-04-28,HII,Industrials,206.75,210.56,206.75,210.24
11,2021-04-27,HII,Industrials,206.75,209.155,206.46,207.45
12,2021-04-26,HII,Industrials,207.36,208.09,205.52,206.97
13,2021-04-23,HII,Industrials,205.01,207.18,204.37,206.13
14,2021-04-22,HII,Industrials,208.08,209.84,203.62,203.89
15,2021-04-21,HII,Industrials,207.52,209.5,207.25,208.57
16,2021-04-20,HII,Industrials,209.62,210.0,205.96,207.57
17,2021-04-19,HII,Industrials,209.14,210.74,205.835,210.0
18,2021-04-16,HII,Industrials,209.81,210.0,206.18,208.06
19,2021-04-15,HII,Industrials,207.68,208.665,206.32,208.35
20,2021-04-14,HII,Industrials,205.75,209.725,205.75,207.86
21,2021-04-13,HII,Industrials,208.03,210.38,205.61,206.15
22,2021-04-12,HII,Industrials,207.63,210.53,207.5,210.27
23,2021-04-09,HII,Industrials,207.54,208.43,205.48,206.87
24,2021-04-08,HII,Industrials,204.2,206.95,202.83,206.64
25,2021-04-07,HII,Industrials,207.58,207.86,203.76,205.03
26,2021-04-06,HII,Industrials,206.34,209.41,206.04,207.37
27,2021-04-05,HII,Industrials,206.18,208.16,205.6,207.6
28,2021-04-01,HII,Industrials,206.0,206.39,202.53,204.23
29,2021-03-31,HII,Industrials,205.58,208.07,205.0852,205.85
30,2021-03-30,HII,Industrials,207.11,207.74,203.93,205.67
31,2021-03-29,HII,Industrials,203.4,208.48,203.34,207.36
32,2021-03-26,HII,Industrials,200.64,203.64,199.32,203.16
33,2021-03-25,HII,Industrials,194.69,200.42,192.57,200.14
34,2021-03-24,HII,Industrials,193.21,199.09,193.185,194.12
35,2021-03-23,HII,Industrials,193.39,195.215,190.11,191.48
36,2021-03-22,HII,Industrials,196.54,197.23,193.06,196.07
37,2021-03-19,HII,Industrials,198.06,198.06,194.16,197.26
38,2021-03-18,HII,Industrials,198.33,200.28,196.917,198.47
39,2021-03-17,HII,Industrials,195.62,199.23,193.88,197.94
40,2021-03-16,HII,Industrials,197.53,197.93,193.8,195.13
41,2021-03-15,HII,Industrials,195.7,198.85,195.14,198.28
42,2021-03-12,HII,Industrials,193.29,196.14,192.545,195.09
43,2021-03-11,HII,Industrials,187.22,190.58,186.75,189.91
44,2021-03-10,HII,Industrials,184.53,189.4,183.4,187.86
45,2021-03-09,HII,Industrials,189.74,190.27,184.07,185.09
46,2021-03-08,HII,Industrials,187.89,194.1,187.415,191.1
47,2021-03-05,HII,Industrials,180.96,186.855,179.11,185.61
48,2021-03-04,HII,Industrials,183.14,184.61,177.57,179.37
49,2021-03-03,HII,Industrials,180.35,183.58,179.0,182.23
50,2021-03-02,HII,Industrials,178.3,180.39,177.33,179.63
51,2021-03-01,HII,Industrials,178.08,180.69,177.83,178.41
52,2021-02-26,HII,Industrials,181.14,182.02,175.78,175.91
53,2021-02-25,HII,Industrials,187.07,188.41,182.1,183.23
54,2021-02-24,HII,Industrials,187.04,190.23,187.04,188.1
55,2021-02-23,HII,Industrials,191.37,191.81,183.05,186.42
56,2021-02-22,HII,Industrials,183.14,192.5,182.2,190.64
57,2021-02-19,HII,Industrials,179.11,182.23,178.81,182.13
58,2021-02-18,HII,Industrials,177.34,178.675,176.54,178.43
59,2021-02-17,HII,Industrials,174.9,179.27,173.4,178.42
60,2021-02-16,HII,Industrials,177.63,179.0,174.8,175.16
61,2021-02-12,HII,Industrials,170.73,176.8,170.415,176.13
62,2021-02-11,HII,Industrials,170.5,179.75,169.53,170.53
63,2021-02-10,HII,Industrials,168.13,169.1,166.91,167.77
64,2021-02-09,HII,Industrials,165.33,167.24,164.5,167.22
65,2021-02-08,HII,Industrials,165.15,166.25,163.84,165.02
66,2021-02-05,HII,Industrials,162.8,165.77,162.0,163.9
67,2021-02-04,HII,Industrials,161.88,162.4,159.98,161.25
68,2021-02-03,HII,Industrials,159.62,161.66,158.97,161.2
