,date,symbol,sector,open,high,low,close
0,2021-05-12,HLT,Consumer Discretionary,121.03,122.26,117.54,118.29
1,2021-05-11,HLT,Consumer Discretionary,119.26,122.16,118.16,121.83
2,2021-05-10,HLT,Consumer Discretionary,122.47,123.7,121.08,121.58
3,2021-05-07,HLT,Consumer Discretionary,121.2,123.54,119.8,123.44
4,2021-05-06,HLT,Consumer Discretionary,122.15,122.725,119.47,120.77
5,2021-05-05,HLT,Consumer Discretionary,127.11,125.5,122.32,122.62
6,2021-05-04,HLT,Consumer Discretionary,128.17,128.85,125.69,128.25
7,2021-05-03,HLT,Consumer Discretionary,129.64,130.17,128.39,128.67
8,2021-04-30,HLT,Consumer Discretionary,129.71,130.059,127.58,128.7
9,2021-04-29,HLT,Consumer Discretionary,130.88,132.69,128.45,130.39
10,2021-04-28,HLT,Consumer Discretionary,129.82,130.25,128.96,129.11
11,2021-04-27,HLT,Consumer Discretionary,127.72,130.35,127.59,130.01
12,2021-04-26,HLT,Consumer Discretionary,128.6,130.19,127.12,127.57
13,2021-04-23,HLT,Consumer Discretionary,125.94,127.43,125.56,127.4
14,2021-04-22,HLT,Consumer Discretionary,123.44,126.77,122.85,125.5
15,2021-04-21,HLT,Consumer Discretionary,122.51,123.97,121.31,123.91
16,2021-04-20,HLT,Consumer Discretionary,124.95,125.3,120.67,122.22
17,2021-04-19,HLT,Consumer Discretionary,127.49,127.73,125.26,125.93
18,2021-04-16,HLT,Consumer Discretionary,128.52,129.05,127.545,128.05
19,2021-04-15,HLT,Consumer Discretionary,127.37,127.85,125.78,127.28
20,2021-04-14,HLT,Consumer Discretionary,126.0,128.28,125.64,126.52
21,2021-04-13,HLT,Consumer Discretionary,123.78,126.87,122.43,126.11
22,2021-04-12,HLT,Consumer Discretionary,124.48,125.44,122.471,125.28
23,2021-04-09,HLT,Consumer Discretionary,124.4,124.46,122.37,124.35
24,2021-04-08,HLT,Consumer Discretionary,124.37,126.13,122.81,124.75
25,2021-04-07,HLT,Consumer Discretionary,126.97,127.32,124.26,124.52
26,2021-04-06,HLT,Consumer Discretionary,125.55,127.5403,125.5,126.66
27,2021-04-05,HLT,Consumer Discretionary,123.12,126.1,122.99,125.4
28,2021-04-01,HLT,Consumer Discretionary,121.9,122.1,120.38,121.65
29,2021-03-31,HLT,Consumer Discretionary,122.31,122.82,120.84,120.92
30,2021-03-30,HLT,Consumer Discretionary,118.95,122.6099,118.685,122.06
31,2021-03-29,HLT,Consumer Discretionary,120.93,121.34,118.11,119.05
32,2021-03-26,HLT,Consumer Discretionary,121.08,121.6099,118.92,121.12
33,2021-03-25,HLT,Consumer Discretionary,117.54,120.78,116.15,120.4
34,2021-03-24,HLT,Consumer Discretionary,119.83,121.65,118.47,118.5
35,2021-03-23,HLT,Consumer Discretionary,122.16,122.6,118.2,118.9
36,2021-03-22,HLT,Consumer Discretionary,124.51,124.83,122.4,122.92
37,2021-03-19,HLT,Consumer Discretionary,125.0,125.92,122.14,124.39
38,2021-03-18,HLT,Consumer Discretionary,126.57,128.68,125.1,125.64
39,2021-03-17,HLT,Consumer Discretionary,123.5,127.62,123.45,127.14
40,2021-03-16,HLT,Consumer Discretionary,127.39,127.78,123.77,123.96
41,2021-03-15,HLT,Consumer Discretionary,126.96,128.92,125.07,127.26
42,2021-03-12,HLT,Consumer Discretionary,125.32,126.58,124.34,126.1
43,2021-03-11,HLT,Consumer Discretionary,124.56,126.2,123.32,124.66
44,2021-03-10,HLT,Consumer Discretionary,124.39,125.975,122.8,124.51
45,2021-03-09,HLT,Consumer Discretionary,126.97,126.97,123.61,124.12
46,2021-03-08,HLT,Consumer Discretionary,123.52,126.76,122.02,125.41
47,2021-03-05,HLT,Consumer Discretionary,121.9,122.93,116.44,122.87
48,2021-03-04,HLT,Consumer Discretionary,123.25,123.32,117.0,120.72
49,2021-03-03,HLT,Consumer Discretionary,124.25,125.84,123.13,123.13
50,2021-03-02,HLT,Consumer Discretionary,123.9,125.09,122.5,124.25
51,2021-03-01,HLT,Consumer Discretionary,125.72,125.85,122.8,123.76
52,2021-02-26,HLT,Consumer Discretionary,123.59,124.58,120.14,123.68
53,2021-02-25,HLT,Consumer Discretionary,127.76,128.16,121.09,122.98
54,2021-02-24,HLT,Consumer Discretionary,123.35,127.48,122.38,127.26
55,2021-02-23,HLT,Consumer Discretionary,121.58,122.31,118.29,121.95
56,2021-02-22,HLT,Consumer Discretionary,118.75,122.13,117.54,119.96
57,2021-02-19,HLT,Consumer Discretionary,114.96,117.79,114.51,116.91
58,2021-02-18,HLT,Consumer Discretionary,108.97,115.21,108.5,114.12
59,2021-02-17,HLT,Consumer Discretionary,110.83,115.33,108.81,111.43
60,2021-02-16,HLT,Consumer Discretionary,112.83,114.02,112.0,113.61
61,2021-02-12,HLT,Consumer Discretionary,109.12,112.41,108.87,112.14
62,2021-02-11,HLT,Consumer Discretionary,110.14,111.17,108.72,109.5
63,2021-02-10,HLT,Consumer Discretionary,110.17,110.49,108.81,109.34
64,2021-02-09,HLT,Consumer Discretionary,112.24,112.51,110.18,110.35
65,2021-02-08,HLT,Consumer Discretionary,112.69,113.16,110.6196,112.32
