,date,symbol,sector,open,high,low,close
0,2021-05-12,HON,Industrials,226.64,227.26,219.89,220.04
1,2021-05-11,HON,Industrials,228.06,229.26,224.25,229.16
2,2021-05-10,HON,Industrials,229.0,232.65,229.0,230.94
3,2021-05-07,HON,Industrials,228.13,229.7,226.37,228.79
4,2021-05-06,HON,Industrials,227.25,228.82,225.45,228.66
5,2021-05-05,HON,Industrials,226.29,227.2687,225.76,226.19
6,2021-05-04,HON,Industrials,222.14,225.6,220.75,225.43
7,2021-05-03,HON,Industrials,224.24,224.78,222.2613,223.2
8,2021-04-30,HON,Industrials,223.02,223.58,221.04,223.04
9,2021-04-29,HON,Industrials,223.71,224.16,221.6818,223.9
10,2021-04-28,HON,Industrials,222.74,224.14,222.5,222.87
11,2021-04-27,HON,Industrials,222.02,223.75,221.11,222.93
12,2021-04-26,HON,Industrials,225.59,225.74,221.26,221.52
13,2021-04-23,HON,Industrials,225.2,226.95,222.22,224.5
14,2021-04-22,HON,Industrials,230.4,232.03,228.8,229.26
15,2021-04-21,HON,Industrials,227.13,230.67,226.93,230.5
16,2021-04-20,HON,Industrials,230.0,230.19,225.78,227.33
17,2021-04-19,HON,Industrials,231.71,232.105,230.5,230.97
18,2021-04-16,HON,Industrials,231.68,232.35,230.05,232.11
19,2021-04-15,HON,Industrials,230.23,230.71,228.565,229.84
20,2021-04-14,HON,Industrials,228.0,230.99,228.0,229.38
21,2021-04-13,HON,Industrials,229.21,229.949,227.6,229.0
22,2021-04-12,HON,Industrials,225.64,229.23,225.56,228.6
23,2021-04-09,HON,Industrials,227.5,227.63,223.31,226.98
24,2021-04-08,HON,Industrials,218.18,219.96,216.64,219.86
25,2021-04-07,HON,Industrials,218.22,219.88,217.2775,218.5
26,2021-04-06,HON,Industrials,219.57,221.05,218.51,219.19
27,2021-04-05,HON,Industrials,218.71,220.11,218.37,219.27
28,2021-04-01,HON,Industrials,217.96,217.97,215.4912,216.8
29,2021-03-31,HON,Industrials,218.19,219.17,216.75,217.07
30,2021-03-30,HON,Industrials,219.0,219.3099,217.05,218.09
31,2021-03-29,HON,Industrials,217.65,219.67,217.14,218.88
32,2021-03-26,HON,Industrials,215.12,218.69,214.135,218.53
33,2021-03-25,HON,Industrials,212.21,214.05,208.25,213.88
34,2021-03-24,HON,Industrials,209.96,215.05,209.89,212.22
35,2021-03-23,HON,Industrials,210.42,212.35,207.87,208.59
36,2021-03-22,HON,Industrials,211.11,212.68,209.53,212.13
37,2021-03-19,HON,Industrials,215.37,215.59,212.17,212.91
38,2021-03-18,HON,Industrials,213.5,219.0,213.18,215.02
39,2021-03-17,HON,Industrials,213.5,214.43,211.94,213.03
40,2021-03-16,HON,Industrials,216.36,216.47,211.41,211.81
41,2021-03-15,HON,Industrials,213.71,217.0,212.7,216.2
42,2021-03-12,HON,Industrials,213.29,215.39,213.2,214.38
43,2021-03-11,HON,Industrials,211.79,214.76,211.2,212.5
44,2021-03-10,HON,Industrials,207.68,213.27,207.65,212.91
45,2021-03-09,HON,Industrials,208.99,209.94,206.49,207.61
46,2021-03-08,HON,Industrials,207.54,212.45,207.195,207.7
47,2021-03-05,HON,Industrials,204.53,207.46,201.78,206.58
48,2021-03-04,HON,Industrials,207.35,208.04,200.51,202.94
49,2021-03-03,HON,Industrials,206.12,209.45,206.12,207.01
50,2021-03-02,HON,Industrials,206.77,207.99,205.18,206.58
51,2021-03-01,HON,Industrials,204.33,208.15,203.69,206.22
52,2021-02-26,HON,Industrials,205.63,205.8,202.07,202.35
53,2021-02-25,HON,Industrials,209.95,210.455,204.26,204.79
54,2021-02-24,HON,Industrials,204.89,212.14,203.5,211.03
55,2021-02-23,HON,Industrials,205.01,205.84,202.97,205.04
56,2021-02-22,HON,Industrials,203.04,204.3,202.42,203.62
57,2021-02-19,HON,Industrials,204.12,206.8299,203.32,203.56
58,2021-02-18,HON,Industrials,201.5,204.82,200.65,203.52
59,2021-02-17,HON,Industrials,201.36,202.19,199.86,201.9
60,2021-02-16,HON,Industrials,204.86,205.57,201.88,203.44
61,2021-02-12,HON,Industrials,202.37,203.79,201.6501,203.57
62,2021-02-11,HON,Industrials,202.18,203.1,200.88,202.18
