,date,symbol,sector,open,high,low,close
0,2021-05-12,HSIC,Health Care,80.06,80.79,78.52,78.63
1,2021-05-11,HSIC,Health Care,81.74,83.1,79.99,80.39
2,2021-05-10,HSIC,Health Care,80.53,83.45,80.245,82.97
3,2021-05-07,HSIC,Health Care,82.71,82.71,80.58,80.61
4,2021-05-06,HSIC,Health Care,78.27,79.98,78.02,79.92
5,2021-05-05,HSIC,Health Care,79.56,79.9,77.37,78.91
6,2021-05-04,HSIC,Health Care,72.61,80.09,72.6,79.87
7,2021-05-03,HSIC,Health Care,73.43,74.48,73.155,74.01
8,2021-04-30,HSIC,Health Care,73.6,73.865,72.27,72.5
9,2021-04-29,HSIC,Health Care,73.27,73.97,72.79,73.07
10,2021-04-28,HSIC,Health Care,71.84,73.27,71.84,72.72
11,2021-04-27,HSIC,Health Care,72.82,73.67,71.79,73.14
12,2021-04-26,HSIC,Health Care,74.48,74.81,73.26,73.38
13,2021-04-23,HSIC,Health Care,72.77,74.51,72.39,74.22
14,2021-04-22,HSIC,Health Care,72.38,73.24,71.91,72.73
15,2021-04-21,HSIC,Health Care,70.86,72.385,70.3,72.3
16,2021-04-20,HSIC,Health Care,70.52,71.0,70.38,70.52
17,2021-04-19,HSIC,Health Care,71.12,71.12,70.01,70.64
18,2021-04-16,HSIC,Health Care,71.26,71.42,70.705,71.17
19,2021-04-15,HSIC,Health Care,70.04,71.02,69.86,70.9
20,2021-04-14,HSIC,Health Care,69.5,70.35,69.14,70.0
21,2021-04-13,HSIC,Health Care,70.0,70.06,69.12,69.6
22,2021-04-12,HSIC,Health Care,69.2,70.3495,69.2,70.0
23,2021-04-09,HSIC,Health Care,69.0,69.455,68.77,69.39
24,2021-04-08,HSIC,Health Care,68.52,69.0,67.97,68.67
25,2021-04-07,HSIC,Health Care,69.16,69.16,68.29,68.66
26,2021-04-06,HSIC,Health Care,68.33,69.59,68.23,69.0
27,2021-04-05,HSIC,Health Care,69.43,69.6,68.81,68.98
28,2021-04-01,HSIC,Health Care,69.13,69.4,67.35,68.67
29,2021-03-31,HSIC,Health Care,68.67,69.81,68.09,69.24
30,2021-03-30,HSIC,Health Care,69.16,69.56,68.04,68.97
31,2021-03-29,HSIC,Health Care,67.8,70.2,66.91,69.74
32,2021-03-26,HSIC,Health Care,67.96,67.99,66.39,67.98
33,2021-03-25,HSIC,Health Care,65.61,66.94,65.01,66.81
34,2021-03-24,HSIC,Health Care,65.25,66.755,65.25,65.66
35,2021-03-23,HSIC,Health Care,66.58,66.76,64.98,65.07
36,2021-03-22,HSIC,Health Care,66.69,66.9,65.7288,66.3
37,2021-03-19,HSIC,Health Care,67.58,67.865,66.43,66.81
38,2021-03-18,HSIC,Health Care,67.8322,69.435,67.45,67.69
39,2021-03-17,HSIC,Health Care,66.27,68.2,66.27,67.78
40,2021-03-16,HSIC,Health Care,68.38,68.77,66.559,67.03
41,2021-03-15,HSIC,Health Care,66.85,68.88,66.3725,68.22
42,2021-03-12,HSIC,Health Care,65.92,67.56,65.92,67.19
43,2021-03-11,HSIC,Health Care,65.76,66.81,65.55,65.88
44,2021-03-10,HSIC,Health Care,65.6,67.519,65.46,65.91
45,2021-03-09,HSIC,Health Care,64.89,66.94,64.76,65.18
46,2021-03-08,HSIC,Health Care,63.2,66.06,62.625,64.79
47,2021-03-05,HSIC,Health Care,62.36,63.0,60.7,62.57
48,2021-03-04,HSIC,Health Care,62.44,63.14,60.96,61.5
49,2021-03-03,HSIC,Health Care,62.97,63.2757,61.69,62.71
50,2021-03-02,HSIC,Health Care,64.63,64.86,62.7,62.92
51,2021-03-01,HSIC,Health Care,62.5,64.98,62.29,64.55
52,2021-02-26,HSIC,Health Care,62.005,62.92,61.36,61.85
53,2021-02-25,HSIC,Health Care,64.63,64.63,61.68,61.89
54,2021-02-24,HSIC,Health Care,65.18,66.66,64.9,65.01
55,2021-02-23,HSIC,Health Care,66.32,66.56,64.51,65.62
56,2021-02-22,HSIC,Health Care,64.0,66.39,63.52,65.97
