,date,symbol,sector,open,high,low,close
0,2021-05-12,HUM,Health Care,454.43,458.54,453.3,453.75
1,2021-05-11,HUM,Health Care,469.37,471.22,454.5,455.76
2,2021-05-10,HUM,Health Care,465.88,475.44,465.88,469.97
3,2021-05-07,HUM,Health Care,465.0,468.47,461.335,465.08
4,2021-05-06,HUM,Health Care,461.21,465.77,458.86,465.62
5,2021-05-05,HUM,Health Care,461.31,460.54,453.54,460.09
6,2021-05-04,HUM,Health Care,450.87,463.84,448.52,463.0
7,2021-05-03,HUM,Health Care,447.56,453.47,446.32,450.6
8,2021-04-30,HUM,Health Care,448.2,449.5,442.73,445.24
9,2021-04-29,HUM,Health Care,440.87,449.745,439.36,447.64
10,2021-04-28,HUM,Health Care,443.42,448.0,435.47,438.62
11,2021-04-27,HUM,Health Care,443.12,450.2488,441.25,448.8
12,2021-04-26,HUM,Health Care,449.53,451.61,446.0,446.14
13,2021-04-23,HUM,Health Care,444.01,450.0,442.15,448.64
14,2021-04-22,HUM,Health Care,441.75,445.6,435.98,444.66
15,2021-04-21,HUM,Health Care,445.14,449.2,443.57,444.45
16,2021-04-20,HUM,Health Care,438.91,445.185,437.87,443.0
17,2021-04-19,HUM,Health Care,435.79,441.53,434.21,439.92
18,2021-04-16,HUM,Health Care,435.73,436.99,431.94,435.28
19,2021-04-15,HUM,Health Care,423.97,437.23,423.97,433.94
20,2021-04-14,HUM,Health Care,417.84,424.74,417.3,422.75
21,2021-04-13,HUM,Health Care,411.55,420.0,411.55,417.11
22,2021-04-12,HUM,Health Care,418.5,421.91,412.65,413.21
23,2021-04-09,HUM,Health Care,407.8,417.74,407.8,417.74
24,2021-04-08,HUM,Health Care,409.07,411.29,406.28,407.15
25,2021-04-07,HUM,Health Care,408.34,411.73,406.72,411.73
26,2021-04-06,HUM,Health Care,412.95,412.95,405.33,407.33
27,2021-04-05,HUM,Health Care,415.77,417.99,412.08,413.15
28,2021-04-01,HUM,Health Care,418.68,419.58,410.64,412.82
29,2021-03-31,HUM,Health Care,424.77,426.32,418.88,419.25
