,date,symbol,sector,open,high,low,close
0,2021-05-12,HWM,Industrials,32.2,32.48,31.51,31.88
1,2021-05-11,HWM,Industrials,32.1,33.1,31.87,32.4
2,2021-05-10,HWM,Industrials,33.86,33.8916,32.55,32.58
3,2021-05-07,HWM,Industrials,32.3,33.69,31.84,33.57
4,2021-05-06,HWM,Industrials,32.12,32.34,30.81,32.21
5,2021-05-05,HWM,Industrials,32.41,32.77,32.205,32.35
6,2021-05-04,HWM,Industrials,32.07,32.52,31.65,32.19
7,2021-05-03,HWM,Industrials,32.1,32.43,31.92,32.03
8,2021-04-30,HWM,Industrials,32.0,32.3,31.78,31.96
9,2021-04-29,HWM,Industrials,32.43,32.59,31.75,32.14
10,2021-04-28,HWM,Industrials,31.82,32.29,31.69,32.12
11,2021-04-27,HWM,Industrials,32.39,32.45,31.81,32.03
12,2021-04-26,HWM,Industrials,32.27,32.47,32.02,32.22
13,2021-04-23,HWM,Industrials,31.56,32.17,31.44,31.96
14,2021-04-22,HWM,Industrials,32.1,32.29,31.42,31.42
15,2021-04-21,HWM,Industrials,30.86,31.955,30.55,31.93
16,2021-04-20,HWM,Industrials,32.29,32.35,30.78,31.0
17,2021-04-19,HWM,Industrials,32.54,32.79,32.2,32.57
18,2021-04-16,HWM,Industrials,32.81,32.9,32.25,32.7
19,2021-04-15,HWM,Industrials,32.65,32.65,31.92,32.35
20,2021-04-14,HWM,Industrials,32.31,33.42,32.31,32.55
21,2021-04-13,HWM,Industrials,32.19,32.37,31.77,32.14
22,2021-04-12,HWM,Industrials,32.29,32.41,31.79,32.32
23,2021-04-09,HWM,Industrials,31.91,32.3,31.5,32.23
24,2021-04-08,HWM,Industrials,31.62,31.9,31.07,31.81
25,2021-04-07,HWM,Industrials,31.54,32.035,31.405,31.8
26,2021-04-06,HWM,Industrials,31.89,32.12,31.15,31.4
27,2021-04-05,HWM,Industrials,32.29,32.5,31.97,32.07
28,2021-04-01,HWM,Industrials,32.01,32.3,31.6499,31.82
29,2021-03-31,HWM,Industrials,32.16,32.55,31.72,32.13
30,2021-03-30,HWM,Industrials,31.64,32.07,31.26,31.76
31,2021-03-29,HWM,Industrials,32.01,32.35,31.36,31.52
32,2021-03-26,HWM,Industrials,31.47,32.25,31.31,31.99
33,2021-03-25,HWM,Industrials,29.96,31.47,29.59,31.35
34,2021-03-24,HWM,Industrials,30.8,31.38,30.35,30.35
35,2021-03-23,HWM,Industrials,31.03,31.56,30.21,30.37
36,2021-03-22,HWM,Industrials,31.81,31.99,31.14,31.55
37,2021-03-19,HWM,Industrials,31.81,32.175,30.65,31.82
38,2021-03-18,HWM,Industrials,32.01,32.96,31.735,31.76
39,2021-03-17,HWM,Industrials,31.14,32.2,31.04,32.16
40,2021-03-16,HWM,Industrials,31.95,32.04,31.03,31.14
41,2021-03-15,HWM,Industrials,31.72,31.94,31.045,31.82
42,2021-03-12,HWM,Industrials,31.56,31.86,31.09,31.55
43,2021-03-11,HWM,Industrials,31.5,32.47,31.5,31.63
44,2021-03-10,HWM,Industrials,30.08,31.78,29.98,31.45
45,2021-03-09,HWM,Industrials,30.07,30.49,29.23,29.76
46,2021-03-08,HWM,Industrials,30.86,31.1228,29.75,29.81
47,2021-03-05,HWM,Industrials,30.02,30.52,28.52,30.37
48,2021-03-04,HWM,Industrials,30.37,30.845,28.71,29.55
49,2021-03-03,HWM,Industrials,29.18,30.56,29.0,30.3
50,2021-03-02,HWM,Industrials,28.86,29.34,28.61,28.98
51,2021-03-01,HWM,Industrials,28.91,29.4,28.82,28.95
52,2021-02-26,HWM,Industrials,28.36,28.585,27.7888,28.11
53,2021-02-25,HWM,Industrials,30.0,30.16,28.16,28.35
54,2021-02-24,HWM,Industrials,29.07,30.52,28.9,30.14
55,2021-02-23,HWM,Industrials,28.71,29.17,28.21,29.08
56,2021-02-22,HWM,Industrials,28.23,29.2,28.23,28.65
57,2021-02-19,HWM,Industrials,28.06,28.81,27.98,28.68
58,2021-02-18,HWM,Industrials,28.22,28.55,27.66,27.81
59,2021-02-17,HWM,Industrials,28.75,28.75,28.35,28.64
60,2021-02-16,HWM,Industrials,28.4,28.77,28.11,28.38
61,2021-02-12,HWM,Industrials,28.42,28.71,28.1,28.28
62,2021-02-11,HWM,Industrials,28.26,28.82,27.91,28.75
63,2021-02-10,HWM,Industrials,27.9,28.45,27.65,28.33
64,2021-02-09,HWM,Industrials,27.5,27.92,27.37,27.76
65,2021-02-08,HWM,Industrials,27.35,27.77,27.25,27.74
66,2021-02-05,HWM,Industrials,27.68,27.79,27.0,27.13
67,2021-02-04,HWM,Industrials,27.05,27.95,26.81,27.34
68,2021-02-03,HWM,Industrials,25.3,27.23,25.1,26.86
69,2021-02-02,HWM,Industrials,25.53,26.56,25.23,26.11
70,2021-02-01,HWM,Industrials,24.97,25.34,24.54,25.05
71,2021-01-29,HWM,Industrials,24.64,25.41,24.1,24.58
72,2021-01-28,HWM,Industrials,24.09,24.875,24.0,24.76
73,2021-01-27,HWM,Industrials,24.39,24.45,22.91,23.6
74,2021-01-26,HWM,Industrials,26.14,26.28,24.91,25.0
75,2021-01-25,HWM,Industrials,26.48,26.61,25.3401,25.83
76,2021-01-22,HWM,Industrials,26.71,27.03,26.37,26.76
77,2021-01-21,HWM,Industrials,27.21,27.35,26.63,26.92
78,2021-01-20,HWM,Industrials,27.94,27.99,27.34,27.4
79,2021-01-19,HWM,Industrials,28.25,28.25,27.525,27.75
80,2021-01-15,HWM,Industrials,28.26,28.26,27.6222,27.95
81,2021-01-14,HWM,Industrials,28.53,29.0,28.16,28.59
82,2021-01-13,HWM,Industrials,28.74,28.88,28.09,28.13
83,2021-01-12,HWM,Industrials,28.21,29.1,28.0,28.87
84,2021-01-11,HWM,Industrials,27.47,28.365,27.4,28.21
85,2021-01-08,HWM,Industrials,27.84,27.98,27.32,27.91
86,2021-01-07,HWM,Industrials,28.16,28.22,27.695,27.74
87,2021-01-06,HWM,Industrials,28.09,28.64,27.66,28.03
88,2021-01-05,HWM,Industrials,26.97,28.01,26.82,27.91
89,2021-01-04,HWM,Industrials,28.49,28.5,26.83,26.87
90,2020-12-31,HWM,Industrials,28.46,28.68,28.24,28.54
91,2020-12-30,HWM,Industrials,27.87,28.755,27.87,28.36
92,2020-12-29,HWM,Industrials,27.82,28.07,27.48,27.97
93,2020-12-28,HWM,Industrials,27.47,28.07,27.47,27.73
94,2020-12-24,HWM,Industrials,27.76,27.82,27.11,27.38
95,2020-12-23,HWM,Industrials,26.71,27.91,26.6999,27.77
96,2020-12-22,HWM,Industrials,26.51,26.615,26.1814,26.46
97,2020-12-21,HWM,Industrials,26.55,26.77,26.19,26.46
98,2020-12-18,HWM,Industrials,26.85,27.37,26.78,27.27
