,date,symbol,sector,open,high,low,close
0,2021-05-12,IDXX,Health Care,520.0,520.72,507.6601,512.31
1,2021-05-11,IDXX,Health Care,520.74,534.37,517.78,528.19
2,2021-05-10,IDXX,Health Care,541.01,542.25,525.25,525.26
3,2021-05-07,IDXX,Health Care,540.0,553.75,538.11,544.26
4,2021-05-06,IDXX,Health Care,524.31,535.08,522.89,533.18
5,2021-05-05,IDXX,Health Care,532.6,538.955,527.99,529.92
6,2021-05-04,IDXX,Health Care,559.22,559.42,517.5,526.88
7,2021-05-03,IDXX,Health Care,552.77,558.54,546.7901,549.88
8,2021-04-30,IDXX,Health Care,549.11,552.5,544.75,548.99
9,2021-04-29,IDXX,Health Care,560.43,561.22,548.0,552.63
10,2021-04-28,IDXX,Health Care,554.3,560.0,551.975,557.81
11,2021-04-27,IDXX,Health Care,556.85,559.67,552.56,557.54
12,2021-04-26,IDXX,Health Care,557.99,561.52,554.12,558.42
13,2021-04-23,IDXX,Health Care,551.23,561.07,549.32,559.1
14,2021-04-22,IDXX,Health Care,539.23,554.3192,538.65,546.26
15,2021-04-21,IDXX,Health Care,531.53,546.305,530.93,541.08
16,2021-04-20,IDXX,Health Care,529.31,538.19,528.24,532.27
17,2021-04-19,IDXX,Health Care,533.28,535.395,526.676,528.58
18,2021-04-16,IDXX,Health Care,532.43,536.025,526.0,535.0
19,2021-04-15,IDXX,Health Care,520.0,530.27,518.4701,528.46
20,2021-04-14,IDXX,Health Care,519.99,523.2,512.83,514.16
21,2021-04-13,IDXX,Health Care,509.0,517.68,508.51,516.94
22,2021-04-12,IDXX,Health Care,499.82,509.97,498.13,506.43
23,2021-04-09,IDXX,Health Care,500.08,504.16,496.56,502.88
24,2021-04-08,IDXX,Health Care,494.87,500.0,493.24,499.66
25,2021-04-07,IDXX,Health Care,492.54,493.79,487.0,489.27
26,2021-04-06,IDXX,Health Care,493.21,499.07,489.67,492.9
27,2021-04-05,IDXX,Health Care,488.0,492.61,482.9,491.31
28,2021-04-01,IDXX,Health Care,487.49,495.2,484.37,486.36
29,2021-03-31,IDXX,Health Care,481.52,495.19,479.68,489.31
30,2021-03-30,IDXX,Health Care,474.37,477.57,469.1019,475.95
31,2021-03-29,IDXX,Health Care,480.02,482.7924,469.41,479.18
32,2021-03-26,IDXX,Health Care,473.03,481.13,465.23,480.22
33,2021-03-25,IDXX,Health Care,471.5,474.16,462.0,472.11
34,2021-03-24,IDXX,Health Care,489.1,489.1,471.35,472.97
35,2021-03-23,IDXX,Health Care,490.09,492.4492,485.12,487.66
36,2021-03-22,IDXX,Health Care,486.34,493.94,485.61,491.37
37,2021-03-19,IDXX,Health Care,482.58,487.22,479.281,484.88
38,2021-03-18,IDXX,Health Care,493.52,499.16,483.42,484.47
39,2021-03-17,IDXX,Health Care,503.57,509.14,497.48,504.9
40,2021-03-16,IDXX,Health Care,520.0,521.11,502.47,506.92
41,2021-03-15,IDXX,Health Care,499.89,513.23,498.61,512.76
42,2021-03-12,IDXX,Health Care,498.91,498.91,486.74,497.75
43,2021-03-11,IDXX,Health Care,495.7,505.0048,493.01,502.94
44,2021-03-10,IDXX,Health Care,494.01,505.2,488.28,488.78
45,2021-03-09,IDXX,Health Care,500.33,507.16,493.09,493.57
46,2021-03-08,IDXX,Health Care,498.53,504.37,481.2901,482.6
47,2021-03-05,IDXX,Health Care,486.0,504.53,478.195,499.7
48,2021-03-04,IDXX,Health Care,494.9,497.525,480.51,485.85
49,2021-03-03,IDXX,Health Care,524.76,526.305,495.58,498.02
50,2021-03-02,IDXX,Health Care,542.08,543.2836,527.17,529.47
51,2021-03-01,IDXX,Health Care,529.68,541.29,521.35,538.17
52,2021-02-26,IDXX,Health Care,522.9,526.37,507.34,520.17
53,2021-02-25,IDXX,Health Care,530.08,535.38,509.45,518.28
54,2021-02-24,IDXX,Health Care,526.23,534.75,517.27,532.88
55,2021-02-23,IDXX,Health Care,534.82,535.085,508.11,525.22
56,2021-02-22,IDXX,Health Care,547.12,547.12,534.01,536.91
57,2021-02-19,IDXX,Health Care,561.21,563.56,542.755,544.13
58,2021-02-18,IDXX,Health Care,537.04,573.99,535.17,551.79
59,2021-02-17,IDXX,Health Care,535.9,544.56,532.0619,540.35
60,2021-02-16,IDXX,Health Care,545.0,548.58,531.19,538.16
61,2021-02-12,IDXX,Health Care,530.74,545.85,528.0,544.08
62,2021-02-11,IDXX,Health Care,519.3,529.45,515.18,528.47
63,2021-02-10,IDXX,Health Care,509.26,521.49,505.31,516.54
