,date,symbol,sector,open,high,low,close
0,2021-05-12,IEX,Industrials,224.18,224.25,218.05,218.21
1,2021-05-11,IEX,Industrials,225.8,225.8,222.57,224.75
2,2021-05-10,IEX,Industrials,226.57,228.94,226.57,226.86
3,2021-05-07,IEX,Industrials,225.65,227.57,225.025,226.0
4,2021-05-06,IEX,Industrials,226.69,227.13,224.78,226.34
5,2021-05-05,IEX,Industrials,228.0,227.57,225.21,225.69
6,2021-05-04,IEX,Industrials,222.62,228.11,222.575,227.34
7,2021-05-03,IEX,Industrials,225.62,225.62,223.06,223.5
8,2021-04-30,IEX,Industrials,226.86,226.96,223.37,224.2
9,2021-04-29,IEX,Industrials,226.12,228.31,225.175,228.15
10,2021-04-28,IEX,Industrials,235.76,235.76,222.32,225.0
11,2021-04-27,IEX,Industrials,224.79,227.18,224.36,226.19
12,2021-04-26,IEX,Industrials,226.72,228.06,225.23,225.44
13,2021-04-23,IEX,Industrials,225.79,226.285,225.06,225.19
14,2021-04-22,IEX,Industrials,225.42,226.73,224.2,224.9
15,2021-04-21,IEX,Industrials,222.5,225.85,222.43,224.63
16,2021-04-20,IEX,Industrials,220.11,222.83,219.68,222.47
17,2021-04-19,IEX,Industrials,220.57,221.35,218.87,219.85
18,2021-04-16,IEX,Industrials,219.94,222.31,218.865,220.57
19,2021-04-15,IEX,Industrials,215.96,218.35,214.51,218.05
20,2021-04-14,IEX,Industrials,216.98,218.6,214.66,215.47
21,2021-04-13,IEX,Industrials,217.77,218.39,215.55,216.54
22,2021-04-12,IEX,Industrials,216.85,220.4,216.85,218.24
23,2021-04-09,IEX,Industrials,216.6,218.58,215.13,217.42
24,2021-04-08,IEX,Industrials,213.9,216.6,213.9,215.32
25,2021-04-07,IEX,Industrials,214.48,216.02,212.87,214.29
26,2021-04-06,IEX,Industrials,214.91,217.03,214.2,215.01
27,2021-04-05,IEX,Industrials,213.0,215.23,212.5,214.66
28,2021-04-01,IEX,Industrials,209.58,212.43,206.715,212.25
29,2021-03-31,IEX,Industrials,211.06,212.35,208.56,209.32
30,2021-03-30,IEX,Industrials,209.36,211.18,208.215,210.46
31,2021-03-29,IEX,Industrials,205.25,209.65,204.59,208.14
32,2021-03-26,IEX,Industrials,202.96,206.8,202.715,206.55
33,2021-03-25,IEX,Industrials,201.1,202.19,198.17,201.63
34,2021-03-24,IEX,Industrials,198.56,203.505,198.56,201.34
35,2021-03-23,IEX,Industrials,196.95,199.75,196.36,197.88
36,2021-03-22,IEX,Industrials,198.18,198.57,194.19,198.16
37,2021-03-19,IEX,Industrials,199.7,200.43,197.9939,199.14
38,2021-03-18,IEX,Industrials,197.12,200.66,196.49,200.42
39,2021-03-17,IEX,Industrials,198.98,199.62,195.42,197.22
40,2021-03-16,IEX,Industrials,203.02,203.56,197.07,198.74
41,2021-03-15,IEX,Industrials,199.56,203.47,198.06,203.46
42,2021-03-12,IEX,Industrials,199.97,199.97,196.68,199.35
43,2021-03-11,IEX,Industrials,200.66,202.89,198.78,199.03
44,2021-03-10,IEX,Industrials,197.55,200.71,197.36,200.24
45,2021-03-09,IEX,Industrials,198.53,201.76,197.54,197.64
46,2021-03-08,IEX,Industrials,198.95,201.55,197.44,198.74
47,2021-03-05,IEX,Industrials,197.27,198.33,191.38,197.96
48,2021-03-04,IEX,Industrials,198.4,199.14,192.55,195.13
49,2021-03-03,IEX,Industrials,200.12,201.01,198.83,199.18
50,2021-03-02,IEX,Industrials,200.0,200.63,197.555,199.77
51,2021-03-01,IEX,Industrials,196.5,202.4,196.5,199.91
52,2021-02-26,IEX,Industrials,197.6,197.64,194.54,195.17
53,2021-02-25,IEX,Industrials,197.39,198.925,195.94,197.11
54,2021-02-24,IEX,Industrials,196.32,199.77,196.03,197.93
55,2021-02-23,IEX,Industrials,197.91,199.92,194.94,196.81
56,2021-02-22,IEX,Industrials,195.2,197.99,194.58,197.3
57,2021-02-19,IEX,Industrials,195.2,197.94,194.4506,196.75
58,2021-02-18,IEX,Industrials,193.06,193.72,190.95,193.62
59,2021-02-17,IEX,Industrials,196.81,196.81,192.67,193.5
60,2021-02-16,IEX,Industrials,200.12,202.88,197.28,197.29
61,2021-02-12,IEX,Industrials,197.32,199.95,197.15,199.87
62,2021-02-11,IEX,Industrials,199.94,200.23,196.8,198.0
63,2021-02-10,IEX,Industrials,198.9,200.25,198.21,199.36
64,2021-02-09,IEX,Industrials,198.54,199.49,195.97,197.56
65,2021-02-08,IEX,Industrials,193.25,199.39,191.69,198.43
66,2021-02-05,IEX,Industrials,190.56,195.17,190.56,192.35
67,2021-02-04,IEX,Industrials,195.95,202.71,188.04,189.62
68,2021-02-03,IEX,Industrials,193.72,195.54,192.83,194.79
69,2021-02-02,IEX,Industrials,191.44,195.37,190.34,193.8
