,date,symbol,sector,open,high,low,close
0,2021-05-12,ILMN,Health Care,374.7,382.03,371.0,372.84
1,2021-05-11,ILMN,Health Care,377.15,385.61,373.46,381.51
2,2021-05-10,ILMN,Health Care,382.92,383.265,379.06,380.46
3,2021-05-07,ILMN,Health Care,379.76,389.45,378.69,383.94
4,2021-05-06,ILMN,Health Care,375.93,377.22,369.08,377.09
5,2021-05-05,ILMN,Health Care,381.88,384.09,377.43,378.35
6,2021-05-04,ILMN,Health Care,384.15,384.15,375.08,378.37
7,2021-05-03,ILMN,Health Care,394.67,396.66,385.95,386.4
8,2021-04-30,ILMN,Health Care,397.23,399.445,390.48,392.84
9,2021-04-29,ILMN,Health Care,407.74,411.03,396.89,399.93
10,2021-04-28,ILMN,Health Care,414.62,417.0,393.0,405.54
11,2021-04-27,ILMN,Health Care,417.19,422.64,413.55,413.55
12,2021-04-26,ILMN,Health Care,417.75,421.06,412.8401,420.76
13,2021-04-23,ILMN,Health Care,410.93,416.7099,410.04,414.97
14,2021-04-22,ILMN,Health Care,402.02,411.43,402.02,408.42
15,2021-04-21,ILMN,Health Care,398.03,404.07,395.005,403.33
16,2021-04-20,ILMN,Health Care,401.83,406.95,395.49,398.39
17,2021-04-19,ILMN,Health Care,398.05,405.25,393.35,404.18
18,2021-04-16,ILMN,Health Care,401.89,402.39,390.52,399.0
19,2021-04-15,ILMN,Health Care,403.76,407.72,399.62,401.96
20,2021-04-14,ILMN,Health Care,406.65,408.5796,396.62,398.07
21,2021-04-13,ILMN,Health Care,400.13,407.0,399.68,403.15
22,2021-04-12,ILMN,Health Care,402.78,405.0,395.04,398.99
23,2021-04-09,ILMN,Health Care,406.26,406.26,394.5,403.37
24,2021-04-08,ILMN,Health Care,405.22,409.19,402.21,403.74
25,2021-04-07,ILMN,Health Care,412.15,414.62,398.68,400.55
26,2021-04-06,ILMN,Health Care,424.36,426.44,412.99,414.84
27,2021-04-05,ILMN,Health Care,386.03,387.915,379.26,384.54
28,2021-04-01,ILMN,Health Care,393.21,398.94,380.74,385.04
29,2021-03-31,ILMN,Health Care,373.2135,389.05,373.02,384.06
30,2021-03-30,ILMN,Health Care,394.4,405.1878,364.241,368.96
31,2021-03-29,ILMN,Health Care,401.5,402.98,389.54,395.0
32,2021-03-26,ILMN,Health Care,400.0,402.73,393.475,401.46
33,2021-03-25,ILMN,Health Care,404.61,409.91,394.3204,398.13
34,2021-03-24,ILMN,Health Care,417.66,421.55,404.8,406.8
35,2021-03-23,ILMN,Health Care,431.39,431.73,416.22,416.43
36,2021-03-22,ILMN,Health Care,416.24,431.15,416.24,429.92
37,2021-03-19,ILMN,Health Care,410.74,418.0,407.005,415.9
38,2021-03-18,ILMN,Health Care,412.47,415.92,405.33,409.19
39,2021-03-17,ILMN,Health Care,413.97,424.11,408.65,420.12
40,2021-03-16,ILMN,Health Care,421.06,425.5173,412.03,419.53
41,2021-03-15,ILMN,Health Care,404.31,421.88,404.31,420.32
42,2021-03-12,ILMN,Health Care,402.41,405.74,393.7975,405.12
43,2021-03-11,ILMN,Health Care,406.57,418.42,404.6021,412.89
44,2021-03-10,ILMN,Health Care,407.86,417.2818,399.17,399.45
45,2021-03-09,ILMN,Health Care,391.2117,405.91,391.2117,400.86
46,2021-03-08,ILMN,Health Care,396.47,404.475,383.09,383.62
47,2021-03-05,ILMN,Health Care,402.24,403.48,382.41,398.85
48,2021-03-04,ILMN,Health Care,413.35,418.35,395.69,399.61
49,2021-03-03,ILMN,Health Care,436.56,437.105,416.17,416.41
50,2021-03-02,ILMN,Health Care,444.61,448.3492,438.07,441.01
51,2021-03-01,ILMN,Health Care,449.0,451.74,443.1401,446.5
52,2021-02-26,ILMN,Health Care,444.85,445.98,432.06,439.41
53,2021-02-25,ILMN,Health Care,460.81,461.76,437.16,445.86
54,2021-02-24,ILMN,Health Care,462.0,466.035,448.08,461.05
55,2021-02-23,ILMN,Health Care,463.28,469.61,450.16,464.54
56,2021-02-22,ILMN,Health Care,480.0,482.836,468.48,470.56
57,2021-02-19,ILMN,Health Care,488.18,494.0,479.55,486.26
58,2021-02-18,ILMN,Health Care,486.75,490.05,475.6,485.79
59,2021-02-17,ILMN,Health Care,490.8722,496.96,481.5001,494.24
60,2021-02-16,ILMN,Health Care,508.3796,508.3796,487.34,492.55
61,2021-02-12,ILMN,Health Care,453.31,555.77,452.33,504.76
62,2021-02-11,ILMN,Health Care,454.13,456.66,445.51,451.22
63,2021-02-10,ILMN,Health Care,450.97,460.52,448.41,450.0
64,2021-02-09,ILMN,Health Care,450.0,453.8,442.09,453.0
65,2021-02-08,ILMN,Health Care,432.44,451.36,431.02,451.06
66,2021-02-05,ILMN,Health Care,431.9,432.475,422.55,428.91
67,2021-02-04,ILMN,Health Care,425.39,432.0,419.3,428.64
68,2021-02-03,ILMN,Health Care,440.14,440.5,419.7,420.2
69,2021-02-02,ILMN,Health Care,444.84,453.0,432.44,440.25
70,2021-02-01,ILMN,Health Care,427.14,450.26,427.14,443.38
71,2021-01-29,ILMN,Health Care,435.73,439.22,425.72,426.44
72,2021-01-28,ILMN,Health Care,433.5,453.68,432.96,438.22
73,2021-01-27,ILMN,Health Care,414.52,434.94,406.84,432.08
74,2021-01-26,ILMN,Health Care,418.95,425.92,416.29,420.55
75,2021-01-25,ILMN,Health Care,407.02,425.71,406.69,421.0
76,2021-01-22,ILMN,Health Care,400.66,408.81,398.2501,406.25
