,date,symbol,sector,open,high,low,close
0,2021-05-12,INCY,Health Care,79.8183,83.24,79.63,82.37
1,2021-05-11,INCY,Health Care,80.32,81.5,79.42,80.64
2,2021-05-10,INCY,Health Care,83.0,83.51,81.39,81.39
3,2021-05-07,INCY,Health Care,82.49,84.26,82.12,82.74
4,2021-05-06,INCY,Health Care,81.21,82.83,80.27,82.31
5,2021-05-05,INCY,Health Care,81.76,83.13,81.19,81.28
6,2021-05-04,INCY,Health Care,83.49,85.19,80.73,81.03
7,2021-05-03,INCY,Health Care,85.4,86.029,84.5,85.52
8,2021-04-30,INCY,Health Care,84.5,85.82,84.31,85.38
9,2021-04-29,INCY,Health Care,84.95,85.15,84.02,84.89
10,2021-04-28,INCY,Health Care,84.27,85.26,83.95,84.89
11,2021-04-27,INCY,Health Care,86.03,86.34,84.39,84.63
12,2021-04-26,INCY,Health Care,85.47,86.22,84.72,85.61
13,2021-04-23,INCY,Health Care,84.6,85.7,83.44,85.58
14,2021-04-22,INCY,Health Care,84.5,84.5,82.85,84.18
15,2021-04-21,INCY,Health Care,84.46,84.85,83.82,84.72
16,2021-04-20,INCY,Health Care,82.9,84.64,82.9,84.57
17,2021-04-19,INCY,Health Care,82.79,83.72,81.665,82.67
18,2021-04-16,INCY,Health Care,83.62,83.869,81.52,82.68
19,2021-04-15,INCY,Health Care,82.87,84.1664,82.44,83.2
20,2021-04-14,INCY,Health Care,80.65,83.215,80.54,82.21
21,2021-04-13,INCY,Health Care,80.0,81.89,80.0,80.65
22,2021-04-12,INCY,Health Care,80.635,80.75,78.44,79.87
23,2021-04-09,INCY,Health Care,80.81,81.27,79.56,79.96
24,2021-04-08,INCY,Health Care,82.0,82.61,80.14,80.83
25,2021-04-07,INCY,Health Care,83.51,83.51,81.19,81.38
26,2021-04-06,INCY,Health Care,83.0,83.89,82.55,83.18
27,2021-04-05,INCY,Health Care,82.83,83.41,82.34,83.25
28,2021-04-01,INCY,Health Care,81.57,83.13,80.28,83.01
29,2021-03-31,INCY,Health Care,81.01,82.3,80.47,81.27
30,2021-03-30,INCY,Health Care,80.61,80.61,78.95,80.23
31,2021-03-29,INCY,Health Care,81.36,82.23,80.36,81.1
32,2021-03-26,INCY,Health Care,79.78,81.85,79.34,81.75
33,2021-03-25,INCY,Health Care,78.92,79.95,77.39,79.78
34,2021-03-24,INCY,Health Care,79.36,79.67,77.675,78.48
35,2021-03-23,INCY,Health Care,81.55,81.75,79.44,79.85
36,2021-03-22,INCY,Health Care,78.96,82.1,78.96,81.67
37,2021-03-19,INCY,Health Care,79.73,81.22,78.39,79.37
38,2021-03-18,INCY,Health Care,79.36,80.04,78.01,78.25
39,2021-03-17,INCY,Health Care,78.79,81.08,77.78,80.2
40,2021-03-16,INCY,Health Care,81.38,81.51,79.0,80.28
41,2021-03-15,INCY,Health Care,79.49,80.84,78.71,80.65
42,2021-03-12,INCY,Health Care,78.84,79.16,77.5,79.01
43,2021-03-11,INCY,Health Care,78.91,80.48,78.91,79.48
44,2021-03-10,INCY,Health Care,79.28,80.19,77.8425,78.35
