,date,symbol,sector,open,high,low,close
0,2021-05-12,INFO,Industrials,104.16,104.22,101.2,101.53
1,2021-05-11,INFO,Industrials,105.92,106.65,104.21,104.6
2,2021-05-10,INFO,Industrials,108.13,109.34,107.66,107.7
3,2021-05-07,INFO,Industrials,107.86,108.4,107.5,107.87
4,2021-05-06,INFO,Industrials,108.32,108.57,106.645,107.55
5,2021-05-05,INFO,Industrials,109.26,109.0,107.92,108.02
6,2021-05-04,INFO,Industrials,107.56,109.34,107.55,109.34
7,2021-05-03,INFO,Industrials,108.0,108.7797,107.74,108.5
8,2021-04-30,INFO,Industrials,107.72,108.69,107.43,107.58
9,2021-04-29,INFO,Industrials,105.88,108.65,105.77,108.37
10,2021-04-28,INFO,Industrials,106.6,107.03,105.24,105.24
11,2021-04-27,INFO,Industrials,106.25,106.52,105.2,106.07
12,2021-04-26,INFO,Industrials,106.72,107.04,105.76,105.86
13,2021-04-23,INFO,Industrials,105.9,107.37,105.72,106.81
14,2021-04-22,INFO,Industrials,105.35,106.08,104.79,105.4
15,2021-04-21,INFO,Industrials,104.18,105.47,104.08,105.15
16,2021-04-20,INFO,Industrials,103.37,104.28,102.83,103.9
17,2021-04-19,INFO,Industrials,103.76,104.23,103.37,103.5
18,2021-04-16,INFO,Industrials,103.5,104.09,103.0,103.94
19,2021-04-15,INFO,Industrials,102.6,103.42,102.6,103.16
20,2021-04-14,INFO,Industrials,103.06,103.73,102.25,102.41
21,2021-04-13,INFO,Industrials,101.87,103.08,101.58,102.71
22,2021-04-12,INFO,Industrials,101.46,102.46,101.17,102.32
23,2021-04-09,INFO,Industrials,100.87,101.72,100.12,101.65
24,2021-04-08,INFO,Industrials,99.94,101.59,99.7,100.67
25,2021-04-07,INFO,Industrials,100.44,100.95,98.95,99.33
26,2021-04-06,INFO,Industrials,100.68,101.27,100.2,100.57
27,2021-04-05,INFO,Industrials,99.73,101.3,99.36,100.83
28,2021-04-01,INFO,Industrials,97.2,99.74,97.2,99.5
29,2021-03-31,INFO,Industrials,97.19,97.6,96.551,96.78
30,2021-03-30,INFO,Industrials,98.7,98.7,96.81,96.91
31,2021-03-29,INFO,Industrials,98.43,99.37,98.26,99.28
32,2021-03-26,INFO,Industrials,96.58,98.65,96.25,98.57
33,2021-03-25,INFO,Industrials,96.47,96.5,95.36,96.31
34,2021-03-24,INFO,Industrials,95.13,96.84,94.79,96.19
35,2021-03-23,INFO,Industrials,94.5,95.65,94.11,94.94
36,2021-03-22,INFO,Industrials,95.45,96.3,94.6,94.61
37,2021-03-19,INFO,Industrials,95.67,95.9499,95.19,95.34
38,2021-03-18,INFO,Industrials,95.97,96.53,94.24,95.46
39,2021-03-17,INFO,Industrials,95.35,96.378,94.73,95.8
40,2021-03-16,INFO,Industrials,96.62,98.13,95.27,95.33
41,2021-03-15,INFO,Industrials,94.48,96.52,94.48,96.34
42,2021-03-12,INFO,Industrials,94.49,94.79,93.21,94.53
43,2021-03-11,INFO,Industrials,94.0,94.74,93.56,94.44
44,2021-03-10,INFO,Industrials,93.86,94.18,92.67,93.94
45,2021-03-09,INFO,Industrials,93.99,95.71,93.16,93.26
46,2021-03-08,INFO,Industrials,90.99,94.49,90.99,93.17
47,2021-03-05,INFO,Industrials,90.0,91.18,89.065,90.81
48,2021-03-04,INFO,Industrials,89.8,91.44,88.81,89.25
49,2021-03-03,INFO,Industrials,90.86,91.56,89.37,89.49
50,2021-03-02,INFO,Industrials,92.42,92.42,91.4,91.73
51,2021-03-01,INFO,Industrials,90.88,92.95,90.67,92.52
52,2021-02-26,INFO,Industrials,90.78,91.16,89.55,90.16
53,2021-02-25,INFO,Industrials,91.03,91.96,90.13,90.37
54,2021-02-24,INFO,Industrials,89.05,91.18,88.445,91.16
55,2021-02-23,INFO,Industrials,91.44,91.44,88.8961,89.46
56,2021-02-22,INFO,Industrials,92.41,92.665,91.14,91.44
57,2021-02-19,INFO,Industrials,93.03,94.04,92.91,93.2
58,2021-02-18,INFO,Industrials,92.78,93.71,92.53,92.87
59,2021-02-17,INFO,Industrials,92.38,93.4,92.29,93.15
60,2021-02-16,INFO,Industrials,93.62,93.97,92.59,93.1
61,2021-02-12,INFO,Industrials,93.0,93.74,92.6,93.59
62,2021-02-11,INFO,Industrials,91.35,93.41,91.35,93.18
63,2021-02-10,INFO,Industrials,91.84,92.47,90.89,91.47
64,2021-02-09,INFO,Industrials,90.02,92.84,89.65,91.2
65,2021-02-08,INFO,Industrials,89.25,89.65,88.87,89.42
66,2021-02-05,INFO,Industrials,90.32,90.74,89.12,89.32
67,2021-02-04,INFO,Industrials,88.75,90.14,88.75,89.96
68,2021-02-03,INFO,Industrials,90.1,90.46,88.85,88.99
69,2021-02-02,INFO,Industrials,88.95,91.29,88.75,90.61
70,2021-02-01,INFO,Industrials,88.0,89.0,87.59,88.35
71,2021-01-29,INFO,Industrials,87.37,87.95,85.88,87.08
72,2021-01-28,INFO,Industrials,85.77,89.455,85.55,87.8
73,2021-01-27,INFO,Industrials,87.55,89.59,83.93,85.16
