,date,symbol,sector,open,high,low,close
0,2021-05-12,IQV,Health Care,229.86,231.76,227.59,228.0
1,2021-05-11,IQV,Health Care,229.31,233.3,227.4,232.07
2,2021-05-10,IQV,Health Care,234.96,235.86,231.28,231.49
3,2021-05-07,IQV,Health Care,232.0,236.21,231.86,234.39
4,2021-05-06,IQV,Health Care,231.33,231.74,229.35,231.22
5,2021-05-05,IQV,Health Care,233.55,234.15,231.46,231.94
6,2021-05-04,IQV,Health Care,232.0,233.67,229.47,232.69
7,2021-05-03,IQV,Health Care,236.0,236.62,231.725,233.96
8,2021-04-30,IQV,Health Care,235.11,236.92,232.59,234.69
9,2021-04-29,IQV,Health Care,237.0,237.47,232.12,235.45
10,2021-04-28,IQV,Health Care,233.77,237.29,232.7475,236.02
11,2021-04-27,IQV,Health Care,233.32,234.66,231.692,234.41
12,2021-04-26,IQV,Health Care,233.09,235.19,232.18,233.42
13,2021-04-23,IQV,Health Care,226.4,232.91,226.4,232.3
14,2021-04-22,IQV,Health Care,225.95,235.51,223.6,225.94
15,2021-04-21,IQV,Health Care,216.5,220.55,215.22,219.0
16,2021-04-20,IQV,Health Care,215.87,219.6,215.87,217.12
17,2021-04-19,IQV,Health Care,215.71,218.33,214.96,216.22
18,2021-04-16,IQV,Health Care,216.0,216.91,214.8115,215.56
19,2021-04-15,IQV,Health Care,210.75,217.6299,210.75,214.13
20,2021-04-14,IQV,Health Care,208.62,211.11,207.86,208.9
21,2021-04-13,IQV,Health Care,208.09,208.84,206.69,207.49
22,2021-04-12,IQV,Health Care,207.9,208.48,205.775,208.21
23,2021-04-09,IQV,Health Care,205.68,207.79,204.66,207.66
24,2021-04-08,IQV,Health Care,202.46,204.905,202.46,204.34
25,2021-04-07,IQV,Health Care,203.43,203.44,200.07,201.6
26,2021-04-06,IQV,Health Care,200.3,203.79,200.2,203.57
27,2021-04-05,IQV,Health Care,199.0,201.31,199.0,200.37
28,2021-04-01,IQV,Health Care,195.03,199.31,191.84,198.06
29,2021-03-31,IQV,Health Care,192.14,195.06,190.85,193.14
30,2021-03-30,IQV,Health Care,189.7,191.735,189.15,190.79
31,2021-03-29,IQV,Health Care,191.04,192.23,189.7,191.0
32,2021-03-26,IQV,Health Care,187.85,193.16,186.65,192.86
33,2021-03-25,IQV,Health Care,186.29,187.04,184.305,186.55
34,2021-03-24,IQV,Health Care,187.26,189.23,185.55,186.11
35,2021-03-23,IQV,Health Care,189.53,189.77,186.37,186.99
36,2021-03-22,IQV,Health Care,188.3,191.06,187.14,189.73
37,2021-03-19,IQV,Health Care,187.09,189.62,185.78,188.33
38,2021-03-18,IQV,Health Care,188.53,190.05,185.73,186.5
39,2021-03-17,IQV,Health Care,188.69,191.1,187.61,189.71
40,2021-03-16,IQV,Health Care,191.77,192.79,187.34,189.39
41,2021-03-15,IQV,Health Care,186.03,190.72,185.84,190.65
42,2021-03-12,IQV,Health Care,188.14,189.22,185.25,186.81
43,2021-03-11,IQV,Health Care,191.36,191.83,189.08,189.37
44,2021-03-10,IQV,Health Care,190.24,191.79,189.54,189.74
45,2021-03-09,IQV,Health Care,190.06,192.795,188.81,189.39
46,2021-03-08,IQV,Health Care,191.47,194.95,187.62,187.8
47,2021-03-05,IQV,Health Care,187.87,189.92,181.13,188.78
48,2021-03-04,IQV,Health Care,189.71,191.26,183.9073,186.58
49,2021-03-03,IQV,Health Care,191.17,192.435,188.61,190.59
50,2021-03-02,IQV,Health Care,194.33,194.79,190.12,192.74
51,2021-03-01,IQV,Health Care,194.98,196.72,192.55,194.39
52,2021-02-26,IQV,Health Care,193.82,195.27,189.39,192.79
53,2021-02-25,IQV,Health Care,194.05,195.0,190.675,192.55
54,2021-02-24,IQV,Health Care,191.18,197.35,191.18,194.59
55,2021-02-23,IQV,Health Care,190.67,192.81,189.89,191.05
56,2021-02-22,IQV,Health Care,187.45,190.79,186.385,190.14
57,2021-02-19,IQV,Health Care,188.4,189.45,185.97,188.7
58,2021-02-18,IQV,Health Care,188.0,189.03,185.38,187.71
59,2021-02-17,IQV,Health Care,188.51,191.67,188.22,188.93
60,2021-02-16,IQV,Health Care,192.66,193.16,189.67,190.5
61,2021-02-12,IQV,Health Care,191.57,193.22,188.9,192.66
62,2021-02-11,IQV,Health Care,191.66,196.965,191.31,192.85
63,2021-02-10,IQV,Health Care,195.75,199.99,189.59,190.05
64,2021-02-09,IQV,Health Care,185.64,187.1399,183.79,183.82
65,2021-02-08,IQV,Health Care,187.47,189.08,186.415,186.91
66,2021-02-05,IQV,Health Care,186.03,187.0,184.83,186.1
67,2021-02-04,IQV,Health Care,183.36,185.97,182.03,184.32
68,2021-02-03,IQV,Health Care,183.91,185.5,182.35,182.99
69,2021-02-02,IQV,Health Care,183.15,187.34,182.25,184.41
70,2021-02-01,IQV,Health Care,180.18,182.2,178.83,180.44
71,2021-01-29,IQV,Health Care,178.05,181.75,176.51,177.8
72,2021-01-28,IQV,Health Care,175.94,180.34,174.91,178.66
73,2021-01-27,IQV,Health Care,176.12,176.845,170.0,173.0
74,2021-01-26,IQV,Health Care,184.48,184.68,180.06,180.34
75,2021-01-25,IQV,Health Care,185.75,186.4388,179.53,183.02
76,2021-01-22,IQV,Health Care,186.99,187.41,185.13,185.59
77,2021-01-21,IQV,Health Care,189.65,191.27,187.63,187.69
78,2021-01-20,IQV,Health Care,189.03,191.27,188.03,190.54
79,2021-01-19,IQV,Health Care,191.5,191.5,186.47,188.97
80,2021-01-15,IQV,Health Care,187.92,188.75,185.61,187.79
81,2021-01-14,IQV,Health Care,189.38,190.55,187.7,188.11
82,2021-01-13,IQV,Health Care,189.04,191.37,188.96,189.36
83,2021-01-12,IQV,Health Care,191.0,192.34,187.94,189.42
84,2021-01-11,IQV,Health Care,190.07,192.07,188.27,191.44
85,2021-01-08,IQV,Health Care,188.0,192.0,187.53,191.08
86,2021-01-07,IQV,Health Care,187.8,189.81,187.32,188.06
87,2021-01-06,IQV,Health Care,177.13,187.05,176.995,186.25
88,2021-01-05,IQV,Health Care,175.73,180.33,175.73,179.34
89,2021-01-04,IQV,Health Care,178.44,179.81,174.28,176.6
90,2020-12-31,IQV,Health Care,178.04,179.37,175.39,179.17
91,2020-12-30,IQV,Health Care,175.55,178.58,175.2,177.52
92,2020-12-29,IQV,Health Care,177.49,177.5225,174.31,174.83
93,2020-12-28,IQV,Health Care,177.5,177.5,173.825,175.32
94,2020-12-24,IQV,Health Care,175.91,176.46,174.94,175.94
95,2020-12-23,IQV,Health Care,177.84,178.99,174.9,175.55
96,2020-12-22,IQV,Health Care,177.37,177.37,174.605,176.98
97,2020-12-21,IQV,Health Care,177.31,177.97,173.87,176.75
98,2020-12-18,IQV,Health Care,179.58,180.99,177.66,180.39
99,2020-12-17,IQV,Health Care,175.73,179.22,175.0,178.95
100,2020-12-16,IQV,Health Care,172.42,175.46,171.07,174.69
101,2020-12-15,IQV,Health Care,168.72,173.34,167.67,172.42
102,2020-12-14,IQV,Health Care,169.08,172.25,166.91,167.3
103,2020-12-11,IQV,Health Care,167.4,168.59,165.52,167.81
104,2020-12-10,IQV,Health Care,168.4,169.98,167.43,168.47
105,2020-12-09,IQV,Health Care,171.18,171.5,168.39,168.5
106,2020-12-08,IQV,Health Care,169.44,171.45,168.38,171.29
107,2020-12-07,IQV,Health Care,170.69,172.14,169.14,170.07
