,date,symbol,sector,open,high,low,close
0,2021-05-12,IR,Industrials,48.29,48.51,47.03,47.13
1,2021-05-11,IR,Industrials,47.89,48.92,47.21,48.16
2,2021-05-10,IR,Industrials,50.86,51.6,50.11,50.12
3,2021-05-07,IR,Industrials,49.27,50.69,48.865,50.53
4,2021-05-06,IR,Industrials,49.42,49.69,48.99,49.53
5,2021-05-05,IR,Industrials,49.47,49.665,49.27,49.41
6,2021-05-04,IR,Industrials,48.09,49.27,47.615,49.21
7,2021-05-03,IR,Industrials,49.53,49.79,48.25,48.3
8,2021-04-30,IR,Industrials,50.72,50.985,49.29,49.41
9,2021-04-29,IR,Industrials,50.31,51.7,49.77,51.24
10,2021-04-28,IR,Industrials,51.05,52.12,50.97,51.94
11,2021-04-27,IR,Industrials,51.46,51.46,50.65,51.21
12,2021-04-26,IR,Industrials,51.58,52.0,51.21,51.23
13,2021-04-23,IR,Industrials,51.51,51.89,51.08,51.62
14,2021-04-22,IR,Industrials,50.96,52.115,50.59,51.24
15,2021-04-21,IR,Industrials,50.12,51.13,49.81,50.95
16,2021-04-20,IR,Industrials,50.86,50.9,49.48,50.34
17,2021-04-19,IR,Industrials,50.08,50.96,50.01,50.91
18,2021-04-16,IR,Industrials,49.81,50.38,49.52,50.24
19,2021-04-15,IR,Industrials,49.52,49.74,49.02,49.34
20,2021-04-14,IR,Industrials,49.36,50.115,49.32,49.4
21,2021-04-13,IR,Industrials,49.87,49.92,48.63,49.23
22,2021-04-12,IR,Industrials,51.44,51.49,49.92,50.15
23,2021-04-09,IR,Industrials,50.57,50.73,49.73,50.58
24,2021-04-08,IR,Industrials,50.05,50.4,49.33,50.32
25,2021-04-07,IR,Industrials,50.08,50.35,49.52,50.14
26,2021-04-06,IR,Industrials,50.36,50.7699,49.91,50.23
27,2021-04-05,IR,Industrials,50.02,50.5687,49.86,50.09
28,2021-04-01,IR,Industrials,49.41,49.72,48.93,49.61
29,2021-03-31,IR,Industrials,50.1,50.92,49.17,49.21
30,2021-03-30,IR,Industrials,49.75,50.388,49.42,50.04
31,2021-03-29,IR,Industrials,49.59,49.97,49.37,49.59
32,2021-03-26,IR,Industrials,49.26,49.96,48.79,49.71
33,2021-03-25,IR,Industrials,47.89,48.985,46.94,48.73
34,2021-03-24,IR,Industrials,47.54,48.95,47.54,48.34
35,2021-03-23,IR,Industrials,48.24,48.723,46.94,47.14
36,2021-03-22,IR,Industrials,49.4,49.4,48.02,48.81
37,2021-03-19,IR,Industrials,49.63,49.99,48.51,49.45
38,2021-03-18,IR,Industrials,49.78,50.9,49.46,49.74
39,2021-03-17,IR,Industrials,49.09,50.02,48.56,49.78
40,2021-03-16,IR,Industrials,50.31,50.51,48.94,48.94
41,2021-03-15,IR,Industrials,49.53,50.79,49.18,50.76
42,2021-03-12,IR,Industrials,49.13,49.71,48.86,49.6
43,2021-03-11,IR,Industrials,49.02,49.95,48.7316,49.02
44,2021-03-10,IR,Industrials,48.72,49.44,47.91,48.97
45,2021-03-09,IR,Industrials,50.53,50.55,48.08,48.09
46,2021-03-08,IR,Industrials,49.82,51.61,49.49,50.55
47,2021-03-05,IR,Industrials,47.62,49.68,46.81,49.49
48,2021-03-04,IR,Industrials,46.64,47.74,46.0,47.06
49,2021-03-03,IR,Industrials,46.71,47.5,46.6,46.81
50,2021-03-02,IR,Industrials,47.27,47.5,46.75,46.8
51,2021-03-01,IR,Industrials,47.04,47.97,46.99,47.46
52,2021-02-26,IR,Industrials,46.37,46.934,45.7173,46.34
53,2021-02-25,IR,Industrials,48.01,48.92,46.2,46.35
54,2021-02-24,IR,Industrials,45.84,48.26,45.46,48.1
55,2021-02-23,IR,Industrials,44.68,46.99,43.9558,45.58
56,2021-02-22,IR,Industrials,43.49,44.82,43.33,43.77
57,2021-02-19,IR,Industrials,43.05,44.31,43.05,43.89
58,2021-02-18,IR,Industrials,42.7,43.01,42.0,42.77
59,2021-02-17,IR,Industrials,43.44,43.58,42.83,42.99
60,2021-02-16,IR,Industrials,44.27,44.5,43.3,43.57
61,2021-02-12,IR,Industrials,43.89,44.37,43.41,43.92
62,2021-02-11,IR,Industrials,44.44,45.27,43.5,44.03
63,2021-02-10,IR,Industrials,44.21,44.64,43.8,44.46
64,2021-02-09,IR,Industrials,43.78,44.53,43.68,44.07
65,2021-02-08,IR,Industrials,43.84,44.2,43.69,44.05
66,2021-02-05,IR,Industrials,43.55,44.11,43.19,43.78
67,2021-02-04,IR,Industrials,43.78,44.04,42.85,42.99
68,2021-02-03,IR,Industrials,43.12,43.745,42.84,43.56
69,2021-02-02,IR,Industrials,43.13,43.665,42.62,43.38
70,2021-02-01,IR,Industrials,42.39,42.71,41.68,42.6
71,2021-01-29,IR,Industrials,42.37,42.65,41.4,41.84
72,2021-01-28,IR,Industrials,41.48,42.99,41.21,42.64
73,2021-01-27,IR,Industrials,42.56,42.6,40.64,40.81
74,2021-01-26,IR,Industrials,44.9,45.245,43.58,43.59
75,2021-01-25,IR,Industrials,45.0,45.22,44.16,44.51
76,2021-01-22,IR,Industrials,45.43,45.715,45.01,45.23
77,2021-01-21,IR,Industrials,45.93,46.23,45.71,45.76
78,2021-01-20,IR,Industrials,46.45,46.71,45.824,45.99
79,2021-01-19,IR,Industrials,46.36,46.59,45.93,46.29
80,2021-01-15,IR,Industrials,47.17,47.3,45.54,45.91
81,2021-01-14,IR,Industrials,46.39,46.78,45.93,46.34
82,2021-01-13,IR,Industrials,46.87,47.17,46.08,46.08
83,2021-01-12,IR,Industrials,46.99,47.78,46.54,47.06
84,2021-01-11,IR,Industrials,45.91,46.68,45.59,46.49
85,2021-01-08,IR,Industrials,47.13,47.46,45.83,46.4
86,2021-01-07,IR,Industrials,47.01,47.41,46.58,47.02
87,2021-01-06,IR,Industrials,45.86,47.65,45.795,46.68
88,2021-01-05,IR,Industrials,44.37,45.415,44.37,45.2
89,2021-01-04,IR,Industrials,45.68,45.76,43.84,44.31
90,2020-12-31,IR,Industrials,45.25,45.64,44.43,45.56
91,2020-12-30,IR,Industrials,44.5,45.38,44.5,45.24
92,2020-12-29,IR,Industrials,45.19,45.43,44.15,44.48
93,2020-12-28,IR,Industrials,46.29,46.8214,45.05,45.1
94,2020-12-24,IR,Industrials,45.78,46.04,45.19,46.03
95,2020-12-23,IR,Industrials,45.78,45.99,45.33,45.76
96,2020-12-22,IR,Industrials,45.81,45.98,45.5,45.56
97,2020-12-21,IR,Industrials,44.28,45.7,44.01,45.66
