,date,symbol,sector,open,high,low,close
0,2021-05-12,ISRG,Health Care,824.05,825.48,804.27,811.79
1,2021-05-11,ISRG,Health Care,823.16,840.815,820.99,836.75
2,2021-05-10,ISRG,Health Care,859.03,862.0,833.06,834.79
3,2021-05-07,ISRG,Health Care,845.3,863.275,845.3,857.09
4,2021-05-06,ISRG,Health Care,834.26,842.69,825.66,842.46
5,2021-05-05,ISRG,Health Care,854.13,860.98,836.53,838.4
6,2021-05-04,ISRG,Health Care,861.72,862.08,834.105,848.99
7,2021-05-03,ISRG,Health Care,873.47,874.99,860.14,867.55
8,2021-04-30,ISRG,Health Care,856.97,865.91,855.27,865.0
9,2021-04-29,ISRG,Health Care,873.7,873.7,857.82,863.22
10,2021-04-28,ISRG,Health Care,862.57,875.83,860.98,868.79
11,2021-04-27,ISRG,Health Care,867.0,867.0,858.5,861.38
12,2021-04-26,ISRG,Health Care,866.44,872.07,860.174,865.94
13,2021-04-23,ISRG,Health Care,851.19,882.915,842.72,875.53
14,2021-04-22,ISRG,Health Care,884.89,887.885,858.56,859.66
15,2021-04-21,ISRG,Health Care,840.92,893.79,820.0,891.38
16,2021-04-20,ISRG,Health Care,806.66,824.53,806.65,811.11
17,2021-04-19,ISRG,Health Care,808.77,815.68,802.52,811.19
18,2021-04-16,ISRG,Health Care,807.65,813.4,801.85,812.57
19,2021-04-15,ISRG,Health Care,792.66,808.0,789.3,804.72
20,2021-04-14,ISRG,Health Care,792.0,800.245,784.8,785.83
21,2021-04-13,ISRG,Health Care,778.95,796.825,778.95,794.47
22,2021-04-12,ISRG,Health Care,778.13,785.66,777.315,779.26
23,2021-04-09,ISRG,Health Care,773.58,786.32,768.4801,784.48
24,2021-04-08,ISRG,Health Care,765.95,774.1,765.95,770.35
25,2021-04-07,ISRG,Health Care,767.39,771.015,759.57,761.02
26,2021-04-06,ISRG,Health Care,767.13,776.265,760.8,766.85
27,2021-04-05,ISRG,Health Care,750.21,770.63,750.21,765.93
28,2021-04-01,ISRG,Health Care,749.99,758.07,745.88,747.6
29,2021-03-31,ISRG,Health Care,728.56,743.93,727.26,738.94
30,2021-03-30,ISRG,Health Care,719.11,728.99,714.52,726.49
31,2021-03-29,ISRG,Health Care,729.45,734.14,717.325,723.95
32,2021-03-26,ISRG,Health Care,707.08,731.84,704.75,730.75
33,2021-03-25,ISRG,Health Care,710.6493,714.42,693.62,704.5
34,2021-03-24,ISRG,Health Care,712.0,720.34,705.49,711.07
35,2021-03-23,ISRG,Health Care,716.51,720.98,707.65,710.82
36,2021-03-22,ISRG,Health Care,707.72,721.155,703.14,714.73
37,2021-03-19,ISRG,Health Care,701.5,714.72,695.39,707.49
38,2021-03-18,ISRG,Health Care,715.72,719.57,695.06,699.32
39,2021-03-17,ISRG,Health Care,724.33,728.97,712.8,724.64
40,2021-03-16,ISRG,Health Care,740.41,741.5,721.51,726.63
41,2021-03-15,ISRG,Health Care,727.32,737.55,725.05,735.06
42,2021-03-12,ISRG,Health Care,721.12,736.41,720.0,733.99
43,2021-03-11,ISRG,Health Care,730.36,738.98,724.3569,732.0
44,2021-03-10,ISRG,Health Care,720.98,727.61,712.83,719.81
45,2021-03-09,ISRG,Health Care,697.54,710.25,690.01,702.8
46,2021-03-08,ISRG,Health Care,705.35,710.57,682.4,684.9
47,2021-03-05,ISRG,Health Care,712.25,718.44,687.24,713.37
48,2021-03-04,ISRG,Health Care,725.0,727.24,699.03,709.17
49,2021-03-03,ISRG,Health Care,746.06,746.06,721.481,727.15
50,2021-03-02,ISRG,Health Care,760.0,760.0,746.78,750.0
51,2021-03-01,ISRG,Health Care,749.04,760.77,745.665,759.21
52,2021-02-26,ISRG,Health Care,743.9,747.7042,726.31,736.8
53,2021-02-25,ISRG,Health Care,754.86,758.89,731.9,741.79
54,2021-02-24,ISRG,Health Care,743.73,759.67,738.285,758.71
55,2021-02-23,ISRG,Health Care,742.0,748.63,732.1,744.71
56,2021-02-22,ISRG,Health Care,751.79,752.79,737.0,741.4
57,2021-02-19,ISRG,Health Care,773.25,773.25,749.68,750.15
58,2021-02-18,ISRG,Health Care,774.57,776.42,757.79,767.53
59,2021-02-17,ISRG,Health Care,782.0,788.4,774.42,780.06
60,2021-02-16,ISRG,Health Care,810.0,812.79,788.89,791.95
61,2021-02-12,ISRG,Health Care,799.26,808.42,793.7916,807.81
62,2021-02-11,ISRG,Health Care,794.0,800.4,788.22,798.83
63,2021-02-10,ISRG,Health Care,787.0,794.51,778.9155,788.09
64,2021-02-09,ISRG,Health Care,772.99,788.91,770.78,779.35
65,2021-02-08,ISRG,Health Care,768.26,775.04,761.86,769.99
66,2021-02-05,ISRG,Health Care,764.6,766.33,760.5,762.25
67,2021-02-04,ISRG,Health Care,750.0,764.64,745.26,757.05
68,2021-02-03,ISRG,Health Care,754.99,757.76,744.61,745.4
69,2021-02-02,ISRG,Health Care,753.66,768.49,753.66,757.84
