,date,symbol,sector,open,high,low,close
0,2021-05-12,ITW,Industrials,236.33,236.65,231.77,231.79
1,2021-05-11,ITW,Industrials,238.36,238.43,233.92,236.37
2,2021-05-10,ITW,Industrials,240.0,242.065,238.51,239.06
3,2021-05-07,ITW,Industrials,235.99,239.153,235.005,238.28
4,2021-05-06,ITW,Industrials,236.65,237.51,235.235,237.06
5,2021-05-05,ITW,Industrials,236.3,237.14,235.02,235.66
6,2021-05-04,ITW,Industrials,233.96,236.6999,233.1201,235.98
7,2021-05-03,ITW,Industrials,232.0,234.16,229.44,233.56
8,2021-04-30,ITW,Industrials,230.69,235.0,227.16,230.46
9,2021-04-29,ITW,Industrials,230.53,232.29,230.08,230.77
10,2021-04-28,ITW,Industrials,229.99,231.25,229.05,230.0
11,2021-04-27,ITW,Industrials,227.65,229.61,226.59,229.36
12,2021-04-26,ITW,Industrials,229.72,230.69,227.39,227.7
13,2021-04-23,ITW,Industrials,227.08,229.375,225.84,228.52
14,2021-04-22,ITW,Industrials,226.97,227.81,225.76,225.99
15,2021-04-21,ITW,Industrials,223.43,227.685,222.41,226.82
16,2021-04-20,ITW,Industrials,224.03,224.66,221.285,222.86
17,2021-04-19,ITW,Industrials,223.77,223.9007,222.11,223.83
18,2021-04-16,ITW,Industrials,223.0,224.67,222.11,224.03
19,2021-04-15,ITW,Industrials,221.94,222.21,220.5,221.25
20,2021-04-14,ITW,Industrials,221.36,222.83,221.285,221.62
21,2021-04-13,ITW,Industrials,223.12,223.36,219.53,221.43
22,2021-04-12,ITW,Industrials,222.76,223.78,222.28,223.6
23,2021-04-09,ITW,Industrials,219.48,222.73,219.11,222.63
24,2021-04-08,ITW,Industrials,219.47,220.32,217.49,218.3
25,2021-04-07,ITW,Industrials,222.4,223.305,219.815,219.95
26,2021-04-06,ITW,Industrials,222.63,224.68,222.09,223.18
27,2021-04-05,ITW,Industrials,222.56,223.82,221.39,222.3
28,2021-04-01,ITW,Industrials,222.55,223.15,219.1,221.38
29,2021-03-31,ITW,Industrials,224.75,225.07,220.82,221.52
30,2021-03-30,ITW,Industrials,225.67,226.2,223.75,224.76
31,2021-03-29,ITW,Industrials,226.62,228.77,225.99,226.78
32,2021-03-26,ITW,Industrials,224.0,227.77,223.65,227.61
33,2021-03-25,ITW,Industrials,220.9,222.99,217.81,222.78
34,2021-03-24,ITW,Industrials,217.84,222.88,217.77,220.36
35,2021-03-23,ITW,Industrials,217.6,219.86,215.98,216.73
36,2021-03-22,ITW,Industrials,217.94,219.6,216.66,219.11
37,2021-03-19,ITW,Industrials,221.0,222.12,216.63,218.69
38,2021-03-18,ITW,Industrials,220.22,223.64,219.6,221.75
39,2021-03-17,ITW,Industrials,219.04,222.0,218.31,219.9
40,2021-03-16,ITW,Industrials,219.55,220.69,217.27,218.52
41,2021-03-15,ITW,Industrials,215.94,219.94,215.94,219.71
42,2021-03-12,ITW,Industrials,214.15,216.62,213.44,216.0
43,2021-03-11,ITW,Industrials,213.54,215.44,212.33,213.05
44,2021-03-10,ITW,Industrials,210.33,215.4,210.33,213.98
45,2021-03-09,ITW,Industrials,213.58,214.01,210.73,210.85
46,2021-03-08,ITW,Industrials,211.17,216.3708,209.7,213.4
47,2021-03-05,ITW,Industrials,205.84,210.6799,204.08,210.01
48,2021-03-04,ITW,Industrials,206.91,208.965,203.1,203.97
49,2021-03-03,ITW,Industrials,206.88,208.92,206.3,207.56
50,2021-03-02,ITW,Industrials,206.49,207.76,205.05,206.5
51,2021-03-01,ITW,Industrials,203.67,209.05,203.67,206.44
52,2021-02-26,ITW,Industrials,202.95,204.49,200.2,202.18
53,2021-02-25,ITW,Industrials,203.18,205.64,201.68,202.69
54,2021-02-24,ITW,Industrials,201.35,203.63,201.24,203.45
55,2021-02-23,ITW,Industrials,201.98,202.94,200.4,201.53
56,2021-02-22,ITW,Industrials,200.13,201.74,199.31,201.02
57,2021-02-19,ITW,Industrials,200.07,203.02,200.07,201.4
58,2021-02-18,ITW,Industrials,198.63,199.67,196.5254,199.24
59,2021-02-17,ITW,Industrials,198.04,199.3,196.36,198.24
60,2021-02-16,ITW,Industrials,202.09,203.0,197.87,199.03
61,2021-02-12,ITW,Industrials,200.12,201.81,197.42,200.98
62,2021-02-11,ITW,Industrials,205.13,205.53,198.64,200.94
63,2021-02-10,ITW,Industrials,204.34,205.27,203.19,204.9
64,2021-02-09,ITW,Industrials,203.92,204.37,201.25,203.3
65,2021-02-08,ITW,Industrials,203.0,205.38,202.2403,204.24
66,2021-02-05,ITW,Industrials,198.27,202.4,198.14,202.19
67,2021-02-04,ITW,Industrials,198.69,199.27,196.76,197.06
68,2021-02-03,ITW,Industrials,197.27,198.35,196.07,197.4
69,2021-02-02,ITW,Industrials,196.7,201.11,196.7,198.24
70,2021-02-01,ITW,Industrials,196.61,196.92,193.19,194.88
71,2021-01-29,ITW,Industrials,195.98,196.97,193.98,194.21
72,2021-01-28,ITW,Industrials,197.31,201.115,196.61,197.29
73,2021-01-27,ITW,Industrials,196.95,197.485,192.89,195.34
74,2021-01-26,ITW,Industrials,203.69,203.69,199.13,199.71
75,2021-01-25,ITW,Industrials,203.03,203.43,200.0853,202.32
76,2021-01-22,ITW,Industrials,202.48,204.18,201.105,203.46
77,2021-01-21,ITW,Industrials,204.78,206.36,202.8289,203.83
78,2021-01-20,ITW,Industrials,205.52,205.52,202.98,204.99
79,2021-01-19,ITW,Industrials,206.5,207.975,204.14,204.81
80,2021-01-15,ITW,Industrials,203.81,204.16,200.3,203.19
81,2021-01-14,ITW,Industrials,208.22,208.55,205.11,205.41
82,2021-01-13,ITW,Industrials,209.39,210.08,207.05,207.23
83,2021-01-12,ITW,Industrials,209.82,211.3,209.165,209.34
84,2021-01-11,ITW,Industrials,207.1,210.04,206.41,208.07
85,2021-01-08,ITW,Industrials,210.06,210.2,205.3301,208.96
86,2021-01-07,ITW,Industrials,209.66,210.27,207.0,209.26
87,2021-01-06,ITW,Industrials,206.02,211.9,205.45,209.04
88,2021-01-05,ITW,Industrials,202.56,205.82,202.56,203.82
89,2021-01-04,ITW,Industrials,209.37,209.37,201.5,203.13
90,2020-12-31,ITW,Industrials,201.78,203.96,201.19,203.88
91,2020-12-30,ITW,Industrials,200.01,202.72,199.89,202.17
92,2020-12-29,ITW,Industrials,203.57,203.65,198.82,200.41
93,2020-12-28,ITW,Industrials,204.36,205.3,201.86,202.38
94,2020-12-24,ITW,Industrials,202.18,202.97,201.07,202.44
95,2020-12-23,ITW,Industrials,203.65,204.215,201.89,201.98
96,2020-12-22,ITW,Industrials,203.06,203.82,201.395,202.39
97,2020-12-21,ITW,Industrials,200.36,204.59,198.27,203.86
98,2020-12-18,ITW,Industrials,205.5,206.9,201.62,203.88
99,2020-12-17,ITW,Industrials,205.19,206.7846,204.01,206.11
100,2020-12-16,ITW,Industrials,203.58,204.77,202.33,203.85
101,2020-12-15,ITW,Industrials,201.47,204.63,200.785,203.7
102,2020-12-14,ITW,Industrials,205.4,205.58,199.51,199.67
103,2020-12-11,ITW,Industrials,201.09,204.31,201.0,203.56
104,2020-12-10,ITW,Industrials,205.65,206.18,201.41,202.55
105,2020-12-09,ITW,Industrials,206.7,208.58,206.0,206.57
106,2020-12-08,ITW,Industrials,202.0,206.61,201.7,206.29
107,2020-12-07,ITW,Industrials,204.6,204.99,201.4,202.73
108,2020-12-04,ITW,Industrials,204.41,206.54,204.03,205.13
109,2020-12-03,ITW,Industrials,205.83,207.84,202.83,203.45
110,2020-12-02,ITW,Industrials,210.0,211.78,204.22,205.02
111,2020-12-01,ITW,Industrials,213.42,214.095,209.81,210.06
112,2020-11-30,ITW,Industrials,211.0,211.1,208.045,211.09
113,2020-11-27,ITW,Industrials,212.1,212.59,211.11,212.23
114,2020-11-25,ITW,Industrials,212.37,212.37,208.765,211.1
115,2020-11-24,ITW,Industrials,211.21,213.63,211.075,212.31
116,2020-11-23,ITW,Industrials,205.09,209.64,204.6,208.77
117,2020-11-20,ITW,Industrials,206.7,206.8,203.48,203.84
118,2020-11-19,ITW,Industrials,205.14,207.5,202.09,206.89
119,2020-11-18,ITW,Industrials,210.9,211.59,205.98,206.1
120,2020-11-17,ITW,Industrials,209.84,211.29,208.19,209.87
121,2020-11-16,ITW,Industrials,214.05,214.74,209.2,211.86
122,2020-11-13,ITW,Industrials,211.08,212.79,209.97,211.47
123,2020-11-12,ITW,Industrials,213.12,213.12,208.065,209.64
124,2020-11-11,ITW,Industrials,218.12,218.275,213.39,213.68
125,2020-11-10,ITW,Industrials,214.08,219.07,213.68,217.54
