,date,symbol,sector,open,high,low,close
0,2021-05-12,J,Industrials,139.83,140.7,135.19,135.4
1,2021-05-11,J,Industrials,141.59,141.67,138.395,140.14
2,2021-05-10,J,Industrials,141.67,145.97,140.4372,142.36
3,2021-05-07,J,Industrials,137.49,141.075,136.62,139.95
4,2021-05-06,J,Industrials,138.53,139.0,137.36,138.45
5,2021-05-05,J,Industrials,138.51,138.58,137.79,138.17
6,2021-05-04,J,Industrials,135.15,138.3,134.84,138.26
7,2021-05-03,J,Industrials,135.0,136.23,133.77,135.74
8,2021-04-30,J,Industrials,135.18,135.81,133.11,133.61
9,2021-04-29,J,Industrials,136.14,136.14,135.14,135.37
10,2021-04-28,J,Industrials,137.1,137.23,135.75,136.0
11,2021-04-27,J,Industrials,136.53,137.115,135.41,136.71
12,2021-04-26,J,Industrials,137.41,138.54,135.93,136.44
13,2021-04-23,J,Industrials,135.54,137.8335,135.35,137.14
14,2021-04-22,J,Industrials,135.99,137.3,134.9601,135.17
15,2021-04-21,J,Industrials,133.55,135.68,132.79,135.46
16,2021-04-20,J,Industrials,133.72,134.17,131.51,133.19
17,2021-04-19,J,Industrials,134.29,134.53,132.62,133.72
18,2021-04-16,J,Industrials,135.1,135.11,133.225,133.78
19,2021-04-15,J,Industrials,131.25,134.04,130.79,133.91
20,2021-04-14,J,Industrials,131.69,132.02,130.34,131.32
21,2021-04-13,J,Industrials,133.85,133.85,131.085,131.58
22,2021-04-12,J,Industrials,135.26,136.19,133.995,134.43
23,2021-04-09,J,Industrials,133.52,135.17,132.54,135.11
24,2021-04-08,J,Industrials,131.56,132.97,130.13,132.77
25,2021-04-07,J,Industrials,131.79,132.06,130.39,131.45
26,2021-04-06,J,Industrials,131.63,133.76,131.63,131.96
27,2021-04-05,J,Industrials,131.66,133.1,130.75,132.68
28,2021-04-01,J,Industrials,130.0,131.24,128.975,129.95
29,2021-03-31,J,Industrials,128.77,129.7,127.395,129.27
30,2021-03-30,J,Industrials,127.37,128.49,127.12,128.13
31,2021-03-29,J,Industrials,127.81,129.0,126.58,127.37
32,2021-03-26,J,Industrials,126.28,128.74,123.86,128.62
33,2021-03-25,J,Industrials,123.78,126.73,121.77,126.15
34,2021-03-24,J,Industrials,122.07,124.63,121.74,123.3
35,2021-03-23,J,Industrials,122.66,123.715,121.4,121.8
36,2021-03-22,J,Industrials,122.38,123.2985,121.0,123.19
37,2021-03-19,J,Industrials,124.13,124.38,121.43,123.37
38,2021-03-18,J,Industrials,125.57,127.435,124.27,124.62
39,2021-03-17,J,Industrials,125.09,125.74,123.64,125.32
40,2021-03-16,J,Industrials,125.76,125.76,123.65,124.53
41,2021-03-15,J,Industrials,126.04,126.485,124.22,125.88
42,2021-03-12,J,Industrials,125.11,126.75,125.11,126.46
43,2021-03-11,J,Industrials,124.54,127.0,124.32,125.06
44,2021-03-10,J,Industrials,122.5,124.98,121.53,124.75
45,2021-03-09,J,Industrials,118.72,121.71,117.74,121.65
46,2021-03-08,J,Industrials,117.07,119.98,116.67,118.25
47,2021-03-05,J,Industrials,113.54,116.24,112.125,115.52
48,2021-03-04,J,Industrials,115.57,116.37,111.84,112.88
49,2021-03-03,J,Industrials,114.7,116.82,114.045,115.07
50,2021-03-02,J,Industrials,115.17,116.0,114.16,114.55
51,2021-03-01,J,Industrials,116.99,117.63,115.09,115.18
52,2021-02-26,J,Industrials,117.9,118.06,115.024,115.08
53,2021-02-25,J,Industrials,119.8,120.44,117.3,117.7
54,2021-02-24,J,Industrials,116.83,120.35,116.06,119.75
55,2021-02-23,J,Industrials,115.74,116.72,114.1501,116.23
