,date,symbol,sector,open,high,low,close
0,2021-05-12,JBHT,Industrials,176.02,177.81,172.8601,173.18
1,2021-05-11,JBHT,Industrials,180.04,180.22,175.52,176.44
2,2021-05-10,JBHT,Industrials,181.64,183.8,180.1101,180.47
3,2021-05-07,JBHT,Industrials,175.57,178.87,173.965,178.27
4,2021-05-06,JBHT,Industrials,172.85,175.0,170.95,174.9
5,2021-05-05,JBHT,Industrials,177.57,177.57,173.05,173.65
6,2021-05-04,JBHT,Industrials,173.28,177.6886,172.81,176.57
7,2021-05-03,JBHT,Industrials,171.8,175.225,171.8,174.1
8,2021-04-30,JBHT,Industrials,170.97,172.41,170.04,170.71
9,2021-04-29,JBHT,Industrials,169.91,173.695,169.46,172.02
10,2021-04-28,JBHT,Industrials,169.33,170.67,168.38,168.92
11,2021-04-27,JBHT,Industrials,168.43,170.36,168.13,169.64
12,2021-04-26,JBHT,Industrials,169.91,170.92,166.78,167.76
13,2021-04-23,JBHT,Industrials,169.61,170.59,169.07,169.2
14,2021-04-22,JBHT,Industrials,166.56,170.78,166.3,169.59
15,2021-04-21,JBHT,Industrials,169.03,170.55,166.21,166.78
16,2021-04-20,JBHT,Industrials,167.35,168.67,165.2,168.37
17,2021-04-19,JBHT,Industrials,171.66,172.31,166.225,166.93
18,2021-04-16,JBHT,Industrials,175.0,178.4,170.76,172.16
19,2021-04-15,JBHT,Industrials,170.24,171.57,168.29,169.77
20,2021-04-14,JBHT,Industrials,170.4,170.4,167.9,169.18
21,2021-04-13,JBHT,Industrials,171.38,171.38,168.48,170.41
22,2021-04-12,JBHT,Industrials,168.92,171.84,168.86,171.5
23,2021-04-09,JBHT,Industrials,168.94,170.155,168.09,169.51
24,2021-04-08,JBHT,Industrials,168.81,169.005,166.42,167.61
25,2021-04-07,JBHT,Industrials,169.15,169.79,168.09,169.31
26,2021-04-06,JBHT,Industrials,170.97,171.94,169.07,169.3
27,2021-04-05,JBHT,Industrials,170.68,173.035,170.68,171.07
28,2021-04-01,JBHT,Industrials,167.71,169.91,166.75,169.8
29,2021-03-31,JBHT,Industrials,168.92,169.98,166.61,168.07
30,2021-03-30,JBHT,Industrials,167.55,170.05,167.1,169.34
31,2021-03-29,JBHT,Industrials,166.19,168.72,165.75,167.34
32,2021-03-26,JBHT,Industrials,162.33,167.11,161.9,166.9
33,2021-03-25,JBHT,Industrials,160.47,162.05,157.815,161.42
34,2021-03-24,JBHT,Industrials,156.63,161.32,156.25,159.53
35,2021-03-23,JBHT,Industrials,157.94,160.4,155.16,155.95
36,2021-03-22,JBHT,Industrials,163.93,163.93,157.28,158.41
37,2021-03-19,JBHT,Industrials,161.34,163.7,159.9101,162.31
38,2021-03-18,JBHT,Industrials,159.62,164.46,159.62,162.09
39,2021-03-17,JBHT,Industrials,158.68,160.6,156.38,159.9
40,2021-03-16,JBHT,Industrials,161.71,161.71,157.2501,158.17
41,2021-03-15,JBHT,Industrials,163.18,163.18,160.1,161.46
42,2021-03-12,JBHT,Industrials,160.19,163.7,158.92,162.83
43,2021-03-11,JBHT,Industrials,156.72,159.34,154.27,159.29
44,2021-03-10,JBHT,Industrials,160.47,160.47,156.885,157.0
45,2021-03-09,JBHT,Industrials,160.89,164.2975,160.04,160.69
46,2021-03-08,JBHT,Industrials,155.99,160.95,155.23,159.39
47,2021-03-05,JBHT,Industrials,150.14,156.26,148.345,155.63
48,2021-03-04,JBHT,Industrials,155.85,155.9,148.69,149.29
49,2021-03-03,JBHT,Industrials,151.26,154.62,150.65,152.59
50,2021-03-02,JBHT,Industrials,149.02,152.56,148.02,150.73
51,2021-03-01,JBHT,Industrials,147.81,152.19,147.81,149.39
52,2021-02-26,JBHT,Industrials,146.64,148.74,145.375,146.87
53,2021-02-25,JBHT,Industrials,146.65,147.76,145.38,146.48
54,2021-02-24,JBHT,Industrials,144.16,147.5384,143.86,146.66
55,2021-02-23,JBHT,Industrials,144.83,145.2,140.88,144.51
56,2021-02-22,JBHT,Industrials,145.56,147.02,144.17,145.55
57,2021-02-19,JBHT,Industrials,147.94,149.95,146.16,146.56
58,2021-02-18,JBHT,Industrials,143.35,147.41,142.69,146.9
59,2021-02-17,JBHT,Industrials,145.51,145.7851,141.41,143.82
60,2021-02-16,JBHT,Industrials,148.91,149.49,145.59,146.32
61,2021-02-12,JBHT,Industrials,147.36,149.36,146.72,148.32
62,2021-02-11,JBHT,Industrials,147.6,147.62,145.68,147.32
63,2021-02-10,JBHT,Industrials,148.04,148.04,145.16,146.72
64,2021-02-09,JBHT,Industrials,146.9,148.53,146.004,148.35
65,2021-02-08,JBHT,Industrials,145.21,146.49,144.03,146.02
