,date,symbol,sector,open,high,low,close
0,2021-05-12,JCI,Industrials,63.56,64.4099,62.855,63.07
1,2021-05-11,JCI,Industrials,65.31,65.33,63.5,64.13
2,2021-05-10,JCI,Industrials,65.9,66.695,65.78,65.83
3,2021-05-07,JCI,Industrials,64.43,65.97,63.87,65.7
4,2021-05-06,JCI,Industrials,64.78,65.18,64.55,64.87
5,2021-05-05,JCI,Industrials,63.84,64.695,63.83,64.47
6,2021-05-04,JCI,Industrials,63.6,64.31,63.33,63.64
7,2021-05-03,JCI,Industrials,62.97,64.09,62.36,63.89
8,2021-04-30,JCI,Industrials,61.05,62.54,60.11,62.34
9,2021-04-29,JCI,Industrials,63.19,63.49,62.49,63.28
10,2021-04-28,JCI,Industrials,63.44,64.085,62.97,63.1
11,2021-04-27,JCI,Industrials,62.87,63.7,62.65,63.4
12,2021-04-26,JCI,Industrials,63.22,63.8,62.525,62.81
13,2021-04-23,JCI,Industrials,62.28,63.25,62.1,62.9
14,2021-04-22,JCI,Industrials,62.4,63.52,62.11,62.29
15,2021-04-21,JCI,Industrials,61.23,61.96,60.97,61.88
16,2021-04-20,JCI,Industrials,62.25,62.29,60.86,61.2
17,2021-04-19,JCI,Industrials,62.34,62.63,62.03,62.32
18,2021-04-16,JCI,Industrials,62.58,62.85,62.11,62.49
19,2021-04-15,JCI,Industrials,61.7,62.165,61.24,62.14
20,2021-04-14,JCI,Industrials,61.33,61.89,61.27,61.39
21,2021-04-13,JCI,Industrials,62.03,62.11,61.05,61.46
22,2021-04-12,JCI,Industrials,61.75,62.07,61.58,62.03
23,2021-04-09,JCI,Industrials,61.11,61.915,60.485,61.76
24,2021-04-08,JCI,Industrials,60.08,60.52,59.53,60.45
25,2021-04-07,JCI,Industrials,60.75,61.01,60.055,60.15
26,2021-04-06,JCI,Industrials,60.95,61.37,60.75,60.97
27,2021-04-05,JCI,Industrials,60.49,61.36,60.33,60.89
28,2021-04-01,JCI,Industrials,59.95,60.07,59.53,59.9
29,2021-03-31,JCI,Industrials,60.56,60.86,59.63,59.67
30,2021-03-30,JCI,Industrials,60.25,60.855,60.12,60.73
31,2021-03-29,JCI,Industrials,60.84,61.1,59.89,60.47
32,2021-03-26,JCI,Industrials,60.0,60.13,59.39,59.99
33,2021-03-25,JCI,Industrials,58.62,59.685,58.15,59.38
34,2021-03-24,JCI,Industrials,59.22,59.52,58.47,58.59
35,2021-03-23,JCI,Industrials,59.39,59.93,58.2,58.44
36,2021-03-22,JCI,Industrials,59.8,60.47,59.41,59.96
37,2021-03-19,JCI,Industrials,60.96,61.07,59.42,60.0
38,2021-03-18,JCI,Industrials,60.53,62.15,60.53,61.52
39,2021-03-17,JCI,Industrials,60.74,60.85,59.9,60.52
40,2021-03-16,JCI,Industrials,62.07,62.27,60.05,60.57
41,2021-03-15,JCI,Industrials,61.52,62.4,60.72,62.29
42,2021-03-12,JCI,Industrials,61.08,61.91,60.84,61.81
43,2021-03-11,JCI,Industrials,60.46,61.41,60.2,61.09
44,2021-03-10,JCI,Industrials,59.25,60.55,58.9601,60.23
45,2021-03-09,JCI,Industrials,60.08,60.3,59.21,59.22
46,2021-03-08,JCI,Industrials,59.38,60.94,59.01,60.22
47,2021-03-05,JCI,Industrials,57.8,59.31,56.97,59.2
48,2021-03-04,JCI,Industrials,57.63,58.21,55.83,57.27
49,2021-03-03,JCI,Industrials,57.49,58.3,57.2,57.95
50,2021-03-02,JCI,Industrials,57.34,57.56,56.43,57.45
51,2021-03-01,JCI,Industrials,56.36,57.575,56.36,57.18
52,2021-02-26,JCI,Industrials,55.65,56.44,55.14,55.79
53,2021-02-25,JCI,Industrials,56.15,56.6,55.33,55.6
54,2021-02-24,JCI,Industrials,56.0,56.56,55.46,56.1
55,2021-02-23,JCI,Industrials,56.48,56.48,55.32,55.98
56,2021-02-22,JCI,Industrials,56.0,56.7,55.41,56.32
57,2021-02-19,JCI,Industrials,56.17,56.828,55.88,56.02
58,2021-02-18,JCI,Industrials,55.3,55.925,54.81,55.67
59,2021-02-17,JCI,Industrials,52.78,55.33,52.66,55.2
60,2021-02-16,JCI,Industrials,53.82,54.06,52.99,53.0
