,date,symbol,sector,open,high,low,close
0,2021-05-12,JNJ,Health Care,168.54,169.8,167.95,168.2
1,2021-05-11,JNJ,Health Care,170.65,170.87,168.28,168.88
2,2021-05-10,JNJ,Health Care,169.9,171.53,169.23,170.27
3,2021-05-07,JNJ,Health Care,168.3,169.18,167.83,168.5
4,2021-05-06,JNJ,Health Care,166.79,167.885,166.24,167.74
5,2021-05-05,JNJ,Health Care,167.5,167.5,166.81,167.07
6,2021-05-04,JNJ,Health Care,164.83,167.85,164.67,167.77
7,2021-05-03,JNJ,Health Care,163.6,165.32,163.12,165.21
8,2021-04-30,JNJ,Health Care,164.15,164.33,162.52,162.73
9,2021-04-29,JNJ,Health Care,161.9,164.26,161.81,164.2
10,2021-04-28,JNJ,Health Care,162.86,163.2,161.65,161.98
11,2021-04-27,JNJ,Health Care,163.76,163.91,162.47,163.18
12,2021-04-26,JNJ,Health Care,165.21,165.41,163.76,164.12
13,2021-04-23,JNJ,Health Care,164.53,166.06,163.9996,165.52
14,2021-04-22,JNJ,Health Care,165.836,166.28,164.62,165.18
15,2021-04-21,JNJ,Health Care,166.37,166.91,165.29,166.59
16,2021-04-20,JNJ,Health Care,161.0,167.7899,161.0,166.48
17,2021-04-19,JNJ,Health Care,162.5,163.11,160.84,162.69
18,2021-04-16,JNJ,Health Care,161.34,162.51,160.56,162.24
19,2021-04-15,JNJ,Health Care,160.72,162.39,160.23,160.39
20,2021-04-14,JNJ,Health Care,157.83,160.11,157.54,159.92
21,2021-04-13,JNJ,Health Care,156.86,159.93,156.53,159.48
22,2021-04-12,JNJ,Health Care,161.09,162.08,160.34,161.64
23,2021-04-09,JNJ,Health Care,162.12,162.93,159.78,161.25
24,2021-04-08,JNJ,Health Care,164.0,164.1116,162.85,162.97
25,2021-04-07,JNJ,Health Care,163.55,164.28,163.316,163.61
26,2021-04-06,JNJ,Health Care,164.08,164.52,163.0,163.39
27,2021-04-05,JNJ,Health Care,163.64,164.75,162.66,163.43
28,2021-04-01,JNJ,Health Care,162.6,163.84,162.26,162.83
29,2021-03-31,JNJ,Health Care,164.96,165.39,163.7,164.35
30,2021-03-30,JNJ,Health Care,165.02,165.66,164.23,165.01
31,2021-03-29,JNJ,Health Care,163.83,167.03,163.6314,166.04
32,2021-03-26,JNJ,Health Care,162.09,165.1,161.38,164.93
33,2021-03-25,JNJ,Health Care,162.44,162.45,160.64,161.97
34,2021-03-24,JNJ,Health Care,160.1,162.48,159.82,161.91
35,2021-03-23,JNJ,Health Care,160.21,161.2004,158.88,160.35
36,2021-03-22,JNJ,Health Care,158.31,160.65,158.0,160.5
37,2021-03-19,JNJ,Health Care,160.69,161.5,159.47,160.04
38,2021-03-18,JNJ,Health Care,160.21,161.49,159.96,160.47
39,2021-03-17,JNJ,Health Care,160.83,161.73,159.53,160.77
40,2021-03-16,JNJ,Health Care,160.46,161.68,160.24,161.37
41,2021-03-15,JNJ,Health Care,159.75,160.66,158.5,160.42
42,2021-03-12,JNJ,Health Care,159.28,160.31,159.19,159.6
43,2021-03-11,JNJ,Health Care,159.54,160.63,158.92,159.14
44,2021-03-10,JNJ,Health Care,158.82,159.895,157.36,159.15
45,2021-03-09,JNJ,Health Care,156.89,160.75,156.89,157.7
46,2021-03-08,JNJ,Health Care,157.0,159.33,155.98,157.4
47,2021-03-05,JNJ,Health Care,153.98,156.69,153.13,156.1
48,2021-03-04,JNJ,Health Care,155.99,156.1,151.47,153.07
49,2021-03-03,JNJ,Health Care,158.25,158.9,156.0604,156.22
50,2021-03-02,JNJ,Health Care,159.78,160.78,158.6,159.02
51,2021-03-01,JNJ,Health Care,161.45,161.53,159.09,159.32
52,2021-02-26,JNJ,Health Care,162.0,162.41,157.97,158.46
53,2021-02-25,JNJ,Health Care,163.13,163.7,161.99,162.76
54,2021-02-24,JNJ,Health Care,162.4,164.39,160.92,162.59
55,2021-02-23,JNJ,Health Care,161.48,163.19,160.4,160.44
56,2021-02-22,JNJ,Health Care,161.87,162.54,160.29,161.87
