,date,symbol,sector,open,high,low,close
0,2021-05-12,KMX,Consumer Discretionary,122.5,122.8,118.02,118.07
1,2021-05-11,KMX,Consumer Discretionary,126.69,127.26,122.74,123.42
2,2021-05-10,KMX,Consumer Discretionary,130.64,130.76,127.72,127.91
3,2021-05-07,KMX,Consumer Discretionary,129.77,130.67,128.52,129.99
4,2021-05-06,KMX,Consumer Discretionary,137.98,138.02,128.25,130.29
5,2021-05-05,KMX,Consumer Discretionary,138.0,138.66,137.13,137.9
6,2021-05-04,KMX,Consumer Discretionary,136.88,137.95,134.99,137.41
7,2021-05-03,KMX,Consumer Discretionary,134.25,138.0,134.2043,136.94
8,2021-04-30,KMX,Consumer Discretionary,132.65,133.5,131.885,133.24
9,2021-04-29,KMX,Consumer Discretionary,134.98,136.0,131.87,133.19
10,2021-04-28,KMX,Consumer Discretionary,132.81,134.8,132.22,134.09
11,2021-04-27,KMX,Consumer Discretionary,131.43,134.19,131.2269,133.05
12,2021-04-26,KMX,Consumer Discretionary,131.99,132.33,130.31,131.43
13,2021-04-23,KMX,Consumer Discretionary,129.69,131.6,128.36,131.08
14,2021-04-22,KMX,Consumer Discretionary,129.79,130.83,128.3,129.05
15,2021-04-21,KMX,Consumer Discretionary,127.53,129.53,126.86,128.93
16,2021-04-20,KMX,Consumer Discretionary,130.5,130.89,126.4,127.8
17,2021-04-19,KMX,Consumer Discretionary,130.0,130.38,128.82,130.1
18,2021-04-16,KMX,Consumer Discretionary,130.31,130.6,129.19,129.97
19,2021-04-15,KMX,Consumer Discretionary,129.03,129.79,127.79,129.19
20,2021-04-14,KMX,Consumer Discretionary,130.68,131.89,129.4394,129.62
21,2021-04-13,KMX,Consumer Discretionary,131.5,131.5,128.84,130.15
22,2021-04-12,KMX,Consumer Discretionary,131.25,132.35,130.48,132.1
23,2021-04-09,KMX,Consumer Discretionary,128.9,132.12,128.15,131.63
24,2021-04-08,KMX,Consumer Discretionary,126.08,128.24,124.69,128.15
25,2021-04-07,KMX,Consumer Discretionary,126.04,127.44,124.84,126.1
26,2021-04-06,KMX,Consumer Discretionary,127.28,127.83,124.685,126.33
