,date,symbol,sector,open,high,low,close
0,2021-05-12,KSU,Industrials,308.0,309.03,305.6,305.8
1,2021-05-11,KSU,Industrials,305.55,309.63,305.5,308.17
2,2021-05-10,KSU,Industrials,305.39,309.39,305.39,307.82
3,2021-05-07,KSU,Industrials,299.54,306.0,299.54,305.22
4,2021-05-06,KSU,Industrials,293.95,296.99,292.58,296.31
5,2021-05-05,KSU,Industrials,295.63,297.0,293.39,294.55
6,2021-05-04,KSU,Industrials,292.15,295.95,292.15,294.14
7,2021-05-03,KSU,Industrials,294.94,295.37,292.41,293.5
8,2021-04-30,KSU,Industrials,294.02,295.6767,291.03,292.21
9,2021-04-29,KSU,Industrials,297.0,297.61,293.91,294.68
10,2021-04-28,KSU,Industrials,299.38,300.9899,294.61,295.07
11,2021-04-27,KSU,Industrials,300.15,301.15,299.41,299.42
12,2021-04-26,KSU,Industrials,303.08,304.99,300.39,300.9
13,2021-04-23,KSU,Industrials,297.86,302.02,296.78,301.62
14,2021-04-22,KSU,Industrials,296.1,300.045,296.0,296.58
15,2021-04-21,KSU,Industrials,295.13,299.7,294.79,297.65
16,2021-04-20,KSU,Industrials,291.12,299.515,290.99,295.5
17,2021-04-19,KSU,Industrials,256.92,259.61,255.71,256.4
18,2021-04-16,KSU,Industrials,259.06,260.2,257.0035,257.51
19,2021-04-15,KSU,Industrials,261.99,262.63,258.31,258.64
20,2021-04-14,KSU,Industrials,260.15,262.14,259.96,260.93
21,2021-04-13,KSU,Industrials,261.64,263.775,259.04,260.15
22,2021-04-12,KSU,Industrials,261.84,264.83,260.41,263.74
23,2021-04-09,KSU,Industrials,263.35,263.57,261.14,262.2
24,2021-04-08,KSU,Industrials,262.07,264.02,261.25,262.2
25,2021-04-07,KSU,Industrials,262.92,264.49,261.7766,264.01
26,2021-04-06,KSU,Industrials,267.0,267.56,261.61,262.69
27,2021-04-05,KSU,Industrials,268.32,269.49,266.78,266.78
28,2021-04-01,KSU,Industrials,264.33,267.605,263.3,266.98
29,2021-03-31,KSU,Industrials,259.31,264.72,259.31,263.92
30,2021-03-30,KSU,Industrials,255.05,260.0,255.05,259.63
31,2021-03-29,KSU,Industrials,252.81,257.62,252.4,255.23
32,2021-03-26,KSU,Industrials,253.85,255.0,250.78,253.62
33,2021-03-25,KSU,Industrials,251.94,255.33,250.43,252.7
34,2021-03-24,KSU,Industrials,246.63,255.0,246.4,254.11
35,2021-03-23,KSU,Industrials,249.08,252.03,246.43,246.85
36,2021-03-22,KSU,Industrials,259.17,260.29,248.01,249.09
37,2021-03-19,KSU,Industrials,223.34,226.55,219.52,224.16
38,2021-03-18,KSU,Industrials,222.11,227.84,222.11,223.32
39,2021-03-17,KSU,Industrials,219.57,225.5,216.42,223.09
40,2021-03-16,KSU,Industrials,220.34,220.655,215.84,219.8
41,2021-03-15,KSU,Industrials,215.64,219.99,215.29,219.81
42,2021-03-12,KSU,Industrials,215.48,216.32,213.86,215.55
43,2021-03-11,KSU,Industrials,215.36,216.0,214.18,214.86
44,2021-03-10,KSU,Industrials,214.49,216.79,212.69,214.26
45,2021-03-09,KSU,Industrials,211.08,214.79,211.08,212.77
46,2021-03-08,KSU,Industrials,213.28,215.53,209.81,210.57
47,2021-03-05,KSU,Industrials,203.21,212.18,199.14,211.69
48,2021-03-04,KSU,Industrials,206.61,207.47,197.03,201.31
49,2021-03-03,KSU,Industrials,209.71,210.77,206.295,207.34
50,2021-03-02,KSU,Industrials,215.15,216.18,210.01,210.14
51,2021-03-01,KSU,Industrials,215.12,218.72,214.17,216.13
52,2021-02-26,KSU,Industrials,214.32,215.73,210.665,212.34
53,2021-02-25,KSU,Industrials,218.04,219.89,212.22,213.51
54,2021-02-24,KSU,Industrials,212.52,219.97,212.0,218.81
55,2021-02-23,KSU,Industrials,214.5,214.61,209.61,212.62
56,2021-02-22,KSU,Industrials,211.73,216.43,211.1328,213.7
57,2021-02-19,KSU,Industrials,207.19,214.0,206.555,212.59
58,2021-02-18,KSU,Industrials,209.25,209.25,203.95,206.5
59,2021-02-17,KSU,Industrials,209.5,210.64,206.52,209.85
60,2021-02-16,KSU,Industrials,210.72,212.6,207.14,211.14
61,2021-02-12,KSU,Industrials,207.63,211.25,207.63,209.31
62,2021-02-11,KSU,Industrials,207.02,210.53,206.1747,209.36
63,2021-02-10,KSU,Industrials,204.2,207.28,203.5,206.61
64,2021-02-09,KSU,Industrials,203.81,204.9033,200.34,202.98
65,2021-02-08,KSU,Industrials,209.46,209.73,202.025,203.95
66,2021-02-05,KSU,Industrials,213.56,213.56,208.28,209.18
67,2021-02-04,KSU,Industrials,211.1,212.4,208.4,211.0
68,2021-02-03,KSU,Industrials,211.91,212.7199,210.1417,211.1
69,2021-02-02,KSU,Industrials,207.56,213.58,206.985,212.39
70,2021-02-01,KSU,Industrials,204.81,206.5959,203.54,205.34
71,2021-01-29,KSU,Industrials,205.45,208.46,201.76,202.67
72,2021-01-28,KSU,Industrials,203.22,210.25,201.91,207.98
73,2021-01-27,KSU,Industrials,208.1,209.3076,198.18,201.51
74,2021-01-26,KSU,Industrials,219.41,220.23,211.16,211.45
75,2021-01-25,KSU,Industrials,217.8,218.84,211.18,218.15
76,2021-01-22,KSU,Industrials,219.26,223.59,215.09,217.58
77,2021-01-21,KSU,Industrials,214.88,218.27,210.78,212.99
78,2021-01-20,KSU,Industrials,212.36,216.54,212.36,215.69
79,2021-01-19,KSU,Industrials,214.06,216.56,211.14,211.66
80,2021-01-15,KSU,Industrials,211.75,213.63,209.72,212.8
81,2021-01-14,KSU,Industrials,214.81,215.67,212.11,212.52
82,2021-01-13,KSU,Industrials,214.41,216.5,213.04,213.82
83,2021-01-12,KSU,Industrials,213.24,216.0,210.8458,214.15
84,2021-01-11,KSU,Industrials,215.29,218.99,213.92,214.24
85,2021-01-08,KSU,Industrials,216.27,222.6299,215.91,216.67
86,2021-01-07,KSU,Industrials,212.65,218.5,211.55,215.62
87,2021-01-06,KSU,Industrials,204.28,212.28,204.28,210.82
