,date,symbol,sector,open,high,low,close
0,2021-05-12,LB,Consumer Discretionary,68.01,68.16,64.52,64.8
1,2021-05-11,LB,Consumer Discretionary,67.38,67.85,64.78,67.57
2,2021-05-10,LB,Consumer Discretionary,67.91,71.345,67.91,68.79
3,2021-05-07,LB,Consumer Discretionary,65.49,67.629,65.34,67.29
4,2021-05-06,LB,Consumer Discretionary,65.75,66.0,64.971,65.94
5,2021-05-05,LB,Consumer Discretionary,66.42,66.25,65.375,65.69
6,2021-05-04,LB,Consumer Discretionary,66.56,66.84,64.48,65.85
7,2021-05-03,LB,Consumer Discretionary,66.05,68.25,66.05,67.63
8,2021-04-30,LB,Consumer Discretionary,65.84,66.62,65.48,65.9
9,2021-04-29,LB,Consumer Discretionary,67.7,68.06,66.36,66.65
10,2021-04-28,LB,Consumer Discretionary,67.4,68.08,66.87,67.44
11,2021-04-27,LB,Consumer Discretionary,66.58,68.29,66.48,67.59
12,2021-04-26,LB,Consumer Discretionary,67.48,68.0,65.48,66.45
13,2021-04-23,LB,Consumer Discretionary,66.14,67.66,65.4606,67.38
14,2021-04-22,LB,Consumer Discretionary,65.67,66.56,65.25,66.07
15,2021-04-21,LB,Consumer Discretionary,63.41,65.64,63.41,65.31
16,2021-04-20,LB,Consumer Discretionary,65.725,65.725,62.85,64.12
17,2021-04-19,LB,Consumer Discretionary,66.32,66.64,65.6,65.9
18,2021-04-16,LB,Consumer Discretionary,67.21,67.91,66.21,66.84
19,2021-04-15,LB,Consumer Discretionary,67.19,67.77,66.63,66.78
20,2021-04-14,LB,Consumer Discretionary,65.76,67.91,65.63,66.8
21,2021-04-13,LB,Consumer Discretionary,66.75,67.27,65.22,65.76
22,2021-04-12,LB,Consumer Discretionary,66.48,67.23,65.865,66.61
23,2021-04-09,LB,Consumer Discretionary,65.16,66.84,65.06,66.78
24,2021-04-08,LB,Consumer Discretionary,64.15,65.25,63.03,65.2
25,2021-04-07,LB,Consumer Discretionary,62.74,65.16,62.5,64.29
26,2021-04-06,LB,Consumer Discretionary,61.8,62.27,61.14,62.04
27,2021-04-05,LB,Consumer Discretionary,62.45,62.87,61.01,61.76
28,2021-04-01,LB,Consumer Discretionary,62.14,62.305,59.87,61.8
29,2021-03-31,LB,Consumer Discretionary,63.0,63.28,61.31,61.86
30,2021-03-30,LB,Consumer Discretionary,60.46,63.1625,60.0,62.87
31,2021-03-29,LB,Consumer Discretionary,61.97,62.65,59.26,59.76
32,2021-03-26,LB,Consumer Discretionary,63.255,64.12,60.37,61.6
33,2021-03-25,LB,Consumer Discretionary,56.32,59.88,56.01,59.43
34,2021-03-24,LB,Consumer Discretionary,58.54,59.19,57.11,57.29
35,2021-03-23,LB,Consumer Discretionary,58.64,59.17,56.76,57.48
36,2021-03-22,LB,Consumer Discretionary,60.89,61.93,59.891,60.01
37,2021-03-19,LB,Consumer Discretionary,60.02,61.28,59.43,60.54
38,2021-03-18,LB,Consumer Discretionary,61.21,61.89,59.74,60.16
39,2021-03-17,LB,Consumer Discretionary,59.47,61.2,58.93,61.12
40,2021-03-16,LB,Consumer Discretionary,60.79,61.12,59.71,60.27
41,2021-03-15,LB,Consumer Discretionary,61.5,62.08,60.55,60.74
42,2021-03-12,LB,Consumer Discretionary,59.73,61.43,59.34,60.81
43,2021-03-11,LB,Consumer Discretionary,55.26,56.27,55.07,55.85
44,2021-03-10,LB,Consumer Discretionary,54.43,55.35,53.44,54.75
45,2021-03-09,LB,Consumer Discretionary,55.37,55.65,54.05,54.51
46,2021-03-08,LB,Consumer Discretionary,55.96,56.54,54.78,55.24
47,2021-03-05,LB,Consumer Discretionary,54.75,56.08,52.74,55.68
48,2021-03-04,LB,Consumer Discretionary,54.86,55.645,52.63,54.08
49,2021-03-03,LB,Consumer Discretionary,55.8,56.54,54.65,54.88
50,2021-03-02,LB,Consumer Discretionary,57.08,57.63,55.59,55.82
51,2021-03-01,LB,Consumer Discretionary,55.57,57.56,55.47,56.75
52,2021-02-26,LB,Consumer Discretionary,54.29,57.19,52.09,54.66
53,2021-02-25,LB,Consumer Discretionary,54.09,57.19,51.37,52.36
54,2021-02-24,LB,Consumer Discretionary,51.54,52.75,50.95,51.65
55,2021-02-23,LB,Consumer Discretionary,50.9,51.73,49.13,51.08
56,2021-02-22,LB,Consumer Discretionary,50.24,51.8,50.0,50.75
57,2021-02-19,LB,Consumer Discretionary,49.19,50.71,48.99,50.33
58,2021-02-18,LB,Consumer Discretionary,48.48,49.02,47.44,48.81
59,2021-02-17,LB,Consumer Discretionary,48.63,49.16,47.71,48.58
60,2021-02-16,LB,Consumer Discretionary,48.08,49.3896,47.86,49.21
61,2021-02-12,LB,Consumer Discretionary,47.79,48.3,47.13,47.22
62,2021-02-11,LB,Consumer Discretionary,48.49,49.62,47.56,48.25
63,2021-02-10,LB,Consumer Discretionary,48.87,49.26,47.56,48.4
64,2021-02-09,LB,Consumer Discretionary,50.12,50.63,48.9,48.97
65,2021-02-08,LB,Consumer Discretionary,49.99,51.04,49.2106,50.78
66,2021-02-05,LB,Consumer Discretionary,48.55,49.6697,47.86,49.39
67,2021-02-04,LB,Consumer Discretionary,45.5,49.12,45.0,48.07
68,2021-02-03,LB,Consumer Discretionary,44.12,44.9136,43.23,43.96
69,2021-02-02,LB,Consumer Discretionary,42.3,44.36,42.28,44.11
70,2021-02-01,LB,Consumer Discretionary,41.41,42.0,40.16,41.86
71,2021-01-29,LB,Consumer Discretionary,41.28,41.97,39.31,40.76
72,2021-01-28,LB,Consumer Discretionary,38.7,42.32,38.0,41.43
73,2021-01-27,LB,Consumer Discretionary,40.0,41.0,36.095,37.54
74,2021-01-26,LB,Consumer Discretionary,45.34,45.87,42.9,43.0
75,2021-01-25,LB,Consumer Discretionary,45.28,45.98,40.43,43.93
76,2021-01-22,LB,Consumer Discretionary,46.14,46.245,44.7,45.28
77,2021-01-21,LB,Consumer Discretionary,45.67,46.76,45.29,45.9
78,2021-01-20,LB,Consumer Discretionary,45.38,46.39,45.28,45.56
79,2021-01-19,LB,Consumer Discretionary,45.56,46.245,45.02,45.73
80,2021-01-15,LB,Consumer Discretionary,44.7,45.68,43.88,45.2
81,2021-01-14,LB,Consumer Discretionary,46.95,47.9,44.72,44.98
82,2021-01-13,LB,Consumer Discretionary,47.01,47.14,45.84,46.16
83,2021-01-12,LB,Consumer Discretionary,47.45,48.295,47.0,47.29
84,2021-01-11,LB,Consumer Discretionary,46.22,47.53,45.95,46.91
85,2021-01-08,LB,Consumer Discretionary,46.17,47.77,45.61,46.75
86,2021-01-07,LB,Consumer Discretionary,43.97,47.28,43.94,46.17
87,2021-01-06,LB,Consumer Discretionary,40.75,43.86,40.75,43.55
88,2021-01-05,LB,Consumer Discretionary,39.59,40.725,39.31,40.43
89,2021-01-04,LB,Consumer Discretionary,38.05,40.62,37.8,39.6
90,2020-12-31,LB,Consumer Discretionary,37.95,38.045,37.14,37.19
91,2020-12-30,LB,Consumer Discretionary,37.75,38.63,37.4,38.03
92,2020-12-29,LB,Consumer Discretionary,38.72,38.72,36.94,37.59
93,2020-12-28,LB,Consumer Discretionary,39.07,39.68,38.76,38.82
94,2020-12-24,LB,Consumer Discretionary,39.25,39.25,38.23,38.96
95,2020-12-23,LB,Consumer Discretionary,37.94,39.3399,37.69,39.19
96,2020-12-22,LB,Consumer Discretionary,38.6,38.79,37.6,38.0
97,2020-12-21,LB,Consumer Discretionary,37.83,39.08,37.56,38.66
98,2020-12-18,LB,Consumer Discretionary,38.82,39.27,38.07,38.63
99,2020-12-17,LB,Consumer Discretionary,38.87,39.19,37.96,39.19
100,2020-12-16,LB,Consumer Discretionary,39.38,39.689,38.39,38.7
101,2020-12-15,LB,Consumer Discretionary,38.74,39.32,38.32,39.32
