,date,symbol,sector,open,high,low,close
0,2021-05-12,LDOS,Industrials,104.13,104.27,101.01,101.47
1,2021-05-11,LDOS,Industrials,103.69,105.4,102.33,104.68
2,2021-05-10,LDOS,Industrials,104.46,105.98,104.46,104.48
3,2021-05-07,LDOS,Industrials,103.39,104.78,103.17,104.03
4,2021-05-06,LDOS,Industrials,104.38,104.78,103.28,103.9
5,2021-05-05,LDOS,Industrials,105.0,104.09,103.185,103.71
6,2021-05-04,LDOS,Industrials,102.84,104.87,101.05,104.8
7,2021-05-03,LDOS,Industrials,101.81,104.26,101.43,103.7
8,2021-04-30,LDOS,Industrials,100.7,101.469,100.0,101.28
9,2021-04-29,LDOS,Industrials,100.11,101.75,100.06,100.82
10,2021-04-28,LDOS,Industrials,100.4,100.68,98.84,99.16
11,2021-04-27,LDOS,Industrials,100.05,100.91,99.7,100.27
12,2021-04-26,LDOS,Industrials,100.86,100.895,99.79,99.86
13,2021-04-23,LDOS,Industrials,101.72,101.72,100.2,100.66
14,2021-04-22,LDOS,Industrials,101.35,102.07,100.67,101.29
15,2021-04-21,LDOS,Industrials,101.74,101.93,101.28,101.41
16,2021-04-20,LDOS,Industrials,101.68,101.79,99.81,101.53
17,2021-04-19,LDOS,Industrials,101.48,101.73,100.41,101.49
18,2021-04-16,LDOS,Industrials,101.34,103.25,101.11,101.21
19,2021-04-15,LDOS,Industrials,100.5,101.76,100.0,101.12
20,2021-04-14,LDOS,Industrials,99.65,101.19,99.65,100.11
21,2021-04-13,LDOS,Industrials,100.2,100.77,99.43,99.55
22,2021-04-12,LDOS,Industrials,100.66,101.0,100.21,100.56
23,2021-04-09,LDOS,Industrials,100.51,100.84,100.0,100.66
24,2021-04-08,LDOS,Industrials,98.97,100.79,98.73,100.34
25,2021-04-07,LDOS,Industrials,99.87,100.6,98.4,98.53
26,2021-04-06,LDOS,Industrials,99.14,100.4799,98.62,99.72
27,2021-04-05,LDOS,Industrials,99.18,100.35,98.31,99.92
28,2021-04-01,LDOS,Industrials,96.78,97.21,95.8,96.45
29,2021-03-31,LDOS,Industrials,96.57,97.08,95.54,96.28
30,2021-03-30,LDOS,Industrials,97.91,98.1,95.14,96.67
31,2021-03-29,LDOS,Industrials,96.19,98.59,96.0,98.18
32,2021-03-26,LDOS,Industrials,95.98,96.3,93.5,96.2
33,2021-03-25,LDOS,Industrials,95.12,96.4,94.12,96.26
34,2021-03-24,LDOS,Industrials,94.58,95.94,94.512,94.88
35,2021-03-23,LDOS,Industrials,95.04,96.04,93.675,94.24
36,2021-03-22,LDOS,Industrials,94.6,95.62,93.23,95.47
37,2021-03-19,LDOS,Industrials,97.51,97.51,94.95,94.95
38,2021-03-18,LDOS,Industrials,97.0,98.55,96.35,97.01
39,2021-03-17,LDOS,Industrials,95.22,97.67,94.24,97.29
40,2021-03-16,LDOS,Industrials,94.9,95.7298,93.54,94.65
41,2021-03-15,LDOS,Industrials,94.92,95.96,94.52,95.28
42,2021-03-12,LDOS,Industrials,94.23,95.02,93.88,94.93
43,2021-03-11,LDOS,Industrials,94.67,95.77,94.07,94.63
44,2021-03-10,LDOS,Industrials,93.9,95.23,93.11,94.47
45,2021-03-09,LDOS,Industrials,92.64,94.96,92.61,93.26
46,2021-03-08,LDOS,Industrials,90.81,93.72,90.12,92.0
47,2021-03-05,LDOS,Industrials,89.9,91.26,88.8471,90.72
48,2021-03-04,LDOS,Industrials,90.27,91.1,88.17,89.08
49,2021-03-03,LDOS,Industrials,90.45,91.71,89.2,90.27
50,2021-03-02,LDOS,Industrials,91.89,92.84,90.04,90.04
51,2021-03-01,LDOS,Industrials,89.69,93.18,89.28,92.44
52,2021-02-26,LDOS,Industrials,89.05,91.25,88.43,88.45
53,2021-02-25,LDOS,Industrials,90.0,90.25,87.97,89.13
54,2021-02-24,LDOS,Industrials,92.33,92.62,89.73,90.38
55,2021-02-23,LDOS,Industrials,97.915,98.83,91.55,93.51
