,date,symbol,sector,open,high,low,close
0,2021-05-12,LEN,Consumer Discretionary,102.5,103.16,95.63,96.13
1,2021-05-11,LEN,Consumer Discretionary,106.05,106.68,102.065,103.45
2,2021-05-10,LEN,Consumer Discretionary,107.75,110.61,107.13,107.96
3,2021-05-07,LEN,Consumer Discretionary,105.84,108.23,104.51,108.05
4,2021-05-06,LEN,Consumer Discretionary,106.0,106.6,104.42,105.7
5,2021-05-05,LEN,Consumer Discretionary,107.31,106.64,105.35,105.56
6,2021-05-04,LEN,Consumer Discretionary,105.5,107.44,104.16,107.0
7,2021-05-03,LEN,Consumer Discretionary,104.81,106.65,104.2814,105.94
8,2021-04-30,LEN,Consumer Discretionary,104.66,104.89,102.285,103.6
9,2021-04-29,LEN,Consumer Discretionary,104.1,105.73,103.52,105.04
10,2021-04-28,LEN,Consumer Discretionary,103.09,103.9,102.435,103.22
11,2021-04-27,LEN,Consumer Discretionary,104.65,105.465,103.1,103.43
12,2021-04-26,LEN,Consumer Discretionary,102.36,104.045,101.87,103.81
13,2021-04-23,LEN,Consumer Discretionary,101.27,102.5,100.21,101.86
14,2021-04-22,LEN,Consumer Discretionary,101.04,101.4591,99.445,100.75
15,2021-04-21,LEN,Consumer Discretionary,100.24,102.48,100.01,101.98
16,2021-04-20,LEN,Consumer Discretionary,103.75,103.97,98.38,100.1
17,2021-04-19,LEN,Consumer Discretionary,105.98,106.16,102.98,104.0
18,2021-04-16,LEN,Consumer Discretionary,103.28,106.4,103.28,105.88
19,2021-04-15,LEN,Consumer Discretionary,104.28,104.59,102.61,102.92
20,2021-04-14,LEN,Consumer Discretionary,103.08,104.35,102.78,103.04
21,2021-04-13,LEN,Consumer Discretionary,103.99,104.88,102.14,103.74
22,2021-04-12,LEN,Consumer Discretionary,105.75,105.98,103.67,104.86
23,2021-04-09,LEN,Consumer Discretionary,101.62,105.72,101.07,105.52
24,2021-04-08,LEN,Consumer Discretionary,103.85,104.48,102.02,102.28
25,2021-04-07,LEN,Consumer Discretionary,105.24,105.5,103.07,103.39
26,2021-04-06,LEN,Consumer Discretionary,104.21,106.24,103.792,104.96
27,2021-04-05,LEN,Consumer Discretionary,104.18,104.9128,102.58,104.77
28,2021-04-01,LEN,Consumer Discretionary,102.32,103.56,100.74,103.43
29,2021-03-31,LEN,Consumer Discretionary,102.56,102.61,100.91,101.23
30,2021-03-30,LEN,Consumer Discretionary,99.35,102.82,98.5,101.78
31,2021-03-29,LEN,Consumer Discretionary,103.28,104.53,99.28,99.65
32,2021-03-26,LEN,Consumer Discretionary,99.49,103.79,98.695,102.85
33,2021-03-25,LEN,Consumer Discretionary,94.19,99.83,93.47,99.14
34,2021-03-24,LEN,Consumer Discretionary,95.62,97.5,94.61,94.65
35,2021-03-23,LEN,Consumer Discretionary,97.61,97.95,94.59,95.24
36,2021-03-22,LEN,Consumer Discretionary,96.03,97.64,95.19,97.01
37,2021-03-19,LEN,Consumer Discretionary,94.54,96.14,93.01,95.12
38,2021-03-18,LEN,Consumer Discretionary,100.7,100.95,94.345,94.64
39,2021-03-17,LEN,Consumer Discretionary,88.5,101.55,87.3,100.95
40,2021-03-16,LEN,Consumer Discretionary,90.7,91.92,88.55,88.71
41,2021-03-15,LEN,Consumer Discretionary,88.47,90.12,87.19,90.05
42,2021-03-12,LEN,Consumer Discretionary,88.73,89.28,86.78,87.91
43,2021-03-11,LEN,Consumer Discretionary,91.82,92.5,89.73,90.99
44,2021-03-10,LEN,Consumer Discretionary,89.63,92.85,88.86,91.6
45,2021-03-09,LEN,Consumer Discretionary,89.16,90.13,87.55,88.43
46,2021-03-08,LEN,Consumer Discretionary,86.4,89.4391,86.1,88.12
47,2021-03-05,LEN,Consumer Discretionary,81.37,86.4508,79.4,85.98
48,2021-03-04,LEN,Consumer Discretionary,80.65,84.14,77.86,80.42
49,2021-03-03,LEN,Consumer Discretionary,83.92,83.99,80.66,80.78
50,2021-03-02,LEN,Consumer Discretionary,83.0,84.74,81.7428,84.39
51,2021-03-01,LEN,Consumer Discretionary,83.97,85.35,82.395,82.6
52,2021-02-26,LEN,Consumer Discretionary,81.74,83.98,80.33,82.97
53,2021-02-25,LEN,Consumer Discretionary,85.52,85.7,80.18,80.4
54,2021-02-24,LEN,Consumer Discretionary,84.98,86.48,82.06,86.25
55,2021-02-23,LEN,Consumer Discretionary,84.48,85.83,82.1,85.6
56,2021-02-22,LEN,Consumer Discretionary,86.82,87.46,84.84,84.98
57,2021-02-19,LEN,Consumer Discretionary,86.84,88.03,86.72,87.46
58,2021-02-18,LEN,Consumer Discretionary,87.13,87.7,85.97,86.38
59,2021-02-17,LEN,Consumer Discretionary,87.86,88.5,85.62,87.25
60,2021-02-16,LEN,Consumer Discretionary,92.53,92.53,87.9701,88.3
61,2021-02-12,LEN,Consumer Discretionary,93.81,94.255,92.34,92.58
62,2021-02-11,LEN,Consumer Discretionary,94.18,95.14,93.41,94.56
63,2021-02-10,LEN,Consumer Discretionary,93.5,94.85,91.04,93.67
64,2021-02-09,LEN,Consumer Discretionary,95.21,95.72,92.7,92.99
65,2021-02-08,LEN,Consumer Discretionary,91.31,95.6,91.31,95.22
66,2021-02-05,LEN,Consumer Discretionary,87.33,91.21,86.87,90.96
67,2021-02-04,LEN,Consumer Discretionary,85.76,87.7891,84.61,86.87
68,2021-02-03,LEN,Consumer Discretionary,85.45,86.02,84.32,85.44
69,2021-02-02,LEN,Consumer Discretionary,85.07,85.88,83.6,85.05
70,2021-02-01,LEN,Consumer Discretionary,83.79,84.74,81.5,84.21
71,2021-01-29,LEN,Consumer Discretionary,83.78,84.18,81.95,83.15
72,2021-01-28,LEN,Consumer Discretionary,84.0,85.5,83.5,84.31
