,date,symbol,sector,open,high,low,close
0,2021-05-12,LH,Health Care,277.33,280.17,271.2,271.91
1,2021-05-11,LH,Health Care,275.71,278.63,274.83,276.1
2,2021-05-10,LH,Health Care,279.78,280.69,277.02,277.08
3,2021-05-07,LH,Health Care,278.11,280.62,276.94,278.14
4,2021-05-06,LH,Health Care,275.58,278.09,273.5,278.08
5,2021-05-05,LH,Health Care,273.68,277.21,273.38,276.21
6,2021-05-04,LH,Health Care,268.67,274.13,266.97,273.58
7,2021-05-03,LH,Health Care,268.0,269.9,265.6,267.33
8,2021-04-30,LH,Health Care,266.2,269.43,263.75,265.87
9,2021-04-29,LH,Health Care,268.9,269.95,262.75,267.0
10,2021-04-28,LH,Health Care,262.4,264.59,261.835,262.71
11,2021-04-27,LH,Health Care,263.64,266.14,262.91,264.16
12,2021-04-26,LH,Health Care,264.99,266.03,263.7,264.65
13,2021-04-23,LH,Health Care,264.24,266.2375,262.46,263.95
14,2021-04-22,LH,Health Care,261.66,266.415,261.66,264.85
15,2021-04-21,LH,Health Care,260.99,261.84,259.2,261.36
16,2021-04-20,LH,Health Care,259.75,261.04,255.85,260.0
17,2021-04-19,LH,Health Care,261.25,263.619,258.96,260.51
18,2021-04-16,LH,Health Care,260.64,263.08,256.745,262.2
19,2021-04-15,LH,Health Care,254.51,260.57,254.46,259.41
20,2021-04-14,LH,Health Care,254.52,256.69,252.6,253.12
21,2021-04-13,LH,Health Care,255.94,257.49,253.99,254.05
22,2021-04-12,LH,Health Care,256.0,257.78,253.92,255.66
23,2021-04-09,LH,Health Care,253.95,255.13,252.45,254.75
24,2021-04-08,LH,Health Care,251.66,255.0,250.145,252.02
25,2021-04-07,LH,Health Care,251.18,252.54,249.7,252.3
26,2021-04-06,LH,Health Care,252.81,254.33,251.25,251.87
27,2021-04-05,LH,Health Care,253.34,256.04,251.05,252.67
28,2021-04-01,LH,Health Care,255.01,255.01,250.36,252.7
29,2021-03-31,LH,Health Care,254.85,259.29,253.6325,255.03
30,2021-03-30,LH,Health Care,251.88,254.18,250.115,253.54
31,2021-03-29,LH,Health Care,250.98,252.72,248.95,251.58
32,2021-03-26,LH,Health Care,249.37,252.94,248.17,252.85
33,2021-03-25,LH,Health Care,248.5,249.83,243.19,248.48
34,2021-03-24,LH,Health Care,247.5,254.912,246.21,250.42
35,2021-03-23,LH,Health Care,242.02,243.12,238.3,238.78
36,2021-03-22,LH,Health Care,239.6,244.095,238.01,243.1
37,2021-03-19,LH,Health Care,239.26,241.92,238.33,240.22
38,2021-03-18,LH,Health Care,239.55,241.81,238.28,239.93
39,2021-03-17,LH,Health Care,238.25,241.3,237.21,238.76
40,2021-03-16,LH,Health Care,239.42,240.22,237.0,238.73
41,2021-03-15,LH,Health Care,238.51,240.525,237.06,239.93
42,2021-03-12,LH,Health Care,236.82,238.8,233.92,238.71
43,2021-03-11,LH,Health Care,233.7,237.905,233.7,237.29
44,2021-03-10,LH,Health Care,241.78,242.36,231.64,232.62
45,2021-03-09,LH,Health Care,242.33,244.99,238.74,239.22
46,2021-03-08,LH,Health Care,237.52,245.74,236.8,240.57
47,2021-03-05,LH,Health Care,237.77,238.82,230.89,237.8
48,2021-03-04,LH,Health Care,238.3,241.05,232.52,234.9
49,2021-03-03,LH,Health Care,243.26,244.21,238.7466,239.92
50,2021-03-02,LH,Health Care,244.37,246.92,241.79,243.65
51,2021-03-01,LH,Health Care,242.0,247.275,241.18,241.5
52,2021-02-26,LH,Health Care,237.38,241.68,234.2583,239.91
53,2021-02-25,LH,Health Care,242.3,244.735,235.0301,236.53
54,2021-02-24,LH,Health Care,239.72,246.975,236.49,244.5
55,2021-02-23,LH,Health Care,244.52,252.27,237.69,247.15
56,2021-02-22,LH,Health Care,243.77,245.8,240.34,243.86
57,2021-02-19,LH,Health Care,243.76,247.22,241.12,246.38
58,2021-02-18,LH,Health Care,241.69,243.38,238.25,242.82
59,2021-02-17,LH,Health Care,236.0,252.45,235.38,242.95
60,2021-02-16,LH,Health Care,237.06,239.15,233.18,236.37
61,2021-02-12,LH,Health Care,238.79,242.31,236.81,238.26
62,2021-02-11,LH,Health Care,235.0,239.5,228.01,237.21
63,2021-02-10,LH,Health Care,228.98,232.13,227.8,229.2
64,2021-02-09,LH,Health Care,225.72,228.28,223.36,226.78
65,2021-02-08,LH,Health Care,228.82,229.68,223.51,225.97
66,2021-02-05,LH,Health Care,225.85,227.205,224.2,226.55
67,2021-02-04,LH,Health Care,227.23,230.145,223.39,223.78
68,2021-02-03,LH,Health Care,233.08,233.47,225.34,227.99
69,2021-02-02,LH,Health Care,236.53,237.75,233.38,233.39
70,2021-02-01,LH,Health Care,229.68,237.88,229.1,234.41
71,2021-01-29,LH,Health Care,221.84,234.3,219.895,228.91
72,2021-01-28,LH,Health Care,216.1,221.43,215.37,219.79
73,2021-01-27,LH,Health Care,218.78,219.99,212.85,214.81
74,2021-01-26,LH,Health Care,225.32,226.34,221.95,221.97
75,2021-01-25,LH,Health Care,229.8297,229.8297,223.31,225.44
76,2021-01-22,LH,Health Care,228.85,229.16,226.69,228.9
77,2021-01-21,LH,Health Care,228.61,230.7695,227.61,228.45
78,2021-01-20,LH,Health Care,226.0,230.0,224.8,229.91
79,2021-01-19,LH,Health Care,226.35,227.32,221.1,225.74
80,2021-01-15,LH,Health Care,219.88,223.81,218.0863,223.71
81,2021-01-14,LH,Health Care,221.11,222.135,219.54,220.2
82,2021-01-13,LH,Health Care,219.82,222.2826,219.69,220.06
83,2021-01-12,LH,Health Care,217.0,220.5,216.76,220.2
84,2021-01-11,LH,Health Care,213.53,217.2,212.61,217.0
85,2021-01-08,LH,Health Care,217.51,219.15,210.135,213.55
86,2021-01-07,LH,Health Care,218.74,220.3511,216.9225,218.29
87,2021-01-06,LH,Health Care,207.27,218.46,207.27,217.15
88,2021-01-05,LH,Health Care,205.99,210.12,205.33,208.78
89,2021-01-04,LH,Health Care,203.31,205.4284,200.68,204.88
90,2020-12-31,LH,Health Care,201.15,203.73,200.4619,203.55
91,2020-12-30,LH,Health Care,202.51,203.5,200.985,201.51
92,2020-12-29,LH,Health Care,202.97,203.76,200.82,202.2
93,2020-12-28,LH,Health Care,205.39,206.3,201.47,202.52
94,2020-12-24,LH,Health Care,205.0,205.0,202.74,203.87
95,2020-12-23,LH,Health Care,203.17,204.78,202.55,204.06
