,date,symbol,sector,open,high,low,close
0,2021-05-12,LHX,Industrials,213.73,215.11,211.01,211.06
1,2021-05-11,LHX,Industrials,216.96,216.96,212.04,213.33
2,2021-05-10,LHX,Industrials,220.0,221.4883,217.0,217.02
3,2021-05-07,LHX,Industrials,215.99,219.78,215.76,219.25
4,2021-05-06,LHX,Industrials,218.33,219.62,215.75,216.99
5,2021-05-05,LHX,Industrials,216.13,217.99,216.08,217.68
6,2021-05-04,LHX,Industrials,212.37,216.85,211.915,216.4
7,2021-05-03,LHX,Industrials,208.56,212.08,207.8,211.74
8,2021-04-30,LHX,Industrials,208.56,213.0,206.44,209.23
9,2021-04-29,LHX,Industrials,206.06,210.095,205.64,209.22
10,2021-04-28,LHX,Industrials,208.08,208.08,204.8,205.01
11,2021-04-27,LHX,Industrials,204.86,208.12,203.92,207.73
12,2021-04-26,LHX,Industrials,211.02,211.13,207.05,207.65
13,2021-04-23,LHX,Industrials,211.07,211.25,208.65,211.02
14,2021-04-22,LHX,Industrials,210.96,212.2,209.965,210.71
15,2021-04-21,LHX,Industrials,210.12,212.21,209.49,212.05
16,2021-04-20,LHX,Industrials,209.39,210.4,207.51,210.2
17,2021-04-19,LHX,Industrials,211.06,211.205,208.22,209.73
18,2021-04-16,LHX,Industrials,211.73,212.0,208.9,210.72
19,2021-04-15,LHX,Industrials,209.04,211.925,208.49,210.76
20,2021-04-14,LHX,Industrials,209.05,209.94,207.89,208.99
21,2021-04-13,LHX,Industrials,208.55,209.57,207.25,208.97
22,2021-04-12,LHX,Industrials,208.34,209.62,207.14,209.59
23,2021-04-09,LHX,Industrials,208.5,208.8,206.84,208.12
24,2021-04-08,LHX,Industrials,206.59,208.74,206.22,207.49
25,2021-04-07,LHX,Industrials,208.94,208.94,206.78,208.65
26,2021-04-06,LHX,Industrials,206.28,210.14,206.28,209.32
27,2021-04-05,LHX,Industrials,205.54,208.47,204.88,207.85
28,2021-04-01,LHX,Industrials,202.83,205.03,201.06,203.62
29,2021-03-31,LHX,Industrials,202.15,203.16,201.07,202.68
30,2021-03-30,LHX,Industrials,202.81,204.28,201.77,203.08
31,2021-03-29,LHX,Industrials,198.94,204.0,198.605,202.84
32,2021-03-26,LHX,Industrials,199.56,200.97,196.31,198.94
33,2021-03-25,LHX,Industrials,196.69,199.07,193.1001,198.61
34,2021-03-24,LHX,Industrials,197.0,199.42,195.71,195.96
35,2021-03-23,LHX,Industrials,197.18,198.95,195.585,196.15
36,2021-03-22,LHX,Industrials,195.4,199.87,194.69,198.04
37,2021-03-19,LHX,Industrials,196.87,198.08,191.78,197.5
38,2021-03-18,LHX,Industrials,191.77,196.5,191.61,196.47
39,2021-03-17,LHX,Industrials,191.59,194.815,190.85,192.04
40,2021-03-16,LHX,Industrials,191.77,192.43,189.06,190.52
41,2021-03-15,LHX,Industrials,192.14,193.92,190.6,192.0
42,2021-03-12,LHX,Industrials,189.24,192.8,189.24,192.02
43,2021-03-11,LHX,Industrials,188.5,190.06,186.2,188.25
44,2021-03-10,LHX,Industrials,188.72,192.22,186.7,190.99
45,2021-03-09,LHX,Industrials,191.11,192.11,187.58,187.97
46,2021-03-08,LHX,Industrials,188.53,193.87,187.25,191.04
47,2021-03-05,LHX,Industrials,184.7,187.72,182.8,187.09
48,2021-03-04,LHX,Industrials,185.8,187.8,182.24,183.73
49,2021-03-03,LHX,Industrials,185.63,188.425,185.45,186.07
50,2021-03-02,LHX,Industrials,184.0,187.479,184.0,186.0
51,2021-03-01,LHX,Industrials,185.46,186.65,183.59,184.62
52,2021-02-26,LHX,Industrials,187.0,187.0,181.6,181.91
53,2021-02-25,LHX,Industrials,191.38,192.37,186.63,187.0
54,2021-02-24,LHX,Industrials,188.44,192.49,187.98,191.38
55,2021-02-23,LHX,Industrials,190.0,190.99,185.7,187.83
56,2021-02-22,LHX,Industrials,188.08,189.75,186.3,188.32
57,2021-02-19,LHX,Industrials,190.0,190.1517,187.74,189.09
58,2021-02-18,LHX,Industrials,186.6,189.96,186.6,189.21
59,2021-02-17,LHX,Industrials,184.24,189.64,183.21,188.46
60,2021-02-16,LHX,Industrials,186.85,187.19,184.07,184.49
61,2021-02-12,LHX,Industrials,186.39,187.76,185.19,185.92
62,2021-02-11,LHX,Industrials,187.6,188.41,185.4936,187.5
63,2021-02-10,LHX,Industrials,186.49,188.591,186.17,187.52
64,2021-02-09,LHX,Industrials,186.07,188.23,184.67,186.17
65,2021-02-08,LHX,Industrials,183.68,186.69,182.06,186.27
66,2021-02-05,LHX,Industrials,186.08,187.1,182.59,182.83
67,2021-02-04,LHX,Industrials,179.78,185.26,179.36,184.9
68,2021-02-03,LHX,Industrials,179.65,181.05,178.3,179.51
69,2021-02-02,LHX,Industrials,175.59,182.28,175.035,180.54
70,2021-02-01,LHX,Industrials,173.55,175.13,172.15,173.56
71,2021-01-29,LHX,Industrials,175.0,175.98,168.7,171.51
72,2021-01-28,LHX,Industrials,180.87,180.87,176.56,176.66
