,date,symbol,sector,open,high,low,close
0,2021-05-12,LKQ,Consumer Discretionary,49.37,49.485,47.9,48.0
1,2021-05-11,LKQ,Consumer Discretionary,49.51,49.85,48.69,49.2
2,2021-05-10,LKQ,Consumer Discretionary,50.0,50.765,49.87,49.96
3,2021-05-07,LKQ,Consumer Discretionary,48.96,50.29,48.65,49.78
4,2021-05-06,LKQ,Consumer Discretionary,48.93,49.09,48.34,49.07
5,2021-05-05,LKQ,Consumer Discretionary,48.51,48.84,48.1187,48.64
6,2021-05-04,LKQ,Consumer Discretionary,47.83,48.28,47.57,48.175
7,2021-05-03,LKQ,Consumer Discretionary,47.36,48.51,46.8001,48.0
8,2021-04-30,LKQ,Consumer Discretionary,46.69,47.17,46.3,46.71
9,2021-04-29,LKQ,Consumer Discretionary,47.51,49.33,46.47,46.79
10,2021-04-28,LKQ,Consumer Discretionary,46.06,46.21,45.44,45.52
11,2021-04-27,LKQ,Consumer Discretionary,45.22,45.945,45.21,45.61
12,2021-04-26,LKQ,Consumer Discretionary,45.07,45.36,44.75,45.04
13,2021-04-23,LKQ,Consumer Discretionary,44.55,45.16,44.134,44.99
14,2021-04-22,LKQ,Consumer Discretionary,44.54,44.8,44.01,44.28
15,2021-04-21,LKQ,Consumer Discretionary,43.72,44.63,43.495,44.445
16,2021-04-20,LKQ,Consumer Discretionary,44.86,45.06,43.47,43.87
17,2021-04-19,LKQ,Consumer Discretionary,44.47,44.88,44.13,44.81
18,2021-04-16,LKQ,Consumer Discretionary,44.58,44.99,44.48,44.68
19,2021-04-15,LKQ,Consumer Discretionary,44.1,44.55,43.82,44.31
20,2021-04-14,LKQ,Consumer Discretionary,43.08,44.19,43.075,43.9
21,2021-04-13,LKQ,Consumer Discretionary,44.05,44.11,43.02,43.37
22,2021-04-12,LKQ,Consumer Discretionary,44.26,44.48,43.855,44.19
23,2021-04-09,LKQ,Consumer Discretionary,43.81,44.12,43.54,44.08
24,2021-04-08,LKQ,Consumer Discretionary,43.69,43.87,42.995,43.73
25,2021-04-07,LKQ,Consumer Discretionary,43.42,43.94,43.08,43.825
26,2021-04-06,LKQ,Consumer Discretionary,43.73,43.84,42.95,43.16
27,2021-04-05,LKQ,Consumer Discretionary,43.62,43.93,43.41,43.85
28,2021-04-01,LKQ,Consumer Discretionary,42.45,42.99,41.98,42.95
29,2021-03-31,LKQ,Consumer Discretionary,42.78,42.83,42.11,42.33
30,2021-03-30,LKQ,Consumer Discretionary,42.08,42.88,41.92,42.86
31,2021-03-29,LKQ,Consumer Discretionary,42.58,43.03,41.635,42.06
32,2021-03-26,LKQ,Consumer Discretionary,41.92,42.77,41.68,42.75
