,date,symbol,sector,open,high,low,close
0,2021-05-12,LLY,Health Care,194.75,195.65,192.73,193.2
1,2021-05-11,LLY,Health Care,193.39,195.75,193.01,194.75
2,2021-05-10,LLY,Health Care,196.17,196.61,193.5,194.76
3,2021-05-07,LLY,Health Care,194.82,196.2668,193.9,195.42
4,2021-05-06,LLY,Health Care,191.55,194.1,189.3227,193.89
5,2021-05-05,LLY,Health Care,188.65,193.57,191.715,192.81
6,2021-05-04,LLY,Health Care,187.53,190.08,186.78,188.2
7,2021-05-03,LLY,Health Care,182.99,186.35,182.92,185.92
8,2021-04-30,LLY,Health Care,181.84,183.95,181.19,182.77
9,2021-04-29,LLY,Health Care,181.06,182.63,180.0,182.2
10,2021-04-28,LLY,Health Care,181.45,182.0,178.5779,180.55
11,2021-04-27,LLY,Health Care,184.0,185.87,180.79,182.21
12,2021-04-26,LLY,Health Care,188.57,188.65,186.06,187.22
13,2021-04-23,LLY,Health Care,187.03,189.13,187.03,188.72
14,2021-04-22,LLY,Health Care,190.0,191.27,186.75,187.05
15,2021-04-21,LLY,Health Care,191.56,193.01,189.8,190.95
16,2021-04-20,LLY,Health Care,190.41,193.5,190.17,190.61
17,2021-04-19,LLY,Health Care,189.24,190.88,188.07,189.64
18,2021-04-16,LLY,Health Care,187.38,190.3,186.88,189.25
19,2021-04-15,LLY,Health Care,183.79,187.72,183.41,185.92
20,2021-04-14,LLY,Health Care,182.59,184.469,182.05,183.0
21,2021-04-13,LLY,Health Care,181.18,183.64,181.18,182.53
22,2021-04-12,LLY,Health Care,183.43,183.94,180.88,181.82
23,2021-04-09,LLY,Health Care,182.53,185.14,182.41,184.49
24,2021-04-08,LLY,Health Care,182.95,183.97,182.47,182.61
25,2021-04-07,LLY,Health Care,182.9,183.18,181.22,182.32
26,2021-04-06,LLY,Health Care,184.69,185.63,182.49,182.8
27,2021-04-05,LLY,Health Care,185.59,185.9,183.1,184.89
28,2021-04-01,LLY,Health Care,186.82,188.07,184.66,185.24
29,2021-03-31,LLY,Health Care,185.57,187.94,185.26,186.82
30,2021-03-30,LLY,Health Care,185.53,186.86,184.71,185.5
31,2021-03-29,LLY,Health Care,184.66,187.6696,183.505,186.34
32,2021-03-26,LLY,Health Care,184.05,185.91,182.63,185.31
33,2021-03-25,LLY,Health Care,181.0,183.64,180.22,183.09
34,2021-03-24,LLY,Health Care,183.7,183.835,179.82,180.17
35,2021-03-23,LLY,Health Care,185.35,186.655,183.25,183.68
36,2021-03-22,LLY,Health Care,184.05,185.91,183.2,185.84
37,2021-03-19,LLY,Health Care,184.7,185.8,183.88,184.29
38,2021-03-18,LLY,Health Care,186.02,187.09,183.8,183.93
39,2021-03-17,LLY,Health Care,189.73,189.83,186.56,186.73
40,2021-03-16,LLY,Health Care,191.5365,191.62,187.23,190.9
41,2021-03-15,LLY,Health Care,193.01,193.18,188.2,189.16
42,2021-03-12,LLY,Health Care,204.89,208.4599,202.28,208.08
43,2021-03-11,LLY,Health Care,206.51,207.25,204.27,205.21
44,2021-03-10,LLY,Health Care,206.885,208.04,204.39,205.45
45,2021-03-09,LLY,Health Care,208.34,212.16,206.06,206.11
46,2021-03-08,LLY,Health Care,207.0,210.8896,206.32,207.03
