,date,symbol,sector,open,high,low,close
0,2021-05-12,LMT,Industrials,387.97,390.35,380.2,380.62
1,2021-05-11,LMT,Industrials,391.03,391.68,384.41,387.82
2,2021-05-10,LMT,Industrials,391.36,396.99,391.29,393.14
3,2021-05-07,LMT,Industrials,387.0,392.6,385.89,390.34
4,2021-05-06,LMT,Industrials,387.99,389.3,386.0,387.34
5,2021-05-05,LMT,Industrials,386.34,386.925,383.86,386.37
6,2021-05-04,LMT,Industrials,387.25,390.15,384.54,387.48
7,2021-05-03,LMT,Industrials,379.77,386.39,379.06,385.31
8,2021-04-30,LMT,Industrials,378.86,382.0,377.6,380.56
9,2021-04-29,LMT,Industrials,375.0,381.98,374.84,380.35
10,2021-04-28,LMT,Industrials,373.46,373.88,370.95,372.94
11,2021-04-27,LMT,Industrials,371.5,374.24,370.142,373.22
12,2021-04-26,LMT,Industrials,374.28,375.31,370.72,371.98
13,2021-04-23,LMT,Industrials,378.59,378.59,373.32,377.29
14,2021-04-22,LMT,Industrials,386.77,386.77,378.4,380.09
15,2021-04-21,LMT,Industrials,387.52,390.885,384.95,387.24
16,2021-04-20,LMT,Industrials,388.0,391.5,384.62,387.33
17,2021-04-19,LMT,Industrials,392.0,392.39,386.62,391.73
18,2021-04-16,LMT,Industrials,392.82,394.335,389.8,391.81
19,2021-04-15,LMT,Industrials,388.67,392.0,387.7,390.63
20,2021-04-14,LMT,Industrials,387.4,391.2407,387.0,388.67
21,2021-04-13,LMT,Industrials,386.56,388.2,384.3398,387.11
22,2021-04-12,LMT,Industrials,387.13,388.7056,384.288,387.85
23,2021-04-09,LMT,Industrials,386.88,390.26,383.6619,386.23
24,2021-04-08,LMT,Industrials,379.6,387.42,378.31,386.02
25,2021-04-07,LMT,Industrials,378.74,380.4,376.07,380.19
26,2021-04-06,LMT,Industrials,376.51,380.104,376.315,378.97
27,2021-04-05,LMT,Industrials,372.06,380.4,372.06,378.75
28,2021-04-01,LMT,Industrials,368.99,372.99,368.3439,371.02
29,2021-03-31,LMT,Industrials,370.75,372.61,367.38,369.5
30,2021-03-30,LMT,Industrials,373.25,374.13,368.61,370.54
31,2021-03-29,LMT,Industrials,365.0,374.24,365.0,372.79
32,2021-03-26,LMT,Industrials,362.31,365.25,359.75,364.71
33,2021-03-25,LMT,Industrials,354.77,361.79,354.22,361.22
34,2021-03-24,LMT,Industrials,354.99,362.68,354.99,356.12
35,2021-03-23,LMT,Industrials,357.11,359.245,352.6719,353.61
36,2021-03-22,LMT,Industrials,352.0,358.37,352.0,357.66
37,2021-03-19,LMT,Industrials,359.43,359.43,350.1,355.07
38,2021-03-18,LMT,Industrials,353.87,359.0,352.5428,358.45
39,2021-03-17,LMT,Industrials,347.83,355.55,347.13,351.02
40,2021-03-16,LMT,Industrials,346.51,349.0,342.3,347.13
41,2021-03-15,LMT,Industrials,344.38,346.64,342.6,346.41
42,2021-03-12,LMT,Industrials,339.64,343.65,338.62,340.19
43,2021-03-11,LMT,Industrials,341.0,343.63,338.46,339.73
44,2021-03-10,LMT,Industrials,339.41,343.19,335.69,340.84
45,2021-03-09,LMT,Industrials,341.41,342.85,337.27,337.5
46,2021-03-08,LMT,Industrials,343.5,346.06,338.44,341.45
47,2021-03-05,LMT,Industrials,338.47,341.17,335.13,340.43
48,2021-03-04,LMT,Industrials,340.48,344.35,334.15,338.25
49,2021-03-03,LMT,Industrials,339.61,346.3312,338.59,340.91
50,2021-03-02,LMT,Industrials,333.27,340.01,332.67,338.59
51,2021-03-01,LMT,Industrials,334.0,337.72,332.82,333.47
52,2021-02-26,LMT,Industrials,338.0,338.76,330.0,330.25
53,2021-02-25,LMT,Industrials,345.8,349.1,340.67,341.69
54,2021-02-24,LMT,Industrials,347.28,350.3,344.61,346.53
55,2021-02-23,LMT,Industrials,345.13,347.47,338.33,346.23
56,2021-02-22,LMT,Industrials,333.8,343.5599,333.21,340.47
57,2021-02-19,LMT,Industrials,339.07,339.09,335.25,335.42
58,2021-02-18,LMT,Industrials,336.88,339.58,335.28,337.92
59,2021-02-17,LMT,Industrials,334.7,339.27,332.79,337.0
60,2021-02-16,LMT,Industrials,339.25,340.0,333.8169,335.03
61,2021-02-12,LMT,Industrials,338.4,340.6445,336.56,337.73
62,2021-02-11,LMT,Industrials,340.78,344.61,338.03,339.14
63,2021-02-10,LMT,Industrials,343.22,343.74,339.15,342.19
64,2021-02-09,LMT,Industrials,338.54,344.51,336.57,342.34
65,2021-02-08,LMT,Industrials,339.01,339.5,335.2,337.84
66,2021-02-05,LMT,Industrials,339.59,341.42,336.5,337.04
67,2021-02-04,LMT,Industrials,333.99,338.42,332.18,337.23
68,2021-02-03,LMT,Industrials,331.68,333.4,328.3,332.39
69,2021-02-02,LMT,Industrials,327.43,335.2,326.69,332.7
70,2021-02-01,LMT,Industrials,324.88,325.65,319.81,324.03
71,2021-01-29,LMT,Industrials,327.1,328.98,321.72,321.82
72,2021-01-28,LMT,Industrials,332.14,334.68,327.1784,327.93
73,2021-01-27,LMT,Industrials,332.28,335.73,329.674,332.51
74,2021-01-26,LMT,Industrials,339.0,343.98,330.69,330.69
75,2021-01-25,LMT,Industrials,339.36,346.89,337.9,343.51
76,2021-01-22,LMT,Industrials,338.74,341.84,337.21,339.88
77,2021-01-21,LMT,Industrials,341.67,343.61,338.96,339.67
78,2021-01-20,LMT,Industrials,342.54,343.78,339.215,341.67
79,2021-01-19,LMT,Industrials,350.74,350.97,341.48,341.5
80,2021-01-15,LMT,Industrials,347.09,350.5,344.278,347.27
81,2021-01-14,LMT,Industrials,348.0,354.79,346.85,347.44
82,2021-01-13,LMT,Industrials,341.41,347.2,339.165,345.49
83,2021-01-12,LMT,Industrials,336.52,343.37,335.63,341.85
84,2021-01-11,LMT,Industrials,335.0,339.0,333.32,337.68
85,2021-01-08,LMT,Industrials,341.88,343.47,335.01,336.1
86,2021-01-07,LMT,Industrials,344.36,347.8499,341.3398,342.55
87,2021-01-06,LMT,Industrials,343.0,351.92,342.7826,348.03
88,2021-01-05,LMT,Industrials,344.64,351.19,343.3,348.79
89,2021-01-04,LMT,Industrials,354.98,354.98,341.065,344.64
90,2020-12-31,LMT,Industrials,353.82,356.03,352.23,354.98
91,2020-12-30,LMT,Industrials,353.0,356.61,353.0,354.16
92,2020-12-29,LMT,Industrials,356.0,357.35,351.8,353.9
93,2020-12-28,LMT,Industrials,353.11,357.82,351.71,354.18
94,2020-12-24,LMT,Industrials,352.83,354.0561,350.4,351.97
95,2020-12-23,LMT,Industrials,349.95,354.995,349.4,351.6
96,2020-12-22,LMT,Industrials,349.35,350.62,347.385,347.92
97,2020-12-21,LMT,Industrials,353.16,353.94,346.6,349.35
98,2020-12-18,LMT,Industrials,352.04,356.79,350.01,356.03
99,2020-12-17,LMT,Industrials,355.93,357.66,351.88,352.6
100,2020-12-16,LMT,Industrials,357.25,357.899,353.65,354.57
101,2020-12-15,LMT,Industrials,358.73,359.89,355.445,357.57
102,2020-12-14,LMT,Industrials,363.5,365.62,357.44,357.66
103,2020-12-11,LMT,Industrials,354.55,363.12,354.19,361.71
104,2020-12-10,LMT,Industrials,359.52,364.215,355.195,355.39
105,2020-12-09,LMT,Industrials,359.85,362.59,356.945,361.35
106,2020-12-08,LMT,Industrials,360.98,363.17,358.835,359.23
107,2020-12-07,LMT,Industrials,366.9,366.9,360.54,362.13
108,2020-12-04,LMT,Industrials,363.12,367.73,362.11,366.61
109,2020-12-03,LMT,Industrials,362.12,369.5,360.96,362.03
110,2020-12-02,LMT,Industrials,364.99,365.9899,360.01,361.36
111,2020-12-01,LMT,Industrials,368.47,373.29,364.87,364.99
112,2020-11-30,LMT,Industrials,370.79,372.44,363.39,365.0
113,2020-11-27,LMT,Industrials,378.81,378.81,373.45,374.34
114,2020-11-25,LMT,Industrials,377.09,381.95,376.23,378.34
115,2020-11-24,LMT,Industrials,375.28,378.48,373.06,378.48
116,2020-11-23,LMT,Industrials,371.54,374.53,369.86,370.85
117,2020-11-20,LMT,Industrials,375.97,377.2373,367.62,368.02
118,2020-11-19,LMT,Industrials,375.0,377.75,372.17,376.46
119,2020-11-18,LMT,Industrials,377.49,383.4699,376.24,377.56
120,2020-11-17,LMT,Industrials,375.66,380.48,375.25,375.9
121,2020-11-16,LMT,Industrials,378.05,380.69,376.08,377.13
122,2020-11-13,LMT,Industrials,370.57,376.0,369.23,375.14
123,2020-11-12,LMT,Industrials,367.5,370.57,365.51,367.89
124,2020-11-11,LMT,Industrials,372.87,373.33,365.68,369.28
125,2020-11-10,LMT,Industrials,365.0,373.435,363.94,371.28
126,2020-11-09,LMT,Industrials,379.6,381.52,363.73,363.95
127,2020-11-06,LMT,Industrials,363.3,363.73,357.95,361.27
128,2020-11-05,LMT,Industrials,374.55,376.5,363.77,364.7
129,2020-11-04,LMT,Industrials,371.07,381.46,369.51,372.16
130,2020-11-03,LMT,Industrials,357.13,366.2,356.21,363.44
131,2020-11-02,LMT,Industrials,356.12,359.91,350.72,352.42
132,2020-10-30,LMT,Industrials,350.64,353.73,345.65,350.13
133,2020-10-29,LMT,Industrials,350.0,356.225,348.29,352.44
134,2020-10-28,LMT,Industrials,356.87,360.0,350.45,350.86
135,2020-10-27,LMT,Industrials,367.0,367.98,360.805,362.43
136,2020-10-26,LMT,Industrials,369.43,369.87,362.5016,368.55
137,2020-10-23,LMT,Industrials,371.34,376.19,369.01,374.33
138,2020-10-22,LMT,Industrials,367.5,371.11,365.15,368.96
139,2020-10-21,LMT,Industrials,372.21,375.0,365.0,367.14
140,2020-10-20,LMT,Industrials,382.59,385.79,371.8,372.21
141,2020-10-19,LMT,Industrials,387.24,389.6,381.671,383.71
142,2020-10-16,LMT,Industrials,388.49,389.78,386.09,386.5
143,2020-10-15,LMT,Industrials,387.33,388.87,383.22,386.12
