,date,symbol,sector,open,high,low,close
0,2021-05-12,LOW,Consumer Discretionary,203.2,203.97,194.8,195.54
1,2021-05-11,LOW,Consumer Discretionary,208.01,209.66,201.2201,205.34
2,2021-05-10,LOW,Consumer Discretionary,209.54,215.22,208.51,211.31
3,2021-05-07,LOW,Consumer Discretionary,206.06,209.24,204.7,208.4
4,2021-05-06,LOW,Consumer Discretionary,201.3,206.06,200.43,205.94
5,2021-05-05,LOW,Consumer Discretionary,201.54,200.92,199.08,200.0
6,2021-05-04,LOW,Consumer Discretionary,198.7,200.49,196.78,200.3
7,2021-05-03,LOW,Consumer Discretionary,198.75,200.075,197.87,199.2
8,2021-04-30,LOW,Consumer Discretionary,197.8,198.255,195.27,196.25
9,2021-04-29,LOW,Consumer Discretionary,197.31,199.43,196.93,198.44
10,2021-04-28,LOW,Consumer Discretionary,199.74,199.84,195.7,196.06
11,2021-04-27,LOW,Consumer Discretionary,200.07,201.13,198.68,199.05
12,2021-04-26,LOW,Consumer Discretionary,200.83,200.93,198.3,199.19
13,2021-04-23,LOW,Consumer Discretionary,201.79,201.89,199.51,200.93
14,2021-04-22,LOW,Consumer Discretionary,203.88,204.85,199.24,201.3
15,2021-04-21,LOW,Consumer Discretionary,203.8,204.93,203.22,203.91
16,2021-04-20,LOW,Consumer Discretionary,203.42,204.0,200.43,202.77
17,2021-04-19,LOW,Consumer Discretionary,206.01,207.2946,203.49,204.01
18,2021-04-16,LOW,Consumer Discretionary,206.57,208.9807,205.27,208.25
19,2021-04-15,LOW,Consumer Discretionary,200.65,205.07,200.61,204.57
20,2021-04-14,LOW,Consumer Discretionary,201.05,204.18,200.72,201.52
21,2021-04-13,LOW,Consumer Discretionary,200.71,201.22,199.02,199.72
22,2021-04-12,LOW,Consumer Discretionary,198.16,200.9772,198.16,200.65
23,2021-04-09,LOW,Consumer Discretionary,195.4,198.67,194.3,198.51
24,2021-04-08,LOW,Consumer Discretionary,194.27,195.11,193.285,194.21
25,2021-04-07,LOW,Consumer Discretionary,193.5,194.7499,192.68,193.67
26,2021-04-06,LOW,Consumer Discretionary,192.89,194.97,192.49,194.2
27,2021-04-05,LOW,Consumer Discretionary,191.86,194.67,191.25,193.73
28,2021-04-01,LOW,Consumer Discretionary,191.2,191.88,189.69,191.32
29,2021-03-31,LOW,Consumer Discretionary,190.99,192.18,189.17,190.18
30,2021-03-30,LOW,Consumer Discretionary,186.89,191.02,186.7,190.02
31,2021-03-29,LOW,Consumer Discretionary,192.0,192.91,187.79,188.62
32,2021-03-26,LOW,Consumer Discretionary,185.84,191.85,185.34,191.61
33,2021-03-25,LOW,Consumer Discretionary,179.71,186.17,179.5195,185.17
34,2021-03-24,LOW,Consumer Discretionary,181.12,184.15,180.65,180.68
35,2021-03-23,LOW,Consumer Discretionary,181.25,183.8,179.94,180.4
36,2021-03-22,LOW,Consumer Discretionary,179.55,183.6,178.34,181.89
37,2021-03-19,LOW,Consumer Discretionary,174.24,180.55,174.24,179.49
38,2021-03-18,LOW,Consumer Discretionary,172.91,176.63,172.31,174.87
39,2021-03-17,LOW,Consumer Discretionary,174.81,175.9199,173.88,174.44
40,2021-03-16,LOW,Consumer Discretionary,174.02,176.52,173.97,175.33
41,2021-03-15,LOW,Consumer Discretionary,172.56,175.31,172.56,174.2
