,date,symbol,sector,open,high,low,close
0,2021-05-12,LUV,Industrials,59.47,60.38,58.0829,58.21
1,2021-05-11,LUV,Industrials,60.1,60.72,58.79,59.78
2,2021-05-10,LUV,Industrials,61.85,62.34,61.33,61.35
3,2021-05-07,LUV,Industrials,60.68,62.15,60.45,61.66
4,2021-05-06,LUV,Industrials,60.97,61.22,59.845,60.69
5,2021-05-05,LUV,Industrials,60.77,61.84,60.8,60.83
6,2021-05-04,LUV,Industrials,61.72,62.03,60.1001,60.82
7,2021-05-03,LUV,Industrials,63.01,63.07,61.65,62.15
8,2021-04-30,LUV,Industrials,61.9,63.04,61.8,62.78
9,2021-04-29,LUV,Industrials,62.13,62.65,61.735,62.27
10,2021-04-28,LUV,Industrials,62.09,62.5,61.585,61.77
11,2021-04-27,LUV,Industrials,61.97,62.52,61.36,62.4
12,2021-04-26,LUV,Industrials,62.13,62.88,61.44,61.97
13,2021-04-23,LUV,Industrials,61.31,61.8,60.75,61.53
14,2021-04-22,LUV,Industrials,63.0,63.7,61.01,61.07
15,2021-04-21,LUV,Industrials,59.62,62.07,58.911,62.04
16,2021-04-20,LUV,Industrials,61.07,61.17,59.26,59.85
17,2021-04-19,LUV,Industrials,62.29,62.37,61.38,62.03
18,2021-04-16,LUV,Industrials,63.23,63.41,62.051,62.39
19,2021-04-15,LUV,Industrials,63.43,63.53,62.13,62.94
20,2021-04-14,LUV,Industrials,64.19,64.75,62.79,63.03
21,2021-04-13,LUV,Industrials,61.85,63.44,60.63,63.23
22,2021-04-12,LUV,Industrials,63.29,63.335,61.96,62.66
23,2021-04-09,LUV,Industrials,63.3,63.58,62.515,63.42
24,2021-04-08,LUV,Industrials,63.12,63.49,62.03,63.46
25,2021-04-07,LUV,Industrials,63.9,64.1387,62.96,63.52
26,2021-04-06,LUV,Industrials,63.5,64.64,63.24,64.1
27,2021-04-05,LUV,Industrials,62.45,64.32,62.23,62.97
28,2021-04-01,LUV,Industrials,61.27,61.56,60.76,61.3
29,2021-03-31,LUV,Industrials,61.63,61.99,60.95,61.06
30,2021-03-30,LUV,Industrials,61.15,62.22,61.06,61.91
31,2021-03-29,LUV,Industrials,61.87,62.37,60.37,60.96
32,2021-03-26,LUV,Industrials,60.45,61.42,59.79,61.29
33,2021-03-25,LUV,Industrials,56.61,59.96,56.42,59.91
34,2021-03-24,LUV,Industrials,58.59,59.66,57.69,57.7
35,2021-03-23,LUV,Industrials,59.0,60.38,57.06,57.62
36,2021-03-22,LUV,Industrials,60.53,60.95,59.42,59.46
37,2021-03-19,LUV,Industrials,60.65,61.48,59.6301,61.05
38,2021-03-18,LUV,Industrials,61.63,62.28,60.81,60.94
39,2021-03-17,LUV,Industrials,60.1,61.9359,60.1,61.77
40,2021-03-16,LUV,Industrials,62.26,62.3,60.53,60.54
41,2021-03-15,LUV,Industrials,62.05,62.7561,60.82,62.1
42,2021-03-12,LUV,Industrials,58.41,61.16,58.3,61.03
43,2021-03-11,LUV,Industrials,58.93,59.43,58.13,58.47
44,2021-03-10,LUV,Industrials,58.8,59.69,57.96,58.51
45,2021-03-09,LUV,Industrials,60.17,60.25,58.195,58.93
46,2021-03-08,LUV,Industrials,58.01,60.7,57.55,60.55
47,2021-03-05,LUV,Industrials,56.36,57.13,52.29,56.92
48,2021-03-04,LUV,Industrials,57.72,57.88,54.26,56.08
49,2021-03-03,LUV,Industrials,58.47,58.67,57.6,57.82
50,2021-03-02,LUV,Industrials,57.7,58.4,57.22,57.81
51,2021-03-01,LUV,Industrials,59.55,59.84,57.67,58.06
52,2021-02-26,LUV,Industrials,57.42,58.69,57.0,58.13
53,2021-02-25,LUV,Industrials,59.15,59.26,57.08,58.31
54,2021-02-24,LUV,Industrials,57.6,59.64,57.38,59.29
55,2021-02-23,LUV,Industrials,56.2,57.42,54.31,56.72
56,2021-02-22,LUV,Industrials,54.03,55.74,53.29,54.79
57,2021-02-19,LUV,Industrials,52.23,53.84,52.1,52.81
58,2021-02-18,LUV,Industrials,51.93,52.2,50.97,51.95
59,2021-02-17,LUV,Industrials,51.7,52.53,51.21,52.44
60,2021-02-16,LUV,Industrials,51.81,52.02,50.82,51.96
61,2021-02-12,LUV,Industrials,51.3,51.839,50.97,51.34
62,2021-02-11,LUV,Industrials,51.02,51.48,50.34,51.42
63,2021-02-10,LUV,Industrials,51.5,52.3416,51.16,51.28
64,2021-02-09,LUV,Industrials,51.53,51.75,50.5301,51.18
65,2021-02-08,LUV,Industrials,50.52,53.29,50.21,52.24
66,2021-02-05,LUV,Industrials,49.76,50.89,49.11,50.05
67,2021-02-04,LUV,Industrials,46.79,49.18,46.71,49.13
68,2021-02-03,LUV,Industrials,45.6,46.87,45.495,46.55
69,2021-02-02,LUV,Industrials,45.6,46.18,45.35,45.62
70,2021-02-01,LUV,Industrials,44.34,45.19,44.09,44.79
71,2021-01-29,LUV,Industrials,44.25,44.945,43.7151,43.94
72,2021-01-28,LUV,Industrials,45.16,46.25,44.33,44.6
73,2021-01-27,LUV,Industrials,45.25,45.7,43.87,44.15
74,2021-01-26,LUV,Industrials,45.75,46.22,45.6,45.81
75,2021-01-25,LUV,Industrials,47.28,47.34,45.17,45.62
76,2021-01-22,LUV,Industrials,47.18,47.75,47.07,47.39
77,2021-01-21,LUV,Industrials,47.75,47.94,47.12,47.77
78,2021-01-20,LUV,Industrials,47.1,48.445,46.8975,48.21
79,2021-01-19,LUV,Industrials,47.2,47.65,46.76,46.91
80,2021-01-15,LUV,Industrials,48.58,48.71,46.64,46.66
81,2021-01-14,LUV,Industrials,48.65,49.47,48.44,48.82
82,2021-01-13,LUV,Industrials,47.89,48.4337,47.48,47.99
83,2021-01-12,LUV,Industrials,47.7,48.48,47.28,48.13
84,2021-01-11,LUV,Industrials,46.51,48.04,46.12,47.44
85,2021-01-08,LUV,Industrials,47.64,47.9365,46.71,46.98
86,2021-01-07,LUV,Industrials,46.75,47.84,46.73,47.33
87,2021-01-06,LUV,Industrials,45.5,46.97,45.37,46.75
88,2021-01-05,LUV,Industrials,44.9,46.117,44.84,45.64
89,2021-01-04,LUV,Industrials,46.48,46.54,44.5601,45.04
90,2020-12-31,LUV,Industrials,46.18,46.78,45.68,46.61
91,2020-12-30,LUV,Industrials,46.21,46.93,46.125,46.41
92,2020-12-29,LUV,Industrials,46.35,46.77,45.97,46.15
93,2020-12-28,LUV,Industrials,46.87,47.17,46.11,46.12
94,2020-12-24,LUV,Industrials,47.0,47.09,45.81,46.28
95,2020-12-23,LUV,Industrials,45.47,47.1,45.47,46.75
96,2020-12-22,LUV,Industrials,46.0,46.15,44.98,45.32
97,2020-12-21,LUV,Industrials,44.76,46.13,44.45,45.8
98,2020-12-18,LUV,Industrials,46.22,46.34,45.66,46.03
99,2020-12-17,LUV,Industrials,45.8,46.4,45.45,46.39
100,2020-12-16,LUV,Industrials,46.42,46.42,45.2699,45.73
101,2020-12-15,LUV,Industrials,45.68,46.49,44.9529,46.42
102,2020-12-14,LUV,Industrials,46.58,46.6,45.24,45.26
103,2020-12-11,LUV,Industrials,46.0,46.59,45.1596,45.88
104,2020-12-10,LUV,Industrials,45.09,46.995,45.02,46.8
105,2020-12-09,LUV,Industrials,47.34,47.54,45.25,45.76
106,2020-12-08,LUV,Industrials,47.3,47.925,47.06,47.28
107,2020-12-07,LUV,Industrials,48.34,48.43,47.505,47.89
