,date,symbol,sector,open,high,low,close
0,2021-05-12,LVS,Consumer Discretionary,55.73,56.82,54.85,54.94
1,2021-05-11,LVS,Consumer Discretionary,56.94,57.1799,55.8,56.24
2,2021-05-10,LVS,Consumer Discretionary,58.04,58.75,57.1,57.14
3,2021-05-07,LVS,Consumer Discretionary,57.43,58.37,57.25,57.7
4,2021-05-06,LVS,Consumer Discretionary,59.08,59.13,56.5536,57.27
5,2021-05-05,LVS,Consumer Discretionary,59.99,60.34,59.42,59.46
6,2021-05-04,LVS,Consumer Discretionary,60.6,60.84,58.655,59.34
7,2021-05-03,LVS,Consumer Discretionary,61.32,61.81,60.715,61.06
8,2021-04-30,LVS,Consumer Discretionary,61.0,61.33,60.135,61.26
9,2021-04-29,LVS,Consumer Discretionary,62.4,62.85,60.35,61.19
10,2021-04-28,LVS,Consumer Discretionary,61.0,61.91,60.34,61.74
11,2021-04-27,LVS,Consumer Discretionary,59.3,61.15,58.93,60.73
12,2021-04-26,LVS,Consumer Discretionary,60.14,60.7,59.14,59.3
13,2021-04-23,LVS,Consumer Discretionary,58.7,59.95,58.41,59.76
14,2021-04-22,LVS,Consumer Discretionary,58.27,60.06,57.75,58.33
15,2021-04-21,LVS,Consumer Discretionary,59.61,61.19,58.79,60.76
16,2021-04-20,LVS,Consumer Discretionary,60.35,60.35,58.15,59.04
17,2021-04-19,LVS,Consumer Discretionary,61.27,61.43,60.314,60.62
18,2021-04-16,LVS,Consumer Discretionary,61.7,62.17,60.815,61.0
19,2021-04-15,LVS,Consumer Discretionary,61.46,61.91,60.95,61.29
20,2021-04-14,LVS,Consumer Discretionary,61.04,62.12,60.835,61.31
21,2021-04-13,LVS,Consumer Discretionary,60.7,61.41,59.7283,61.0
22,2021-04-12,LVS,Consumer Discretionary,61.73,61.88,61.17,61.61
23,2021-04-09,LVS,Consumer Discretionary,62.03,62.3042,61.28,61.94
24,2021-04-08,LVS,Consumer Discretionary,62.26,62.76,61.76,62.6
25,2021-04-07,LVS,Consumer Discretionary,63.6,63.77,61.735,62.13
26,2021-04-06,LVS,Consumer Discretionary,62.82,64.33,62.65,63.61
27,2021-04-05,LVS,Consumer Discretionary,62.78,63.48,62.52,62.6
28,2021-04-01,LVS,Consumer Discretionary,61.29,62.23,60.91,61.85
29,2021-03-31,LVS,Consumer Discretionary,61.24,61.395,60.275,60.76
30,2021-03-30,LVS,Consumer Discretionary,59.95,61.72,59.782,61.22
31,2021-03-29,LVS,Consumer Discretionary,60.62,61.085,59.25,59.72
32,2021-03-26,LVS,Consumer Discretionary,61.0,61.17,59.35,61.0
33,2021-03-25,LVS,Consumer Discretionary,58.47,60.8,57.77,60.72
34,2021-03-24,LVS,Consumer Discretionary,59.72,61.18,59.11,59.16
35,2021-03-23,LVS,Consumer Discretionary,61.8,62.49,59.05,59.35
36,2021-03-22,LVS,Consumer Discretionary,63.58,63.87,62.53,62.87
37,2021-03-19,LVS,Consumer Discretionary,64.58,65.02,63.7,63.74
38,2021-03-18,LVS,Consumer Discretionary,65.9,66.21,64.5751,64.77
39,2021-03-17,LVS,Consumer Discretionary,64.35,66.0,64.35,65.93
40,2021-03-16,LVS,Consumer Discretionary,66.26,66.62,64.49,64.97
41,2021-03-15,LVS,Consumer Discretionary,64.1,66.225,63.8,66.2
42,2021-03-12,LVS,Consumer Discretionary,62.92,63.61,62.34,62.45
43,2021-03-11,LVS,Consumer Discretionary,62.46,64.29,61.8801,63.16
44,2021-03-10,LVS,Consumer Discretionary,62.19,62.84,61.52,62.02
45,2021-03-09,LVS,Consumer Discretionary,63.57,63.59,61.91,62.12
46,2021-03-08,LVS,Consumer Discretionary,63.02,64.39,62.27,63.26
47,2021-03-05,LVS,Consumer Discretionary,62.76,63.18,59.1331,62.44
48,2021-03-04,LVS,Consumer Discretionary,65.75,66.14,61.2,62.35
49,2021-03-03,LVS,Consumer Discretionary,66.29,66.765,64.64,65.82
50,2021-03-02,LVS,Consumer Discretionary,63.09,65.1992,63.05,64.95
51,2021-03-01,LVS,Consumer Discretionary,64.49,64.49,62.74,63.05
52,2021-02-26,LVS,Consumer Discretionary,62.51,63.5,61.53,62.6
53,2021-02-25,LVS,Consumer Discretionary,64.73,65.15,62.1605,62.55
54,2021-02-24,LVS,Consumer Discretionary,64.5,64.99,63.39,64.81
55,2021-02-23,LVS,Consumer Discretionary,64.25,64.94,60.86,64.38
56,2021-02-22,LVS,Consumer Discretionary,61.18,63.56,60.87,61.74
57,2021-02-19,LVS,Consumer Discretionary,58.46,60.58,58.41,60.18
58,2021-02-18,LVS,Consumer Discretionary,57.69,58.59,56.79,58.24
59,2021-02-17,LVS,Consumer Discretionary,57.13,59.0,56.65,57.99
60,2021-02-16,LVS,Consumer Discretionary,56.66,57.6858,55.865,57.46
61,2021-02-12,LVS,Consumer Discretionary,54.45,56.28,54.22,56.02
62,2021-02-11,LVS,Consumer Discretionary,55.45,55.82,54.55,55.0
63,2021-02-10,LVS,Consumer Discretionary,54.6,56.28,54.535,55.51
64,2021-02-09,LVS,Consumer Discretionary,55.25,55.25,54.11,54.4
65,2021-02-08,LVS,Consumer Discretionary,55.45,55.58,54.0332,55.3
66,2021-02-05,LVS,Consumer Discretionary,55.2,56.62,54.72,55.57
67,2021-02-04,LVS,Consumer Discretionary,54.07,54.3,52.36,52.95
68,2021-02-03,LVS,Consumer Discretionary,52.27,54.34,52.03,53.8
69,2021-02-02,LVS,Consumer Discretionary,49.75,52.69,49.42,52.16
70,2021-02-01,LVS,Consumer Discretionary,49.0,49.99,48.5,49.07
71,2021-01-29,LVS,Consumer Discretionary,49.01,49.34,47.4425,48.09
72,2021-01-28,LVS,Consumer Discretionary,49.18,50.65,47.81,49.08
73,2021-01-27,LVS,Consumer Discretionary,51.59,51.99,47.5,49.04
74,2021-01-26,LVS,Consumer Discretionary,52.98,53.59,52.39,52.42
75,2021-01-25,LVS,Consumer Discretionary,53.52,53.52,51.62,52.98
76,2021-01-22,LVS,Consumer Discretionary,54.49,54.75,53.52,54.18
77,2021-01-21,LVS,Consumer Discretionary,54.25,55.88,54.13,55.38
78,2021-01-20,LVS,Consumer Discretionary,54.62,55.36,54.09,54.43
79,2021-01-19,LVS,Consumer Discretionary,53.9,54.71,52.325,54.45
80,2021-01-15,LVS,Consumer Discretionary,55.37,55.73,53.33,53.44
81,2021-01-14,LVS,Consumer Discretionary,55.8,56.17,54.12,55.68
82,2021-01-13,LVS,Consumer Discretionary,56.33,56.55,54.08,55.3
83,2021-01-12,LVS,Consumer Discretionary,56.9,57.25,55.75,56.62
84,2021-01-11,LVS,Consumer Discretionary,56.88,57.0,56.0611,56.41
85,2021-01-08,LVS,Consumer Discretionary,58.28,59.79,57.01,57.92
86,2021-01-07,LVS,Consumer Discretionary,58.5,58.93,57.63,58.15
87,2021-01-06,LVS,Consumer Discretionary,59.05,60.25,57.98,58.54
88,2021-01-05,LVS,Consumer Discretionary,57.79,59.69,57.72,59.44
89,2021-01-04,LVS,Consumer Discretionary,59.8,60.29,57.32,57.95
90,2020-12-31,LVS,Consumer Discretionary,58.86,59.8999,58.32,59.6
91,2020-12-30,LVS,Consumer Discretionary,58.4,59.39,58.13,58.74
92,2020-12-29,LVS,Consumer Discretionary,59.35,59.63,58.07,58.11
93,2020-12-28,LVS,Consumer Discretionary,58.05,59.05,57.36,58.98
94,2020-12-24,LVS,Consumer Discretionary,57.22,57.49,56.71,57.01
95,2020-12-23,LVS,Consumer Discretionary,56.29,57.7,56.29,57.19
96,2020-12-22,LVS,Consumer Discretionary,56.66,56.83,55.875,56.25
