,date,symbol,sector,open,high,low,close
0,2021-05-12,MAR,Consumer Discretionary,140.48,141.31,135.35,135.94
1,2021-05-11,MAR,Consumer Discretionary,139.58,141.94,138.38,141.71
2,2021-05-10,MAR,Consumer Discretionary,144.8736,145.395,140.6,140.66
3,2021-05-07,MAR,Consumer Discretionary,143.0,146.89,142.5,146.69
4,2021-05-06,MAR,Consumer Discretionary,144.58,144.58,140.58,142.59
5,2021-05-05,MAR,Consumer Discretionary,147.82,148.92,144.18,144.51
6,2021-05-04,MAR,Consumer Discretionary,148.27,148.27,144.33,147.61
7,2021-05-03,MAR,Consumer Discretionary,149.32,150.16,148.3254,148.89
8,2021-04-30,MAR,Consumer Discretionary,149.1,150.02,146.5447,148.52
9,2021-04-29,MAR,Consumer Discretionary,151.31,152.99,148.75,151.03
10,2021-04-28,MAR,Consumer Discretionary,149.58,150.25,148.58,149.45
11,2021-04-27,MAR,Consumer Discretionary,148.96,150.35,148.19,149.74
12,2021-04-26,MAR,Consumer Discretionary,149.5,150.74,147.76,148.48
13,2021-04-23,MAR,Consumer Discretionary,147.04,148.715,145.8,148.36
14,2021-04-22,MAR,Consumer Discretionary,144.67,149.27,143.325,146.64
15,2021-04-21,MAR,Consumer Discretionary,141.7008,145.4,140.87,144.76
16,2021-04-20,MAR,Consumer Discretionary,146.47,146.47,140.05,141.97
17,2021-04-19,MAR,Consumer Discretionary,148.0,148.93,146.85,147.9
18,2021-04-16,MAR,Consumer Discretionary,150.12,151.32,147.7,148.63
19,2021-04-15,MAR,Consumer Discretionary,149.8,150.6186,148.46,149.18
20,2021-04-14,MAR,Consumer Discretionary,149.09,151.94,148.7,149.59
21,2021-04-13,MAR,Consumer Discretionary,148.11,149.16,145.99,148.81
22,2021-04-12,MAR,Consumer Discretionary,148.47,149.45,146.9,149.35
23,2021-04-09,MAR,Consumer Discretionary,148.27,148.995,146.07,148.48
24,2021-04-08,MAR,Consumer Discretionary,148.5,149.94,146.79,149.44
25,2021-04-07,MAR,Consumer Discretionary,152.25,152.41,148.07,148.81
26,2021-04-06,MAR,Consumer Discretionary,150.99,152.77,150.73,151.62
27,2021-04-05,MAR,Consumer Discretionary,150.5,153.23,150.24,150.93
28,2021-04-01,MAR,Consumer Discretionary,148.27,149.33,146.57,148.27
29,2021-03-31,MAR,Consumer Discretionary,148.96,150.34,147.03,148.11
30,2021-03-30,MAR,Consumer Discretionary,144.79,149.68,144.53,148.23
31,2021-03-29,MAR,Consumer Discretionary,146.0,146.8,143.15,144.6
32,2021-03-26,MAR,Consumer Discretionary,147.35,147.54,142.8113,146.82
33,2021-03-25,MAR,Consumer Discretionary,141.84,146.96,139.4119,146.57
34,2021-03-24,MAR,Consumer Discretionary,144.2,147.65,143.19,143.28
35,2021-03-23,MAR,Consumer Discretionary,149.68,149.7,141.4,142.42
36,2021-03-22,MAR,Consumer Discretionary,150.55,152.25,149.38,151.5
37,2021-03-19,MAR,Consumer Discretionary,152.59,153.44,149.04,152.28
