,date,symbol,sector,open,high,low,close
0,2021-05-12,MAS,Industrials,64.47,64.56,61.95,62.12
1,2021-05-11,MAS,Industrials,66.42,66.52,64.38,64.69
2,2021-05-10,MAS,Industrials,67.0,68.54,66.67,67.11
3,2021-05-07,MAS,Industrials,66.18,67.21,65.97,66.86
4,2021-05-06,MAS,Industrials,65.76,66.12,65.035,66.05
5,2021-05-05,MAS,Industrials,65.59,65.8,65.03,65.52
6,2021-05-04,MAS,Industrials,64.87,65.7,64.87,65.54
7,2021-05-03,MAS,Industrials,64.57,65.42,64.33,65.14
8,2021-04-30,MAS,Industrials,64.63,64.82,63.52,63.88
9,2021-04-29,MAS,Industrials,64.23,65.23,64.09,64.94
10,2021-04-28,MAS,Industrials,65.08,65.09,62.3,63.99
11,2021-04-27,MAS,Industrials,63.39,64.095,63.15,63.57
12,2021-04-26,MAS,Industrials,64.96,65.1,63.31,63.4
13,2021-04-23,MAS,Industrials,64.0,64.83,63.84,64.75
14,2021-04-22,MAS,Industrials,64.38,64.49,63.76,64.07
15,2021-04-21,MAS,Industrials,63.93,64.62,63.675,64.05
16,2021-04-20,MAS,Industrials,64.38,64.8475,62.9501,63.5
17,2021-04-19,MAS,Industrials,64.58,64.83,63.97,64.55
18,2021-04-16,MAS,Industrials,63.82,65.29,63.53,64.59
19,2021-04-15,MAS,Industrials,62.51,63.31,62.185,63.21
20,2021-04-14,MAS,Industrials,62.82,62.86,62.09,62.48
21,2021-04-13,MAS,Industrials,63.1,63.195,62.26,62.79
22,2021-04-12,MAS,Industrials,62.89,63.3402,62.815,63.19
23,2021-04-09,MAS,Industrials,61.69,63.04,61.54,62.98
24,2021-04-08,MAS,Industrials,61.06,61.6,61.0,61.52
25,2021-04-07,MAS,Industrials,62.24,62.24,60.75,61.1
26,2021-04-06,MAS,Industrials,62.65,62.8584,61.75,62.43
27,2021-04-05,MAS,Industrials,61.47,61.97,61.3,61.8
28,2021-04-01,MAS,Industrials,60.0,61.01,59.62,60.99
29,2021-03-31,MAS,Industrials,60.45,60.76,59.57,59.9
30,2021-03-30,MAS,Industrials,60.0,60.44,59.79,60.01
31,2021-03-29,MAS,Industrials,60.14,60.82,59.67,60.13
32,2021-03-26,MAS,Industrials,58.31,60.12,58.205,60.05
33,2021-03-25,MAS,Industrials,57.54,58.3,56.58,58.03
34,2021-03-24,MAS,Industrials,57.11,58.1,57.085,57.3
