,date,symbol,sector,open,high,low,close
0,2021-05-12,MCD,Consumer Discretionary,232.11,233.5716,227.57,227.94
1,2021-05-11,MCD,Consumer Discretionary,237.74,237.8,232.2,233.86
2,2021-05-10,MCD,Consumer Discretionary,235.1,237.92,235.1,237.11
3,2021-05-07,MCD,Consumer Discretionary,235.0,235.72,233.99,234.84
4,2021-05-06,MCD,Consumer Discretionary,235.54,235.65,233.17,234.86
5,2021-05-05,MCD,Consumer Discretionary,234.12,235.35,232.52,235.04
6,2021-05-04,MCD,Consumer Discretionary,234.63,236.13,233.24,233.86
7,2021-05-03,MCD,Consumer Discretionary,237.99,238.18,235.38,235.56
8,2021-04-30,MCD,Consumer Discretionary,234.0,236.29,233.87,236.08
9,2021-04-29,MCD,Consumer Discretionary,233.99,235.8,232.62,235.21
10,2021-04-28,MCD,Consumer Discretionary,235.2,235.45,232.26,232.41
11,2021-04-27,MCD,Consumer Discretionary,232.57,235.63,232.408,234.98
12,2021-04-26,MCD,Consumer Discretionary,234.78,235.35,231.91,232.31
13,2021-04-23,MCD,Consumer Discretionary,233.79,235.24,233.1,234.58
14,2021-04-22,MCD,Consumer Discretionary,232.83,234.04,231.94,232.96
15,2021-04-21,MCD,Consumer Discretionary,233.3,233.86,231.85,232.26
16,2021-04-20,MCD,Consumer Discretionary,231.24,233.21,231.08,233.01
17,2021-04-19,MCD,Consumer Discretionary,233.12,233.295,230.83,231.81
18,2021-04-16,MCD,Consumer Discretionary,233.65,234.26,232.31,233.08
19,2021-04-15,MCD,Consumer Discretionary,229.81,231.3599,229.2,231.28
20,2021-04-14,MCD,Consumer Discretionary,231.22,231.29,229.59,230.31
21,2021-04-13,MCD,Consumer Discretionary,230.44,231.6626,229.69,231.32
22,2021-04-12,MCD,Consumer Discretionary,231.48,232.38,230.49,230.96
23,2021-04-09,MCD,Consumer Discretionary,230.19,231.61,228.87,231.48
24,2021-04-08,MCD,Consumer Discretionary,232.61,232.8,229.2,230.25
25,2021-04-07,MCD,Consumer Discretionary,231.68,232.81,231.24,232.61
26,2021-04-06,MCD,Consumer Discretionary,229.71,232.27,228.72,231.91
27,2021-04-05,MCD,Consumer Discretionary,226.6,229.5,226.19,228.85
28,2021-04-01,MCD,Consumer Discretionary,224.67,226.22,223.276,225.21
29,2021-03-31,MCD,Consumer Discretionary,224.01,226.49,224.0,224.14
30,2021-03-30,MCD,Consumer Discretionary,226.13,227.02,224.22,224.98
31,2021-03-29,MCD,Consumer Discretionary,224.83,227.875,224.3,227.35
32,2021-03-26,MCD,Consumer Discretionary,224.2,225.28,222.42,225.21
33,2021-03-25,MCD,Consumer Discretionary,225.15,225.32,222.44,224.2
34,2021-03-24,MCD,Consumer Discretionary,225.32,227.02,224.04,224.05
35,2021-03-23,MCD,Consumer Discretionary,223.96,226.4,223.7513,224.37
36,2021-03-22,MCD,Consumer Discretionary,223.39,226.91,222.65,225.07
37,2021-03-19,MCD,Consumer Discretionary,222.76,225.1828,221.0,222.44
38,2021-03-18,MCD,Consumer Discretionary,223.68,225.35,221.41,222.9
39,2021-03-17,MCD,Consumer Discretionary,224.56,224.9,220.01,224.11
40,2021-03-16,MCD,Consumer Discretionary,219.58,221.3,217.16,219.86
41,2021-03-15,MCD,Consumer Discretionary,213.65,220.55,213.5,220.46
42,2021-03-12,MCD,Consumer Discretionary,212.04,214.24,211.42,212.34
43,2021-03-11,MCD,Consumer Discretionary,214.7,215.23,211.49,211.57
44,2021-03-10,MCD,Consumer Discretionary,208.72,213.63,208.24,213.31
45,2021-03-09,MCD,Consumer Discretionary,210.63,211.2,208.28,208.55
46,2021-03-08,MCD,Consumer Discretionary,207.7,210.591,207.14,209.11
47,2021-03-05,MCD,Consumer Discretionary,205.75,208.23,202.9592,207.37
48,2021-03-04,MCD,Consumer Discretionary,206.16,207.49,202.73,204.84
49,2021-03-03,MCD,Consumer Discretionary,207.52,208.99,205.61,205.82
50,2021-03-02,MCD,Consumer Discretionary,208.0,209.9,206.19,208.67
51,2021-03-01,MCD,Consumer Discretionary,207.35,210.38,207.35,208.25
52,2021-02-26,MCD,Consumer Discretionary,210.75,211.635,206.14,206.14
53,2021-02-25,MCD,Consumer Discretionary,212.7,212.92,209.74,210.95
54,2021-02-24,MCD,Consumer Discretionary,210.84,214.1,210.42,213.27
55,2021-02-23,MCD,Consumer Discretionary,214.5,215.7,210.43,211.32
56,2021-02-22,MCD,Consumer Discretionary,211.5,213.0,209.69,212.06
57,2021-02-19,MCD,Consumer Discretionary,215.29,215.73,211.97,212.24
58,2021-02-18,MCD,Consumer Discretionary,213.29,215.8601,212.65,215.43
59,2021-02-17,MCD,Consumer Discretionary,213.96,214.89,212.63,213.45
60,2021-02-16,MCD,Consumer Discretionary,214.37,216.94,213.83,215.03
61,2021-02-12,MCD,Consumer Discretionary,214.0,214.7,212.99,213.9
62,2021-02-11,MCD,Consumer Discretionary,214.54,214.8,212.4,214.27
63,2021-02-10,MCD,Consumer Discretionary,216.88,217.31,213.81,214.4
64,2021-02-09,MCD,Consumer Discretionary,212.07,216.18,211.77,215.98
65,2021-02-08,MCD,Consumer Discretionary,212.53,212.99,209.96,211.58
66,2021-02-05,MCD,Consumer Discretionary,212.59,214.18,212.01,212.58
67,2021-02-04,MCD,Consumer Discretionary,210.0,212.11,208.67,211.03
68,2021-02-03,MCD,Consumer Discretionary,208.35,209.99,207.93,208.71
69,2021-02-02,MCD,Consumer Discretionary,208.09,212.63,207.645,209.76
70,2021-02-01,MCD,Consumer Discretionary,208.48,209.69,206.6,207.93
71,2021-01-29,MCD,Consumer Discretionary,205.11,209.4,203.11,207.84
72,2021-01-28,MCD,Consumer Discretionary,208.63,210.36,205.13,206.82
73,2021-01-27,MCD,Consumer Discretionary,212.39,213.15,207.0,207.0
74,2021-01-26,MCD,Consumer Discretionary,212.51,215.51,212.17,215.38
