,date,symbol,sector,open,high,low,close
0,2021-05-12,MCK,Health Care,197.47,198.435,194.755,197.07
1,2021-05-11,MCK,Health Care,202.2,202.56,196.44,197.94
2,2021-05-10,MCK,Health Care,197.01,204.6597,197.01,202.13
3,2021-05-07,MCK,Health Care,193.5,198.35,191.1,197.61
4,2021-05-06,MCK,Health Care,185.0,185.6,180.415,185.09
5,2021-05-05,MCK,Health Care,192.59,190.16,187.07,189.08
6,2021-05-04,MCK,Health Care,191.76,194.14,191.38,193.67
7,2021-05-03,MCK,Health Care,189.51,192.38,188.48,192.12
8,2021-04-30,MCK,Health Care,190.22,190.75,187.17,187.56
9,2021-04-29,MCK,Health Care,188.81,190.5,187.41,190.27
10,2021-04-28,MCK,Health Care,188.99,189.13,187.03,187.94
11,2021-04-27,MCK,Health Care,191.01,191.015,187.71,189.33
12,2021-04-26,MCK,Health Care,196.17,196.25,191.315,191.62
13,2021-04-23,MCK,Health Care,195.77,197.205,193.97,196.1
14,2021-04-22,MCK,Health Care,195.49,197.235,194.54,195.33
15,2021-04-21,MCK,Health Care,195.65,197.245,193.815,196.04
16,2021-04-20,MCK,Health Care,193.03,195.28,192.78,194.53
17,2021-04-19,MCK,Health Care,194.23,194.81,192.34,193.69
18,2021-04-16,MCK,Health Care,191.53,193.36,189.95,193.18
19,2021-04-15,MCK,Health Care,191.41,192.67,190.34,191.37
20,2021-04-14,MCK,Health Care,189.29,191.97,189.2,190.61
21,2021-04-13,MCK,Health Care,190.28,190.835,187.21,189.16
22,2021-04-12,MCK,Health Care,189.94,193.0599,189.94,191.71
23,2021-04-09,MCK,Health Care,190.18,191.62,189.62,190.87
24,2021-04-08,MCK,Health Care,193.12,193.415,189.44,189.47
25,2021-04-07,MCK,Health Care,191.55,193.53,191.13,193.26
26,2021-04-06,MCK,Health Care,194.6,194.86,190.92,191.45
27,2021-04-05,MCK,Health Care,194.82,195.8778,193.0,194.61
28,2021-04-01,MCK,Health Care,194.83,195.015,189.66,193.57
29,2021-03-31,MCK,Health Care,196.17,197.4,193.66,195.04
30,2021-03-30,MCK,Health Care,197.07,198.43,195.69,196.53
31,2021-03-29,MCK,Health Care,193.35,197.33,192.75,196.0
32,2021-03-26,MCK,Health Care,192.53,194.15,191.22,194.09
33,2021-03-25,MCK,Health Care,187.55,191.82,186.16,191.45
34,2021-03-24,MCK,Health Care,188.25,191.3,187.77,187.8
35,2021-03-23,MCK,Health Care,192.59,193.36,187.58,188.43
36,2021-03-22,MCK,Health Care,189.93,192.45,189.03,192.38
37,2021-03-19,MCK,Health Care,188.13,191.77,186.67,189.77
38,2021-03-18,MCK,Health Care,185.99,189.84,185.45,187.99
39,2021-03-17,MCK,Health Care,187.17,188.67,185.48,187.01
