,date,symbol,sector,open,high,low,close
0,2021-05-12,MDT,Health Care,124.39,124.9,122.86,123.12
1,2021-05-11,MDT,Health Care,126.3,126.74,124.44,125.22
2,2021-05-10,MDT,Health Care,127.0,128.0425,126.83,126.9
3,2021-05-07,MDT,Health Care,127.45,128.44,126.52,126.7
4,2021-05-06,MDT,Health Care,126.74,127.5,125.82,127.3
5,2021-05-05,MDT,Health Care,128.36,127.46,126.41,127.0
6,2021-05-04,MDT,Health Care,130.87,130.99,128.07,128.5
7,2021-05-03,MDT,Health Care,131.76,131.91,130.9,131.2
8,2021-04-30,MDT,Health Care,130.67,131.21,129.78,130.92
9,2021-04-29,MDT,Health Care,132.08,132.3,130.91,131.5
10,2021-04-28,MDT,Health Care,130.26,131.615,130.0,131.2
11,2021-04-27,MDT,Health Care,129.37,130.39,128.895,129.97
12,2021-04-26,MDT,Health Care,131.42,131.49,130.02,130.12
13,2021-04-23,MDT,Health Care,129.89,131.79,129.51,131.2
14,2021-04-22,MDT,Health Care,130.07,130.91,129.33,129.85
15,2021-04-21,MDT,Health Care,128.81,131.38,128.36,130.25
16,2021-04-20,MDT,Health Care,125.91,128.42,125.79,128.28
17,2021-04-19,MDT,Health Care,125.36,126.29,125.1,126.13
18,2021-04-16,MDT,Health Care,126.83,126.83,125.075,125.91
19,2021-04-15,MDT,Health Care,124.01,126.14,124.01,125.85
20,2021-04-14,MDT,Health Care,123.6,124.86,123.53,123.9
21,2021-04-13,MDT,Health Care,121.44,123.91,121.26,123.63
22,2021-04-12,MDT,Health Care,121.75,122.26,121.15,121.79
23,2021-04-09,MDT,Health Care,120.9,122.0,120.6552,122.0
24,2021-04-08,MDT,Health Care,121.29,121.555,120.59,120.65
25,2021-04-07,MDT,Health Care,121.0,122.05,119.96,120.63
26,2021-04-06,MDT,Health Care,119.89,121.805,119.65,121.15
27,2021-04-05,MDT,Health Care,118.83,120.31,118.49,120.25
28,2021-04-01,MDT,Health Care,118.44,118.78,117.62,118.19
29,2021-03-31,MDT,Health Care,119.28,119.44,118.07,118.13
30,2021-03-30,MDT,Health Care,118.52,119.325,118.18,118.83
31,2021-03-29,MDT,Health Care,117.64,119.66,117.02,119.16
32,2021-03-26,MDT,Health Care,116.66,118.81,116.01,118.56
33,2021-03-25,MDT,Health Care,115.89,116.88,114.78,116.58
34,2021-03-24,MDT,Health Care,115.15,117.1,115.11,115.96
35,2021-03-23,MDT,Health Care,116.82,117.08,114.78,115.03
36,2021-03-22,MDT,Health Care,116.5,117.77,115.51,116.84
37,2021-03-19,MDT,Health Care,118.66,118.675,116.38,116.62
38,2021-03-18,MDT,Health Care,118.42,120.25,118.22,118.83
