,date,symbol,sector,open,high,low,close
0,2021-05-12,MGM,Consumer Discretionary,38.5,38.905,36.99,37.14
1,2021-05-11,MGM,Consumer Discretionary,38.49,39.36,38.05,38.76
2,2021-05-10,MGM,Consumer Discretionary,40.0202,40.11,39.13,39.46
3,2021-05-07,MGM,Consumer Discretionary,39.25,40.24,39.14,39.92
4,2021-05-06,MGM,Consumer Discretionary,41.01,41.34,38.81,38.91
5,2021-05-05,MGM,Consumer Discretionary,41.15,42.225,41.5,41.75
6,2021-05-04,MGM,Consumer Discretionary,41.0,41.05,39.53,40.51
7,2021-05-03,MGM,Consumer Discretionary,40.98,41.55,40.68,41.26
8,2021-04-30,MGM,Consumer Discretionary,40.1,40.98,39.92,40.72
9,2021-04-29,MGM,Consumer Discretionary,42.7,42.74,39.99,40.42
10,2021-04-28,MGM,Consumer Discretionary,42.38,42.56,41.37,42.02
11,2021-04-27,MGM,Consumer Discretionary,41.56,42.4455,41.3,42.2
12,2021-04-26,MGM,Consumer Discretionary,41.76,42.3,41.385,41.47
13,2021-04-23,MGM,Consumer Discretionary,41.05,41.5499,40.84,41.51
14,2021-04-22,MGM,Consumer Discretionary,40.94,42.1,40.37,40.75
15,2021-04-21,MGM,Consumer Discretionary,39.34,41.26,38.67,41.2
16,2021-04-20,MGM,Consumer Discretionary,39.33,39.65,38.0,39.55
17,2021-04-19,MGM,Consumer Discretionary,40.21,40.27,39.57,39.75
18,2021-04-16,MGM,Consumer Discretionary,40.01,40.32,39.8,40.26
19,2021-04-15,MGM,Consumer Discretionary,41.5,41.5,39.68,39.69
20,2021-04-14,MGM,Consumer Discretionary,41.19,42.015,41.0,41.26
21,2021-04-13,MGM,Consumer Discretionary,40.59,41.34,39.8437,40.99
22,2021-04-12,MGM,Consumer Discretionary,41.58,41.6,40.67,41.16
23,2021-04-09,MGM,Consumer Discretionary,42.0,42.1099,41.14,41.77
24,2021-04-08,MGM,Consumer Discretionary,41.12,42.24,40.51,42.14
25,2021-04-07,MGM,Consumer Discretionary,41.45,41.61,40.73,41.09
26,2021-04-06,MGM,Consumer Discretionary,41.75,42.74,41.42,41.52
27,2021-04-05,MGM,Consumer Discretionary,41.38,42.629,41.0,41.7
28,2021-04-01,MGM,Consumer Discretionary,38.25,39.86,37.98,39.7
29,2021-03-31,MGM,Consumer Discretionary,38.18,38.45,37.815,37.99
30,2021-03-30,MGM,Consumer Discretionary,37.2,38.38,37.17,38.21
31,2021-03-29,MGM,Consumer Discretionary,37.55,37.69,36.65,37.16
32,2021-03-26,MGM,Consumer Discretionary,38.18,38.24,36.52,37.68
33,2021-03-25,MGM,Consumer Discretionary,35.98,38.03,35.57,37.96
34,2021-03-24,MGM,Consumer Discretionary,37.81,38.6,36.8,36.9
35,2021-03-23,MGM,Consumer Discretionary,38.57,38.98,37.0911,37.34
36,2021-03-22,MGM,Consumer Discretionary,40.09,40.1,38.76,39.03
37,2021-03-19,MGM,Consumer Discretionary,39.59,40.45,38.81,40.03
38,2021-03-18,MGM,Consumer Discretionary,41.15,41.29,39.5,39.51
