,date,symbol,sector,open,high,low,close
0,2021-05-12,MHK,Consumer Discretionary,219.07,219.26,208.65,209.49
1,2021-05-11,MHK,Consumer Discretionary,222.44,223.42,215.105,219.47
2,2021-05-10,MHK,Consumer Discretionary,230.53,231.8,226.04,226.48
3,2021-05-07,MHK,Consumer Discretionary,223.12,230.75,221.17,229.74
4,2021-05-06,MHK,Consumer Discretionary,225.35,226.08,220.97,224.88
5,2021-05-05,MHK,Consumer Discretionary,221.82,225.78,223.05,224.3
6,2021-05-04,MHK,Consumer Discretionary,221.0,221.53,214.4,219.84
7,2021-05-03,MHK,Consumer Discretionary,212.21,227.45,211.32,221.0
8,2021-04-30,MHK,Consumer Discretionary,208.36,214.485,203.67,205.5
9,2021-04-29,MHK,Consumer Discretionary,209.33,213.61,208.0035,212.98
10,2021-04-28,MHK,Consumer Discretionary,208.0,209.41,206.4,207.7
11,2021-04-27,MHK,Consumer Discretionary,206.03,209.8,205.58,208.36
12,2021-04-26,MHK,Consumer Discretionary,204.17,207.46,203.27,206.71
13,2021-04-23,MHK,Consumer Discretionary,200.69,203.71,199.41,203.34
14,2021-04-22,MHK,Consumer Discretionary,200.92,202.73,197.48,199.17
15,2021-04-21,MHK,Consumer Discretionary,196.51,201.2,195.0492,201.11
16,2021-04-20,MHK,Consumer Discretionary,199.99,200.7787,194.24,196.05
17,2021-04-19,MHK,Consumer Discretionary,204.13,204.13,199.6,199.91
18,2021-04-16,MHK,Consumer Discretionary,203.09,205.01,202.08,204.81
19,2021-04-15,MHK,Consumer Discretionary,203.07,203.289,200.27,201.67
20,2021-04-14,MHK,Consumer Discretionary,201.9,205.02,201.51,201.74
21,2021-04-13,MHK,Consumer Discretionary,203.07,203.84,198.4158,202.59
22,2021-04-12,MHK,Consumer Discretionary,205.0,206.2,201.29,204.11
23,2021-04-09,MHK,Consumer Discretionary,199.36,202.97,197.335,202.93
24,2021-04-08,MHK,Consumer Discretionary,196.82,198.645,194.13,198.45
25,2021-04-07,MHK,Consumer Discretionary,199.0,201.0,197.0601,197.74
26,2021-04-06,MHK,Consumer Discretionary,200.77,202.94,198.35,200.68
27,2021-04-05,MHK,Consumer Discretionary,200.13,201.51,197.76,201.19
28,2021-04-01,MHK,Consumer Discretionary,194.57,199.0,192.57,198.28
29,2021-03-31,MHK,Consumer Discretionary,194.63,197.36,192.17,192.31
30,2021-03-30,MHK,Consumer Discretionary,190.57,195.76,190.0701,195.03
31,2021-03-29,MHK,Consumer Discretionary,195.24,196.0,190.07,191.27
32,2021-03-26,MHK,Consumer Discretionary,194.44,196.38,192.49,195.67
33,2021-03-25,MHK,Consumer Discretionary,183.7,192.53,183.16,192.3
34,2021-03-24,MHK,Consumer Discretionary,183.71,188.05,183.71,185.4
35,2021-03-23,MHK,Consumer Discretionary,181.44,186.59,180.09,181.28
36,2021-03-22,MHK,Consumer Discretionary,184.49,185.2443,180.12,183.15
37,2021-03-19,MHK,Consumer Discretionary,182.48,185.39,178.75,183.74
38,2021-03-18,MHK,Consumer Discretionary,186.13,186.55,182.82,183.35
39,2021-03-17,MHK,Consumer Discretionary,182.78,186.02,181.5,185.94
40,2021-03-16,MHK,Consumer Discretionary,187.23,189.31,181.18,182.86
41,2021-03-15,MHK,Consumer Discretionary,189.04,189.04,185.045,188.32
42,2021-03-12,MHK,Consumer Discretionary,186.25,189.59,184.03,189.04
43,2021-03-11,MHK,Consumer Discretionary,185.02,186.832,181.93,185.78
44,2021-03-10,MHK,Consumer Discretionary,184.01,188.13,182.91,184.99
45,2021-03-09,MHK,Consumer Discretionary,186.59,189.13,180.78,183.64
46,2021-03-08,MHK,Consumer Discretionary,186.52,192.57,185.805,187.27
47,2021-03-05,MHK,Consumer Discretionary,178.65,186.81,176.46,186.11
48,2021-03-04,MHK,Consumer Discretionary,182.07,183.18,168.81,175.69
49,2021-03-03,MHK,Consumer Discretionary,181.59,185.85,180.21,182.63
50,2021-03-02,MHK,Consumer Discretionary,180.0,183.08,179.27,181.48
51,2021-03-01,MHK,Consumer Discretionary,177.19,181.08,175.05,179.76
52,2021-02-26,MHK,Consumer Discretionary,174.08,177.655,172.38,174.99
