,date,symbol,sector,open,high,low,close
0,2021-05-12,MMM,Industrials,203.59,203.7,198.77,198.87
1,2021-05-11,MMM,Industrials,206.6,206.91,202.4,203.72
2,2021-05-10,MMM,Industrials,205.0,208.95,204.06,207.33
3,2021-05-07,MMM,Industrials,202.31,203.87,201.24,203.07
4,2021-05-06,MMM,Industrials,201.28,202.51,200.4601,202.41
5,2021-05-05,MMM,Industrials,200.0,201.7195,199.16,201.44
6,2021-05-04,MMM,Industrials,198.49,199.56,197.5426,199.38
7,2021-05-03,MMM,Industrials,197.99,199.47,196.66,198.61
8,2021-04-30,MMM,Industrials,197.66,198.99,196.13,197.14
9,2021-04-29,MMM,Industrials,196.81,199.41,196.27,199.05
10,2021-04-28,MMM,Industrials,195.0,197.31,194.81,195.93
11,2021-04-27,MMM,Industrials,191.51,195.86,188.63,194.45
12,2021-04-26,MMM,Industrials,202.98,202.99,199.58,199.63
13,2021-04-23,MMM,Industrials,201.0,203.155,200.99,202.2
14,2021-04-22,MMM,Industrials,200.67,202.17,200.18,200.9
15,2021-04-21,MMM,Industrials,198.3,201.5,198.12,200.88
16,2021-04-20,MMM,Industrials,198.94,199.35,197.44,198.3
17,2021-04-19,MMM,Industrials,198.11,198.69,196.67,198.59
18,2021-04-16,MMM,Industrials,198.72,199.67,197.98,198.58
19,2021-04-15,MMM,Industrials,197.28,197.81,195.9101,197.48
20,2021-04-14,MMM,Industrials,195.55,197.39,195.015,196.75
21,2021-04-13,MMM,Industrials,196.01,197.33,195.37,196.47
22,2021-04-12,MMM,Industrials,198.2,199.29,197.06,197.83
23,2021-04-09,MMM,Industrials,196.06,198.96,196.06,198.0
24,2021-04-08,MMM,Industrials,194.42,196.665,194.03,195.72
25,2021-04-07,MMM,Industrials,194.16,195.35,193.92,194.95
26,2021-04-06,MMM,Industrials,195.0,195.6082,193.99,194.84
27,2021-04-05,MMM,Industrials,193.89,195.95,193.71,194.97
28,2021-04-01,MMM,Industrials,193.25,193.92,190.84,192.7
29,2021-03-31,MMM,Industrials,193.94,194.425,192.05,192.68
30,2021-03-30,MMM,Industrials,194.98,196.63,193.88,194.64
31,2021-03-29,MMM,Industrials,193.62,196.72,193.51,195.74
32,2021-03-26,MMM,Industrials,193.01,194.95,192.21,194.88
33,2021-03-25,MMM,Industrials,191.64,193.36,190.17,193.1
34,2021-03-24,MMM,Industrials,188.43,192.74,188.083,190.69
35,2021-03-23,MMM,Industrials,188.77,191.71,187.9,188.33
36,2021-03-22,MMM,Industrials,188.26,189.76,187.01,189.47
37,2021-03-19,MMM,Industrials,190.6,191.0,188.69,188.71
38,2021-03-18,MMM,Industrials,188.6,192.09,188.6,191.0
39,2021-03-17,MMM,Industrials,187.33,189.99,187.05,188.3
40,2021-03-16,MMM,Industrials,188.0,188.46,185.98,186.85
41,2021-03-15,MMM,Industrials,186.03,189.63,185.71,189.48
42,2021-03-12,MMM,Industrials,185.61,186.21,184.27,184.92
43,2021-03-11,MMM,Industrials,183.13,185.07,182.0959,184.57
44,2021-03-10,MMM,Industrials,182.37,185.38,181.41,184.51
45,2021-03-09,MMM,Industrials,183.5,184.15,181.02,181.18
46,2021-03-08,MMM,Industrials,180.99,185.7,180.93,183.77
47,2021-03-05,MMM,Industrials,178.45,181.56,176.95,180.8
48,2021-03-04,MMM,Industrials,179.29,180.18,174.07,177.63
49,2021-03-03,MMM,Industrials,177.43,180.02,176.8,178.06
50,2021-03-02,MMM,Industrials,177.0,177.79,174.79,177.11
51,2021-03-01,MMM,Industrials,175.7,177.5,175.7,176.41
52,2021-02-26,MMM,Industrials,179.44,179.45,174.605,175.06
53,2021-02-25,MMM,Industrials,177.52,180.75,177.43,178.76
54,2021-02-24,MMM,Industrials,176.0,177.98,173.76,177.63
55,2021-02-23,MMM,Industrials,177.54,177.54,174.71,176.17
56,2021-02-22,MMM,Industrials,176.46,177.09,175.01,176.12
57,2021-02-19,MMM,Industrials,179.57,180.77,176.2,176.54
58,2021-02-18,MMM,Industrials,177.25,179.67,176.15,179.37
59,2021-02-17,MMM,Industrials,176.05,177.3,175.14,176.65
60,2021-02-16,MMM,Industrials,179.0,179.69,176.3242,176.63
61,2021-02-12,MMM,Industrials,177.27,178.84,177.205,178.7
62,2021-02-11,MMM,Industrials,179.35,179.875,175.84,177.21
63,2021-02-10,MMM,Industrials,181.88,182.38,180.64,181.08
64,2021-02-09,MMM,Industrials,181.22,181.9,180.18,180.94
65,2021-02-08,MMM,Industrials,179.3,180.87,179.17,180.76
66,2021-02-05,MMM,Industrials,177.6,179.2297,176.7,179.01
67,2021-02-04,MMM,Industrials,175.79,177.29,175.5101,177.1
68,2021-02-03,MMM,Industrials,175.38,177.443,173.55,175.48
69,2021-02-02,MMM,Industrials,176.25,177.53,174.85,175.02
70,2021-02-01,MMM,Industrials,175.97,177.11,173.9703,174.7
71,2021-01-29,MMM,Industrials,182.29,182.98,174.8701,175.66
72,2021-01-28,MMM,Industrials,185.0,186.58,182.58,183.42
73,2021-01-27,MMM,Industrials,177.31,187.27,177.16,186.65
74,2021-01-26,MMM,Industrials,173.7799,176.84,172.08,175.95
75,2021-01-25,MMM,Industrials,168.88,172.49,168.225,170.39
76,2021-01-22,MMM,Industrials,170.2,170.2,167.24,169.04
77,2021-01-21,MMM,Industrials,170.22,171.489,169.39,170.67
78,2021-01-20,MMM,Industrials,169.04,170.58,168.43,170.22
79,2021-01-19,MMM,Industrials,167.26,169.55,166.8,169.12
80,2021-01-15,MMM,Industrials,165.63,166.26,163.38,165.55
81,2021-01-14,MMM,Industrials,167.27,167.36,165.23,166.41
82,2021-01-13,MMM,Industrials,167.27,167.74,166.05,166.28
83,2021-01-12,MMM,Industrials,165.9,167.175,164.08,166.51
84,2021-01-11,MMM,Industrials,166.1,167.14,165.0,165.2
85,2021-01-08,MMM,Industrials,169.17,169.54,164.61,166.62
86,2021-01-07,MMM,Industrials,171.56,173.46,166.16,169.72
87,2021-01-06,MMM,Industrials,172.72,175.57,172.04,174.19
88,2021-01-05,MMM,Industrials,172.01,173.25,170.65,171.58
89,2021-01-04,MMM,Industrials,175.0,176.2,170.5504,171.87
90,2020-12-31,MMM,Industrials,174.12,174.87,173.18,174.79
91,2020-12-30,MMM,Industrials,173.88,174.92,173.38,174.11
92,2020-12-29,MMM,Industrials,175.55,175.64,173.15,173.85
93,2020-12-28,MMM,Industrials,175.31,176.4,174.39,174.71
94,2020-12-24,MMM,Industrials,174.42,174.7923,173.42,174.52
