,date,symbol,sector,open,high,low,close
0,2021-05-12,MRK,Health Care,77.71,78.53,77.3,78.0
1,2021-05-11,MRK,Health Care,77.83,78.655,77.15,77.46
2,2021-05-10,MRK,Health Care,78.82,79.18,78.16,78.17
3,2021-05-07,MRK,Health Care,78.01,78.66,77.885,78.41
4,2021-05-06,MRK,Health Care,77.44,77.855,76.685,77.78
5,2021-05-05,MRK,Health Care,76.1,77.73,76.778,77.7
6,2021-05-04,MRK,Health Care,76.08,76.4652,75.525,75.99
7,2021-05-03,MRK,Health Care,74.26,76.02,74.22,75.98
8,2021-04-30,MRK,Health Care,73.58,75.08,73.48,74.5
9,2021-04-29,MRK,Health Care,75.5,75.74,72.85,73.68
10,2021-04-28,MRK,Health Care,77.61,78.025,76.86,77.09
11,2021-04-27,MRK,Health Care,77.415,77.94,77.22,77.36
12,2021-04-26,MRK,Health Care,77.86,77.91,77.3,77.53
13,2021-04-23,MRK,Health Care,77.86,78.2,77.455,77.88
14,2021-04-22,MRK,Health Care,79.0,79.06,77.56,77.96
15,2021-04-21,MRK,Health Care,78.93,79.49,78.67,79.23
16,2021-04-20,MRK,Health Care,77.68,79.14,77.68,78.57
17,2021-04-19,MRK,Health Care,77.7,77.79,76.97,77.66
18,2021-04-16,MRK,Health Care,77.25,77.75,76.815,77.47
19,2021-04-15,MRK,Health Care,76.05,77.33,76.05,76.66
20,2021-04-14,MRK,Health Care,76.3,76.7856,76.02,76.4
21,2021-04-13,MRK,Health Care,75.97,76.76,75.87,76.43
22,2021-04-12,MRK,Health Care,76.37,76.6,75.98,76.22
23,2021-04-09,MRK,Health Care,75.51,76.38,75.425,76.31
24,2021-04-08,MRK,Health Care,76.08,76.4,75.28,75.49
25,2021-04-07,MRK,Health Care,76.08,76.4,75.715,76.12
26,2021-04-06,MRK,Health Care,76.91,76.94,75.64,75.79
27,2021-04-05,MRK,Health Care,77.52,77.91,76.7791,77.0
28,2021-04-01,MRK,Health Care,77.16,77.455,76.815,77.09
29,2021-03-31,MRK,Health Care,77.1,77.685,76.64,77.09
30,2021-03-30,MRK,Health Care,78.0,78.08,76.79,76.96
31,2021-03-29,MRK,Health Care,77.32,78.545,77.17,78.3
32,2021-03-26,MRK,Health Care,76.15,77.47,75.8501,77.39
33,2021-03-25,MRK,Health Care,76.42,76.61,75.31,76.07
34,2021-03-24,MRK,Health Care,76.07,76.68,75.91,76.24
35,2021-03-23,MRK,Health Care,77.09,77.32,76.03,76.27
36,2021-03-22,MRK,Health Care,75.8,78.0,75.54,77.51
37,2021-03-19,MRK,Health Care,77.25,78.25,76.0224,77.51
38,2021-03-18,MRK,Health Care,77.26,78.19,77.21,77.27
39,2021-03-17,MRK,Health Care,76.73,77.5,75.97,77.3
40,2021-03-16,MRK,Health Care,76.15,77.17,76.14,76.81
41,2021-03-15,MRK,Health Care,75.5,76.56,75.08,76.23
42,2021-03-12,MRK,Health Care,74.03,74.89,73.99,74.6
43,2021-03-11,MRK,Health Care,74.89,75.36,74.59,74.63
44,2021-03-10,MRK,Health Care,74.76,75.23,74.1,74.76
45,2021-03-09,MRK,Health Care,74.56,75.46,74.13,74.14
46,2021-03-08,MRK,Health Care,74.37,75.56,73.4,74.17
47,2021-03-05,MRK,Health Care,72.51,73.41,72.01,73.13
48,2021-03-04,MRK,Health Care,73.18,73.32,71.715,72.17
49,2021-03-03,MRK,Health Care,72.82,73.727,72.42,73.3
50,2021-03-02,MRK,Health Care,72.84,73.49,72.4,72.85
51,2021-03-01,MRK,Health Care,73.21,73.39,72.18,72.38
52,2021-02-26,MRK,Health Care,74.44,74.71,72.54,72.62
53,2021-02-25,MRK,Health Care,74.205,75.0,74.08,74.62
54,2021-02-24,MRK,Health Care,74.8,75.27,74.39,74.57
55,2021-02-23,MRK,Health Care,75.29,75.959,74.46,74.54
