,date,symbol,sector,open,high,low,close
0,2021-05-12,MTD,Health Care,1231.19,1257.56,1225.91,1241.45
1,2021-05-11,MTD,Health Care,1228.87,1245.08,1225.56,1239.94
2,2021-05-10,MTD,Health Care,1284.94,1284.94,1239.25,1244.55
3,2021-05-07,MTD,Health Care,1292.67,1329.96,1276.7,1278.56
4,2021-05-06,MTD,Health Care,1292.38,1305.83,1274.71,1298.57
5,2021-05-05,MTD,Health Care,1298.04,1301.24,1285.14,1293.01
6,2021-05-04,MTD,Health Care,1304.88,1314.0,1275.965,1281.92
7,2021-05-03,MTD,Health Care,1318.7,1324.47,1304.43,1315.75
8,2021-04-30,MTD,Health Care,1325.43,1325.475,1304.23,1313.32
9,2021-04-29,MTD,Health Care,1333.74,1334.8,1314.96,1327.99
10,2021-04-28,MTD,Health Care,1320.83,1327.42,1309.5,1323.99
11,2021-04-27,MTD,Health Care,1313.91,1329.06,1305.79,1322.86
12,2021-04-26,MTD,Health Care,1335.79,1335.9073,1312.48,1312.9
13,2021-04-23,MTD,Health Care,1305.96,1339.38,1301.5386,1335.15
14,2021-04-22,MTD,Health Care,1315.77,1317.1,1284.97,1301.56
15,2021-04-21,MTD,Health Care,1280.1,1314.28,1279.0,1311.14
16,2021-04-20,MTD,Health Care,1277.29,1282.21,1267.04,1276.91
17,2021-04-19,MTD,Health Care,1276.29,1288.085,1272.68,1277.29
18,2021-04-16,MTD,Health Care,1270.93,1282.7,1266.49,1282.33
19,2021-04-15,MTD,Health Care,1232.66,1265.76,1232.66,1261.96
20,2021-04-14,MTD,Health Care,1226.52,1235.27,1220.45,1224.6
21,2021-04-13,MTD,Health Care,1221.0,1240.08,1213.94,1230.86
22,2021-04-12,MTD,Health Care,1222.75,1231.88,1214.38,1218.84
23,2021-04-09,MTD,Health Care,1211.34,1222.93,1201.27,1222.41
24,2021-04-08,MTD,Health Care,1209.05,1211.48,1200.72,1206.4
25,2021-04-07,MTD,Health Care,1205.44,1209.07,1189.45,1199.84
26,2021-04-06,MTD,Health Care,1196.3,1220.99,1192.94,1210.22
27,2021-04-05,MTD,Health Care,1180.0,1199.895,1180.0,1195.55
28,2021-04-01,MTD,Health Care,1166.46,1178.37,1155.14,1175.19
29,2021-03-31,MTD,Health Care,1155.01,1170.34,1145.38,1155.69
30,2021-03-30,MTD,Health Care,1165.12,1170.94,1145.78,1149.27
31,2021-03-29,MTD,Health Care,1153.25,1175.47,1141.66,1170.59
32,2021-03-26,MTD,Health Care,1121.17,1164.99,1117.12,1163.08
33,2021-03-25,MTD,Health Care,1108.61,1118.95,1095.74,1117.18
34,2021-03-24,MTD,Health Care,1114.89,1125.62,1107.5,1109.88
35,2021-03-23,MTD,Health Care,1125.02,1128.32,1112.68,1116.71
36,2021-03-22,MTD,Health Care,1124.21,1130.98,1116.21,1130.87
37,2021-03-19,MTD,Health Care,1094.98,1131.46,1094.98,1123.15
38,2021-03-18,MTD,Health Care,1085.11,1105.15,1085.11,1100.29
39,2021-03-17,MTD,Health Care,1078.09,1098.02,1074.26,1092.04
40,2021-03-16,MTD,Health Care,1102.74,1106.11,1075.61,1083.7
41,2021-03-15,MTD,Health Care,1070.12,1098.69,1070.12,1098.23
42,2021-03-12,MTD,Health Care,1078.22,1078.22,1057.53,1067.38
43,2021-03-11,MTD,Health Care,1070.99,1083.82,1063.35,1080.62
44,2021-03-10,MTD,Health Care,1061.98,1073.51,1054.01,1055.0
45,2021-03-09,MTD,Health Care,1059.74,1080.49,1049.2,1050.0
46,2021-03-08,MTD,Health Care,1060.51,1070.025,1033.4,1038.47
47,2021-03-05,MTD,Health Care,1069.51,1069.51,1040.16,1060.59
48,2021-03-04,MTD,Health Care,1085.56,1090.9,1048.07,1059.42
49,2021-03-03,MTD,Health Care,1115.08,1119.14,1091.29,1093.03
50,2021-03-02,MTD,Health Care,1138.62,1138.62,1113.54,1122.57
51,2021-03-01,MTD,Health Care,1126.79,1146.0,1125.61,1134.67
52,2021-02-26,MTD,Health Care,1118.31,1129.03,1107.27,1116.05
53,2021-02-25,MTD,Health Care,1130.51,1130.51,1100.09,1109.91
54,2021-02-24,MTD,Health Care,1107.9,1137.8,1107.9,1127.6
55,2021-02-23,MTD,Health Care,1122.76,1122.76,1094.535,1110.46
56,2021-02-22,MTD,Health Care,1154.76,1161.27,1125.475,1127.89
57,2021-02-19,MTD,Health Care,1155.08,1178.11,1155.08,1165.45
58,2021-02-18,MTD,Health Care,1166.2,1166.2,1144.48,1150.51
59,2021-02-17,MTD,Health Care,1182.68,1182.68,1160.76,1166.46
60,2021-02-16,MTD,Health Care,1218.0,1221.62,1186.36,1190.83
61,2021-02-12,MTD,Health Care,1199.91,1223.12,1199.91,1220.66
62,2021-02-11,MTD,Health Care,1216.6,1216.6,1196.43,1202.07
63,2021-02-10,MTD,Health Care,1220.0,1220.0,1203.28,1207.01
64,2021-02-09,MTD,Health Care,1206.25,1219.62,1204.42,1206.5
65,2021-02-08,MTD,Health Care,1197.62,1213.89,1189.12,1209.27
66,2021-02-05,MTD,Health Care,1201.58,1216.08,1172.8,1195.2
67,2021-02-04,MTD,Health Care,1190.0,1224.24,1184.95,1216.94
68,2021-02-03,MTD,Health Care,1213.87,1219.36,1182.64,1188.38
69,2021-02-02,MTD,Health Care,1197.04,1226.6,1197.04,1217.59
70,2021-02-01,MTD,Health Care,1179.41,1192.31,1174.87,1180.82
71,2021-01-29,MTD,Health Care,1171.84,1185.94,1155.67,1168.1
72,2021-01-28,MTD,Health Care,1167.36,1187.13,1158.23,1170.8
73,2021-01-27,MTD,Health Care,1189.85,1193.48,1147.03,1153.5
74,2021-01-26,MTD,Health Care,1232.34,1232.34,1204.73,1210.91
75,2021-01-25,MTD,Health Care,1232.26,1241.0,1223.625,1233.47
76,2021-01-22,MTD,Health Care,1244.31,1246.0,1230.52,1234.72
77,2021-01-21,MTD,Health Care,1267.44,1270.96,1242.87,1244.78
78,2021-01-20,MTD,Health Care,1233.05,1271.67,1233.05,1268.8
79,2021-01-19,MTD,Health Care,1229.99,1238.42,1214.39,1231.16
80,2021-01-15,MTD,Health Care,1205.73,1222.32,1204.75,1218.44
81,2021-01-14,MTD,Health Care,1216.36,1220.4825,1201.93,1204.21
82,2021-01-13,MTD,Health Care,1221.57,1231.17,1208.3,1216.63
83,2021-01-12,MTD,Health Care,1239.75,1247.6,1215.51,1220.48
84,2021-01-11,MTD,Health Care,1236.99,1250.75,1231.86,1245.02
85,2021-01-08,MTD,Health Care,1221.43,1245.62,1218.05,1236.99
86,2021-01-07,MTD,Health Care,1200.0,1224.9,1200.0,1222.54
87,2021-01-06,MTD,Health Care,1168.59,1211.5,1168.59,1197.09
88,2021-01-05,MTD,Health Care,1154.77,1190.48,1154.77,1176.35
89,2021-01-04,MTD,Health Care,1155.0,1184.53,1147.52,1160.87
90,2020-12-31,MTD,Health Care,1138.61,1140.68,1127.35,1139.68
91,2020-12-30,MTD,Health Care,1141.11,1149.91,1129.82,1133.88
92,2020-12-29,MTD,Health Care,1144.63,1151.1,1131.5,1137.96
93,2020-12-28,MTD,Health Care,1149.31,1149.31,1124.45,1134.76
94,2020-12-24,MTD,Health Care,1127.23,1148.4,1127.23,1140.19
95,2020-12-23,MTD,Health Care,1130.0,1133.87,1114.45,1126.1
96,2020-12-22,MTD,Health Care,1129.95,1138.39,1120.755,1125.53
97,2020-12-21,MTD,Health Care,1122.24,1139.22,1100.14,1135.33
98,2020-12-18,MTD,Health Care,1134.84,1139.27,1118.82,1134.83
99,2020-12-17,MTD,Health Care,1119.53,1140.06,1113.915,1130.33
100,2020-12-16,MTD,Health Care,1144.08,1149.545,1108.79,1111.26
101,2020-12-15,MTD,Health Care,1149.93,1151.58,1141.185,1149.16
102,2020-12-14,MTD,Health Care,1148.7,1168.01,1137.645,1139.26
103,2020-12-11,MTD,Health Care,1145.62,1147.39,1129.775,1144.87
104,2020-12-10,MTD,Health Care,1151.28,1156.155,1140.855,1151.82
105,2020-12-09,MTD,Health Care,1157.82,1163.32,1142.67,1150.68
106,2020-12-08,MTD,Health Care,1122.83,1165.93,1118.95,1161.33
107,2020-12-07,MTD,Health Care,1130.33,1139.72,1119.1,1125.15
108,2020-12-04,MTD,Health Care,1132.52,1140.6,1122.68,1131.75
109,2020-12-03,MTD,Health Care,1146.9,1156.38,1129.24,1132.0
110,2020-12-02,MTD,Health Care,1157.71,1161.42,1132.98,1139.75
111,2020-12-01,MTD,Health Care,1156.8,1176.59,1151.33,1160.09
112,2020-11-30,MTD,Health Care,1123.49,1151.55,1123.49,1150.04
113,2020-11-27,MTD,Health Care,1125.95,1132.065,1120.415,1126.68
114,2020-11-25,MTD,Health Care,1130.68,1134.12,1111.7,1125.16
115,2020-11-24,MTD,Health Care,1147.93,1147.93,1123.53,1126.96
116,2020-11-23,MTD,Health Care,1148.79,1155.425,1130.69,1138.68
