,date,symbol,sector,open,high,low,close
0,2021-05-12,NCLH,Consumer Discretionary,27.22,27.48,25.94,26.11
1,2021-05-11,NCLH,Consumer Discretionary,26.72,27.83,26.55,27.66
2,2021-05-10,NCLH,Consumer Discretionary,28.39,28.68,27.93,27.95
3,2021-05-07,NCLH,Consumer Discretionary,27.78,28.697,27.64,28.48
4,2021-05-06,NCLH,Consumer Discretionary,29.69,30.1777,27.27,27.81
5,2021-05-05,NCLH,Consumer Discretionary,30.35,30.55,29.62,29.85
6,2021-05-04,NCLH,Consumer Discretionary,30.98,30.98,29.26,30.25
7,2021-05-03,NCLH,Consumer Discretionary,31.18,31.63,30.735,31.19
8,2021-04-30,NCLH,Consumer Discretionary,29.95,31.13,29.8,31.05
9,2021-04-29,NCLH,Consumer Discretionary,31.84,32.36,30.1703,30.31
10,2021-04-28,NCLH,Consumer Discretionary,30.24,30.87,30.17,30.23
11,2021-04-27,NCLH,Consumer Discretionary,30.26,30.55,29.7611,30.5
12,2021-04-26,NCLH,Consumer Discretionary,30.39,31.18,30.17,30.22
13,2021-04-23,NCLH,Consumer Discretionary,29.33,30.02,28.7701,29.81
14,2021-04-22,NCLH,Consumer Discretionary,29.31,30.345,28.805,29.0
15,2021-04-21,NCLH,Consumer Discretionary,27.16,29.54,26.84,29.51
16,2021-04-20,NCLH,Consumer Discretionary,27.53,27.64,25.79,26.75
17,2021-04-19,NCLH,Consumer Discretionary,28.15,28.51,27.57,27.97
18,2021-04-16,NCLH,Consumer Discretionary,28.45,28.92,28.02,28.32
19,2021-04-15,NCLH,Consumer Discretionary,29.44,29.44,28.19,28.28
20,2021-04-14,NCLH,Consumer Discretionary,29.6,30.185,29.065,29.21
21,2021-04-13,NCLH,Consumer Discretionary,28.3,29.525,28.17,29.41
22,2021-04-12,NCLH,Consumer Discretionary,30.03,30.1,28.77,29.26
23,2021-04-09,NCLH,Consumer Discretionary,30.56,31.0601,30.23,30.54
24,2021-04-08,NCLH,Consumer Discretionary,31.3,31.3,29.375,30.62
25,2021-04-07,NCLH,Consumer Discretionary,31.94,33.075,31.2,31.31
26,2021-04-06,NCLH,Consumer Discretionary,30.155,31.57,29.81,31.08
27,2021-04-05,NCLH,Consumer Discretionary,29.38,30.1,29.01,29.71
28,2021-04-01,NCLH,Consumer Discretionary,27.89,28.06,27.32,27.72
29,2021-03-31,NCLH,Consumer Discretionary,27.24,27.9,26.92,27.59
30,2021-03-30,NCLH,Consumer Discretionary,26.17,27.42,26.07,27.2
31,2021-03-29,NCLH,Consumer Discretionary,26.79,26.85,25.79,26.21
32,2021-03-26,NCLH,Consumer Discretionary,26.3,26.88,25.73,26.82
33,2021-03-25,NCLH,Consumer Discretionary,24.78,26.28,24.24,26.04
34,2021-03-24,NCLH,Consumer Discretionary,27.29,28.44,24.02,25.31
35,2021-03-23,NCLH,Consumer Discretionary,28.0,28.43,26.46,26.6
36,2021-03-22,NCLH,Consumer Discretionary,29.31,29.59,28.21,28.65
37,2021-03-19,NCLH,Consumer Discretionary,29.13,29.76,27.85,29.7
38,2021-03-18,NCLH,Consumer Discretionary,30.3,30.5864,28.9,28.95
39,2021-03-17,NCLH,Consumer Discretionary,29.65,30.64,29.4,30.5
40,2021-03-16,NCLH,Consumer Discretionary,31.62,31.62,29.765,30.1
41,2021-03-15,NCLH,Consumer Discretionary,31.23,32.4,31.01,31.56
42,2021-03-12,NCLH,Consumer Discretionary,30.19,31.035,30.071,30.73
43,2021-03-11,NCLH,Consumer Discretionary,30.03,30.47,29.305,30.26
44,2021-03-10,NCLH,Consumer Discretionary,29.88,30.7049,29.16,29.54
45,2021-03-09,NCLH,Consumer Discretionary,29.56,30.0,28.31,29.73
46,2021-03-08,NCLH,Consumer Discretionary,29.505,30.2,28.86,29.31
47,2021-03-05,NCLH,Consumer Discretionary,30.27,30.37,26.65,28.85
48,2021-03-04,NCLH,Consumer Discretionary,34.32,34.485,30.96,32.9
49,2021-03-03,NCLH,Consumer Discretionary,32.02,33.765,31.77,33.13
50,2021-03-02,NCLH,Consumer Discretionary,30.63,31.577,30.17,31.18
51,2021-03-01,NCLH,Consumer Discretionary,30.71,31.36,29.52,29.85
52,2021-02-26,NCLH,Consumer Discretionary,29.23,29.94,28.32,29.56
53,2021-02-25,NCLH,Consumer Discretionary,32.52,32.66,28.325,28.76
54,2021-02-24,NCLH,Consumer Discretionary,29.38,31.577,29.14,31.27
55,2021-02-23,NCLH,Consumer Discretionary,28.66,28.93,26.25,28.62
56,2021-02-22,NCLH,Consumer Discretionary,27.48,29.79,26.91,28.56
57,2021-02-19,NCLH,Consumer Discretionary,25.76,26.985,25.51,26.85
58,2021-02-18,NCLH,Consumer Discretionary,25.11,25.395,24.2908,25.2
59,2021-02-17,NCLH,Consumer Discretionary,25.0,26.15,24.48,25.47
60,2021-02-16,NCLH,Consumer Discretionary,23.96,25.37,23.73,25.19
61,2021-02-12,NCLH,Consumer Discretionary,23.4,23.73,23.09,23.54
62,2021-02-11,NCLH,Consumer Discretionary,24.15,24.48,23.52,23.77
63,2021-02-10,NCLH,Consumer Discretionary,24.31,24.955,24.1,24.14
64,2021-02-09,NCLH,Consumer Discretionary,24.87,24.98,23.92,24.08
65,2021-02-08,NCLH,Consumer Discretionary,25.0,25.25,24.72,25.01
66,2021-02-05,NCLH,Consumer Discretionary,24.64,25.45,24.36,24.72
67,2021-02-04,NCLH,Consumer Discretionary,23.86,24.615,23.77,24.4
68,2021-02-03,NCLH,Consumer Discretionary,22.97,23.71,22.72,23.61
69,2021-02-02,NCLH,Consumer Discretionary,22.8,23.31,22.355,22.94
70,2021-02-01,NCLH,Consumer Discretionary,22.85,22.87,21.88,22.4
71,2021-01-29,NCLH,Consumer Discretionary,24.05,24.35,22.2689,22.65
72,2021-01-28,NCLH,Consumer Discretionary,24.43,25.2,23.951,24.16
