,date,symbol,sector,open,high,low,close
0,2021-05-12,NKE,Consumer Discretionary,135.42,136.82,133.34,133.39
1,2021-05-11,NKE,Consumer Discretionary,138.38,138.38,135.01,137.12
2,2021-05-10,NKE,Consumer Discretionary,138.0,138.9,136.3,136.4
3,2021-05-07,NKE,Consumer Discretionary,135.0,139.36,134.72,137.81
4,2021-05-06,NKE,Consumer Discretionary,132.6,133.84,131.94,133.49
5,2021-05-05,NKE,Consumer Discretionary,132.7,134.215,132.08,132.21
6,2021-05-04,NKE,Consumer Discretionary,132.23,132.59,130.475,131.55
7,2021-05-03,NKE,Consumer Discretionary,133.37,134.45,132.59,133.03
8,2021-04-30,NKE,Consumer Discretionary,132.44,133.88,132.05,132.62
9,2021-04-29,NKE,Consumer Discretionary,131.77,134.12,131.23,133.26
10,2021-04-28,NKE,Consumer Discretionary,132.26,132.33,130.345,130.71
11,2021-04-27,NKE,Consumer Discretionary,132.0,132.79,131.41,132.11
12,2021-04-26,NKE,Consumer Discretionary,130.49,131.7,129.32,131.6
13,2021-04-23,NKE,Consumer Discretionary,128.93,130.65,128.4604,130.19
14,2021-04-22,NKE,Consumer Discretionary,129.89,130.37,127.98,129.18
15,2021-04-21,NKE,Consumer Discretionary,127.59,130.33,127.37,129.9
16,2021-04-20,NKE,Consumer Discretionary,129.17,129.9,125.7,127.11
17,2021-04-19,NKE,Consumer Discretionary,134.3,134.38,132.15,132.57
18,2021-04-16,NKE,Consumer Discretionary,134.71,134.77,133.73,134.31
19,2021-04-15,NKE,Consumer Discretionary,133.0,134.07,132.68,133.67
20,2021-04-14,NKE,Consumer Discretionary,133.54,134.18,131.82,132.26
21,2021-04-13,NKE,Consumer Discretionary,135.6,135.99,133.4,133.54
22,2021-04-12,NKE,Consumer Discretionary,134.75,136.9,134.22,136.64
23,2021-04-09,NKE,Consumer Discretionary,133.94,135.5,133.5,135.45
24,2021-04-08,NKE,Consumer Discretionary,137.28,137.31,133.405,133.68
25,2021-04-07,NKE,Consumer Discretionary,136.99,138.24,136.36,136.54
26,2021-04-06,NKE,Consumer Discretionary,135.44,137.71,134.93,137.16
27,2021-04-05,NKE,Consumer Discretionary,133.1,135.68,133.1,135.12
28,2021-04-01,NKE,Consumer Discretionary,134.69,134.69,132.21,132.53
29,2021-03-31,NKE,Consumer Discretionary,133.09,134.18,131.92,132.89
30,2021-03-30,NKE,Consumer Discretionary,132.345,133.35,131.22,132.95
31,2021-03-29,NKE,Consumer Discretionary,132.94,133.91,130.66,133.49
32,2021-03-26,NKE,Consumer Discretionary,131.6,133.185,129.77,132.99
33,2021-03-25,NKE,Consumer Discretionary,127.05,129.39,125.44,128.64
34,2021-03-24,NKE,Consumer Discretionary,136.45,137.92,132.88,133.16
35,2021-03-23,NKE,Consumer Discretionary,138.49,140.64,136.55,137.12
36,2021-03-22,NKE,Consumer Discretionary,137.63,138.81,136.03,138.27
37,2021-03-19,NKE,Consumer Discretionary,140.0,142.86,135.51,137.49
38,2021-03-18,NKE,Consumer Discretionary,144.37,146.66,142.55,143.17
39,2021-03-17,NKE,Consumer Discretionary,143.2,146.15,143.2,144.82
40,2021-03-16,NKE,Consumer Discretionary,145.88,146.15,143.8449,144.65
41,2021-03-15,NKE,Consumer Discretionary,140.7,145.0,140.6664,144.94
42,2021-03-12,NKE,Consumer Discretionary,140.0,140.91,138.6,140.45
43,2021-03-11,NKE,Consumer Discretionary,139.18,142.2,138.56,141.19
44,2021-03-10,NKE,Consumer Discretionary,136.5,138.2,136.1,137.59
45,2021-03-09,NKE,Consumer Discretionary,135.51,138.0,135.45,135.95
46,2021-03-08,NKE,Consumer Discretionary,133.64,135.63,132.37,134.56
47,2021-03-05,NKE,Consumer Discretionary,133.54,133.68,129.1878,133.35
48,2021-03-04,NKE,Consumer Discretionary,134.0,135.13,130.18,132.04
49,2021-03-03,NKE,Consumer Discretionary,137.09,137.41,134.15,134.26
50,2021-03-02,NKE,Consumer Discretionary,137.56,138.255,135.61,137.02
51,2021-03-01,NKE,Consumer Discretionary,135.64,139.15,135.5,137.65
52,2021-02-26,NKE,Consumer Discretionary,135.9,136.85,133.36,134.78
53,2021-02-25,NKE,Consumer Discretionary,137.6,139.18,134.53,135.54
54,2021-02-24,NKE,Consumer Discretionary,135.06,135.96,133.95,135.65
55,2021-02-23,NKE,Consumer Discretionary,136.03,136.83,131.58,136.13
56,2021-02-22,NKE,Consumer Discretionary,141.54,142.46,136.26,136.67
57,2021-02-19,NKE,Consumer Discretionary,145.43,145.5,141.5,142.02
58,2021-02-18,NKE,Consumer Discretionary,142.98,145.39,141.21,145.09
59,2021-02-17,NKE,Consumer Discretionary,141.3,144.56,140.21,143.99
60,2021-02-16,NKE,Consumer Discretionary,143.37,143.37,141.03,141.71
61,2021-02-12,NKE,Consumer Discretionary,143.11,143.45,141.4,142.12
62,2021-02-11,NKE,Consumer Discretionary,143.0,144.35,142.41,143.54
63,2021-02-10,NKE,Consumer Discretionary,142.45,142.6,140.9,142.46
64,2021-02-09,NKE,Consumer Discretionary,143.6,144.22,141.7,141.79
65,2021-02-08,NKE,Consumer Discretionary,145.15,145.88,142.8,143.41
66,2021-02-05,NKE,Consumer Discretionary,141.34,145.5717,141.29,145.11
67,2021-02-04,NKE,Consumer Discretionary,139.55,141.05,138.92,140.63
68,2021-02-03,NKE,Consumer Discretionary,139.7,140.06,138.01,138.63
69,2021-02-02,NKE,Consumer Discretionary,137.06,139.86,136.75,139.59
70,2021-02-01,NKE,Consumer Discretionary,135.37,136.05,133.3,135.71
71,2021-01-29,NKE,Consumer Discretionary,133.95,135.025,132.15,133.59
72,2021-01-28,NKE,Consumer Discretionary,132.36,136.37,131.5,134.72
73,2021-01-27,NKE,Consumer Discretionary,132.22,132.86,130.2668,131.02
74,2021-01-26,NKE,Consumer Discretionary,137.76,137.845,134.7138,135.1
75,2021-01-25,NKE,Consumer Discretionary,138.99,139.18,134.74,137.55
76,2021-01-22,NKE,Consumer Discretionary,141.09,141.88,139.31,139.35
77,2021-01-21,NKE,Consumer Discretionary,142.41,143.813,141.125,141.61
78,2021-01-20,NKE,Consumer Discretionary,140.38,143.21,140.01,142.8
79,2021-01-19,NKE,Consumer Discretionary,140.99,141.2166,138.41,139.27
80,2021-01-15,NKE,Consumer Discretionary,140.56,142.38,139.88,140.72
81,2021-01-14,NKE,Consumer Discretionary,143.66,144.9,140.93,141.3
82,2021-01-13,NKE,Consumer Discretionary,144.83,145.1265,142.43,143.04
83,2021-01-12,NKE,Consumer Discretionary,146.5,146.85,144.38,145.05
84,2021-01-11,NKE,Consumer Discretionary,146.0,147.1,144.8006,147.05
85,2021-01-08,NKE,Consumer Discretionary,145.55,146.82,144.9001,146.35
86,2021-01-07,NKE,Consumer Discretionary,143.2,145.64,143.0,144.95
87,2021-01-06,NKE,Consumer Discretionary,141.25,143.5699,139.53,142.35
88,2021-01-05,NKE,Consumer Discretionary,138.6,141.66,138.6,141.23
89,2021-01-04,NKE,Consumer Discretionary,142.85,142.97,138.32,140.1
90,2020-12-31,NKE,Consumer Discretionary,141.7,141.79,140.37,141.47
91,2020-12-30,NKE,Consumer Discretionary,142.16,142.61,140.66,141.58
92,2020-12-29,NKE,Consumer Discretionary,142.83,143.06,140.43,141.57
93,2020-12-28,NKE,Consumer Discretionary,142.54,142.92,141.0438,142.43
94,2020-12-24,NKE,Consumer Discretionary,141.1,142.19,141.1,141.6
95,2020-12-23,NKE,Consumer Discretionary,142.56,143.6,141.7,141.76
96,2020-12-22,NKE,Consumer Discretionary,143.05,143.47,141.09,142.45
97,2020-12-21,NKE,Consumer Discretionary,144.82,147.95,142.51,144.02
98,2020-12-18,NKE,Consumer Discretionary,141.09,141.14,137.17,137.28
99,2020-12-17,NKE,Consumer Discretionary,139.92,140.74,138.75,140.5
100,2020-12-16,NKE,Consumer Discretionary,139.07,140.49,137.46,138.34
101,2020-12-15,NKE,Consumer Discretionary,137.43,139.44,137.2491,139.39
102,2020-12-14,NKE,Consumer Discretionary,138.92,139.0,136.2,136.28
103,2020-12-11,NKE,Consumer Discretionary,137.39,138.14,136.23,137.41
104,2020-12-10,NKE,Consumer Discretionary,138.28,139.14,137.24,137.58
105,2020-12-09,NKE,Consumer Discretionary,140.57,140.57,138.27,138.79
106,2020-12-08,NKE,Consumer Discretionary,138.24,140.4373,137.65,139.12
107,2020-12-07,NKE,Consumer Discretionary,137.0,138.86,136.8,138.75
108,2020-12-04,NKE,Consumer Discretionary,137.08,137.4,135.64,137.19
109,2020-12-03,NKE,Consumer Discretionary,135.1,137.95,135.0,136.96
110,2020-12-02,NKE,Consumer Discretionary,135.16,136.32,134.67,135.58
111,2020-12-01,NKE,Consumer Discretionary,136.44,136.5,134.75,135.44
112,2020-11-30,NKE,Consumer Discretionary,133.91,135.29,132.69,134.7
113,2020-11-27,NKE,Consumer Discretionary,136.0,136.13,133.34,134.25
114,2020-11-25,NKE,Consumer Discretionary,134.25,135.7999,133.62,135.54
115,2020-11-24,NKE,Consumer Discretionary,135.0,135.99,134.21,134.7
116,2020-11-23,NKE,Consumer Discretionary,134.38,134.89,133.09,134.13
117,2020-11-20,NKE,Consumer Discretionary,133.3,133.53,131.91,132.98
118,2020-11-19,NKE,Consumer Discretionary,131.92,132.11,129.93,131.91
119,2020-11-18,NKE,Consumer Discretionary,133.07,133.98,131.53,131.63
120,2020-11-17,NKE,Consumer Discretionary,130.48,132.6,129.11,132.21
121,2020-11-16,NKE,Consumer Discretionary,129.46,130.32,127.37,130.11
122,2020-11-13,NKE,Consumer Discretionary,127.91,128.6,126.83,128.28
123,2020-11-12,NKE,Consumer Discretionary,126.62,127.8386,125.625,126.64
124,2020-11-11,NKE,Consumer Discretionary,128.69,129.7985,127.18,127.66
125,2020-11-10,NKE,Consumer Discretionary,130.05,130.115,126.25,127.71
126,2020-11-09,NKE,Consumer Discretionary,135.06,136.35,128.7652,128.95
127,2020-11-06,NKE,Consumer Discretionary,129.91,129.91,128.3477,128.9
128,2020-11-05,NKE,Consumer Discretionary,129.19,130.41,128.46,129.7
129,2020-11-04,NKE,Consumer Discretionary,125.33,128.93,125.26,127.34
130,2020-11-03,NKE,Consumer Discretionary,124.01,125.5,123.19,124.59
131,2020-11-02,NKE,Consumer Discretionary,122.37,124.1,121.1,122.39
132,2020-10-30,NKE,Consumer Discretionary,123.66,123.66,118.8,120.08
133,2020-10-29,NKE,Consumer Discretionary,122.28,124.19,121.15,122.86
134,2020-10-28,NKE,Consumer Discretionary,125.28,126.4,121.04,122.08
135,2020-10-27,NKE,Consumer Discretionary,128.78,129.49,127.9,127.99
136,2020-10-26,NKE,Consumer Discretionary,129.06,129.62,126.68,128.37
137,2020-10-23,NKE,Consumer Discretionary,130.0,130.6,128.65,129.99
138,2020-10-22,NKE,Consumer Discretionary,129.6,130.26,128.8601,130.02
139,2020-10-21,NKE,Consumer Discretionary,128.5,131.38,128.45,129.43
140,2020-10-20,NKE,Consumer Discretionary,128.0,129.9,127.72,128.49
141,2020-10-19,NKE,Consumer Discretionary,129.1,129.78,127.05,127.43
142,2020-10-16,NKE,Consumer Discretionary,129.51,130.19,127.55,128.0
143,2020-10-15,NKE,Consumer Discretionary,126.48,129.0999,126.11,129.0
144,2020-10-14,NKE,Consumer Discretionary,129.53,129.6,127.01,127.66
145,2020-10-13,NKE,Consumer Discretionary,128.05,129.87,127.96,129.2
146,2020-10-12,NKE,Consumer Discretionary,131.19,131.34,129.26,129.46
147,2020-10-09,NKE,Consumer Discretionary,129.99,131.19,129.3254,130.98
148,2020-10-08,NKE,Consumer Discretionary,130.4,130.9289,129.51,129.71
149,2020-10-07,NKE,Consumer Discretionary,128.4,130.41,128.25,130.06
150,2020-10-06,NKE,Consumer Discretionary,128.84,130.44,127.2654,127.65
151,2020-10-05,NKE,Consumer Discretionary,127.07,128.5,126.45,127.91
152,2020-10-02,NKE,Consumer Discretionary,124.35,126.8,123.59,126.64
153,2020-10-01,NKE,Consumer Discretionary,127.73,127.73,125.31,126.64
154,2020-09-30,NKE,Consumer Discretionary,126.1,127.28,125.1647,125.54
155,2020-09-29,NKE,Consumer Discretionary,124.34,127.1,123.96,126.35
156,2020-09-28,NKE,Consumer Discretionary,125.16,126.19,123.885,124.32
