,date,symbol,sector,open,high,low,close
0,2021-05-12,NLSN,Industrials,27.96,28.0762,27.31,27.31
1,2021-05-11,NLSN,Industrials,27.86,28.095,27.3999,27.99
2,2021-05-10,NLSN,Industrials,27.74,28.42,27.66,28.08
3,2021-05-07,NLSN,Industrials,26.71,27.68,26.71,27.65
4,2021-05-06,NLSN,Industrials,26.14,26.74,25.99,26.64
5,2021-05-05,NLSN,Industrials,25.83,26.11,25.875,26.0
6,2021-05-04,NLSN,Industrials,25.73,25.94,25.41,25.77
7,2021-05-03,NLSN,Industrials,25.82,25.91,25.55,25.73
8,2021-04-30,NLSN,Industrials,26.08,26.08,25.59,25.65
9,2021-04-29,NLSN,Industrials,25.79,26.225,25.705,26.19
10,2021-04-28,NLSN,Industrials,25.64,25.825,25.51,25.59
11,2021-04-27,NLSN,Industrials,25.44,25.63,25.26,25.53
12,2021-04-26,NLSN,Industrials,25.62,25.725,25.41,25.44
13,2021-04-23,NLSN,Industrials,25.26,25.75,25.06,25.6
14,2021-04-22,NLSN,Industrials,25.45,25.58,25.03,25.12
15,2021-04-21,NLSN,Industrials,24.78,25.34,24.62,25.31
16,2021-04-20,NLSN,Industrials,25.18,25.1899,24.54,24.81
17,2021-04-19,NLSN,Industrials,25.57,25.6,25.21,25.31
18,2021-04-16,NLSN,Industrials,25.74,25.9,25.51,25.69
19,2021-04-15,NLSN,Industrials,25.52,25.6899,25.32,25.58
20,2021-04-14,NLSN,Industrials,25.32,25.695,25.24,25.32
21,2021-04-13,NLSN,Industrials,25.4,25.585,25.17,25.27
22,2021-04-12,NLSN,Industrials,25.53,25.71,25.36,25.59
23,2021-04-09,NLSN,Industrials,25.65,25.72,25.3106,25.57
24,2021-04-08,NLSN,Industrials,25.08,25.555,24.93,25.54
25,2021-04-07,NLSN,Industrials,25.48,25.59,24.87,25.09
26,2021-04-06,NLSN,Industrials,25.57,25.75,25.46,25.56
27,2021-04-05,NLSN,Industrials,25.5,25.6,25.31,25.53
28,2021-04-01,NLSN,Industrials,25.28,25.4,25.05,25.33
29,2021-03-31,NLSN,Industrials,25.18,25.365,25.02,25.15
30,2021-03-30,NLSN,Industrials,24.59,25.34,24.53,25.27
31,2021-03-29,NLSN,Industrials,25.44,25.55,24.255,24.52
32,2021-03-26,NLSN,Industrials,25.68,25.8,25.19,25.5
33,2021-03-25,NLSN,Industrials,24.83,25.49,24.62,25.41
34,2021-03-24,NLSN,Industrials,25.35,25.625,24.91,25.0
35,2021-03-23,NLSN,Industrials,26.02,26.11,25.205,25.29
36,2021-03-22,NLSN,Industrials,26.26,26.26,25.88,26.18
37,2021-03-19,NLSN,Industrials,26.03,26.43,25.7,26.23
38,2021-03-18,NLSN,Industrials,26.57,26.74,25.92,26.02
39,2021-03-17,NLSN,Industrials,26.36,26.72,26.01,26.61
40,2021-03-16,NLSN,Industrials,26.59,26.59,26.01,26.29
41,2021-03-15,NLSN,Industrials,26.03,26.69,26.0,26.62
42,2021-03-12,NLSN,Industrials,26.28,26.44,26.1,26.14
43,2021-03-11,NLSN,Industrials,26.15,26.25,25.96,26.06
44,2021-03-10,NLSN,Industrials,25.99,26.09,25.64,25.98
45,2021-03-09,NLSN,Industrials,26.04,26.34,25.69,25.8
46,2021-03-08,NLSN,Industrials,25.1,26.54,25.0,26.26
47,2021-03-05,NLSN,Industrials,24.06,24.98,23.61,24.95
48,2021-03-04,NLSN,Industrials,25.0,25.1,23.59,23.86
49,2021-03-03,NLSN,Industrials,24.69,24.85,24.065,24.1
50,2021-03-02,NLSN,Industrials,23.96,25.05,23.9,24.89
51,2021-03-01,NLSN,Industrials,22.76,23.28,22.66,23.14
52,2021-02-26,NLSN,Industrials,22.76,22.9,22.05,22.41
53,2021-02-25,NLSN,Industrials,24.21,24.21,22.37,22.7
54,2021-02-24,NLSN,Industrials,23.44,24.38,23.4,24.32
55,2021-02-23,NLSN,Industrials,23.74,23.75,23.07,23.48
56,2021-02-22,NLSN,Industrials,23.3,23.775,23.17,23.6
