,date,symbol,sector,open,high,low,close
0,2021-05-12,NOC,Industrials,368.62,371.58,363.12,363.15
1,2021-05-11,NOC,Industrials,372.03,374.08,365.98,368.3
2,2021-05-10,NOC,Industrials,373.3,378.61,373.3,373.8
3,2021-05-07,NOC,Industrials,369.18,372.705,366.25,370.63
4,2021-05-06,NOC,Industrials,374.01,375.93,368.3,370.05
5,2021-05-05,NOC,Industrials,368.46,373.2416,371.48,372.99
6,2021-05-04,NOC,Industrials,362.64,368.5101,361.5,368.12
7,2021-05-03,NOC,Industrials,352.04,362.83,352.04,361.0
8,2021-04-30,NOC,Industrials,353.83,356.88,352.23,354.44
9,2021-04-29,NOC,Industrials,342.0,354.17,341.61,352.22
10,2021-04-28,NOC,Industrials,340.27,340.27,336.57,338.37
11,2021-04-27,NOC,Industrials,337.39,340.87,336.0255,339.87
12,2021-04-26,NOC,Industrials,342.05,342.99,336.56,337.8
13,2021-04-23,NOC,Industrials,342.96,343.8,340.1101,342.04
14,2021-04-22,NOC,Industrials,344.13,345.19,341.78,343.43
15,2021-04-21,NOC,Industrials,345.12,346.55,343.535,345.52
16,2021-04-20,NOC,Industrials,344.8,346.61,343.16,345.14
17,2021-04-19,NOC,Industrials,347.0,347.25,342.8,344.64
18,2021-04-16,NOC,Industrials,346.58,347.82,343.67,346.43
19,2021-04-15,NOC,Industrials,341.85,345.63,340.59,344.59
20,2021-04-14,NOC,Industrials,339.24,343.39,338.64,341.82
21,2021-04-13,NOC,Industrials,338.97,340.2678,337.99,338.61
22,2021-04-12,NOC,Industrials,340.0,342.905,337.71,340.69
23,2021-04-09,NOC,Industrials,336.7298,340.65,336.3678,339.95
24,2021-04-08,NOC,Industrials,332.97,337.35,332.97,336.12
25,2021-04-07,NOC,Industrials,332.72,334.26,329.87,333.97
26,2021-04-06,NOC,Industrials,327.98,332.31,327.1,331.16
27,2021-04-05,NOC,Industrials,322.9,331.0,322.9,330.65
28,2021-04-01,NOC,Industrials,323.04,325.08,321.31,322.24
29,2021-03-31,NOC,Industrials,321.62,324.32,320.27,323.64
30,2021-03-30,NOC,Industrials,323.06,324.7,321.56,322.68
31,2021-03-29,NOC,Industrials,319.7,326.1462,319.7,323.15
32,2021-03-26,NOC,Industrials,321.29,323.19,315.67,319.02
33,2021-03-25,NOC,Industrials,317.15,322.0,316.29,321.19
34,2021-03-24,NOC,Industrials,315.14,321.37,315.14,316.03
35,2021-03-23,NOC,Industrials,313.12,317.4,313.12,314.14
36,2021-03-22,NOC,Industrials,308.04,315.7,307.31,314.21
37,2021-03-19,NOC,Industrials,315.58,316.45,308.61,308.65
