,date,symbol,sector,open,high,low,close
0,2021-05-12,NSC,Industrials,285.96,287.04,281.23,281.7
1,2021-05-11,NSC,Industrials,288.3,289.95,285.0,286.66
2,2021-05-10,NSC,Industrials,291.49,295.14,290.22,290.35
3,2021-05-07,NSC,Industrials,287.87,290.255,285.8,289.81
4,2021-05-06,NSC,Industrials,287.01,287.77,284.88,286.97
5,2021-05-05,NSC,Industrials,289.84,291.07,286.52,287.01
6,2021-05-04,NSC,Industrials,282.62,288.07,282.18,287.68
7,2021-05-03,NSC,Industrials,281.51,284.84,281.355,283.06
8,2021-04-30,NSC,Industrials,280.37,281.09,276.93,279.24
9,2021-04-29,NSC,Industrials,287.2,287.2,280.0,280.7
10,2021-04-28,NSC,Industrials,281.67,287.43,281.67,284.09
11,2021-04-27,NSC,Industrials,282.68,283.485,280.67,281.85
12,2021-04-26,NSC,Industrials,282.56,285.12,280.93,281.14
13,2021-04-23,NSC,Industrials,279.63,283.12,278.59,282.0
14,2021-04-22,NSC,Industrials,278.7,283.505,277.87,278.54
15,2021-04-21,NSC,Industrials,272.81,282.71,272.68,280.46
16,2021-04-20,NSC,Industrials,272.27,278.37,270.86,273.31
17,2021-04-19,NSC,Industrials,270.55,270.665,268.2,270.46
18,2021-04-16,NSC,Industrials,274.51,274.8,269.965,270.86
19,2021-04-15,NSC,Industrials,272.11,274.46,271.65,272.14
20,2021-04-14,NSC,Industrials,271.15,273.28,270.49,271.84
21,2021-04-13,NSC,Industrials,270.25,271.0,267.57,270.33
22,2021-04-12,NSC,Industrials,271.28,273.49,271.1701,271.55
23,2021-04-09,NSC,Industrials,268.88,272.5,267.12,272.49
24,2021-04-08,NSC,Industrials,271.56,272.03,267.04,267.67
25,2021-04-07,NSC,Industrials,271.62,272.3583,269.48,271.48
26,2021-04-06,NSC,Industrials,275.16,276.155,270.96,271.22
27,2021-04-05,NSC,Industrials,273.34,276.1,272.648,274.63
28,2021-04-01,NSC,Industrials,270.35,271.86,268.84,271.18
29,2021-03-31,NSC,Industrials,269.99,271.85,268.2,268.52
30,2021-03-30,NSC,Industrials,269.28,272.0,269.28,270.29
31,2021-03-29,NSC,Industrials,272.48,273.88,268.57,270.99
32,2021-03-26,NSC,Industrials,268.57,273.06,267.05,272.91
33,2021-03-25,NSC,Industrials,264.31,268.34,260.525,268.0
34,2021-03-24,NSC,Industrials,261.15,267.12,261.15,264.31
35,2021-03-23,NSC,Industrials,258.64,263.7983,258.33,260.27
36,2021-03-22,NSC,Industrials,267.82,269.96,259.575,260.62
37,2021-03-19,NSC,Industrials,262.89,263.7,258.6,260.46
38,2021-03-18,NSC,Industrials,258.16,264.44,257.64,263.07
39,2021-03-17,NSC,Industrials,256.89,260.43,254.84,258.16
40,2021-03-16,NSC,Industrials,260.76,260.89,254.19,256.39
41,2021-03-15,NSC,Industrials,261.38,261.58,255.8,260.27
42,2021-03-12,NSC,Industrials,262.31,264.36,261.3,261.44
43,2021-03-11,NSC,Industrials,260.76,262.56,259.3,260.75
44,2021-03-10,NSC,Industrials,260.61,262.58,258.18,259.29
45,2021-03-09,NSC,Industrials,260.88,263.26,258.96,259.11
46,2021-03-08,NSC,Industrials,257.33,264.86,255.825,259.22
47,2021-03-05,NSC,Industrials,247.23,257.2,243.155,256.0
48,2021-03-04,NSC,Industrials,253.5,254.65,240.96,244.71
49,2021-03-03,NSC,Industrials,255.6,257.18,253.63,254.11
50,2021-03-02,NSC,Industrials,256.81,258.64,255.73,256.38
51,2021-03-01,NSC,Industrials,255.59,260.01,254.8,257.83
52,2021-02-26,NSC,Industrials,255.28,257.21,251.41,252.06
53,2021-02-25,NSC,Industrials,257.66,261.04,252.42,254.1
54,2021-02-24,NSC,Industrials,257.2,264.11,256.61,261.78
55,2021-02-23,NSC,Industrials,260.8,262.17,255.9,257.89
56,2021-02-22,NSC,Industrials,257.5,262.07,256.21,260.24
57,2021-02-19,NSC,Industrials,252.89,258.93,252.5,258.03
58,2021-02-18,NSC,Industrials,251.11,252.61,247.06,251.71
59,2021-02-17,NSC,Industrials,251.93,254.82,250.54,253.03
60,2021-02-16,NSC,Industrials,256.33,258.4,254.26,256.4
61,2021-02-12,NSC,Industrials,248.35,255.98,248.14,254.84
62,2021-02-11,NSC,Industrials,245.6,249.41,244.89,248.91
63,2021-02-10,NSC,Industrials,246.89,247.96,244.225,245.29
64,2021-02-09,NSC,Industrials,244.07,247.07,241.65,245.82
65,2021-02-08,NSC,Industrials,246.08,246.4,240.78,243.8
66,2021-02-05,NSC,Industrials,247.34,249.54,245.63,245.66
67,2021-02-04,NSC,Industrials,246.36,248.57,243.77,245.57
68,2021-02-03,NSC,Industrials,246.74,247.79,244.52,246.25
69,2021-02-02,NSC,Industrials,241.0,248.22,240.72,246.35
70,2021-02-01,NSC,Industrials,238.24,241.11,237.92,239.91
71,2021-01-29,NSC,Industrials,239.43,242.34,236.1,236.62
72,2021-01-28,NSC,Industrials,239.1,245.095,234.39,241.79
73,2021-01-27,NSC,Industrials,234.21,241.08,230.15,235.64
74,2021-01-26,NSC,Industrials,246.89,247.14,237.44,238.09
75,2021-01-25,NSC,Industrials,242.26,246.48,240.08,245.96
76,2021-01-22,NSC,Industrials,245.03,245.625,240.68,244.22
77,2021-01-21,NSC,Industrials,250.71,251.91,245.13,245.36
78,2021-01-20,NSC,Industrials,250.95,253.91,247.88,253.43
79,2021-01-19,NSC,Industrials,254.4,256.465,249.525,249.84
80,2021-01-15,NSC,Industrials,250.61,253.24,248.1,252.95
81,2021-01-14,NSC,Industrials,254.82,256.06,251.88,252.46
82,2021-01-13,NSC,Industrials,257.86,258.17,252.89,254.48
83,2021-01-12,NSC,Industrials,253.84,257.86,252.05,256.44
84,2021-01-11,NSC,Industrials,252.23,256.7,252.0,254.37
85,2021-01-08,NSC,Industrials,250.77,257.7,248.7801,254.04
86,2021-01-07,NSC,Industrials,245.0,250.03,244.3,249.85
87,2021-01-06,NSC,Industrials,235.54,244.55,235.54,243.35
88,2021-01-05,NSC,Industrials,233.0,237.5823,232.83,235.71
89,2021-01-04,NSC,Industrials,238.31,239.82,231.18,233.44
90,2020-12-31,NSC,Industrials,236.45,238.05,234.39,237.61
91,2020-12-30,NSC,Industrials,234.34,236.94,234.0,235.98
92,2020-12-29,NSC,Industrials,236.93,238.37,232.45,233.99
93,2020-12-28,NSC,Industrials,236.22,238.47,235.19,236.71
94,2020-12-24,NSC,Industrials,233.22,234.935,231.63,234.39
95,2020-12-23,NSC,Industrials,231.92,234.2,230.5,233.12
96,2020-12-22,NSC,Industrials,229.76,232.51,229.52,230.5
97,2020-12-21,NSC,Industrials,228.24,231.64,226.09,230.14
98,2020-12-18,NSC,Industrials,230.75,233.03,228.82,232.39
99,2020-12-17,NSC,Industrials,230.12,231.01,227.99,230.69
100,2020-12-16,NSC,Industrials,230.19,230.72,226.69,228.7
101,2020-12-15,NSC,Industrials,231.09,232.065,227.77,229.8
102,2020-12-14,NSC,Industrials,236.98,237.04,228.9,229.25
103,2020-12-11,NSC,Industrials,234.89,237.3,234.35,235.25
104,2020-12-10,NSC,Industrials,239.0,240.33,235.855,236.5
105,2020-12-09,NSC,Industrials,238.46,241.58,238.04,240.86
106,2020-12-08,NSC,Industrials,237.39,239.67,237.015,238.67
107,2020-12-07,NSC,Industrials,239.0,240.195,237.125,239.06
108,2020-12-04,NSC,Industrials,237.69,240.38,237.69,240.19
109,2020-12-03,NSC,Industrials,241.05,242.23,236.6,237.15
110,2020-12-02,NSC,Industrials,237.88,241.0,237.49,239.67
111,2020-12-01,NSC,Industrials,240.4,243.37,238.4,238.75
112,2020-11-30,NSC,Industrials,241.84,244.49,236.78,237.02
