,date,symbol,sector,open,high,low,close
0,2021-05-12,NVR,Consumer Discretionary,4950.01,4954.98,4749.34,4749.37
1,2021-05-11,NVR,Consumer Discretionary,5187.83,5198.84,4970.01,4988.03
2,2021-05-10,NVR,Consumer Discretionary,5209.55,5308.475,5150.0,5215.81
3,2021-05-07,NVR,Consumer Discretionary,5109.32,5234.27,5109.32,5211.38
4,2021-05-06,NVR,Consumer Discretionary,5149.68,5151.35,5075.51,5134.44
5,2021-05-05,NVR,Consumer Discretionary,5125.0,5155.99,5089.0,5142.42
6,2021-05-04,NVR,Consumer Discretionary,5127.57,5173.76,5055.0,5104.95
7,2021-05-03,NVR,Consumer Discretionary,5076.11,5144.0,5015.36,5124.07
8,2021-04-30,NVR,Consumer Discretionary,4990.01,5047.97,4942.0,5018.1
9,2021-04-29,NVR,Consumer Discretionary,5020.0,5107.1,5000.31,5023.91
10,2021-04-28,NVR,Consumer Discretionary,4978.81,5019.8,4951.15,5005.63
11,2021-04-27,NVR,Consumer Discretionary,4938.5,5023.0,4863.4,4978.81
12,2021-04-26,NVR,Consumer Discretionary,4859.34,4938.96,4825.34,4929.53
13,2021-04-23,NVR,Consumer Discretionary,4830.0,4916.805,4760.27,4862.59
14,2021-04-22,NVR,Consumer Discretionary,4787.0,4836.205,4757.5,4826.37
15,2021-04-21,NVR,Consumer Discretionary,4880.0,4895.0,4700.0,4800.0
16,2021-04-20,NVR,Consumer Discretionary,4994.0,5028.855,4836.38,4906.22
17,2021-04-19,NVR,Consumer Discretionary,4979.51,4994.13,4936.2301,4984.42
18,2021-04-16,NVR,Consumer Discretionary,4880.0,5008.36,4880.0,4984.85
19,2021-04-15,NVR,Consumer Discretionary,4850.0,4891.72,4800.0,4844.22
20,2021-04-14,NVR,Consumer Discretionary,4784.0,4859.72,4784.0,4821.44
21,2021-04-13,NVR,Consumer Discretionary,4844.22,4888.0,4762.5,4821.02
22,2021-04-12,NVR,Consumer Discretionary,4900.3,4944.98,4838.32,4873.73
23,2021-04-09,NVR,Consumer Discretionary,4776.69,4922.69,4724.7,4902.13
24,2021-04-08,NVR,Consumer Discretionary,4768.85,4799.99,4748.32,4748.49
25,2021-04-07,NVR,Consumer Discretionary,4840.99,4874.64,4758.91,4776.41
26,2021-04-06,NVR,Consumer Discretionary,4815.2,4849.49,4720.02,4837.78
27,2021-04-05,NVR,Consumer Discretionary,4810.63,4844.86,4790.11,4827.44
28,2021-04-01,NVR,Consumer Discretionary,4740.005,4810.22,4705.01,4785.18
29,2021-03-31,NVR,Consumer Discretionary,4670.28,4775.0,4670.28,4710.93
30,2021-03-30,NVR,Consumer Discretionary,4655.68,4740.83,4628.695,4706.11
31,2021-03-29,NVR,Consumer Discretionary,4730.0,4753.32,4666.7,4668.26
32,2021-03-26,NVR,Consumer Discretionary,4569.04,4749.99,4561.52,4722.74
33,2021-03-25,NVR,Consumer Discretionary,4495.2,4600.0,4442.56,4567.86
34,2021-03-24,NVR,Consumer Discretionary,4473.23,4604.98,4465.0,4539.65
35,2021-03-23,NVR,Consumer Discretionary,4480.81,4565.0,4438.87,4463.1
36,2021-03-22,NVR,Consumer Discretionary,4430.01,4515.0,4397.615,4503.64
37,2021-03-19,NVR,Consumer Discretionary,4402.1,4570.0,4363.32,4434.99
38,2021-03-18,NVR,Consumer Discretionary,4635.73,4645.44,4380.02,4421.85
39,2021-03-17,NVR,Consumer Discretionary,4600.0,4701.6445,4529.0,4662.33
40,2021-03-16,NVR,Consumer Discretionary,4645.74,4740.0,4629.04,4629.04
