,date,symbol,sector,open,high,low,close
0,2021-05-12,NWL,Consumer Discretionary,28.8714,28.9,27.99,28.055
1,2021-05-11,NWL,Consumer Discretionary,29.2,29.48,28.56,28.98
2,2021-05-10,NWL,Consumer Discretionary,29.24,30.1,29.13,29.27
3,2021-05-07,NWL,Consumer Discretionary,28.89,29.33,28.87,29.07
4,2021-05-06,NWL,Consumer Discretionary,28.62,29.12,28.35,29.1
5,2021-05-05,NWL,Consumer Discretionary,28.01,28.5,27.9301,28.35
6,2021-05-04,NWL,Consumer Discretionary,27.8337,28.165,27.595,28.06
7,2021-05-03,NWL,Consumer Discretionary,27.14,28.1,26.98,27.78
8,2021-04-30,NWL,Consumer Discretionary,27.49,27.87,26.78,26.96
9,2021-04-29,NWL,Consumer Discretionary,26.92,27.19,26.75,26.98
10,2021-04-28,NWL,Consumer Discretionary,27.05,27.07,26.62,26.66
11,2021-04-27,NWL,Consumer Discretionary,26.52,27.12,26.39,26.92
12,2021-04-26,NWL,Consumer Discretionary,26.65,26.76,26.445,26.72
13,2021-04-23,NWL,Consumer Discretionary,26.82,26.87,26.3,26.54
14,2021-04-22,NWL,Consumer Discretionary,27.06,27.155,26.61,26.675
15,2021-04-21,NWL,Consumer Discretionary,26.5,27.1,26.5,26.97
16,2021-04-20,NWL,Consumer Discretionary,26.39,26.58,26.1,26.5
17,2021-04-19,NWL,Consumer Discretionary,26.62,26.635,26.19,26.48
18,2021-04-16,NWL,Consumer Discretionary,26.74,26.97,26.56,26.76
19,2021-04-15,NWL,Consumer Discretionary,26.69,26.73,26.31,26.62
20,2021-04-14,NWL,Consumer Discretionary,26.7,26.89,26.3843,26.44
21,2021-04-13,NWL,Consumer Discretionary,27.24,27.33,26.18,26.84
22,2021-04-12,NWL,Consumer Discretionary,26.99,27.43,26.9366,27.38
23,2021-04-09,NWL,Consumer Discretionary,26.9035,27.11,26.77,27.03
24,2021-04-08,NWL,Consumer Discretionary,27.0,27.05,26.645,26.85
25,2021-04-07,NWL,Consumer Discretionary,27.01,27.25,26.96,27.05
26,2021-04-06,NWL,Consumer Discretionary,27.36,27.41,27.025,27.09
27,2021-04-05,NWL,Consumer Discretionary,27.25,27.43,27.08,27.22
28,2021-04-01,NWL,Consumer Discretionary,26.64,27.06,26.52,27.06
29,2021-03-31,NWL,Consumer Discretionary,26.64,27.05,26.53,26.78
30,2021-03-30,NWL,Consumer Discretionary,26.46,26.76,26.37,26.7
31,2021-03-29,NWL,Consumer Discretionary,26.44,26.91,26.3,26.42
32,2021-03-26,NWL,Consumer Discretionary,25.855,26.66,25.76,26.64
33,2021-03-25,NWL,Consumer Discretionary,24.92,25.94,24.72,25.87
34,2021-03-24,NWL,Consumer Discretionary,25.13,25.52,24.91,24.91
35,2021-03-23,NWL,Consumer Discretionary,25.89,26.18,25.045,25.14
36,2021-03-22,NWL,Consumer Discretionary,26.09,26.25,25.72,26.1
37,2021-03-19,NWL,Consumer Discretionary,26.45,26.51,26.07,26.09
38,2021-03-18,NWL,Consumer Discretionary,25.88,26.68,25.8275,26.29
39,2021-03-17,NWL,Consumer Discretionary,25.55,26.05,25.48,25.88
40,2021-03-16,NWL,Consumer Discretionary,26.064,26.12,25.585,25.68
41,2021-03-15,NWL,Consumer Discretionary,25.64,26.11,25.57,26.1
42,2021-03-12,NWL,Consumer Discretionary,25.11,25.48,24.92,25.4
43,2021-03-11,NWL,Consumer Discretionary,25.25,25.29,24.78,24.95
44,2021-03-10,NWL,Consumer Discretionary,25.25,25.72,25.09,25.29
45,2021-03-09,NWL,Consumer Discretionary,25.41,25.49,24.88,24.88
46,2021-03-08,NWL,Consumer Discretionary,24.9,25.5,24.74,25.2
47,2021-03-05,NWL,Consumer Discretionary,24.27,24.78,23.67,24.64
48,2021-03-04,NWL,Consumer Discretionary,24.26,24.5,23.53,23.96
49,2021-03-03,NWL,Consumer Discretionary,23.96,24.54,23.8,24.37
50,2021-03-02,NWL,Consumer Discretionary,24.2,24.23,23.73,24.05
51,2021-03-01,NWL,Consumer Discretionary,23.56,24.14,23.47,24.12
