,date,symbol,sector,open,high,low,close
0,2021-05-12,ODFL,Industrials,262.9,263.3675,256.26,256.38
1,2021-05-11,ODFL,Industrials,267.35,268.0,261.48,264.14
2,2021-05-10,ODFL,Industrials,270.39,276.09,269.74,270.13
3,2021-05-07,ODFL,Industrials,266.1,269.911,263.79,269.57
4,2021-05-06,ODFL,Industrials,264.29,265.13,261.36,264.96
5,2021-05-05,ODFL,Industrials,266.36,266.36,262.56,264.13
6,2021-05-04,ODFL,Industrials,260.32,265.61,260.05,264.75
7,2021-05-03,ODFL,Industrials,258.81,262.912,258.22,261.67
8,2021-04-30,ODFL,Industrials,258.7,261.17,256.75,257.81
9,2021-04-29,ODFL,Industrials,258.71,260.1,256.12,259.31
10,2021-04-28,ODFL,Industrials,257.21,258.68,255.44,257.22
11,2021-04-27,ODFL,Industrials,254.91,258.66,254.095,258.36
12,2021-04-26,ODFL,Industrials,258.67,259.47,252.09,253.49
13,2021-04-23,ODFL,Industrials,252.71,259.255,252.71,257.76
14,2021-04-22,ODFL,Industrials,247.0,255.11,247.0,250.75
15,2021-04-21,ODFL,Industrials,247.61,250.1,245.09,246.7
16,2021-04-20,ODFL,Industrials,249.91,251.49,245.6469,247.64
17,2021-04-19,ODFL,Industrials,251.34,251.41,247.01,247.91
18,2021-04-16,ODFL,Industrials,251.95,253.38,251.185,251.37
19,2021-04-15,ODFL,Industrials,249.08,251.37,247.21,250.09
20,2021-04-14,ODFL,Industrials,248.96,249.52,246.78,247.89
21,2021-04-13,ODFL,Industrials,249.84,249.84,245.64,248.33
22,2021-04-12,ODFL,Industrials,249.29,250.49,246.84,249.02
23,2021-04-09,ODFL,Industrials,247.71,251.11,247.325,249.28
24,2021-04-08,ODFL,Industrials,244.23,246.24,242.31,244.98
25,2021-04-07,ODFL,Industrials,244.41,245.94,243.36,243.4
26,2021-04-06,ODFL,Industrials,246.36,248.8599,244.25,244.59
27,2021-04-05,ODFL,Industrials,245.97,248.7,244.57,246.3
28,2021-04-01,ODFL,Industrials,240.27,243.81,240.27,243.69
29,2021-03-31,ODFL,Industrials,240.55,243.505,237.82,240.41
30,2021-03-30,ODFL,Industrials,236.13,241.84,235.23,240.61
31,2021-03-29,ODFL,Industrials,236.15,238.39,233.185,235.34
32,2021-03-26,ODFL,Industrials,230.54,236.98,230.35,235.75
33,2021-03-25,ODFL,Industrials,233.99,233.99,228.245,231.76
34,2021-03-24,ODFL,Industrials,231.59,236.16,231.59,234.11
35,2021-03-23,ODFL,Industrials,231.48,234.76,230.59,231.65
36,2021-03-22,ODFL,Industrials,231.07,233.045,228.79,231.25
37,2021-03-19,ODFL,Industrials,228.51,232.82,226.25,230.61
38,2021-03-18,ODFL,Industrials,227.27,233.06,227.0,230.1
39,2021-03-17,ODFL,Industrials,227.51,231.99,225.61,227.92
40,2021-03-16,ODFL,Industrials,234.0,234.28,228.36,228.98
41,2021-03-15,ODFL,Industrials,232.7,234.01,229.14,231.99
42,2021-03-12,ODFL,Industrials,230.03,235.16,228.92,233.81
43,2021-03-11,ODFL,Industrials,226.8,230.63,225.67,229.67
44,2021-03-10,ODFL,Industrials,226.5,228.835,224.82,225.93
45,2021-03-09,ODFL,Industrials,222.21,226.44,221.71,223.82
46,2021-03-08,ODFL,Industrials,220.37,223.935,218.28,218.65
47,2021-03-05,ODFL,Industrials,217.64,222.84,211.7701,219.85
48,2021-03-04,ODFL,Industrials,222.59,223.6,214.13,215.02
49,2021-03-03,ODFL,Industrials,222.5,227.14,219.76,222.76
50,2021-03-02,ODFL,Industrials,220.22,223.31,217.8,222.41
51,2021-03-01,ODFL,Industrials,217.7,222.035,216.95,220.72
52,2021-02-26,ODFL,Industrials,215.99,218.75,214.02,214.77
53,2021-02-25,ODFL,Industrials,217.59,220.64,214.81,215.53
54,2021-02-24,ODFL,Industrials,210.29,218.49,210.15,217.31
55,2021-02-23,ODFL,Industrials,210.0,212.7,207.015,211.62
56,2021-02-22,ODFL,Industrials,214.28,214.56,210.54,211.76
57,2021-02-19,ODFL,Industrials,213.65,216.835,213.03,215.64
58,2021-02-18,ODFL,Industrials,207.24,213.58,206.575,211.79
59,2021-02-17,ODFL,Industrials,208.25,210.02,203.88,207.99
60,2021-02-16,ODFL,Industrials,213.06,213.06,209.29,210.19
61,2021-02-12,ODFL,Industrials,206.7,212.74,206.7,212.21
62,2021-02-11,ODFL,Industrials,210.74,211.395,204.94,208.04
63,2021-02-10,ODFL,Industrials,216.32,217.15,207.98,208.99
64,2021-02-09,ODFL,Industrials,212.04,216.31,211.66,215.52
65,2021-02-08,ODFL,Industrials,209.32,214.0,208.61,212.25
66,2021-02-05,ODFL,Industrials,207.36,211.96,205.59,209.45
67,2021-02-04,ODFL,Industrials,199.0,205.99,196.94,204.36
68,2021-02-03,ODFL,Industrials,204.81,206.0,197.62,197.75
69,2021-02-02,ODFL,Industrials,200.73,206.21,200.34,204.57
70,2021-02-01,ODFL,Industrials,197.01,199.83,194.45,199.1
71,2021-01-29,ODFL,Industrials,197.71,198.67,193.72,194.0
72,2021-01-28,ODFL,Industrials,195.3,200.48,194.12,199.02
73,2021-01-27,ODFL,Industrials,204.61,204.61,192.76,194.33
74,2021-01-26,ODFL,Industrials,212.05,212.55,206.58,207.54
75,2021-01-25,ODFL,Industrials,203.93,211.53,203.9,211.12
76,2021-01-22,ODFL,Industrials,207.45,207.45,203.21,204.61
77,2021-01-21,ODFL,Industrials,210.0,211.99,207.63,207.72
78,2021-01-20,ODFL,Industrials,207.51,209.79,204.12,208.96
79,2021-01-19,ODFL,Industrials,208.23,213.4,207.41,207.51
80,2021-01-15,ODFL,Industrials,205.48,208.58,202.46,207.39
81,2021-01-14,ODFL,Industrials,205.07,209.77,202.89,207.51
82,2021-01-13,ODFL,Industrials,203.2,203.29,200.14,200.96
83,2021-01-12,ODFL,Industrials,203.15,205.825,200.82,203.35
84,2021-01-11,ODFL,Industrials,204.18,206.02,201.97,202.34
85,2021-01-08,ODFL,Industrials,202.18,207.0,202.18,205.56
86,2021-01-07,ODFL,Industrials,195.97,203.13,194.96,201.96
87,2021-01-06,ODFL,Industrials,190.7,195.73,190.7,193.3
88,2021-01-05,ODFL,Industrials,190.28,193.47,189.45,191.75
89,2021-01-04,ODFL,Industrials,195.13,196.52,190.27,190.69
90,2020-12-31,ODFL,Industrials,194.59,195.62,192.91,195.18
91,2020-12-30,ODFL,Industrials,194.9,195.28,191.96,193.62
92,2020-12-29,ODFL,Industrials,195.69,197.02,192.19,194.13
93,2020-12-28,ODFL,Industrials,199.21,199.89,194.79,194.91
94,2020-12-24,ODFL,Industrials,196.87,199.0,196.55,198.25
95,2020-12-23,ODFL,Industrials,199.22,200.4251,196.72,196.83
96,2020-12-22,ODFL,Industrials,198.0,199.82,197.77,198.66
97,2020-12-21,ODFL,Industrials,197.1,199.58,196.01,197.82
