,date,symbol,sector,open,high,low,close
0,2021-05-12,ORLY,Consumer Discretionary,558.59,561.475,546.8,548.28
1,2021-05-11,ORLY,Consumer Discretionary,561.49,564.0,549.99,559.83
2,2021-05-10,ORLY,Consumer Discretionary,564.0,568.63,562.33,562.47
3,2021-05-07,ORLY,Consumer Discretionary,557.6,563.7299,557.1,562.32
4,2021-05-06,ORLY,Consumer Discretionary,562.9,564.0,557.76,561.22
5,2021-05-05,ORLY,Consumer Discretionary,559.72,561.89,551.54,560.09
6,2021-05-04,ORLY,Consumer Discretionary,553.53,560.0,551.35,559.88
7,2021-05-03,ORLY,Consumer Discretionary,555.1,561.98,554.21,554.96
8,2021-04-30,ORLY,Consumer Discretionary,543.94,553.43,543.02,552.88
9,2021-04-29,ORLY,Consumer Discretionary,532.25,547.56,530.23,547.17
10,2021-04-28,ORLY,Consumer Discretionary,533.49,536.43,527.19,528.95
11,2021-04-27,ORLY,Consumer Discretionary,528.71,534.65,527.75,532.65
12,2021-04-26,ORLY,Consumer Discretionary,530.83,531.73,524.47,526.19
13,2021-04-23,ORLY,Consumer Discretionary,531.03,536.72,525.9,532.61
14,2021-04-22,ORLY,Consumer Discretionary,533.26,534.23,526.98,529.58
15,2021-04-21,ORLY,Consumer Discretionary,536.13,538.3,532.86,533.26
16,2021-04-20,ORLY,Consumer Discretionary,537.98,539.82,531.68,536.27
17,2021-04-19,ORLY,Consumer Discretionary,534.59,539.815,531.34,533.77
18,2021-04-16,ORLY,Consumer Discretionary,522.14,534.0,520.93,530.52
19,2021-04-15,ORLY,Consumer Discretionary,520.0,525.31,510.7,521.99
20,2021-04-14,ORLY,Consumer Discretionary,516.09,519.02,512.585,517.69
21,2021-04-13,ORLY,Consumer Discretionary,518.8,518.89,512.66,515.39
22,2021-04-12,ORLY,Consumer Discretionary,519.17,521.27,514.57,519.57
23,2021-04-09,ORLY,Consumer Discretionary,508.92,517.48,506.865,516.71
24,2021-04-08,ORLY,Consumer Discretionary,515.23,515.23,507.4934,508.22
25,2021-04-07,ORLY,Consumer Discretionary,513.96,516.29,510.07,512.64
26,2021-04-06,ORLY,Consumer Discretionary,507.52,516.92,506.5079,514.26
27,2021-04-05,ORLY,Consumer Discretionary,511.0,512.88,508.0,509.11
28,2021-04-01,ORLY,Consumer Discretionary,509.6063,510.0,504.12,507.82
29,2021-03-31,ORLY,Consumer Discretionary,509.13,511.44,505.36,507.25
30,2021-03-30,ORLY,Consumer Discretionary,507.92,512.24,504.05,509.13
31,2021-03-29,ORLY,Consumer Discretionary,507.79,509.435,504.98,508.03
32,2021-03-26,ORLY,Consumer Discretionary,498.83,507.27,494.1485,506.74
33,2021-03-25,ORLY,Consumer Discretionary,488.23,498.275,484.54,496.98
34,2021-03-24,ORLY,Consumer Discretionary,484.8,493.0,484.8,488.86
35,2021-03-23,ORLY,Consumer Discretionary,493.03,495.78,484.8,485.29
36,2021-03-22,ORLY,Consumer Discretionary,488.89,493.39,484.76,490.84
37,2021-03-19,ORLY,Consumer Discretionary,482.28,492.39,480.38,488.1
38,2021-03-18,ORLY,Consumer Discretionary,477.01,484.93,477.01,482.18
39,2021-03-17,ORLY,Consumer Discretionary,486.5,486.82,480.86,482.98
40,2021-03-16,ORLY,Consumer Discretionary,484.2,485.06,480.39,483.92
41,2021-03-15,ORLY,Consumer Discretionary,483.43,486.3,477.26,484.31
42,2021-03-12,ORLY,Consumer Discretionary,474.23,483.99,473.24,482.64
43,2021-03-11,ORLY,Consumer Discretionary,473.77,477.53,472.265,474.35
44,2021-03-10,ORLY,Consumer Discretionary,470.66,476.11,463.41,473.9
45,2021-03-09,ORLY,Consumer Discretionary,472.97,479.9131,464.46,464.92
46,2021-03-08,ORLY,Consumer Discretionary,469.73,480.44,466.5,472.9
47,2021-03-05,ORLY,Consumer Discretionary,450.0,467.23,447.45,465.85
48,2021-03-04,ORLY,Consumer Discretionary,454.97,459.96,448.16,450.26
49,2021-03-03,ORLY,Consumer Discretionary,448.98,458.37,448.48,454.5
50,2021-03-02,ORLY,Consumer Discretionary,450.45,452.75,446.56,451.36
51,2021-03-01,ORLY,Consumer Discretionary,450.1,455.23,449.375,451.23
52,2021-02-26,ORLY,Consumer Discretionary,449.2,452.55,446.19,447.33
53,2021-02-25,ORLY,Consumer Discretionary,453.78,457.5188,443.56,445.89
54,2021-02-24,ORLY,Consumer Discretionary,453.2,458.26,452.07,455.87
55,2021-02-23,ORLY,Consumer Discretionary,456.96,463.7397,446.69,453.97
56,2021-02-22,ORLY,Consumer Discretionary,458.87,460.15,455.0,456.67
57,2021-02-19,ORLY,Consumer Discretionary,460.0,464.57,452.85,460.41
58,2021-02-18,ORLY,Consumer Discretionary,442.26,459.55,442.21,458.52
59,2021-02-17,ORLY,Consumer Discretionary,441.93,448.77,440.22,447.46
60,2021-02-16,ORLY,Consumer Discretionary,432.84,443.64,432.84,442.78
61,2021-02-12,ORLY,Consumer Discretionary,432.22,436.86,428.79,433.05
62,2021-02-11,ORLY,Consumer Discretionary,455.78,459.0,430.0,433.16
63,2021-02-10,ORLY,Consumer Discretionary,456.67,457.75,447.4,456.47
64,2021-02-09,ORLY,Consumer Discretionary,451.02,454.9765,449.685,453.27
65,2021-02-08,ORLY,Consumer Discretionary,452.3,457.0,451.06,452.5
66,2021-02-05,ORLY,Consumer Discretionary,453.35,458.69,445.81,448.29
67,2021-02-04,ORLY,Consumer Discretionary,442.92,453.5,442.46,451.84
68,2021-02-03,ORLY,Consumer Discretionary,445.01,447.97,441.37,442.48
69,2021-02-02,ORLY,Consumer Discretionary,437.68,453.59,437.68,444.97
70,2021-02-01,ORLY,Consumer Discretionary,428.3,441.84,425.49,436.54
71,2021-01-29,ORLY,Consumer Discretionary,427.85,434.02,424.03,425.47
72,2021-01-28,ORLY,Consumer Discretionary,433.52,440.89,428.39,432.33
73,2021-01-27,ORLY,Consumer Discretionary,450.53,450.6,428.0,428.37
74,2021-01-26,ORLY,Consumer Discretionary,452.93,455.04,445.27,454.5
75,2021-01-25,ORLY,Consumer Discretionary,456.1,456.3,445.03,449.95
76,2021-01-22,ORLY,Consumer Discretionary,471.09,471.23,456.96,457.31
77,2021-01-21,ORLY,Consumer Discretionary,466.64,473.55,465.58,471.01
78,2021-01-20,ORLY,Consumer Discretionary,463.85,468.03,458.915,466.19
79,2021-01-19,ORLY,Consumer Discretionary,463.81,467.77,457.18,463.94
80,2021-01-15,ORLY,Consumer Discretionary,467.77,473.96,461.75,466.69
81,2021-01-14,ORLY,Consumer Discretionary,483.36,485.5,470.88,471.5
82,2021-01-13,ORLY,Consumer Discretionary,492.74,494.47,482.25,482.81
83,2021-01-12,ORLY,Consumer Discretionary,482.48,496.61,482.48,495.4
84,2021-01-11,ORLY,Consumer Discretionary,474.53,486.1,474.53,483.83
85,2021-01-08,ORLY,Consumer Discretionary,470.27,480.9362,469.96,477.92
86,2021-01-07,ORLY,Consumer Discretionary,463.79,472.5,460.76,469.9
87,2021-01-06,ORLY,Consumer Discretionary,449.16,467.44,446.99,465.18
88,2021-01-05,ORLY,Consumer Discretionary,452.47,455.51,445.59,451.28
89,2021-01-04,ORLY,Consumer Discretionary,454.22,461.99,449.62,453.97
90,2020-12-31,ORLY,Consumer Discretionary,450.65,453.45,446.547,452.57
91,2020-12-30,ORLY,Consumer Discretionary,452.67,458.64,451.25,451.8
92,2020-12-29,ORLY,Consumer Discretionary,457.97,460.2,451.36,452.58
93,2020-12-28,ORLY,Consumer Discretionary,464.87,467.77,456.89,457.06
94,2020-12-24,ORLY,Consumer Discretionary,460.15,462.73,456.32,461.76
95,2020-12-23,ORLY,Consumer Discretionary,453.8,460.69,453.45,457.93
96,2020-12-22,ORLY,Consumer Discretionary,451.25,456.25,448.135,453.39
97,2020-12-21,ORLY,Consumer Discretionary,446.79,452.83,442.35,452.59
