,date,symbol,sector,open,high,low,close
0,2021-05-12,OTIS,Industrials,77.76,77.96,76.11,76.13
1,2021-05-11,OTIS,Industrials,77.79,78.11,76.85,77.62
2,2021-05-10,OTIS,Industrials,78.67,79.1,78.03,78.25
3,2021-05-07,OTIS,Industrials,78.08,78.95,77.91,78.19
4,2021-05-06,OTIS,Industrials,78.43,78.8792,77.7,78.36
5,2021-05-05,OTIS,Industrials,78.89,78.62,77.76,78.06
6,2021-05-04,OTIS,Industrials,78.38,79.56,78.38,78.72
7,2021-05-03,OTIS,Industrials,78.49,79.1,77.91,78.4
8,2021-04-30,OTIS,Industrials,78.25,78.67,77.55,77.87
9,2021-04-29,OTIS,Industrials,78.02,79.12,78.02,78.69
10,2021-04-28,OTIS,Industrials,79.18,79.5,77.99,78.0
11,2021-04-27,OTIS,Industrials,76.5,79.26,76.12,79.0
12,2021-04-26,OTIS,Industrials,76.44,76.88,74.55,76.27
13,2021-04-23,OTIS,Industrials,71.07,71.98,70.74,71.28
14,2021-04-22,OTIS,Industrials,71.23,71.75,70.61,70.95
15,2021-04-21,OTIS,Industrials,70.45,71.08,69.83,71.04
16,2021-04-20,OTIS,Industrials,71.64,71.69,70.33,70.47
17,2021-04-19,OTIS,Industrials,70.71,71.385,70.35,71.03
18,2021-04-16,OTIS,Industrials,71.41,71.41,69.85,70.58
19,2021-04-15,OTIS,Industrials,70.64,71.24,70.11,70.97
20,2021-04-14,OTIS,Industrials,71.0,71.075,70.06,70.4
21,2021-04-13,OTIS,Industrials,70.45,71.235,70.1919,71.12
22,2021-04-12,OTIS,Industrials,70.62,71.105,70.32,70.65
23,2021-04-09,OTIS,Industrials,69.68,70.95,69.45,70.75
24,2021-04-08,OTIS,Industrials,69.49,69.645,68.92,69.41
25,2021-04-07,OTIS,Industrials,69.86,70.27,69.41,69.63
26,2021-04-06,OTIS,Industrials,69.5,70.465,68.89,69.72
27,2021-04-05,OTIS,Industrials,69.08,69.7,68.92,69.23
28,2021-04-01,OTIS,Industrials,68.89,69.64,68.32,69.26
29,2021-03-31,OTIS,Industrials,70.02,70.02,68.27,68.45
30,2021-03-30,OTIS,Industrials,70.07,70.49,69.42,69.74
31,2021-03-29,OTIS,Industrials,69.83,70.67,69.5,69.91
32,2021-03-26,OTIS,Industrials,68.16,69.38,67.62,69.04
33,2021-03-25,OTIS,Industrials,67.41,68.14,66.76,67.86
34,2021-03-24,OTIS,Industrials,66.88,67.96,66.88,67.17
35,2021-03-23,OTIS,Industrials,66.42,67.71,66.2,66.96
36,2021-03-22,OTIS,Industrials,66.81,66.94,65.64,66.82
37,2021-03-19,OTIS,Industrials,67.89,67.89,66.52,66.86
38,2021-03-18,OTIS,Industrials,68.15,68.64,67.46,68.15
39,2021-03-17,OTIS,Industrials,67.99,68.65,67.36,68.58
40,2021-03-16,OTIS,Industrials,67.12,67.97,66.58,67.7
41,2021-03-15,OTIS,Industrials,65.94,66.64,65.515,66.61
42,2021-03-12,OTIS,Industrials,67.65,67.65,65.99,66.0
43,2021-03-11,OTIS,Industrials,66.1,67.64,65.89,67.3
44,2021-03-10,OTIS,Industrials,64.67,66.495,64.61,66.25
45,2021-03-09,OTIS,Industrials,65.69,66.65,64.92,64.93
46,2021-03-08,OTIS,Industrials,64.97,66.33,64.59,65.22
47,2021-03-05,OTIS,Industrials,64.52,65.11,62.76,64.87
48,2021-03-04,OTIS,Industrials,66.83,66.9,63.3396,63.95
49,2021-03-03,OTIS,Industrials,65.51,67.65,65.07,67.0
50,2021-03-02,OTIS,Industrials,64.73,65.845,64.33,65.41
51,2021-03-01,OTIS,Industrials,64.12,65.75,64.07,64.93
52,2021-02-26,OTIS,Industrials,64.89,64.89,63.59,63.71
53,2021-02-25,OTIS,Industrials,64.28,64.91,64.01,64.46
54,2021-02-24,OTIS,Industrials,63.09,64.41,63.03,64.35
55,2021-02-23,OTIS,Industrials,62.84,63.57,62.56,63.23
56,2021-02-22,OTIS,Industrials,62.85,63.595,62.52,63.23
