,date,symbol,sector,open,high,low,close
0,2021-05-12,PCAR,Industrials,94.13,94.88,91.68,91.85
1,2021-05-11,PCAR,Industrials,95.07,95.69,94.18,94.76
2,2021-05-10,PCAR,Industrials,94.99,96.71,94.57,95.73
3,2021-05-07,PCAR,Industrials,93.45,94.66,92.61,94.5
4,2021-05-06,PCAR,Industrials,91.77,93.81,91.56,93.73
5,2021-05-05,PCAR,Industrials,90.1,91.59,89.14,91.23
6,2021-05-04,PCAR,Industrials,90.58,90.92,89.06,90.06
7,2021-05-03,PCAR,Industrials,90.8,91.15,90.43,90.79
8,2021-04-30,PCAR,Industrials,91.07,91.47,89.73,89.88
9,2021-04-29,PCAR,Industrials,91.15,91.94,90.43,91.9
10,2021-04-28,PCAR,Industrials,92.55,92.72,90.05,90.68
11,2021-04-27,PCAR,Industrials,92.68,93.41,90.3,91.28
12,2021-04-26,PCAR,Industrials,93.46,93.83,92.83,93.34
13,2021-04-23,PCAR,Industrials,93.85,93.85,92.36,93.35
14,2021-04-22,PCAR,Industrials,93.53,93.73,91.83,92.205
15,2021-04-21,PCAR,Industrials,92.28,93.69,91.01,93.63
16,2021-04-20,PCAR,Industrials,93.16,93.73,91.71,92.1
17,2021-04-19,PCAR,Industrials,94.57,94.75,92.743,93.35
18,2021-04-16,PCAR,Industrials,95.04,95.82,93.97,94.92
19,2021-04-15,PCAR,Industrials,94.2659,95.09,93.53,95.03
20,2021-04-14,PCAR,Industrials,95.43,95.68,93.45,93.62
21,2021-04-13,PCAR,Industrials,95.03,95.3,93.885,94.72
22,2021-04-12,PCAR,Industrials,93.08,95.36,93.08,95.29
23,2021-04-09,PCAR,Industrials,92.86,93.57,92.46,93.36
24,2021-04-08,PCAR,Industrials,92.59,92.945,91.64,92.84
25,2021-04-07,PCAR,Industrials,92.64,93.22,92.365,92.47
26,2021-04-06,PCAR,Industrials,92.34,93.94,92.0438,92.85
27,2021-04-05,PCAR,Industrials,92.95,94.21,92.62,93.96
28,2021-04-01,PCAR,Industrials,92.83,93.6,91.35,92.03
29,2021-03-31,PCAR,Industrials,94.05,94.35,92.48,92.92
