,date,symbol,sector,open,high,low,close
0,2021-05-12,PENN,Consumer Discretionary,80.9892,82.02,75.69,76.1
1,2021-05-11,PENN,Consumer Discretionary,75.5732,83.81,74.2377,83.09
2,2021-05-10,PENN,Consumer Discretionary,85.5,85.94,80.92,81.07
3,2021-05-07,PENN,Consumer Discretionary,86.32,86.98,83.15,86.62
4,2021-05-06,PENN,Consumer Discretionary,87.87,88.0,80.2501,83.93
5,2021-05-05,PENN,Consumer Discretionary,92.38,93.02,89.71,91.41
6,2021-05-04,PENN,Consumer Discretionary,89.13,90.02,85.13,89.66
7,2021-05-03,PENN,Consumer Discretionary,90.77,92.92,89.51,90.47
8,2021-04-30,PENN,Consumer Discretionary,89.83,91.7115,88.59,89.12
9,2021-04-29,PENN,Consumer Discretionary,93.3128,93.9,89.4,91.24
10,2021-04-28,PENN,Consumer Discretionary,94.5,95.45,91.68,92.85
11,2021-04-27,PENN,Consumer Discretionary,93.75,96.2425,92.09,92.65
12,2021-04-26,PENN,Consumer Discretionary,90.525,91.83,89.56,90.28
13,2021-04-23,PENN,Consumer Discretionary,90.8,90.9378,88.76,89.74
14,2021-04-22,PENN,Consumer Discretionary,92.53,93.5117,88.52,89.67
15,2021-04-21,PENN,Consumer Discretionary,88.61,92.59,87.4201,92.51
16,2021-04-20,PENN,Consumer Discretionary,90.8285,93.35,85.94,89.0
17,2021-04-19,PENN,Consumer Discretionary,99.49,99.71,92.57,93.0
18,2021-04-16,PENN,Consumer Discretionary,99.73,102.32,99.72,99.94
19,2021-04-15,PENN,Consumer Discretionary,102.0,102.0,98.75,100.72
20,2021-04-14,PENN,Consumer Discretionary,102.12,104.91,99.8,100.59
21,2021-04-13,PENN,Consumer Discretionary,101.2634,102.83,97.81,102.56
22,2021-04-12,PENN,Consumer Discretionary,103.77,104.12,99.07,101.82
23,2021-04-09,PENN,Consumer Discretionary,105.7,106.2218,102.11,104.12
24,2021-04-08,PENN,Consumer Discretionary,102.91,106.77,101.55,106.69
25,2021-04-07,PENN,Consumer Discretionary,103.88,105.7149,102.27,102.37
26,2021-04-06,PENN,Consumer Discretionary,106.75,109.33,100.02,104.09
27,2021-04-05,PENN,Consumer Discretionary,110.1664,110.1664,105.52,106.84
28,2021-04-01,PENN,Consumer Discretionary,106.7757,108.9716,105.3,107.52
29,2021-03-31,PENN,Consumer Discretionary,105.54,106.13,102.15,104.84
30,2021-03-30,PENN,Consumer Discretionary,97.83,103.46,96.861,102.84
31,2021-03-29,PENN,Consumer Discretionary,105.25,106.73,96.77,98.21
32,2021-03-26,PENN,Consumer Discretionary,109.63,110.2399,101.91,106.58
33,2021-03-25,PENN,Consumer Discretionary,99.5,109.07,98.5,108.75
34,2021-03-24,PENN,Consumer Discretionary,113.25,114.38,103.34,104.06
35,2021-03-23,PENN,Consumer Discretionary,114.9,117.0,110.16,111.82
36,2021-03-22,PENN,Consumer Discretionary,118.67,118.67,111.4,113.16
37,2021-03-19,PENN,Consumer Discretionary,114.31,119.97,112.49,117.37
38,2021-03-18,PENN,Consumer Discretionary,121.55,122.17,111.59,111.935
39,2021-03-17,PENN,Consumer Discretionary,122.28,125.48,117.18,124.53
40,2021-03-16,PENN,Consumer Discretionary,137.07,137.1262,123.13,124.5
41,2021-03-15,PENN,Consumer Discretionary,138.81,142.0,132.85,136.47
42,2021-03-12,PENN,Consumer Discretionary,127.78,132.76,127.0,130.47
43,2021-03-11,PENN,Consumer Discretionary,126.0,131.4,124.0,130.97
44,2021-03-10,PENN,Consumer Discretionary,118.3,124.5,117.5,123.34
45,2021-03-09,PENN,Consumer Discretionary,114.89,117.5,112.59,115.65
46,2021-03-08,PENN,Consumer Discretionary,109.95,115.5,108.7801,109.28
47,2021-03-05,PENN,Consumer Discretionary,112.48,112.69,95.38,108.23
48,2021-03-04,PENN,Consumer Discretionary,116.5,120.13,104.1327,108.885
49,2021-03-03,PENN,Consumer Discretionary,126.28,128.58,117.11,117.73
50,2021-03-02,PENN,Consumer Discretionary,126.5,128.99,123.1,125.13
51,2021-03-01,PENN,Consumer Discretionary,119.2,127.41,116.06,126.26
52,2021-02-26,PENN,Consumer Discretionary,115.25,118.415,110.6,115.78
53,2021-02-25,PENN,Consumer Discretionary,119.96,119.9999,109.1042,109.69
54,2021-02-24,PENN,Consumer Discretionary,119.1,121.02,114.09,120.34
55,2021-02-23,PENN,Consumer Discretionary,114.25,120.4268,106.96,119.39
56,2021-02-22,PENN,Consumer Discretionary,120.86,124.07,117.02,117.82
57,2021-02-19,PENN,Consumer Discretionary,117.47,122.2999,115.75,120.35
58,2021-02-18,PENN,Consumer Discretionary,115.93,117.555,113.0,115.66
59,2021-02-17,PENN,Consumer Discretionary,114.005,118.65,110.64,117.6
60,2021-02-16,PENN,Consumer Discretionary,119.0904,120.55,115.13,115.26
61,2021-02-12,PENN,Consumer Discretionary,111.8105,119.43,111.0,118.82
62,2021-02-11,PENN,Consumer Discretionary,115.52,117.0,110.0104,112.59
