,date,symbol,sector,open,high,low,close
0,2021-05-12,PH,Industrials,312.28,313.905,304.0,304.07
1,2021-05-11,PH,Industrials,311.89,314.9,307.6,312.69
2,2021-05-10,PH,Industrials,321.04,324.68,315.87,316.32
3,2021-05-07,PH,Industrials,314.78,321.3,310.0,319.26
4,2021-05-06,PH,Industrials,315.07,316.46,311.42,316.07
5,2021-05-05,PH,Industrials,314.47,316.86,314.38,315.7
6,2021-05-04,PH,Industrials,311.77,314.64,305.48,313.76
7,2021-05-03,PH,Industrials,317.0,318.07,309.55,311.38
8,2021-04-30,PH,Industrials,311.6,314.6236,309.77,313.81
9,2021-04-29,PH,Industrials,317.77,319.74,309.26,313.93
10,2021-04-28,PH,Industrials,319.26,322.1,318.0,318.94
11,2021-04-27,PH,Industrials,319.49,321.0,317.325,319.54
12,2021-04-26,PH,Industrials,319.0,321.49,317.44,319.13
13,2021-04-23,PH,Industrials,316.64,320.0,315.08,318.12
14,2021-04-22,PH,Industrials,317.77,318.815,313.67,313.77
15,2021-04-21,PH,Industrials,311.45,318.47,309.63,317.6
16,2021-04-20,PH,Industrials,315.51,317.34,308.45,312.16
17,2021-04-19,PH,Industrials,320.0,320.0,315.5204,317.52
18,2021-04-16,PH,Industrials,321.63,323.48,317.6,321.11
19,2021-04-15,PH,Industrials,319.68,320.25,315.245,318.34
20,2021-04-14,PH,Industrials,317.01,321.43,316.505,317.67
21,2021-04-13,PH,Industrials,319.71,320.245,314.4,315.61
22,2021-04-12,PH,Industrials,322.44,322.82,319.875,321.18
23,2021-04-09,PH,Industrials,319.73,321.09,315.41,321.09
24,2021-04-08,PH,Industrials,315.75,318.5,313.8,318.46
25,2021-04-07,PH,Industrials,316.88,319.95,313.85,316.84
26,2021-04-06,PH,Industrials,319.86,323.804,316.07,317.17
27,2021-04-05,PH,Industrials,319.53,320.81,316.83,319.18
28,2021-04-01,PH,Industrials,317.62,318.21,313.68,316.21
29,2021-03-31,PH,Industrials,317.0,319.19,314.34,315.43
30,2021-03-30,PH,Industrials,317.08,320.51,316.19,317.33
31,2021-03-29,PH,Industrials,318.5,320.72,316.3,317.18
32,2021-03-26,PH,Industrials,317.53,318.92,313.3299,317.59
33,2021-03-25,PH,Industrials,306.65,315.25,302.73,314.25
34,2021-03-24,PH,Industrials,307.83,313.59,307.83,308.33
35,2021-03-23,PH,Industrials,310.1,311.995,303.71,305.7
36,2021-03-22,PH,Industrials,311.05,313.64,306.57,310.98
37,2021-03-19,PH,Industrials,313.68,314.46,307.07,311.05
38,2021-03-18,PH,Industrials,314.06,321.74,314.06,315.05
39,2021-03-17,PH,Industrials,310.51,316.05,309.67,314.67
40,2021-03-16,PH,Industrials,313.41,315.63,309.6,309.92
41,2021-03-15,PH,Industrials,311.85,315.49,310.0,314.91
42,2021-03-12,PH,Industrials,309.85,313.36,308.27,312.56
43,2021-03-11,PH,Industrials,308.22,313.79,305.54,308.27
44,2021-03-10,PH,Industrials,298.35,308.32,296.545,306.3
45,2021-03-09,PH,Industrials,299.95,301.88,295.46,295.89
46,2021-03-08,PH,Industrials,301.9,302.325,297.65,298.81
47,2021-03-05,PH,Industrials,296.26,300.84,288.81,299.99
48,2021-03-04,PH,Industrials,295.12,298.5279,288.12,293.14
49,2021-03-03,PH,Industrials,296.91,302.9,295.62,296.54
50,2021-03-02,PH,Industrials,296.53,298.54,295.09,295.97
51,2021-03-01,PH,Industrials,292.15,300.79,291.61,297.58
52,2021-02-26,PH,Industrials,289.17,292.17,284.11,286.96
53,2021-02-25,PH,Industrials,296.1,297.86,287.79,289.39
54,2021-02-24,PH,Industrials,285.92,297.72,285.2914,297.07
55,2021-02-23,PH,Industrials,283.56,286.68,276.74,286.01
56,2021-02-22,PH,Industrials,279.73,285.59,278.122,282.31
57,2021-02-19,PH,Industrials,271.04,280.74,269.375,279.73
58,2021-02-18,PH,Industrials,270.07,272.16,266.26,268.34
59,2021-02-17,PH,Industrials,274.89,275.835,271.65,272.01
60,2021-02-16,PH,Industrials,278.85,279.69,274.21,276.22
61,2021-02-12,PH,Industrials,272.3,276.33,271.77,276.24
62,2021-02-11,PH,Industrials,275.58,276.41,266.72,273.02
63,2021-02-10,PH,Industrials,275.65,276.7799,269.92,272.93
64,2021-02-09,PH,Industrials,276.85,278.2,269.89,275.66
65,2021-02-08,PH,Industrials,281.46,281.745,275.58,278.64
66,2021-02-05,PH,Industrials,274.55,281.69,274.55,279.47
67,2021-02-04,PH,Industrials,287.85,287.85,268.98,268.98
68,2021-02-03,PH,Industrials,268.51,272.51,267.3795,271.22
69,2021-02-02,PH,Industrials,271.51,273.73,267.48,268.38
70,2021-02-01,PH,Industrials,267.77,269.21,263.59,268.19
71,2021-01-29,PH,Industrials,263.05,267.61,260.43,264.61
72,2021-01-28,PH,Industrials,256.68,268.05,255.79,265.54
73,2021-01-27,PH,Industrials,260.86,262.42,247.41,249.92
74,2021-01-26,PH,Industrials,271.97,272.469,266.32,267.04
75,2021-01-25,PH,Industrials,274.0,274.97,265.32,269.77
76,2021-01-22,PH,Industrials,275.92,276.38,271.68,275.17
77,2021-01-21,PH,Industrials,287.28,287.94,278.68,279.2
78,2021-01-20,PH,Industrials,290.55,290.71,286.19,286.87
79,2021-01-19,PH,Industrials,288.62,291.18,287.415,288.8
80,2021-01-15,PH,Industrials,287.98,288.5,282.33,285.17
81,2021-01-14,PH,Industrials,288.87,293.8,287.77,291.12
82,2021-01-13,PH,Industrials,287.22,289.11,285.39,286.22
83,2021-01-12,PH,Industrials,284.87,290.215,283.6901,287.76
84,2021-01-11,PH,Industrials,277.17,285.44,276.74,284.02
85,2021-01-08,PH,Industrials,281.4,282.67,275.98,280.66
86,2021-01-07,PH,Industrials,284.59,285.56,279.71,281.36
87,2021-01-06,PH,Industrials,274.37,286.37,274.19,280.85
88,2021-01-05,PH,Industrials,265.32,273.71,265.32,272.02
89,2021-01-04,PH,Industrials,273.51,275.03,264.2,266.02
90,2020-12-31,PH,Industrials,269.5,272.75,267.97,272.41
91,2020-12-30,PH,Industrials,267.46,271.21,267.46,270.22
92,2020-12-29,PH,Industrials,269.31,270.735,263.0,266.13
93,2020-12-28,PH,Industrials,270.99,272.14,267.65,267.7
94,2020-12-24,PH,Industrials,269.1,271.08,267.33,269.45
95,2020-12-23,PH,Industrials,269.58,271.06,267.68,269.4
96,2020-12-22,PH,Industrials,272.46,272.46,267.09,267.58
97,2020-12-21,PH,Industrials,266.22,273.14,264.25,272.79
98,2020-12-18,PH,Industrials,273.04,275.6,270.46,272.0
99,2020-12-17,PH,Industrials,274.51,274.61,271.29,273.3
100,2020-12-16,PH,Industrials,275.68,276.215,271.41,272.81
101,2020-12-15,PH,Industrials,274.04,277.09,270.54,275.79
102,2020-12-14,PH,Industrials,278.11,278.6157,270.0,270.09
103,2020-12-11,PH,Industrials,270.83,276.48,270.83,274.68
104,2020-12-10,PH,Industrials,275.06,276.515,272.48,274.44
105,2020-12-09,PH,Industrials,275.18,276.93,272.38,276.32
106,2020-12-08,PH,Industrials,269.06,274.84,269.06,274.24
